"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"02","AK","02013","Aleutians East Borough",2427,1077,1324,653,329,174,0,23,0,0,0,0,145,"02-02013-20190401"
"2","County",2019-04-01,"02","AK","02016","Aleutians West Census Area",1668,4038,14529,3643,4239,1686,522,1851,2279,0,0,196,113,"02-02016-20190401"
"3","County",2019-04-01,"02","AK","02020","Anchorage Municipality",60350,230297,1374229,394891,399609,220542,217479,107315,27043,3470,1304,878,1698,"02-02020-20190401"
"4","County",2019-04-01,"02","AK","02050","Bethel Census Area",8455,9705,63473,9869,25911,9645,4527,1174,9547,1561,94,1085,60,"02-02050-20190401"
"5","County",2019-04-01,"02","AK","02060","Bristol Bay Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-02060-20190401"
"6","County",2019-04-01,"02","AK","02068","Denali Borough",555,1498,8065,4397,619,944,327,766,547,425,40,0,0,"02-02068-20190401"
"7","County",2019-04-01,"02","AK","02070","Dillingham Census Area",1992,2993,72349,41057,14820,7713,6977,845,912,0,0,25,0,"02-02070-20190401"
"8","County",2019-04-01,"02","AK","02090","Fairbanks North Star Borough",17864,80804,533761,156744,155753,61439,64964,74139,14888,2428,2182,654,570,"02-02090-20190401"
"9","County",2019-04-01,"02","AK","02100","Haines Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-02100-20190401"
"10","County",2019-04-01,"02","AK","02105","Hoonah-Angoon Census Area",511,1633,7128,2549,2218,0,0,155,1964,0,166,0,76,"02-02105-20190401"
"11","County",2019-04-01,"02","AK","02110","Juneau City and Borough",8547,23468,179020,62301,50736,23187,28435,11927,607,188,1210,163,266,"02-02110-20190401"
"12","County",2019-04-01,"02","AK","02122","Kenai Peninsula Borough",11530,46824,317668,93313,94089,45672,42942,28863,8981,3017,417,123,251,"02-02122-20190401"
"13","County",2019-04-01,"02","AK","02130","Ketchikan Gateway Borough",3209,10666,88402,22530,39822,12248,10760,2543,235,0,147,54,63,"02-02130-20190401"
"14","County",2019-04-01,"02","AK","02150","Kodiak Island Borough",4296,9008,71967,26604,23441,3656,12414,4972,58,69,137,223,393,"02-02150-20190401"
"15","County",2019-04-01,"02","AK","02158","Kusilvak Census Area",4555,3723,12522,6459,676,0,0,0,4292,1059,17,0,19,"02-02158-20190401"
"16","County",2019-04-01,"02","AK","02164","Lake and Peninsula Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-02164-20190401"
"17","County",2019-04-01,"02","AK","02170","Matanuska-Susitna Borough",21303,85978,481591,95087,132858,66038,71197,58588,48166,6336,2409,312,600,"02-02170-20190401"
"18","County",2019-04-01,"02","AK","02180","Nome Census Area",6388,3589,19535,8455,4124,2752,1140,780,827,1012,252,0,193,"02-02180-20190401"
"19","County",2019-04-01,"02","AK","02185","North Slope Borough",2360,7482,44809,8881,7627,3376,5814,3236,8277,6614,149,121,714,"02-02185-20190401"
"20","County",2019-04-01,"02","AK","02188","Northwest Arctic Borough",6301,1347,40314,37405,374,224,901,606,573,81,4,35,111,"02-02188-20190401"
"21","County",2019-04-01,"02","AK","02195","Petersburg Borough",1575,1636,30597,17698,9375,2114,1171,116,78,0,0,0,45,"02-02195-20190401"
"22","County",2019-04-01,"02","AK","02198","Prince of Wales-Hyder Census Area",2733,3669,32411,10164,2929,1851,5552,1163,1131,9512,0,0,109,"02-02198-20190401"
"23","County",2019-04-01,"02","AK","02220","Sitka City and Borough",3118,5503,53599,25808,16485,4246,6301,0,3,0,469,209,78,"02-02220-20190401"
"24","County",2019-04-01,"02","AK","02230","Skagway Municipality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-02230-20190401"
"25","County",2019-04-01,"02","AK","02240","Southeast Fairbanks Census Area",1318,5579,32279,10101,7979,637,3338,5288,1407,1286,2067,108,68,"02-02240-20190401"
"26","County",2019-04-01,"02","AK","02261","Valdez-Cordova Census Area",2478,6658,34405,11512,8553,3524,6320,2815,648,567,413,0,53,"02-02261-20190401"
"27","County",2019-04-01,"02","AK","02275","Wrangell City and Borough",1418,1077,11095,9396,842,64,485,176,116,0,0,0,16,"02-02275-20190401"
"28","County",2019-04-01,"02","AK","02282","Yakutat City and Borough",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02-02282-20190401"
"29","County",2019-04-01,"02","AK","02290","Yukon-Koyukuk Census Area",2521,2790,34787,5891,1011,6816,0,1299,0,18250,1328,192,0,"02-02290-20190401"
"30","County",2019-04-02,"02","AK","02013","Aleutians East Borough",2318,1186,4338,2107,908,633,47,0,497,0,0,0,146,"02-02013-20190402"
"31","County",2019-04-02,"02","AK","02016","Aleutians West Census Area",1706,4000,13712,4507,4310,676,323,3458,0,351,0,0,87,"02-02016-20190402"
"32","County",2019-04-02,"02","AK","02020","Anchorage Municipality",61669,228978,1294726,359993,383141,213677,202417,104329,24066,3772,1587,587,1157,"02-02020-20190402"
