"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"04","AZ","04001","Apache County",12683,58915,279483,58095,56083,22599,33440,40098,39181,22992,5819,1047,129,"04-04001-20190401"
"2","County",2019-04-01,"04","AZ","04003","Cochise County",29937,96446,522888,128152,147392,70867,60412,57121,31671,20931,4607,1245,490,"04-04003-20190401"
"3","County",2019-04-01,"04","AZ","04005","Coconino County",29653,112764,710004,192331,193252,93766,72838,62659,45531,38363,9243,1550,471,"04-04005-20190401"
"4","County",2019-04-01,"04","AZ","04007","Gila County",12456,41268,245694,68086,78883,23680,32463,20774,11420,9146,1020,71,151,"04-04007-20190401"
"5","County",2019-04-01,"04","AZ","04009","Graham County",7282,30674,170762,43688,52883,20641,19415,12594,13985,5170,1979,228,179,"04-04009-20190401"
"6","County",2019-04-01,"04","AZ","04011","Greenlee County",2196,7258,46664,12058,14812,2902,3226,4927,5063,3224,403,40,9,"04-04011-20190401"
"7","County",2019-04-01,"04","AZ","04012","La Paz County",5442,15592,85241,21915,16412,7092,15979,12433,5971,3187,1875,268,109,"04-04012-20190401"
"8","County",2019-04-01,"04","AZ","04013","Maricopa County",892934,3504408,18602399,4691905,4600998,2355892,2981926,3012192,701639,111801,90398,30891,24757,"04-04013-20190401"
"9","County",2019-04-01,"04","AZ","04015","Mohave County",47984,160926,770622,148609,240623,145632,100139,54664,35476,27454,14835,2590,600,"04-04015-20190401"
"10","County",2019-04-01,"04","AZ","04017","Navajo County",23416,86691,446375,96353,108824,53361,61207,53766,33668,27283,10378,1391,144,"04-04017-20190401"
"11","County",2019-04-01,"04","AZ","04019","Pima County",207669,828228,4379293,1065655,1089091,542873,794228,654291,142607,50570,28200,8164,3614,"04-04019-20190401"
"12","County",2019-04-01,"04","AZ","04021","Pinal County",89084,356687,1846659,422616,416450,193292,245729,340186,179275,30590,13288,3427,1806,"04-04021-20190401"
"13","County",2019-04-01,"04","AZ","04023","Santa Cruz County",8527,37842,211345,54137,59431,24225,32985,18874,11704,6874,2520,472,123,"04-04023-20190401"
"14","County",2019-04-01,"04","AZ","04025","Yavapai County",48101,183183,1086261,211337,288669,127628,229178,156092,41372,22224,7379,1752,630,"04-04025-20190401"
"15","County",2019-04-01,"04","AZ","04027","Yuma County",57837,153643,778653,180603,232070,94895,97874,115903,26977,18110,9446,2046,729,"04-04027-20190401"
"16","County",2019-04-02,"04","AZ","04001","Apache County",12451,59147,276790,63912,59789,20525,35825,40253,33730,16026,5575,1056,99,"04-04001-20190402"
"17","County",2019-04-02,"04","AZ","04003","Cochise County",27285,99098,529944,134924,147335,65106,63597,53967,36039,23645,3713,1312,306,"04-04003-20190402"
"18","County",2019-04-02,"04","AZ","04005","Coconino County",27878,114539,695831,192717,195148,92223,76414,55632,37467,36876,7743,1307,304,"04-04005-20190402"
"19","County",2019-04-02,"04","AZ","04007","Gila County",11012,42712,253932,73480,82058,22121,34329,23100,10438,7470,719,113,104,"04-04007-20190402"
"20","County",2019-04-02,"04","AZ","04009","Graham County",6742,31214,180625,46814,60522,20957,20768,13785,12098,3957,1422,142,160,"04-04009-20190402"
"21","County",2019-04-02,"04","AZ","04011","Greenlee County",2148,7306,46622,14049,15727,3666,3852,3580,3922,1485,299,33,9,"04-04011-20190402"
"22","County",2019-04-02,"04","AZ","04012","La Paz County",4561,16473,75814,18561,14898,5632,12959,10559,5689,4796,2284,342,94,"04-04012-20190402"
