"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"09","CT","09001","Fairfield County",200002,740936,4336646,1142750,1182047,520142,575510,572913,241399,71158,13103,4869,12755,"09-09001-20190401"
"2","County",2019-04-01,"09","CT","09003","Hartford County",185891,704077,3733470,827895,912186,468600,681067,641528,128873,38214,21483,4657,8967,"09-09003-20190401"
"3","County",2019-04-01,"09","CT","09005","Litchfield County",35489,145068,783156,156351,190780,91163,109428,146287,69664,13279,2473,1540,2191,"09-09005-20190401"
"4","County",2019-04-01,"09","CT","09007","Middlesex County",30757,131428,696130,144292,168660,80887,92354,139422,55802,7208,3151,1599,2755,"09-09007-20190401"
"5","County",2019-04-01,"09","CT","09009","New Haven County",182418,672581,3753562,902917,959965,457071,580952,595242,171996,62408,14001,2285,6725,"09-09009-20190401"
"6","County",2019-04-01,"09","CT","09011","New London County",52226,213743,1091840,241079,272316,134338,179051,175514,57197,22488,5978,1360,2519,"09-09011-20190401"
"7","County",2019-04-01,"09","CT","09013","Tolland County",27909,122551,619770,115056,156853,66192,89812,137995,36254,12009,2948,687,1964,"09-09013-20190401"
"8","County",2019-04-01,"09","CT","09015","Windham County",21226,95443,508914,99688,127520,61591,82880,76240,45669,11341,2112,643,1230,"09-09015-20190401"
"9","County",2019-04-02,"09","CT","09001","Fairfield County",192023,748915,4252372,1115862,1153915,518684,562163,576526,229884,60564,11060,5593,18121,"09-09001-20190402"
"10","County",2019-04-02,"09","CT","09003","Hartford County",179972,709996,3701380,804915,912325,464543,671335,654615,125572,34508,17400,4601,11566,"09-09003-20190402"
"11","County",2019-04-02,"09","CT","09005","Litchfield County",32373,148184,799635,158759,195055,97530,121767,143654,63953,12979,2419,1387,2132,"09-09005-20190402"
"12","County",2019-04-02,"09","CT","09007","Middlesex County",28061,134124,661039,131084,165952,76648,89712,124070,53479,7180,5063,3422,4429,"09-09007-20190402"
"13","County",2019-04-02,"09","CT","09009","New Haven County",175731,679268,3691762,865268,942584,454664,576253,610219,163501,53404,13530,2714,9625,"09-09009-20190402"
"14","County",2019-04-02,"09","CT","09011","New London County",49922,216047,1104704,239566,278372,141839,178739,175440,59277,22061,5702,1094,2614,"09-09011-20190402"
"15","County",2019-04-02,"09","CT","09013","Tolland County",25945,124515,630237,115675,155118,67218,91784,147377,35297,10865,2741,1755,2407,"09-09013-20190402"
"16","County",2019-04-02,"09","CT","09015","Windham County",19440,97229,503086,91079,129891,61469,75067,89455,42564,9556,1606,578,1821,"09-09015-20190402"
"17","County",2019-04-03,"09","CT","09001","Fairfield County",196361,744577,4562965,1195664,1255335,580854,615469,602396,229612,56754,8681,3984,14216,"09-09001-20190403"
"18","County",2019-04-03,"09","CT","09003","Hartford County",184407,705561,3879914,839002,960126,497335,717441,681113,123424,33571,14101,3642,10159,"09-09003-20190403"
"19","County",2019-04-03,"09","CT","09005","Litchfield County",33647,146910,838467,162864,208303,106766,135670,142006,67337,10057,2119,1422,1923,"09-09005-20190403"
"20","County",2019-04-03,"09","CT","09007","Middlesex County",29151,133034,709156,146110,175252,84662,88946,140584,55882,8045,3776,2657,3242,"09-09007-20190403"
"21","County",2019-04-03,"09","CT","09009","New Haven County",178771,676228,3890612,923478,982581,491101,629782,619881,167164,50248,14107,3418,8852,"09-09009-20190403"
"22","County",2019-04-03,"09","CT","09011","New London County",51171,214798,1155455,249375,294546,145724,188849,191493,57832,19861,4607,1100,2068,"09-09011-20190403"
"23","County",2019-04-03,"09","CT","09013","Tolland County",26658,123802,655602,116263,176703,68462,87864,156374,35469,8741,2670,1417,1639,"09-09013-20190403"
"24","County",2019-04-03,"09","CT","09015","Windham County",20173,96496,543781,99559,131850,69786,89505,99264,42062,8064,1553,559,1579,"09-09015-20190403"
"25","County",2019-04-04,"09","CT","09001","Fairfield County",192023,748915,4531240,1149211,1255501,571634,635963,600812,230223,57866,9787,4157,16086,"09-09001-20190404"
"26","County",2019-04-04,"09","CT","09003","Hartford County",180294,709674,3984294,836127,989861,511870,757748,701241,125042,33682,14623,3693,10407,"09-09003-20190404"
"27","County",2019-04-04,"09","CT","09005","Litchfield County",33504,147053,880167,181170,213334,104788,141111,149387,74566,10537,2025,1410,1839,"09-09005-20190404"
"28","County",2019-04-04,"09","CT","09007","Middlesex County",28560,133625,743690,153273,186575,89478,101223,137605,57856,7148,4389,2397,3746,"09-09007-20190404"
"29","County",2019-04-04,"09","CT","09009","New Haven County",176326,678673,3917081,885238,1002491,495953,651514,640632,170898,47176,13060,2202,7917,"09-09009-20190404"
"30","County",2019-04-04,"09","CT","09011","New London County",51066,214903,1210794,266329,302685,146762,208922,195392,63571,19593,4297,1162,2081,"09-09011-20190404"
"31","County",2019-04-04,"09","CT","09013","Tolland County",26597,123863,674816,116758,179592,77785,99651,150746,35882,7952,3056,1510,1884,"09-09013-20190404"
"32","County",2019-04-04,"09","CT","09015","Windham County",20185,96484,554234,104872,137819,71812,89658,91444,46549,7629,1496,608,2347,"09-09015-20190404"
"33","County",2019-04-05,"09","CT","09001","Fairfield County",195517,745421,4441342,1087415,1244787,567248,625454,610098,218867,58263,10413,5056,13741,"09-09001-20190405"
"34","County",2019-04-05,"09","CT","09003","Hartford County",178969,710999,3857957,758221,939802,515708,760387,696232,120013,37167,14211,5271,10945,"09-09003-20190405"
