"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"10","DE","10001","Kent County",33497,144507,733050,166718,199522,91454,91567,93079,63452,19269,4787,2709,493,"10-10001-20190401"
"2","County",2019-04-01,"10","DE","10003","New Castle County",114806,442819,2103082,483636,500727,235242,382376,352221,97648,28969,14705,3830,3728,"10-10003-20190401"
"3","County",2019-04-01,"10","DE","10005","Sussex County",43578,185007,919337,171625,233535,108112,122546,186120,70480,15556,8824,1910,629,"10-10005-20190401"
"4","County",2019-04-02,"10","DE","10001","Kent County",31244,146760,717696,155067,198265,97301,88261,89411,63056,16333,4453,4811,738,"10-10001-20190402"
"5","County",2019-04-02,"10","DE","10003","New Castle County",108402,449223,2018255,461830,473734,231257,364330,342179,87960,24924,17013,8763,6265,"10-10003-20190402"
"6","County",2019-04-02,"10","DE","10005","Sussex County",39856,188729,896303,167658,238984,100999,119377,171065,73228,15540,6561,2366,525,"10-10005-20190402"
"7","County",2019-04-03,"10","DE","10001","Kent County",32624,145380,754596,154542,220941,98568,96164,96864,64522,13684,3602,4976,733,"10-10001-20190403"
"8","County",2019-04-03,"10","DE","10003","New Castle County",109102,448523,2152284,502872,507361,252751,391854,359714,84240,22359,15363,11482,4288,"10-10003-20190403"
"9","County",2019-04-03,"10","DE","10005","Sussex County",41500,187085,991011,193023,253288,117688,131712,192795,78553,15671,5542,2292,447,"10-10005-20190403"
"10","County",2019-04-04,"10","DE","10001","Kent County",32124,145880,757237,157016,214285,92645,97237,103317,68547,14215,3334,5994,647,"10-10001-20190404"
"11","County",2019-04-04,"10","DE","10003","New Castle County",108688,448937,2141131,502966,509038,234824,395642,368737,84108,22738,11983,6838,4257,"10-10003-20190404"
"12","County",2019-04-04,"10","DE","10005","Sussex County",41104,187481,1006935,194476,254823,118243,141836,199900,74549,15219,5566,1944,379,"10-10005-20190404"
"13","County",2019-04-05,"10","DE","10001","Kent County",31657,146347,716085,134607,199347,98350,93235,98230,66585,15817,4087,5294,533,"10-10001-20190405"
"14","County",2019-04-05,"10","DE","10003","New Castle County",108345,449280,2118648,460530,508745,243048,406305,366467,87955,23874,11834,5963,3927,"10-10003-20190405"
"15","County",2019-04-05,"10","DE","10005","Sussex County",40883,187702,968539,173922,252770,117773,134763,186975,77932,15522,5376,3088,418,"10-10005-20190405"
"16","County",2019-04-06,"10","DE","10001","Kent County",34039,143965,731817,143112,213684,99819,96835,93835,58215,14316,4413,6872,716,"10-10001-20190406"
"17","County",2019-04-06,"10","DE","10003","New Castle County",115091,442534,2146829,488615,532564,249779,394883,342044,90581,26059,12878,6599,2827,"10-10003-20190406"
