"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"15","HI","15001","Hawaii County",38006,162363,881915,224448,241172,109123,128342,117319,37376,20626,1970,1102,437,"15-15001-20190401"
"2","County",2019-04-01,"15","HI","15003","Honolulu County",220445,756639,4120880,1277649,907425,424241,789023,652761,57281,3345,4186,2131,2838,"15-15003-20190401"
"3","County",2019-04-01,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190401"
"4","County",2019-04-01,"15","HI","15007","Kauai County",13071,58842,375060,105335,121501,29674,55590,54005,7371,297,907,222,158,"15-15007-20190401"
"5","County",2019-04-01,"15","HI","15009","Maui County",33144,133552,727094,195414,205336,73484,87380,150314,9922,2150,2109,198,787,"15-15009-20190401"
"6","County",2019-04-02,"15","HI","15001","Hawaii County",36461,163908,823741,211197,230322,103722,109869,112201,36003,18089,1293,798,247,"15-15001-20190402"
"7","County",2019-04-02,"15","HI","15003","Honolulu County",214874,762210,4069622,1202635,1004994,435594,768173,592868,54762,3692,3787,1444,1673,"15-15003-20190402"
"8","County",2019-04-02,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190402"
"9","County",2019-04-02,"15","HI","15007","Kauai County",12262,59651,343245,98929,104124,27345,51850,51684,7746,245,945,273,104,"15-15007-20190402"
"10","County",2019-04-02,"15","HI","15009","Maui County",32354,134342,684725,184128,195383,68501,85484,138582,9263,1192,1629,164,399,"15-15009-20190402"
"11","County",2019-04-03,"15","HI","15001","Hawaii County",36672,163697,850507,211707,238908,106403,123014,111335,38242,19057,1033,609,199,"15-15001-20190403"
"12","County",2019-04-03,"15","HI","15003","Honolulu County",218612,758472,4056971,1239260,985307,452720,701848,616127,53625,2434,2891,1142,1617,"15-15003-20190403"
"13","County",2019-04-03,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190403"
"14","County",2019-04-03,"15","HI","15007","Kauai County",12388,59525,342975,92817,111618,28167,54047,49100,5777,419,751,179,100,"15-15007-20190403"
"15","County",2019-04-03,"15","HI","15009","Maui County",32816,133880,738831,195879,220852,72130,87201,150057,9304,1768,1119,165,356,"15-15009-20190403"
"16","County",2019-04-04,"15","HI","15001","Hawaii County",36320,164049,890662,226009,248644,111981,126074,119978,36645,19527,1006,593,205,"15-15001-20190404"
"17","County",2019-04-04,"15","HI","15003","Honolulu County",218219,758865,3997128,1272623,974633,428274,614168,642816,56146,3134,2676,1124,1534,"15-15003-20190404"
"18","County",2019-04-04,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190404"
"19","County",2019-04-04,"15","HI","15007","Kauai County",12717,59196,377877,108733,123353,31126,52378,53100,8061,250,688,89,99,"15-15007-20190404"
"20","County",2019-04-04,"15","HI","15009","Maui County",32635,134061,776111,209232,221693,72238,97234,163722,8993,1393,1018,143,445,"15-15009-20190404"
"21","County",2019-04-05,"15","HI","15001","Hawaii County",36220,164149,900704,231319,244292,110556,131336,121776,39382,19795,1390,621,237,"15-15001-20190405"
"22","County",2019-04-05,"15","HI","15003","Honolulu County",218467,758617,4114063,1346543,985945,438647,594275,675426,60340,3384,6657,1415,1431,"15-15003-20190405"
"23","County",2019-04-05,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190405"
"24","County",2019-04-05,"15","HI","15007","Kauai County",11993,59920,372655,102312,109419,28804,65287,58076,7565,266,724,106,96,"15-15007-20190405"
"25","County",2019-04-05,"15","HI","15009","Maui County",31221,135475,761302,192746,222928,78200,97584,154998,10573,2426,1204,246,397,"15-15009-20190405"
"26","County",2019-04-06,"15","HI","15001","Hawaii County",37501,162868,838405,219902,229188,99954,114966,113950,37591,21067,953,578,256,"15-15001-20190406"
"27","County",2019-04-06,"15","HI","15003","Honolulu County",224232,752852,3952757,1252104,954402,425972,574303,667131,66667,4005,5007,1754,1412,"15-15003-20190406"
"28","County",2019-04-06,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190406"
"29","County",2019-04-06,"15","HI","15007","Kauai County",11976,59937,354439,87554,101671,26916,73512,55926,7655,449,567,93,96,"15-15007-20190406"
"30","County",2019-04-06,"15","HI","15009","Maui County",32629,134067,721293,188002,211719,71309,87572,149104,10154,1819,1071,174,369,"15-15009-20190406"
"31","County",2019-04-07,"15","HI","15001","Hawaii County",38018,162351,815536,203299,221007,104767,122324,108217,32802,21460,909,545,206,"15-15001-20190407"
"32","County",2019-04-07,"15","HI","15003","Honolulu County",223080,754004,3777658,1227060,926471,398180,541039,609862,64066,2906,5048,1434,1592,"15-15003-20190407"
"33","County",2019-04-07,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190407"
"34","County",2019-04-07,"15","HI","15007","Kauai County",12886,59027,295169,74023,81853,23989,61761,46202,6100,190,818,116,117,"15-15007-20190407"
"35","County",2019-04-07,"15","HI","15009","Maui County",33711,132985,691168,189580,205335,65294,82704,133599,11170,1577,1178,275,456,"15-15009-20190407"
"36","County",2019-04-08,"15","HI","15001","Hawaii County",36669,163700,843824,216080,226763,103036,122609,115672,37766,19793,1160,668,277,"15-15001-20190408"
"37","County",2019-04-08,"15","HI","15003","Honolulu County",220899,756185,3903956,1302862,922650,400038,569833,630981,65419,4174,4246,1850,1903,"15-15003-20190408"
"38","County",2019-04-08,"15","HI","15005","Kalawao County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-15005-20190408"
