"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"25","MA","25001","Barnstable County",45796,166965,1239902,249236,337436,155808,198187,209216,56145,24828,4599,788,3659,"25-25001-20190401"
"2","County",2019-04-01,"25","MA","25003","Berkshire County",33665,92297,647799,147654,179167,109058,82620,96203,20180,7838,2901,407,1771,"25-25003-20190401"
"3","County",2019-04-01,"25","MA","25005","Bristol County",110386,451912,3003178,686519,812576,389604,383892,455256,224766,38989,5467,1242,4867,"25-25005-20190401"
"4","County",2019-04-01,"25","MA","25007","Dukes County",3703,13596,117783,33029,36299,17302,21548,7208,670,1215,300,72,140,"25-25007-20190401"
"5","County",2019-04-01,"25","MA","25009","Essex County",170822,617399,3996498,941426,1013966,507337,627646,643019,199507,33456,12115,2543,15483,"25-25009-20190401"
"6","County",2019-04-01,"25","MA","25011","Franklin County",17198,53548,322695,72698,66506,29608,52046,63560,27344,6632,2693,579,1029,"25-25011-20190401"
"7","County",2019-04-01,"25","MA","25013","Hampden County",108971,359997,2360234,570216,671744,301580,428778,253958,79055,35145,11879,3802,4077,"25-25013-20190401"
"8","County",2019-04-01,"25","MA","25015","Hampshire County",39610,121252,761831,170639,197912,75009,132100,138199,28844,12261,3367,609,2891,"25-25015-20190401"
"9","County",2019-04-01,"25","MA","25017","Middlesex County",361228,1248551,8282675,2112952,2145109,1038198,1259905,1301642,322585,51368,18791,6040,26085,"25-25017-20190401"
"10","County",2019-04-01,"25","MA","25019","Nantucket County",2612,8680,92265,30070,36404,13115,10022,706,1371,432,108,7,30,"25-25019-20190401"
"11","County",2019-04-01,"25","MA","25021","Norfolk County",154700,548532,3692726,896259,947231,442601,575515,640773,147162,22337,7295,2257,11296,"25-25021-20190401"
"12","County",2019-04-01,"25","MA","25023","Plymouth County",99206,417342,2725699,585305,687037,311755,361694,517121,208243,37011,6872,1768,8893,"25-25023-20190401"
"13","County",2019-04-01,"25","MA","25025","Suffolk County",245668,559117,3781886,1343896,1094372,491105,498090,267423,53098,16693,6615,1442,9152,"25-25025-20190401"
"14","County",2019-04-01,"25","MA","25027","Worcester County",169821,658479,4231160,862738,1134704,519701,581612,707523,307149,76822,10074,4940,25897,"25-25027-20190401"
"15","County",2019-04-02,"25","MA","25001","Barnstable County",43011,169750,1261931,252704,339284,150047,208175,215980,65896,22931,3897,374,2643,"25-25001-20190402"
"16","County",2019-04-02,"25","MA","25003","Berkshire County",31721,94241,648737,149924,177731,107571,90699,89035,22282,6119,2362,488,2526,"25-25003-20190402"
"17","County",2019-04-02,"25","MA","25005","Bristol County",105139,457159,2988531,669158,778945,419484,396361,460453,216120,37637,5026,1056,4291,"25-25005-20190402"
"18","County",2019-04-02,"25","MA","25007","Dukes County",3526,13773,119342,31824,35803,18242,24456,6687,987,894,106,116,227,"25-25007-20190402"
"19","County",2019-04-02,"25","MA","25009","Essex County",166040,622181,4026589,943091,1015000,519753,630836,677848,182783,29702,10299,2371,14906,"25-25009-20190402"
"20","County",2019-04-02,"25","MA","25011","Franklin County",16402,54344,323093,80651,66335,30025,52606,60029,21478,6360,2536,1175,1898,"25-25011-20190402"
"21","County",2019-04-02,"25","MA","25013","Hampden County",105961,363007,2346717,543974,661663,302931,424363,275109,82675,32681,12020,5396,5905,"25-25013-20190402"
"22","County",2019-04-02,"25","MA","25015","Hampshire County",38495,122367,771753,183650,193734,79850,135938,130628,29295,11443,3026,2148,2041,"25-25015-20190402"
"23","County",2019-04-02,"25","MA","25017","Middlesex County",345705,1264074,8112392,2058378,2086797,1048541,1224600,1279127,307567,52068,15520,6292,33502,"25-25017-20190402"
"24","County",2019-04-02,"25","MA","25019","Nantucket County",2541,8751,93631,30552,41636,11878,7207,1345,732,103,74,0,104,"25-25019-20190402"
"25","County",2019-04-02,"25","MA","25021","Norfolk County",147206,556026,3665391,884921,959033,442906,559425,630179,144502,21698,7324,2124,13279,"25-25021-20190402"
"26","County",2019-04-02,"25","MA","25023","Plymouth County",93196,423352,2726037,579579,720788,307744,364281,512812,189361,35873,5616,2450,7533,"25-25023-20190402"
"27","County",2019-04-02,"25","MA","25025","Suffolk County",242095,562690,3660303,1305916,1065746,459513,478825,258296,48108,15887,5524,1297,21191,"25-25025-20190402"
"28","County",2019-04-02,"25","MA","25027","Worcester County",159769,668531,4163946,853166,1095185,523128,570931,706261,298628,75743,10013,6812,24079,"25-25027-20190402"
"29","County",2019-04-03,"25","MA","25001","Barnstable County",44945,167816,1289562,271954,358412,154383,211569,213856,53216,19574,4070,420,2108,"25-25001-20190403"
