"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"24","MD","24001","Allegany County",15900,54858,262260,48306,83150,38723,35986,31866,10903,8714,3755,256,601,"24-24001-20190401"
"2","County",2019-04-01,"24","MD","24003","Anne Arundel County",101480,472790,2499994,573244,580343,283374,408399,469883,136471,23502,14778,3009,6991,"24-24003-20190401"
"3","County",2019-04-01,"24","MD","24005","Baltimore County",155603,670296,3513819,814125,842879,392690,590233,676501,134254,36442,18442,4517,3736,"24-24005-20190401"
"4","County",2019-04-01,"24","MD","24009","Calvert County",16135,75587,412848,77004,116402,46687,53816,62341,41006,12435,2058,476,623,"24-24009-20190401"
"5","County",2019-04-01,"24","MD","24011","Caroline County",5794,27408,182708,39346,42267,15074,24279,36237,19084,4832,954,325,310,"24-24011-20190401"
"6","County",2019-04-01,"24","MD","24013","Carroll County",25949,141965,820186,149241,227058,105283,100352,129964,90692,10854,3424,989,2329,"24-24013-20190401"
"7","County",2019-04-01,"24","MD","24015","Cecil County",17640,84872,467954,83407,91492,48392,84291,111582,36114,7922,3599,809,346,"24-24015-20190401"
"8","County",2019-04-01,"24","MD","24017","Charles County",24593,136416,704956,135298,175687,72378,94549,148005,67855,7523,2679,601,381,"24-24017-20190401"
"9","County",2019-04-01,"24","MD","24019","Dorchester County",5956,25944,162241,38379,45744,16522,12000,32669,12265,3112,963,479,108,"24-24019-20190401"
"10","County",2019-04-01,"24","MD","24021","Frederick County",43604,211263,1228812,294158,294596,128556,135397,194211,140597,30910,6501,1793,2093,"24-24021-20190401"
"11","County",2019-04-01,"24","MD","24023","Garrett County",4401,24673,142004,19395,44824,17101,22509,23616,11692,1564,1026,106,171,"24-24023-20190401"
"12","County",2019-04-01,"24","MD","24025","Harford County",39221,213959,1174875,230697,297131,126251,170927,239823,86026,14305,6130,1468,2117,"24-24025-20190401"
"13","County",2019-04-01,"24","MD","24027","Howard County",56543,265665,1245251,267966,288748,126393,204969,259495,71805,10877,9827,2008,3163,"24-24027-20190401"
"14","County",2019-04-01,"24","MD","24029","Kent County",3630,15694,87965,25092,17946,10463,12374,14796,5525,1206,419,117,27,"24-24029-20190401"
"15","County",2019-04-01,"24","MD","24031","Montgomery County",213823,835527,4152239,1062893,980679,489793,701838,700675,164979,21054,20156,5147,5025,"24-24031-20190401"
"16","County",2019-04-01,"24","MD","24033","Prince George's County",168725,737804,3578219,870154,778436,411446,649698,699953,128877,18523,14425,3476,3231,"24-24033-20190401"
"17","County",2019-04-01,"24","MD","24035","Queen Anne's County",7070,43027,259946,49828,62633,27850,32306,50520,26448,8300,1379,418,264,"24-24035-20190401"
