"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"23","ME","23001","Androscoggin County",26592,80758,382510,69456,102495,52942,50252,54180,40410,7922,3889,587,377,"23-23001-20190401"
"2","County",2019-04-01,"23","ME","23003","Aroostook County",17346,49560,239410,47311,60279,29286,36110,43097,12861,4947,4676,699,144,"23-23003-20190401"
"3","County",2019-04-01,"23","ME","23005","Cumberland County",72127,220533,1120897,221656,289265,144493,177103,179062,66745,25489,11490,979,4615,"23-23005-20190401"
"4","County",2019-04-01,"23","ME","23007","Franklin County",6318,23488,110610,19175,21236,11793,15512,18740,17249,5203,1207,294,201,"23-23007-20190401"
"5","County",2019-04-01,"23","ME","23009","Hancock County",11743,42900,213422,29692,56480,30472,36636,43419,11954,2700,1561,284,224,"23-23009-20190401"
"6","County",2019-04-01,"23","ME","23011","Kennebec County",28739,92971,413884,66743,119813,50293,54019,70503,30542,17584,3121,868,398,"23-23011-20190401"
"7","County",2019-04-01,"23","ME","23013","Knox County",7841,31808,150902,23266,48168,28057,21509,17903,7887,2990,638,334,150,"23-23013-20190401"
"8","County",2019-04-01,"23","ME","23015","Lincoln County",6950,27287,155887,31172,35679,30267,16971,26153,11022,3161,1069,194,199,"23-23015-20190401"
"9","County",2019-04-01,"23","ME","23017","Oxford County",13969,43473,211937,33523,41068,24355,34156,47976,20532,7933,2010,221,163,"23-23017-20190401"
"10","County",2019-04-01,"23","ME","23019","Penobscot County",35258,115376,556320,105597,151261,73067,80540,90448,34295,14499,5145,926,542,"23-23019-20190401"
"11","County",2019-04-01,"23","ME","23021","Piscataquis County",3721,13028,67956,11771,10534,9555,16447,9882,7136,2219,282,83,47,"23-23021-20190401"
"12","County",2019-04-01,"23","ME","23023","Sagadahoc County",8324,27201,140760,33852,28079,20591,27036,17912,9215,1755,1630,238,452,"23-23023-20190401"
"13","County",2019-04-01,"23","ME","23025","Somerset County",11647,38790,182757,37918,29496,26910,33147,26733,19996,5767,2222,492,76,"23-23025-20190401"
"14","County",2019-04-01,"23","ME","23027","Waldo County",8157,31416,146290,25630,32278,16504,23819,31780,11795,2866,1103,450,65,"23-23027-20190401"
"15","County",2019-04-01,"23","ME","23029","Washington County",6806,24588,114417,22173,19592,19588,22361,15284,10874,3718,696,66,65,"23-23029-20190401"
"16","County",2019-04-01,"23","ME","23031","York County",45040,160559,795051,135567,187788,89868,112959,170106,71274,20491,5106,618,1274,"23-23031-20190401"
"17","County",2019-04-02,"23","ME","23001","Androscoggin County",25540,81810,388292,71302,102124,50018,49159,61322,40955,8861,3503,539,509,"23-23001-20190402"
"18","County",2019-04-02,"23","ME","23003","Aroostook County",17185,49721,235366,45454,59174,26511,37993,43388,13302,4665,4006,759,114,"23-23003-20190402"
"19","County",2019-04-02,"23","ME","23005","Cumberland County",69268,223392,1149246,242660,293053,152188,184729,174101,65006,24075,8636,554,4244,"23-23005-20190402"
"20","County",2019-04-02,"23","ME","23007","Franklin County",5968,23838,119338,20390,20614,13777,16633,19280,22066,4977,954,479,168,"23-23007-20190402"
"21","County",2019-04-02,"23","ME","23009","Hancock County",10890,43753,224332,35747,54295,34859,36973,45534,12877,2334,1069,499,145,"23-23009-20190402"
"22","County",2019-04-02,"23","ME","23011","Kennebec County",27455,94255,434570,78875,121652,46076,58663,71600,38246,15257,2846,981,374,"23-23011-20190402"
"23","County",2019-04-02,"23","ME","23013","Knox County",7824,31825,159881,24040,52505,31231,24273,17330,6678,2767,719,142,196,"23-23013-20190402"
"24","County",2019-04-02,"23","ME","23015","Lincoln County",6507,27730,145408,22355,35361,20456,21412,29688,11569,3385,699,271,212,"23-23015-20190402"
"25","County",2019-04-02,"23","ME","23017","Oxford County",13471,43971,207648,32313,45928,23923,32618,45878,17467,7583,1533,223,182,"23-23017-20190402"
"26","County",2019-04-02,"23","ME","23019","Penobscot County",34023,116611,587058,117831,161441,74192,80296,94809,37687,14222,5148,749,683,"23-23019-20190402"
"27","County",2019-04-02,"23","ME","23021","Piscataquis County",3726,13023,66008,10436,12226,12475,11764,10043,7763,1071,173,19,38,"23-23021-20190402"
"28","County",2019-04-02,"23","ME","23023","Sagadahoc County",7177,28348,137129,31832,31284,18198,23408,17784,10569,1965,1147,213,729,"23-23023-20190402"
"29","County",2019-04-02,"23","ME","23025","Somerset County",10793,39644,177053,33894,28904,21850,36529,29647,17666,5722,2073,678,90,"23-23025-20190402"
"30","County",2019-04-02,"23","ME","23027","Waldo County",7596,31977,144728,24112,32041,15507,21075,30885,15157,4447,1214,200,90,"23-23027-20190402"
"31","County",2019-04-02,"23","ME","23029","Washington County",6445,24949,118079,21658,26462,18197,22339,16675,8395,3479,762,54,58,"23-23029-20190402"
"32","County",2019-04-02,"23","ME","23031","York County",42951,162648,805112,140750,178786,96795,118202,173856,74022,16844,4407,468,982,"23-23031-20190402"
"33","County",2019-04-03,"23","ME","23001","Androscoggin County",26661,80689,392334,69719,106462,50516,51434,62741,39518,8732,2474,291,447,"23-23001-20190403"
"34","County",2019-04-03,"23","ME","23003","Aroostook County",17703,49203,242736,48584,59081,31020,39976,42513,14022,3831,3145,470,94,"23-23003-20190403"
"35","County",2019-04-03,"23","ME","23005","Cumberland County",71584,221076,1129914,219635,282747,156519,189387,183992,66290,20159,6366,415,4404,"23-23005-20190403"
"36","County",2019-04-03,"23","ME","23007","Franklin County",6196,23610,121966,21711,22264,16003,18466,19349,19295,3575,845,295,163,"23-23007-20190403"
"37","County",2019-04-03,"23","ME","23009","Hancock County",11679,42964,218572,30778,51980,35923,40678,43373,12216,1774,1218,436,196,"23-23009-20190403"
"38","County",2019-04-03,"23","ME","23011","Kennebec County",27565,94145,454805,89630,126099,42406,56073,78147,45364,14441,1665,642,338,"23-23011-20190403"
"39","County",2019-04-03,"23","ME","23013","Knox County",7743,31906,162023,23727,54576,31114,25639,18360,5949,1563,790,93,212,"23-23013-20190403"
"40","County",2019-04-03,"23","ME","23015","Lincoln County",7088,27149,149442,20972,34537,26325,20259,30737,12419,3424,467,75,227,"23-23015-20190403"
"41","County",2019-04-03,"23","ME","23017","Oxford County",14096,43346,227244,37996,47403,26796,35112,47814,22787,7473,1585,177,101,"23-23017-20190403"
"42","County",2019-04-03,"23","ME","23019","Penobscot County",35371,115263,598689,119796,175566,72037,83320,92215,37438,13380,3810,552,575,"23-23019-20190403"
"43","County",2019-04-03,"23","ME","23021","Piscataquis County",3377,13372,73142,12519,17193,9622,15822,8796,7571,1280,286,45,8,"23-23021-20190403"
"44","County",2019-04-03,"23","ME","23023","Sagadahoc County",7719,27806,145668,30525,33360,20140,27325,19495,11120,1881,1204,102,516,"23-23023-20190403"
"45","County",2019-04-03,"23","ME","23025","Somerset County",11233,39204,192641,30903,34555,20331,39455,32946,25356,7017,1667,337,74,"23-23025-20190403"
"46","County",2019-04-03,"23","ME","23027","Waldo County",7809,31764,138605,19458,33038,15632,25092,26744,13512,2543,2222,235,129,"23-23027-20190403"
"47","County",2019-04-03,"23","ME","23029","Washington County",7108,24286,115568,18050,25807,17422,26937,13414,10188,2810,835,39,66,"23-23029-20190403"
"48","County",2019-04-03,"23","ME","23031","York County",42513,163086,795978,131391,180910,91315,115960,178138,76792,16430,3662,399,981,"23-23031-20190403"
"49","County",2019-04-04,"23","ME","23001","Androscoggin County",24571,82779,387280,71390,98252,53045,47924,64882,39419,6895,3981,297,1195,"23-23001-20190404"
"50","County",2019-04-04,"23","ME","23003","Aroostook County",17504,49402,256157,46892,63788,33444,41318,49162,13160,4076,3742,446,129,"23-23003-20190404"
"51","County",2019-04-04,"23","ME","23005","Cumberland County",68701,223959,1183149,226321,301372,158762,197540,191955,69319,25111,7690,430,4649,"23-23005-20190404"
"52","County",2019-04-04,"23","ME","23007","Franklin County",6370,23436,125029,20159,26094,17446,20953,21241,15155,2829,893,162,97,"23-23007-20190404"
