"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"33","NH","33001","Belknap County",12940,47895,268135,43359,68447,37575,37032,46355,24303,7583,2933,238,310,"33-33001-20190401"
"2","County",2019-04-01,"33","NH","33003","Carroll County",10688,37942,197072,23825,39762,35600,33180,39393,14098,9022,1796,169,227,"33-33003-20190401"
"3","County",2019-04-01,"33","NH","33005","Cheshire County",18078,58181,282851,52687,60632,38658,48571,57546,14183,6702,3215,343,314,"33-33005-20190401"
"4","County",2019-04-01,"33","NH","33007","Coos County",6750,24742,112737,15886,22334,20970,15935,18612,12735,4192,1882,155,36,"33-33007-20190401"
"5","County",2019-04-01,"33","NH","33009","Grafton County",20844,68668,355855,63988,81385,47510,59669,63658,22428,11530,4176,577,934,"33-33009-20190401"
"6","County",2019-04-01,"33","NH","33011","Hillsborough County",86983,326995,1773676,334726,397230,214328,299542,341238,141310,32401,6071,1321,5509,"33-33011-20190401"
"7","County",2019-04-01,"33","NH","33013","Merrimack County",29887,120783,622071,88607,136308,92991,102902,117962,60486,15543,5297,635,1340,"33-33013-20190401"
"8","County",2019-04-01,"33","NH","33015","Rockingham County",58853,249378,1433496,227954,305775,170614,248960,310811,128242,27823,7278,655,5384,"33-33015-20190401"
"9","County",2019-04-01,"33","NH","33017","Strafford County",26807,102885,525760,94301,121123,49617,85340,114851,42338,11536,3044,420,3190,"33-33017-20190401"
"10","County",2019-04-01,"33","NH","33019","Sullivan County",8121,34891,197120,31012,52667,29321,36115,28611,14336,3251,1437,130,240,"33-33019-20190401"
"11","County",2019-04-02,"33","NH","33001","Belknap County",11786,49049,266588,39411,68992,38298,44077,43966,21288,7511,2007,486,552,"33-33001-20190402"
"12","County",2019-04-02,"33","NH","33003","Carroll County",9648,38982,203051,30643,39037,36289,38471,36366,12464,8100,1261,288,132,"33-33003-20190402"
"13","County",2019-04-02,"33","NH","33005","Cheshire County",16673,59586,298868,62050,59378,43463,50980,57247,15055,7132,2774,439,350,"33-33005-20190402"
"14","County",2019-04-02,"33","NH","33007","Coos County",6605,24887,111198,13504,27759,20692,16587,19834,7931,2656,1896,285,54,"33-33007-20190402"
