"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"34","NJ","34001","Atlantic County",59526,205092,1296960,349869,334747,135402,210992,170430,62698,25073,6099,976,674,"34-34001-20190401"
"2","County",2019-04-01,"34","NJ","34003","Bergen County",193212,740617,4700028,1536189,1126134,525731,717811,615716,113943,29743,24006,5351,5404,"34-34003-20190401"
"3","County",2019-04-01,"34","NJ","34005","Burlington County",86977,357046,2109776,540254,492154,209497,325090,362649,119129,45304,10792,3476,1431,"34-34005-20190401"
"4","County",2019-04-01,"34","NJ","34007","Camden County",115389,390139,2352742,712237,560693,270068,370175,328831,71146,28205,8790,1588,1009,"34-34007-20190401"
"5","County",2019-04-01,"34","NJ","34009","Cape May County",21913,70364,451104,121240,95246,63381,78857,55104,26408,7749,2425,451,243,"34-34009-20190401"
"6","County",2019-04-01,"34","NJ","34011","Cumberland County",30713,119798,756754,198243,214501,83411,77288,102663,67495,10264,2437,204,248,"34-34011-20190401"
"7","County",2019-04-01,"34","NJ","34013","Essex County",193773,603549,3525108,1166965,923714,404117,470102,436847,76984,21837,16443,3798,4301,"34-34013-20190401"
"8","County",2019-04-01,"34","NJ","34015","Gloucester County",57514,233003,1458601,406219,350640,154493,202641,240093,77914,16279,8051,1554,717,"34-34015-20190401"
"9","County",2019-04-01,"34","NJ","34017","Hudson County",190853,483142,2742926,1002015,761751,335129,333422,209414,61564,18780,13840,2393,4618,"34-34017-20190401"
"10","County",2019-04-01,"34","NJ","34019","Hunterdon County",20504,103829,640946,113038,140865,78095,100504,128644,50524,20620,6120,1291,1245,"34-34019-20190401"
"11","County",2019-04-01,"34","NJ","34021","Mercer County",78492,290189,1661397,462054,426907,198495,247281,207942,77502,32242,5897,1669,1408,"34-34021-20190401"
"12","County",2019-04-01,"34","NJ","34023","Middlesex County",164940,662209,3850776,1076507,969662,421868,491044,543424,269764,46483,21308,6324,4392,"34-34023-20190401"
"13","County",2019-04-01,"34","NJ","34025","Monmouth County",115541,503914,3204087,852110,843317,367698,406224,446350,223340,48777,9738,2160,4373,"34-34025-20190401"
"14","County",2019-04-01,"34","NJ","34027","Morris County",92865,399852,2469410,636765,662640,280620,340561,363036,145441,25036,8674,2715,3922,"34-34027-20190401"
"15","County",2019-04-01,"34","NJ","34029","Ocean County",117199,482613,3141434,804969,789506,335694,384136,458260,242234,110346,9215,2723,4351,"34-34029-20190401"
"16","County",2019-04-01,"34","NJ","34031","Passaic County",106258,395514,2435070,741798,593291,266640,383374,353989,67016,15078,9804,2153,1927,"34-34031-20190401"
"17","County",2019-04-01,"34","NJ","34033","Salem County",12559,49857,294433,72493,49744,39807,47143,60706,18015,3304,2745,313,163,"34-34033-20190401"
"18","County",2019-04-01,"34","NJ","34035","Somerset County",58933,271219,1577932,367621,413271,187311,233409,242579,105969,15410,7114,2352,2896,"34-34035-20190401"
"19","County",2019-04-01,"34","NJ","34037","Sussex County",26004,114365,673209,144526,153871,83850,99760,106637,68629,12751,2056,389,740,"34-34037-20190401"
"20","County",2019-04-01,"34","NJ","34039","Union County",119026,437335,2653963,838132,679202,291979,333665,361005,100047,24472,17230,4258,3973,"34-34039-20190401"
"21","County",2019-04-01,"34","NJ","34041","Warren County",19849,85607,520718,121688,115918,55072,63560,89690,51902,19743,2542,271,332,"34-34041-20190401"
"22","County",2019-04-02,"34","NJ","34001","Atlantic County",57558,207060,1249442,335110,336300,129454,192620,159470,65718,23900,5492,1003,375,"34-34001-20190402"
"23","County",2019-04-02,"34","NJ","34003","Bergen County",190725,743104,4590595,1465151,1154746,526378,707175,561189,109709,32049,23843,5098,5257,"34-34003-20190402"
"24","County",2019-04-02,"34","NJ","34005","Burlington County",83159,360864,2087256,540052,484689,216792,322890,354661,111110,39746,10830,5026,1460,"34-34005-20190402"
"25","County",2019-04-02,"34","NJ","34007","Camden County",113681,391847,2296547,694022,546369,264799,361135,319625,74318,24093,9487,1832,867,"34-34007-20190402"
"26","County",2019-04-02,"34","NJ","34009","Cape May County",20798,71479,445389,117576,102069,58735,72286,59620,26553,6406,1714,249,181,"34-34009-20190402"
"27","County",2019-04-02,"34","NJ","34011","Cumberland County",29066,121445,733027,187561,194248,91945,77155,104869,64405,8469,3222,376,777,"34-34011-20190402"
"28","County",2019-04-02,"34","NJ","34013","Essex County",193294,604028,3486079,1129466,960211,394395,445384,430064,80757,21339,17385,3466,3612,"34-34013-20190402"
"29","County",2019-04-02,"34","NJ","34015","Gloucester County",55235,235282,1417029,391624,360361,155236,179815,229168,75772,15280,7082,1898,793,"34-34015-20190402"
"30","County",2019-04-02,"34","NJ","34017","Hudson County",189953,484042,2631415,954145,744310,331766,304870,192363,67162,18145,12488,2766,3400,"34-34017-20190402"
"31","County",2019-04-02,"34","NJ","34019","Hunterdon County",18468,105865,639283,126151,140872,75929,104345,112398,53568,18772,5408,945,895,"34-34019-20190402"
"32","County",2019-04-02,"34","NJ","34021","Mercer County",75237,293444,1636718,457292,430815,184232,235954,213438,73355,29239,5779,2299,4315,"34-34021-20190402"
"33","County",2019-04-02,"34","NJ","34023","Middlesex County",162064,665085,3761462,1021673,999733,422485,457085,538754,244195,45675,21246,7160,3456,"34-34023-20190402"
"34","County",2019-04-02,"34","NJ","34025","Monmouth County",110188,509267,3140776,833035,820491,351486,395670,462428,218072,43185,10596,2553,3260,"34-34025-20190402"
"35","County",2019-04-02,"34","NJ","34027","Morris County",87723,404994,2401591,598385,668352,284770,330412,342269,137739,22397,9412,4718,3137,"34-34027-20190402"
"36","County",2019-04-02,"34","NJ","34029","Ocean County",112452,487360,3139677,795861,819033,324343,389047,460228,245047,90771,8368,3098,3881,"34-34029-20190402"
"37","County",2019-04-02,"34","NJ","34031","Passaic County",106153,395619,2383538,719198,586988,271121,370644,338069,66501,14113,11812,2523,2569,"34-34031-20190402"
"38","County",2019-04-02,"34","NJ","34033","Salem County",11963,50453,277141,68217,49022,37488,42379,56587,16212,3998,2358,635,245,"34-34033-20190402"
"39","County",2019-04-02,"34","NJ","34035","Somerset County",56972,273180,1547615,357736,419118,175457,224194,248171,93620,16618,6916,1955,3830,"34-34035-20190402"
"40","County",2019-04-02,"34","NJ","34037","Sussex County",23997,116372,660902,125365,155832,86607,105024,105863,66202,12640,1862,726,781,"34-34037-20190402"
"41","County",2019-04-02,"34","NJ","34039","Union County",117387,438974,2566123,793369,669121,287447,327475,342160,95050,23873,18794,4145,4689,"34-34039-20190402"
"42","County",2019-04-02,"34","NJ","34041","Warren County",18301,87155,497570,120884,110002,52836,59977,88774,43672,17757,2710,425,533,"34-34041-20190402"
"43","County",2019-04-03,"34","NJ","34001","Atlantic County",58555,206063,1336024,362012,360914,138376,209268,171891,64780,22929,4616,851,387,"34-34001-20190403"
"44","County",2019-04-03,"34","NJ","34003","Bergen County",192998,740831,4833344,1535596,1228062,563705,737823,599995,107556,30850,19495,5504,4758,"34-34003-20190403"
"45","County",2019-04-03,"34","NJ","34005","Burlington County",84334,359689,2178158,540802,528324,225742,335407,382018,113742,37419,10285,3051,1368,"34-34005-20190403"
"46","County",2019-04-03,"34","NJ","34007","Camden County",114994,390534,2381826,703940,589996,269740,369810,339836,73494,24365,8119,1685,841,"34-34007-20190403"
