"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"35","NM","35001","Bernalillo County",141554,535073,3114640,737231,807592,417696,640222,384336,49286,45385,20132,9423,3337,"35-35001-20190401"
"2","County",2019-04-01,"35","NM","35003","Catron County",854,2713,17536,2155,1773,744,3064,4519,3454,1011,816,0,0,"35-35003-20190401"
"3","County",2019-04-01,"35","NM","35005","Chaves County",12868,51623,367415,92006,112424,57781,50248,16752,16663,16236,4607,423,275,"35-35005-20190401"
"4","County",2019-04-01,"35","NM","35006","Cibola County",5189,21475,116551,22280,32167,13398,16179,15978,6259,8195,1651,388,56,"35-35006-20190401"
"5","County",2019-04-01,"35","NM","35007","Colfax County",3433,8640,58806,10852,19177,11362,4578,3835,5874,2192,875,45,16,"35-35007-20190401"
"6","County",2019-04-01,"35","NM","35009","Curry County",11915,37371,247343,73027,91045,29429,15525,20965,6646,5371,4659,363,313,"35-35009-20190401"
"7","County",2019-04-01,"35","NM","35011","De Baca County",494,1282,8018,2867,2294,758,273,409,64,1177,171,5,0,"35-35011-20190401"
"8","County",2019-04-01,"35","NM","35015","Eddy County",9667,48056,327961,79218,96423,38577,29284,29134,31220,16365,6350,1147,243,"35-35015-20190401"
"9","County",2019-04-01,"35","NM","35017","Grant County",6840,20422,122227,31598,39212,18639,12750,8994,4701,3354,2726,134,119,"35-35017-20190401"
"10","County",2019-04-01,"35","NM","35019","Guadalupe County",1004,3324,19880,3532,8525,1943,1171,855,1008,1335,1434,43,34,"35-35019-20190401"
"11","County",2019-04-01,"35","NM","35021","Harding County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-35021-20190401"
"12","County",2019-04-01,"35","NM","35023","Hidalgo County",1067,3160,22148,8192,6135,727,611,2567,1427,1498,915,68,8,"35-35023-20190401"
"13","County",2019-04-01,"35","NM","35025","Lea County",12411,56987,401817,103751,108718,43678,36957,36970,31800,29813,8382,1527,221,"35-35025-20190401"
"14","County",2019-04-01,"35","NM","35027","Lincoln County",4537,14959,89024,14855,26150,12516,11494,11390,8073,2209,1930,315,92,"35-35027-20190401"
"15","County",2019-04-01,"35","NM","35028","Los Alamos County",6057,12986,96005,32314,37638,5860,10916,6519,1136,1138,112,183,189,"35-35028-20190401"
"16","County",2019-04-01,"35","NM","35029","Luna County",4745,19145,125171,35780,38541,9728,14428,11696,4320,7725,2507,327,119,"35-35029-20190401"
"17","County",2019-04-01,"35","NM","35031","McKinley County",12115,59954,398310,98724,104608,56473,45286,45019,33649,8081,5763,535,172,"35-35031-20190401"
"18","County",2019-04-01,"35","NM","35033","Mora County",803,3689,26376,6365,4114,1953,1948,3318,6783,1413,383,93,6,"35-35033-20190401"
"19","County",2019-04-01,"35","NM","35035","Otero County",15169,51408,334332,77293,101433,38685,27243,52887,13948,16839,4867,928,209,"35-35035-20190401"
"20","County",2019-04-01,"35","NM","35037","Quay County",1944,6284,37382,11773,10910,2476,2802,2527,2850,2064,1726,202,52,"35-35037-20190401"
"21","County",2019-04-01,"35","NM","35039","Rio Arriba County",8371,30516,209852,65448,56545,13036,13965,27476,28950,2976,1119,281,56,"35-35039-20190401"
"22","County",2019-04-01,"35","NM","35041","Roosevelt County",4895,13791,116451,42634,34004,7920,4853,13441,6100,3479,3597,341,82,"35-35041-20190401"
"23","County",2019-04-01,"35","NM","35043","Sandoval County",27505,117230,659087,126231,168495,102796,97177,118794,26418,13065,4005,1340,766,"35-35043-20190401"
"24","County",2019-04-01,"35","NM","35045","San Juan County",22481,102180,665186,130740,186709,78529,105722,91603,42704,22039,5239,1598,303,"35-35045-20190401"
"25","County",2019-04-01,"35","NM","35047","San Miguel County",6000,21507,140064,40928,53739,10980,6623,14832,6607,5348,714,218,75,"35-35047-20190401"
"26","County",2019-04-01,"35","NM","35049","Santa Fe County",30208,119389,742604,176513,235570,111481,87551,71887,38018,14440,4758,1666,720,"35-35049-20190401"
"27","County",2019-04-01,"35","NM","35051","Sierra County",3479,7455,64825,19214,21128,6011,3438,2151,8393,3347,1077,48,18,"35-35051-20190401"
"28","County",2019-04-01,"35","NM","35053","Socorro County",3382,13302,85181,23774,17791,7324,17174,7346,7080,3552,788,296,56,"35-35053-20190401"
"29","County",2019-04-01,"35","NM","35055","Taos County",7998,24737,153735,36993,52944,17603,19326,15852,5130,4511,1071,210,95,"35-35055-20190401"
"30","County",2019-04-01,"35","NM","35057","Torrance County",2941,12602,72394,12376,10018,13148,11709,11700,8555,3470,962,365,91,"35-35057-20190401"
"31","County",2019-04-01,"35","NM","35059","Union County",934,3171,22359,4503,9302,1301,843,1374,2948,1738,334,16,0,"35-35059-20190401"
"32","County",2019-04-01,"35","NM","35061","Valencia County",14555,61667,407704,87919,98305,47841,56206,55082,47929,7219,5360,1691,152,"35-35061-20190401"
"33","County",2019-04-01,"35","NM","35013","Doña Ana County",40651,176206,1134120,244955,359265,186413,151473,95594,51839,31706,8665,3064,1146,"35-35013-20190401"
"34","County",2019-04-02,"35","NM","35013","Doña Ana County",38335,178522,1143442,259663,361117,178693,151273,94478,51395,34768,8450,3011,594,"35-35013-20190402"
"35","County",2019-04-02,"35","NM","35001","Bernalillo County",136775,539852,3201625,769481,811921,418178,645153,428722,51908,47056,19985,7157,2064,"35-35001-20190402"
"36","County",2019-04-02,"35","NM","35003","Catron County",715,2852,17286,2432,3276,658,2260,4562,2399,1200,475,24,0,"35-35003-20190402"
"37","County",2019-04-02,"35","NM","35005","Chaves County",11958,52533,378498,95709,125057,60059,47530,15880,13180,15914,4455,543,171,"35-35005-20190402"
"38","County",2019-04-02,"35","NM","35006","Cibola County",4852,21812,115724,26260,28751,13804,13795,15179,7804,7566,2185,341,39,"35-35006-20190402"
"39","County",2019-04-02,"35","NM","35007","Colfax County",3351,8722,61338,14538,16415,13352,4781,4828,5237,1323,816,38,10,"35-35007-20190402"
"40","County",2019-04-02,"35","NM","35009","Curry County",10813,38473,270368,84690,102830,31500,17053,17833,6555,4461,4994,246,206,"35-35009-20190402"
"41","County",2019-04-02,"35","NM","35011","De Baca County",449,1327,12230,6581,2289,723,612,758,421,618,225,3,0,"35-35011-20190402"
"42","County",2019-04-02,"35","NM","35015","Eddy County",8576,49147,330197,83187,91870,35813,28236,31611,37042,16485,5003,805,145,"35-35015-20190402"
"43","County",2019-04-02,"35","NM","35017","Grant County",6187,21075,127985,32469,39650,17585,16231,10988,4903,4428,1575,88,68,"35-35017-20190402"
"44","County",2019-04-02,"35","NM","35019","Guadalupe County",751,3577,20915,4201,8813,1816,1023,1220,846,1446,1493,39,18,"35-35019-20190402"
"45","County",2019-04-02,"35","NM","35021","Harding County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-35021-20190402"
"46","County",2019-04-02,"35","NM","35023","Hidalgo County",948,3279,23044,7467,6322,1026,607,2796,2185,1668,851,116,6,"35-35023-20190402"
"47","County",2019-04-02,"35","NM","35025","Lea County",11034,58364,391930,96794,106298,45171,34951,33580,31856,35149,7086,939,106,"35-35025-20190402"
"48","County",2019-04-02,"35","NM","35027","Lincoln County",4073,15423,89000,19621,20934,14510,12400,10873,6254,2401,1789,174,44,"35-35027-20190402"
"49","County",2019-04-02,"35","NM","35028","Los Alamos County",5295,13748,95590,34074,37886,4144,7914,6951,2030,2002,265,132,192,"35-35028-20190402"
"50","County",2019-04-02,"35","NM","35029","Luna County",4339,19551,126961,34313,36697,9120,13017,14062,7477,8368,3480,375,52,"35-35029-20190402"
"51","County",2019-04-02,"35","NM","35031","McKinley County",10944,61125,384601,90479,99664,55972,47457,43306,32269,9273,5615,440,126,"35-35031-20190402"
"52","County",2019-04-02,"35","NM","35033","Mora County",734,3758,18432,5018,1940,1571,2620,1824,3536,1038,663,221,1,"35-35033-20190402"
"53","County",2019-04-02,"35","NM","35035","Otero County",14610,51967,347600,83071,102956,41227,28552,51257,15605,18965,5024,837,106,"35-35035-20190402"
"54","County",2019-04-02,"35","NM","35037","Quay County",1858,6370,40477,11984,12879,3082,2584,2725,3353,2096,1542,193,39,"35-35037-20190402"
"55","County",2019-04-02,"35","NM","35039","Rio Arriba County",8413,30474,217319,59756,63252,14720,11405,33174,30017,4057,695,201,42,"35-35039-20190402"
"56","County",2019-04-02,"35","NM","35041","Roosevelt County",4410,14276,122665,48734,35105,6791,3397,12682,7827,3783,4124,179,43,"35-35041-20190402"
"57","County",2019-04-02,"35","NM","35043","Sandoval County",26231,118504,676173,127871,172653,104650,106169,118525,26296,14761,3640,1151,457,"35-35043-20190402"
"58","County",2019-04-02,"35","NM","35045","San Juan County",22188,102473,655978,127114,190979,80103,100231,89329,40206,21343,4977,1472,224,"35-35045-20190402"
"59","County",2019-04-02,"35","NM","35047","San Miguel County",5875,21632,140901,40745,47732,13880,6265,14826,8688,7587,982,154,42,"35-35047-20190402"
"60","County",2019-04-02,"35","NM","35049","Santa Fe County",28119,121478,772204,198245,244804,108179,86470,71917,41444,14850,4879,1001,415,"35-35049-20190402"
"61","County",2019-04-02,"35","NM","35051","Sierra County",3030,7904,64342,21588,17730,5973,3888,2714,7989,3608,769,73,10,"35-35051-20190402"
"62","County",2019-04-02,"35","NM","35053","Socorro County",3394,13290,89848,30302,18799,6313,16097,6844,6254,4139,730,346,24,"35-35053-20190402"
"63","County",2019-04-02,"35","NM","35055","Taos County",7435,25300,160642,39766,54461,16317,25435,15270,4941,3021,1122,252,57,"35-35055-20190402"
"64","County",2019-04-02,"35","NM","35057","Torrance County",2572,12971,78978,14416,12033,13201,10452,14474,9056,3991,989,315,51,"35-35057-20190402"
"65","County",2019-04-02,"35","NM","35059","Union County",741,3364,23091,5385,8504,2042,436,1317,3338,1448,533,88,0,"35-35059-20190402"
"66","County",2019-04-02,"35","NM","35061","Valencia County",14128,62094,397232,91237,88619,41972,58732,52352,49243,8297,5623,1090,67,"35-35061-20190402"
"67","County",2019-04-03,"35","NM","35001","Bernalillo County",141079,535548,3397364,776069,899869,451653,729629,410833,57874,46427,18120,5179,1711,"35-35001-20190403"
"68","County",2019-04-03,"35","NM","35003","Catron County",666,2901,15069,2077,2987,1385,896,4459,1975,977,313,0,0,"35-35003-20190403"
"69","County",2019-04-03,"35","NM","35005","Chaves County",11803,52688,380912,98430,117512,62350,56367,16018,12155,13483,4067,390,140,"35-35005-20190403"
"70","County",2019-04-03,"35","NM","35006","Cibola County",4960,21704,126117,25637,33711,11749,19199,18680,6942,7883,1980,278,58,"35-35006-20190403"
"71","County",2019-04-03,"35","NM","35007","Colfax County",3304,8769,69207,16829,21031,12156,5410,4786,6197,2022,725,48,3,"35-35007-20190403"
"72","County",2019-04-03,"35","NM","35009","Curry County",11353,37933,283759,86960,113298,32472,15479,18545,8369,3788,4487,254,107,"35-35009-20190403"
"73","County",2019-04-03,"35","NM","35011","De Baca County",359,1417,11086,4563,3283,950,714,783,60,636,97,0,0,"35-35011-20190403"
"74","County",2019-04-03,"35","NM","35015","Eddy County",9073,48650,326503,80363,91424,37619,27454,31683,36701,15792,4760,576,131,"35-35015-20190403"
"75","County",2019-04-03,"35","NM","35017","Grant County",6486,20776,130344,36310,43716,15185,14890,9375,5399,3747,1539,136,47,"35-35017-20190403"
"76","County",2019-04-03,"35","NM","35019","Guadalupe County",711,3617,17413,3274,6850,1789,848,991,876,1202,1524,42,17,"35-35019-20190403"
"77","County",2019-04-03,"35","NM","35021","Harding County",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35-35021-20190403"
"78","County",2019-04-03,"35","NM","35023","Hidalgo County",889,3338,19230,5942,4928,1069,676,1858,1704,2024,911,110,8,"35-35023-20190403"
"79","County",2019-04-03,"35","NM","35025","Lea County",11185,58213,394192,99641,107490,42850,34292,33218,31635,37780,6392,795,99,"35-35025-20190403"
"80","County",2019-04-03,"35","NM","35027","Lincoln County",4265,15231,96426,19238,24874,17731,11342,10821,8410,1891,1888,195,36,"35-35027-20190403"
"81","County",2019-04-03,"35","NM","35028","Los Alamos County",5552,13491,108179,35829,42773,3478,12674,8827,3475,960,0,83,80,"35-35028-20190403"
"82","County",2019-04-03,"35","NM","35029","Luna County",4424,19466,128507,36478,32257,8782,15180,14700,7943,9119,3628,371,49,"35-35029-20190403"
"83","County",2019-04-03,"35","NM","35031","McKinley County",11760,60309,407236,88784,107456,59648,51198,45393,39574,8970,5737,382,94,"35-35031-20190403"
"84","County",2019-04-03,"35","NM","35033","Mora County",1035,3457,17574,3325,3837,2377,1408,1281,3525,1269,383,165,4,"35-35033-20190403"
"85","County",2019-04-03,"35","NM","35035","Otero County",14311,52266,353042,81271,101414,44097,26377,60972,16588,17336,4205,669,113,"35-35035-20190403"
"86","County",2019-04-03,"35","NM","35037","Quay County",1826,6402,36287,11320,11791,2661,2597,2386,2573,1320,1399,203,37,"35-35037-20190403"
"87","County",2019-04-03,"35","NM","35039","Rio Arriba County",8364,30523,205080,52891,65075,14454,12748,32818,22227,4526,156,156,29,"35-35039-20190403"
"88","County",2019-04-03,"35","NM","35041","Roosevelt County",4669,14017,121531,44633,32874,9463,3542,14999,6688,4655,4497,149,31,"35-35041-20190403"
"89","County",2019-04-03,"35","NM","35043","Sandoval County",27293,117442,720478,139342,190521,116499,113332,116685,24708,14182,4055,797,357,"35-35043-20190403"
"90","County",2019-04-03,"35","NM","35045","San Juan County",22605,102056,660710,123649,197786,75941,103887,84375,45838,22595,5398,1044,197,"35-35045-20190403"
"91","County",2019-04-03,"35","NM","35047","San Miguel County",5896,21611,145637,43695,53905,13709,6930,11580,8037,6559,1091,100,31,"35-35047-20190403"
