"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"32","NV","32001","Churchill County",6241,18124,91841,27945,25720,10147,9852,6033,6286,5126,619,81,32,"32-32001-20190401"
"2","County",2019-04-01,"32","NV","32003","Clark County",494292,1730534,9714594,2819305,2325972,1207237,1583810,1431348,146373,96190,67629,22118,14612,"32-32003-20190401"
"3","County",2019-04-01,"32","NV","32005","Douglas County",10737,37582,203746,45239,45518,30873,32411,32107,11865,3441,1462,608,222,"32-32005-20190401"
"4","County",2019-04-01,"32","NV","32007","Elko County",12420,39880,237736,49855,78405,27949,20103,22436,15243,16147,5918,1377,303,"32-32007-20190401"
"5","County",2019-04-01,"32","NV","32009","Esmeralda County",200,623,2813,1035,340,0,47,99,599,535,148,10,0,"32-32009-20190401"
"6","County",2019-04-01,"32","NV","32011","Eureka County",410,1587,13678,3348,1053,598,281,2563,2803,2309,708,15,0,"32-32011-20190401"
"7","County",2019-04-01,"32","NV","32013","Humboldt County",4038,12697,82646,22475,23847,5170,12855,5691,3724,6721,1869,226,68,"32-32013-20190401"
"8","County",2019-04-01,"32","NV","32015","Lander County",2104,3454,19641,7769,3551,751,2091,1728,1276,1693,724,58,0,"32-32015-20190401"
"9","County",2019-04-01,"32","NV","32017","Lincoln County",1366,3819,23404,3071,813,816,774,12471,3090,1185,1134,30,20,"32-32017-20190401"
"10","County",2019-04-01,"32","NV","32019","Lyon County",11298,44339,221460,39205,50810,26554,28360,32006,35943,5119,2193,801,469,"32-32019-20190401"
"11","County",2019-04-01,"32","NV","32021","Mineral County",1172,3328,18199,4978,2216,4198,3047,988,1320,1255,182,15,0,"32-32021-20190401"
"12","County",2019-04-01,"32","NV","32023","Nye County",11721,33486,179711,35723,49471,19983,29823,11828,13279,16635,2195,654,120,"32-32023-20190401"
"13","County",2019-04-01,"32","NV","32027","Pershing County",2742,3904,23455,7683,3079,1506,2024,2053,3765,2877,417,45,6,"32-32027-20190401"
"14","County",2019-04-01,"32","NV","32029","Storey County",919,3098,10894,1247,1748,992,1735,3783,744,361,260,17,7,"32-32029-20190401"
"15","County",2019-04-01,"32","NV","32031","Washoe County",101204,363107,1905045,471966,503766,249332,316590,228605,87258,20913,16369,6599,3647,"32-32031-20190401"
"16","County",2019-04-01,"32","NV","32033","White Pine County",3129,6317,36403,10078,10696,3591,3366,1833,2142,2373,2118,196,10,"32-32033-20190401"
"17","County",2019-04-01,"32","NV","32510","Carson City",13755,41490,220751,55307,82221,24028,18326,20021,16862,1820,1025,991,150,"32-32510-20190401"
"18","County",2019-04-02,"32","NV","32001","Churchill County",5856,18509,88350,25050,20564,9181,10190,10279,5860,6532,428,209,57,"32-32001-20190402"
"19","County",2019-04-02,"32","NV","32003","Clark County",486612,1738214,9557269,2649819,2346323,1241526,1569937,1401408,154495,99439,65487,17175,11660,"32-32003-20190402"
"20","County",2019-04-02,"32","NV","32005","Douglas County",10246,38073,200894,39746,53215,32300,29114,28184,14193,2129,1265,517,231,"32-32005-20190402"
"21","County",2019-04-02,"32","NV","32007","Elko County",11586,40714,223905,52530,64435,22768,21969,20717,16594,16573,6999,1139,181,"32-32007-20190402"
"22","County",2019-04-02,"32","NV","32009","Esmeralda County",199,624,3067,848,252,565,47,150,731,422,44,8,0,"32-32009-20190402"
"23","County",2019-04-02,"32","NV","32011","Eureka County",333,1664,13735,4552,1004,811,481,2759,2428,1285,402,13,0,"32-32011-20190402"
"24","County",2019-04-02,"32","NV","32013","Humboldt County",3473,13262,86741,24143,25470,6305,13738,4270,3619,7014,2004,148,30,"32-32013-20190402"
"25","County",2019-04-02,"32","NV","32015","Lander County",2241,3317,21408,8995,3631,762,2316,1591,1481,2139,427,66,0,"32-32015-20190402"
"26","County",2019-04-02,"32","NV","32017","Lincoln County",1500,3685,18813,4858,2680,507,652,4696,1615,1994,1626,185,0,"32-32017-20190402"
"27","County",2019-04-02,"32","NV","32019","Lyon County",10954,44683,209896,35501,48478,23327,28108,30617,36537,4493,2050,567,218,"32-32019-20190402"
"28","County",2019-04-02,"32","NV","32021","Mineral County",1015,3485,15053,4297,2640,1667,3144,898,1104,1087,183,33,0,"32-32021-20190402"
"29","County",2019-04-02,"32","NV","32023","Nye County",11236,33971,164759,29434,42264,20328,30616,12145,12090,14637,2759,395,91,"32-32023-20190402"
"30","County",2019-04-02,"32","NV","32027","Pershing County",2188,4458,19594,6699,2554,959,2568,875,3273,1804,791,45,26,"32-32027-20190402"
"31","County",2019-04-02,"32","NV","32029","Storey County",924,3093,11775,1447,2606,1154,1787,3187,846,459,245,22,22,"32-32029-20190402"
"32","County",2019-04-02,"32","NV","32031","Washoe County",98979,365332,1860252,451369,494262,247150,311408,235218,78749,21932,12670,5114,2380,"32-32031-20190402"
"33","County",2019-04-02,"32","NV","32033","White Pine County",2867,6579,35791,11638,7567,2367,3667,2490,2891,2672,2270,221,8,"32-32033-20190402"
"34","County",2019-04-02,"32","NV","32510","Carson City",13312,41933,215952,58559,71938,26352,16063,19827,20603,1221,646,489,254,"32-32510-20190402"
"35","County",2019-04-03,"32","NV","32001","Churchill County",5837,18528,102625,31050,24146,9522,12171,11368,6235,7374,576,140,43,"32-32001-20190403"
"36","County",2019-04-03,"32","NV","32003","Clark County",494309,1730517,9930930,2781882,2458854,1204154,1633483,1503742,167070,98534,62068,12729,8414,"32-32003-20190403"
"37","County",2019-04-03,"32","NV","32005","Douglas County",10672,37647,215473,41082,56754,37250,31563,32066,12688,2560,772,628,110,"32-32005-20190403"
"38","County",2019-04-03,"32","NV","32007","Elko County",12104,40196,233236,52822,73679,25079,22146,19916,13494,18364,6268,1314,154,"32-32007-20190403"
"39","County",2019-04-03,"32","NV","32009","Esmeralda County",205,618,3643,905,285,732,121,383,763,337,115,2,0,"32-32009-20190403"
"40","County",2019-04-03,"32","NV","32011","Eureka County",342,1655,14913,4334,1014,268,416,3163,3545,1664,497,12,0,"32-32011-20190403"
"41","County",2019-04-03,"32","NV","32013","Humboldt County",3821,12914,82444,21111,24494,5288,14325,3998,3264,6960,2841,137,26,"32-32013-20190403"
"42","County",2019-04-03,"32","NV","32015","Lander County",2133,3425,20594,9036,4221,658,1600,1709,945,1749,648,28,0,"32-32015-20190403"
"43","County",2019-04-03,"32","NV","32017","Lincoln County",1330,3855,28858,4083,2738,1130,363,13213,3919,1759,1448,196,9,"32-32017-20190403"
"44","County",2019-04-03,"32","NV","32019","Lyon County",11156,44481,214908,36887,50600,26409,30613,28917,33614,5165,1990,566,147,"32-32019-20190403"
"45","County",2019-04-03,"32","NV","32021","Mineral County",972,3528,16433,4929,1754,2211,2263,1547,1848,1660,198,23,0,"32-32021-20190403"
"46","County",2019-04-03,"32","NV","32023","Nye County",11605,33602,189724,35733,50972,24426,33201,11910,14404,16778,2001,239,60,"32-32023-20190403"
"47","County",2019-04-03,"32","NV","32027","Pershing County",2526,4120,21603,6595,3403,1188,2191,1508,4121,1733,794,51,19,"32-32027-20190403"
"48","County",2019-04-03,"32","NV","32029","Storey County",969,3048,13547,1352,3465,1490,2020,4003,634,405,158,12,8,"32-32029-20190403"
"49","County",2019-04-03,"32","NV","32031","Washoe County",99546,364765,1990482,455458,516180,252108,326110,321189,83351,19368,10669,4141,1908,"32-32031-20190403"
"50","County",2019-04-03,"32","NV","32033","White Pine County",2857,6589,42352,10608,11066,3571,4698,2784,2647,4962,1877,127,12,"32-32033-20190403"
"51","County",2019-04-03,"32","NV","32510","Carson City",13788,41457,224207,62374,71287,24614,18076,21279,23282,2117,599,493,86,"32-32510-20190403"
"52","County",2019-04-04,"32","NV","32001","Churchill County",5896,18469,103630,30546,26530,9797,13852,12318,4659,5293,443,148,44,"32-32001-20190404"
