"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"41","OR","41001","Baker County",4767,11190,53734,12556,13047,3095,1972,12326,7286,1661,1612,136,43,"41-41001-20190401"
"2","County",2019-04-01,"41","OR","41003","Benton County",25796,66023,359283,118291,109032,42583,34344,27434,16517,7429,1934,514,1205,"41-41003-20190401"
"3","County",2019-04-01,"41","OR","41005","Clackamas County",81757,333046,1814844,381753,466736,195135,289488,374164,68490,17802,14718,2699,3859,"41-41005-20190401"
"4","County",2019-04-01,"41","OR","41007","Clatsop County",9646,29996,177516,37504,44436,23346,26542,32781,6385,5512,884,40,86,"41-41007-20190401"
"5","County",2019-04-01,"41","OR","41009","Columbia County",10056,42161,249427,45933,73573,26344,35733,40948,23164,2880,577,82,193,"41-41009-20190401"
"6","County",2019-04-01,"41","OR","41011","Coos County",15903,48289,279567,74077,107582,34840,26113,20826,7904,5262,2353,460,150,"41-41011-20190401"
"7","County",2019-04-01,"41","OR","41013","Crook County",5299,18495,117428,32866,28744,10049,7908,18092,18183,607,706,150,123,"41-41013-20190401"
"8","County",2019-04-01,"41","OR","41015","Curry County",4762,17981,125605,33066,42177,21464,9585,8615,6969,2550,891,97,191,"41-41015-20190401"
"9","County",2019-04-01,"41","OR","41017","Deschutes County",36664,154745,920947,197795,298751,162072,107349,98666,39538,6746,7376,1381,1273,"41-41017-20190401"
"10","County",2019-04-01,"41","OR","41019","Douglas County",27575,82371,503148,126445,148279,69056,49849,62971,25760,13913,5077,1552,246,"41-41019-20190401"
"11","County",2019-04-01,"41","OR","41021","Gilliam County",522,1366,9974,2948,535,133,652,3756,1685,223,11,31,0,"41-41021-20190401"
"12","County",2019-04-01,"41","OR","41023","Grant County",1360,5794,39718,7797,6470,4302,13759,5342,996,838,101,19,94,"41-41023-20190401"
"13","County",2019-04-01,"41","OR","41025","Harney County",1972,5335,38797,5559,10181,6260,932,3630,4751,5069,2241,50,124,"41-41025-20190401"
"14","County",2019-04-01,"41","OR","41027","Hood River County",4644,18712,112511,28668,37604,12497,15259,9688,3497,4340,794,57,107,"41-41027-20190401"
"15","County",2019-04-01,"41","OR","41029","Jackson County",48040,170853,1051639,253661,367704,129462,141558,108222,27566,11925,7880,2785,876,"41-41029-20190401"
"16","County",2019-04-01,"41","OR","41031","Jefferson County",5103,19015,125085,24862,28320,13814,11513,28742,14072,2809,598,251,104,"41-41031-20190401"
"17","County",2019-04-01,"41","OR","41033","Josephine County",19719,67407,387524,79458,153892,46730,45620,26535,26949,4192,3010,864,274,"41-41033-20190401"
