"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"44","RI","44001","Bristol County",9962,38538,216848,41983,65270,17437,33393,45191,10393,1823,362,133,863,"44-44001-20190401"
"2","County",2019-04-01,"44","RI","44003","Kent County",30304,133056,707786,141800,176887,94330,119983,122358,39709,8416,2859,485,959,"44-44003-20190401"
"3","County",2019-04-01,"44","RI","44005","Newport County",16433,65857,390382,92911,102943,48708,58026,63771,16526,4421,1351,459,1266,"44-44005-20190401"
"4","County",2019-04-01,"44","RI","44007","Providence County",135187,498953,2581774,622245,621615,326085,424544,398633,143911,22087,5541,1695,15418,"44-44007-20190401"
"5","County",2019-04-01,"44","RI","44009","Washington County",23214,102579,574215,108271,136020,62088,93963,122202,41004,5340,1769,1209,2349,"44-44009-20190401"
"6","County",2019-04-02,"44","RI","44001","Bristol County",9662,38838,219384,46436,61143,18533,36405,45314,8166,1847,434,136,970,"44-44001-20190402"
"7","County",2019-04-02,"44","RI","44003","Kent County",29699,133661,719703,159008,168590,93755,120538,128709,37479,6671,3945,253,755,"44-44003-20190402"
"8","County",2019-04-02,"44","RI","44005","Newport County",16090,66200,397616,100848,110678,52959,44973,64696,16174,4559,714,274,1741,"44-44005-20190402"
"9","County",2019-04-02,"44","RI","44007","Providence County",131292,502848,2488979,574194,583650,317352,421813,409466,132833,21555,5465,1408,21243,"44-44007-20190402"
"10","County",2019-04-02,"44","RI","44009","Washington County",21481,104312,588436,118624,142714,66223,90207,120139,38767,5267,1851,1600,3044,"44-44009-20190402"
"11","County",2019-04-03,"44","RI","44001","Bristol County",9742,38758,228681,49028,65418,17248,36441,49804,7677,1388,595,155,927,"44-44001-20190403"
