"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"50","VT","50001","Addison County",7557,29303,162702,29826,33116,16314,29072,36953,11957,3387,1052,221,804,"50-50001-20190401"
"2","County",2019-04-01,"50","VT","50003","Bennington County",7966,27556,160303,32544,57977,19272,14733,21000,11646,1417,1270,144,300,"50-50003-20190401"
"3","County",2019-04-01,"50","VT","50005","Caledonia County",5851,24358,138529,24143,38757,15935,25653,25020,5667,1747,1182,95,330,"50-50005-20190401"
"4","County",2019-04-01,"50","VT","50007","Chittenden County",43679,120390,641008,139425,165650,94444,119596,81512,24526,7009,4409,1001,3436,"50-50007-20190401"
"5","County",2019-04-01,"50","VT","50009","Essex County",987,5244,26535,2527,4672,2284,6029,9977,566,234,236,10,0,"50-50009-20190401"
"6","County",2019-04-01,"50","VT","50011","Franklin County",10591,38679,189059,34134,41835,19194,28281,33022,26513,3192,2166,252,470,"50-50011-20190401"
"7","County",2019-04-01,"50","VT","50013","Grand Isle County",1008,6060,29245,3085,5664,2410,4852,8903,3794,394,58,11,74,"50-50013-20190401"
"8","County",2019-04-01,"50","VT","50015","Lamoille County",4558,20665,105447,18765,22788,13505,18332,20908,9152,830,838,85,244,"50-50015-20190401"
"9","County",2019-04-01,"50","VT","50017","Orange County",5036,23874,121229,17222,33768,15463,18200,23098,9601,2591,874,94,318,"50-50017-20190401"
"10","County",2019-04-01,"50","VT","50019","Orleans County",6083,20742,102991,13080,30113,15122,18567,15129,6391,3323,1045,50,171,"50-50019-20190401"
"11","County",2019-04-01,"50","VT","50021","Rutland County",14870,43623,251895,62743,77730,27830,24920,37384,11582,7706,1286,178,536,"50-50021-20190401"
"12","County",2019-04-01,"50","VT","50023","Washington County",13184,44778,199266,39972,44704,38600,28027,28030,13186,3168,1663,481,1435,"50-50023-20190401"
"13","County",2019-04-01,"50","VT","50025","Windham County",11666,30959,159303,37890,32976,23871,23122,27443,7501,4707,1378,252,163,"50-50025-20190401"
"14","County",2019-04-01,"50","VT","50027","Windsor County",11259,43858,243433,34369,65276,35436,40000,49555,11659,4034,2063,392,649,"50-50027-20190401"
"15","County",2019-04-02,"50","VT","50001","Addison County",6863,29997,164514,33808,31222,18130,28782,34738,12288,2567,1138,532,1309,"50-50001-20190402"
"16","County",2019-04-02,"50","VT","50003","Bennington County",7836,27686,165027,30658,63578,23508,12963,20737,10304,1611,926,165,577,"50-50003-20190402"
"17","County",2019-04-02,"50","VT","50005","Caledonia County",5334,24875,137221,20216,39802,18405,25993,23733,6225,1541,799,76,431,"50-50005-20190402"
"18","County",2019-04-02,"50","VT","50007","Chittenden County",41607,122462,621086,135277,165012,86350,118014,78062,24641,6527,2878,892,3433,"50-50007-20190402"
"19","County",2019-04-02,"50","VT","50009","Essex County",891,5340,29235,3934,5094,2670,6564,9125,1307,233,300,8,0,"50-50009-20190402"
"20","County",2019-04-02,"50","VT","50011","Franklin County",10037,39233,199425,36621,43904,23502,30165,30983,29261,2022,1977,204,786,"50-50011-20190402"
"21","County",2019-04-02,"50","VT","50013","Grand Isle County",981,6087,31015,3866,6578,2738,6592,7262,3522,275,54,92,36,"50-50013-20190402"
"22","County",2019-04-02,"50","VT","50015","Lamoille County",4814,20409,104787,19954,23602,12211,21605,16929,8272,1001,825,114,274,"50-50015-20190402"
"23","County",2019-04-02,"50","VT","50017","Orange County",3887,25023,113029,17126,25748,13623,23199,18896,9413,2278,682,412,1652,"50-50017-20190402"
"24","County",2019-04-02,"50","VT","50019","Orleans County",5840,20985,107980,16211,33965,15959,14481,17839,5749,2857,613,27,279,"50-50019-20190402"
"25","County",2019-04-02,"50","VT","50021","Rutland County",14382,44111,239737,55685,74207,29268,23662,37968,10776,6649,984,202,336,"50-50021-20190402"
"26","County",2019-04-02,"50","VT","50023","Washington County",12937,45025,213287,43707,45727,49742,29419,25884,12954,2930,1354,372,1198,"50-50023-20190402"
"27","County",2019-04-02,"50","VT","50025","Windham County",10536,32089,161161,34064,31206,20326,24352,33654,10590,4999,1598,194,178,"50-50025-20190402"
"28","County",2019-04-02,"50","VT","50027","Windsor County",10739,44378,250235,37831,65764,34136,40486,48490,15182,4890,2522,289,645,"50-50027-20190402"
"29","County",2019-04-03,"50","VT","50001","Addison County",7027,29833,169554,31110,34130,15775,30803,39825,12527,2435,1940,159,850,"50-50001-20190403"
"30","County",2019-04-03,"50","VT","50003","Bennington County",8051,27471,182482,28203,71738,26207,16715,25800,11255,1290,885,39,350,"50-50003-20190403"
"31","County",2019-04-03,"50","VT","50005","Caledonia County",5136,25073,140724,23858,36221,19762,25818,26457,5852,1572,828,80,276,"50-50005-20190403"
"32","County",2019-04-03,"50","VT","50007","Chittenden County",41864,122205,672110,139384,186640,98133,122922,86456,27002,5706,2510,513,2844,"50-50007-20190403"
"33","County",2019-04-03,"50","VT","50009","Essex County",935,5296,29218,3550,4094,3316,5584,10784,1473,143,258,16,0,"50-50009-20190403"
"34","County",2019-04-03,"50","VT","50011","Franklin County",10070,39200,203063,33332,45543,27096,32261,33102,27260,2128,1384,175,782,"50-50011-20190403"
"35","County",2019-04-03,"50","VT","50013","Grand Isle County",982,6086,35993,5959,8573,3269,5217,9513,3300,49,0,38,75,"50-50013-20190403"
"36","County",2019-04-03,"50","VT","50015","Lamoille County",4178,21045,101085,17620,22037,10603,17553,24206,7280,675,711,83,317,"50-50015-20190403"
"37","County",2019-04-03,"50","VT","50017","Orange County",4149,24761,110754,17485,27778,13407,17026,20675,8321,2378,787,1641,1256,"50-50017-20190403"
"38","County",2019-04-03,"50","VT","50019","Orleans County",5912,20913,102693,16159,27244,16532,17455,14583,5566,4175,791,30,158,"50-50019-20190403"
"39","County",2019-04-03,"50","VT","50021","Rutland County",14912,43581,258054,62757,77002,31059,26034,40158,13434,5491,1208,189,722,"50-50021-20190403"
"40","County",2019-04-03,"50","VT","50023","Washington County",12564,45398,222996,43403,46372,51231,32531,28827,14319,2404,1217,317,2375,"50-50023-20190403"
"41","County",2019-04-03,"50","VT","50025","Windham County",11165,31460,156123,30180,32635,22969,23088,32729,8852,4077,1221,147,225,"50-50025-20190403"
"42","County",2019-04-03,"50","VT","50027","Windsor County",10933,44184,277142,43865,76296,43123,43424,50259,13822,3644,1862,433,414,"50-50027-20190403"
"43","County",2019-04-04,"50","VT","50001","Addison County",6823,30037,168074,38059,33951,16770,28539,35207,10821,1925,1646,374,782,"50-50001-20190404"
"44","County",2019-04-04,"50","VT","50003","Bennington County",8040,27482,185223,31447,72841,24390,14147,26317,12558,2301,691,278,253,"50-50003-20190404"
"45","County",2019-04-04,"50","VT","50005","Caledonia County",5671,24538,148244,28578,37619,23606,23288,25240,6366,2540,561,112,334,"50-50005-20190404"
"46","County",2019-04-04,"50","VT","50007","Chittenden County",41827,122242,697823,144212,192174,110199,121633,89657,26611,5967,2556,469,4345,"50-50007-20190404"
"47","County",2019-04-04,"50","VT","50009","Essex County",855,5376,33464,4377,5327,4044,4933,13177,1187,269,135,15,0,"50-50009-20190404"
"48","County",2019-04-04,"50","VT","50011","Franklin County",10040,39230,201074,33256,43399,27165,28628,34737,28844,2383,1636,168,858,"50-50011-20190404"
"49","County",2019-04-04,"50","VT","50013","Grand Isle County",962,6106,37689,6810,8619,3728,4942,9588,3716,122,116,15,33,"50-50013-20190404"
"50","County",2019-04-04,"50","VT","50015","Lamoille County",4327,20896,98988,17586,20915,9745,15535,24398,8435,614,516,99,1145,"50-50015-20190404"
"51","County",2019-04-04,"50","VT","50017","Orange County",4405,24505,118996,17430,27399,15305,19584,22766,11833,2372,810,801,696,"50-50017-20190404"
"52","County",2019-04-04,"50","VT","50019","Orleans County",5589,21236,111094,18672,30077,14262,16254,20960,6295,3266,1055,27,226,"50-50019-20190404"
"53","County",2019-04-04,"50","VT","50021","Rutland County",14249,44244,261849,57269,82579,32828,28608,39423,13649,5427,1188,168,710,"50-50021-20190404"
"54","County",2019-04-04,"50","VT","50023","Washington County",12977,44985,227692,39434,49222,51085,36297,33461,11605,3244,1280,472,1592,"50-50023-20190404"
"55","County",2019-04-04,"50","VT","50025","Windham County",11598,31027,185221,42789,40240,26244,28244,31908,10954,3609,918,165,150,"50-50025-20190404"
"56","County",2019-04-04,"50","VT","50027","Windsor County",10799,44318,281165,41948,72259,44094,47293,55705,13240,3432,2334,300,560,"50-50027-20190404"
"57","County",2019-04-05,"50","VT","50001","Addison County",7434,29426,173741,35260,35433,19678,29900,35535,11229,3901,1567,398,840,"50-50001-20190405"
"58","County",2019-04-05,"50","VT","50003","Bennington County",7285,28237,161818,29056,59750,19331,13399,24417,12011,2106,837,216,695,"50-50003-20190405"
"59","County",2019-04-05,"50","VT","50005","Caledonia County",5505,24704,137706,27335,34342,20373,21457,24747,6192,2186,704,79,291,"50-50005-20190405"
"60","County",2019-04-05,"50","VT","50007","Chittenden County",40142,123927,663247,142087,174020,98970,120876,83619,28338,6723,2991,661,4962,"50-50007-20190405"
"61","County",2019-04-05,"50","VT","50009","Essex County",966,5265,32287,3487,7379,4233,5433,8509,3015,183,48,0,0,"50-50009-20190405"
"62","County",2019-04-05,"50","VT","50011","Franklin County",10050,39220,210617,35907,49712,27254,34353,32048,25915,2636,1718,320,754,"50-50011-20190405"
"63","County",2019-04-05,"50","VT","50013","Grand Isle County",866,6202,34747,6538,7251,2853,6173,8569,3158,100,46,0,59,"50-50013-20190405"
"64","County",2019-04-05,"50","VT","50015","Lamoille County",4083,21140,96417,14479,21621,13830,18228,19789,5407,604,802,104,1553,"50-50015-20190405"
"65","County",2019-04-05,"50","VT","50017","Orange County",4649,24261,132446,19980,29293,14605,27426,26680,9505,3019,977,452,509,"50-50017-20190405"
"66","County",2019-04-05,"50","VT","50019","Orleans County",5737,21088,108757,13958,31980,14558,17869,19557,6326,3001,1178,48,282,"50-50019-20190405"
"67","County",2019-04-05,"50","VT","50021","Rutland County",14361,44132,243532,51066,70023,35034,24781,41720,13730,4825,1350,269,734,"50-50021-20190405"
"68","County",2019-04-05,"50","VT","50023","Washington County",13083,44879,225479,41441,45372,54844,31689,34070,11233,3141,1449,415,1825,"50-50023-20190405"
"69","County",2019-04-05,"50","VT","50025","Windham County",11334,31291,172653,35459,36766,22810,31042,30560,9580,4787,1308,137,204,"50-50025-20190405"
"70","County",2019-04-05,"50","VT","50027","Windsor County",10872,44245,256642,41631,67104,36472,42601,48993,11801,4176,2513,483,868,"50-50027-20190405"
"71","County",2019-04-06,"50","VT","50001","Addison County",7451,29409,176505,30060,32939,22033,36668,37741,11069,3640,1659,238,458,"50-50001-20190406"
"72","County",2019-04-06,"50","VT","50003","Bennington County",7184,28338,153796,24154,62693,21982,11310,16821,12532,2096,653,156,1399,"50-50003-20190406"
"73","County",2019-04-06,"50","VT","50005","Caledonia County",5980,24229,131744,24117,33198,22677,22021,21401,4649,2279,931,55,416,"50-50005-20190406"
"74","County",2019-04-06,"50","VT","50007","Chittenden County",42911,121158,648748,135906,180578,95749,115480,80465,25145,7797,3233,767,3628,"50-50007-20190406"
"75","County",2019-04-06,"50","VT","50009","Essex County",910,5321,24039,3488,4531,3820,3585,5943,1917,576,171,8,0,"50-50009-20190406"
"76","County",2019-04-06,"50","VT","50011","Franklin County",10934,38336,194257,29594,44505,28297,30108,30966,25755,2339,1934,291,468,"50-50011-20190406"
"77","County",2019-04-06,"50","VT","50013","Grand Isle County",1214,5854,32928,5599,7304,3976,5000,7581,2999,165,221,22,61,"50-50013-20190406"
"78","County",2019-04-06,"50","VT","50015","Lamoille County",5037,20186,97041,16076,23960,14397,16390,17059,6979,812,851,129,388,"50-50015-20190406"
"79","County",2019-04-06,"50","VT","50017","Orange County",5166,23744,119535,14144,33883,14239,22764,21229,9068,2405,1034,256,513,"50-50017-20190406"
"80","County",2019-04-06,"50","VT","50019","Orleans County",5941,20884,96233,12901,27815,16210,14555,16593,4136,2212,1351,67,393,"50-50019-20190406"
"81","County",2019-04-06,"50","VT","50021","Rutland County",15327,43166,266532,60204,88893,39061,22652,36267,13434,4418,858,131,614,"50-50021-20190406"
"82","County",2019-04-06,"50","VT","50023","Washington County",14600,43362,230993,41536,50609,56232,35117,29923,12552,2484,1227,511,802,"50-50023-20190406"
"83","County",2019-04-06,"50","VT","50025","Windham County",11351,31274,175835,37205,38975,27590,27978,30293,8250,4062,1173,188,121,"50-50025-20190406"
"84","County",2019-04-06,"50","VT","50027","Windsor County",11473,43644,264503,44801,76313,34058,38732,49632,12408,3639,3501,925,494,"50-50027-20190406"
