"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","County",2019-04-01,"56","WY","56001","Albany County",10051,28432,194153,51468,91455,22742,7405,6466,5389,7188,1682,296,62,"56-56001-20190401"
"2","County",2019-04-01,"56","WY","56003","Big Horn County",3751,8094,48289,10969,5413,4930,4673,11994,4634,4623,740,234,79,"56-56003-20190401"
"3","County",2019-04-01,"56","WY","56005","Campbell County",9070,36929,267621,56920,79321,39969,42276,22020,8405,13372,4698,516,124,"56-56005-20190401"
"4","County",2019-04-01,"56","WY","56007","Carbon County",4049,10876,79269,24865,27840,5222,5227,4452,6999,3134,1401,84,45,"56-56007-20190401"
"5","County",2019-04-01,"56","WY","56009","Converse County",2640,10958,77586,13282,22894,14893,8358,4582,5320,7382,627,216,32,"56-56009-20190401"
"6","County",2019-04-01,"56","WY","56011","Crook County",2051,5376,30086,6050,4048,3058,2093,6366,5225,2061,852,255,78,"56-56011-20190401"
"7","County",2019-04-01,"56","WY","56013","Fremont County",10182,29228,193031,57991,57160,31569,19307,11277,9518,3035,2563,413,198,"56-56013-20190401"
"8","County",2019-04-01,"56","WY","56015","Goshen County",3104,10231,72120,15089,15767,7305,10965,13583,6917,1564,796,118,16,"56-56015-20190401"
"9","County",2019-04-01,"56","WY","56017","Hot Springs County",2320,2221,31661,21253,6229,327,484,834,664,1763,31,24,52,"56-56017-20190401"
"10","County",2019-04-01,"56","WY","56019","Johnson County",2087,6347,31854,5696,12822,4714,1004,1476,3968,1353,708,101,12,"56-56019-20190401"
"11","County",2019-04-01,"56","WY","56021","Laramie County",20865,77808,531745,115644,189338,100371,46193,29120,19683,24041,5597,1042,716,"56-56021-20190401"
