"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"02","AK",NA,NA,179096,556086,3592441,1075160,1013612,482928,496065,311465,133792,56386,12922,4418,5693,"02-00000-20190401"
"2","State",2019-04-02,"02","AK",NA,NA,183306,551876,3321665,964709,971039,495625,438373,293300,110382,30669,10917,2903,3748,"02-00000-20190402"
"3","State",2019-04-03,"02","AK",NA,NA,184123,551059,3549043,1021061,1041644,536375,472332,315580,120019,28193,9119,1761,2959,"02-00000-20190403"
"4","State",2019-04-04,"02","AK",NA,NA,184918,550264,3683203,1046807,1098653,520744,528739,320929,121043,33310,8878,1423,2677,"02-00000-20190404"
"5","State",2019-04-05,"02","AK",NA,NA,185702,549480,3761524,1063846,1092581,554150,534789,327051,129053,41701,12217,2431,3705,"02-00000-20190405"
"6","State",2019-04-06,"02","AK",NA,NA,191075,544107,3415833,950819,1003047,487094,502425,315526,116853,24366,11115,1358,3230,"02-00000-20190406"
"7","State",2019-04-07,"02","AK",NA,NA,192271,542911,3160492,878340,977700,410805,457552,285667,105142,30080,9311,2678,3217,"02-00000-20190407"
"8","State",2019-04-08,"02","AK",NA,NA,186818,548364,3339285,959744,980185,477303,462523,290335,102881,47744,11758,1985,4827,"02-00000-20190408"
"9","State",2019-04-09,"02","AK",NA,NA,184910,550272,3330480,958236,976316,492243,453984,301973,100049,27217,12922,2985,4555,"02-00000-20190409"
"10","State",2019-04-10,"02","AK",NA,NA,185329,549853,3692458,1078878,1125910,523367,498177,323465,104007,22965,9199,2816,3674,"02-00000-20190410"
"11","State",2019-04-11,"02","AK",NA,NA,186333,548849,3586053,1027028,1073469,536118,510406,297659,101439,22324,7934,4632,5044,"02-00000-20190411"
"12","State",2019-04-12,"02","AK",NA,NA,180678,554504,3497818,937092,1117264,504858,496345,306181,103889,17248,8606,2183,4152,"02-00000-20190412"
"13","State",2019-04-13,"02","AK",NA,NA,188085,547097,3475883,923989,1059060,478140,513997,322560,136475,23888,9860,2644,5270,"02-00000-20190413"
"14","State",2019-04-14,"02","AK",NA,NA,193584,541598,3242909,915486,976876,445088,465555,291083,98358,33187,11193,1465,4618,"02-00000-20190414"
"15","State",2019-04-15,"02","AK",NA,NA,184751,550431,3420613,989132,1021702,495346,474196,280493,114231,23338,9850,6557,5768,"02-00000-20190415"
"16","State",2019-04-16,"02","AK",NA,NA,185643,549539,3348505,973779,985423,484936,471680,290297,98408,24863,10383,1789,6947,"02-00000-20190416"
"17","State",2019-04-17,"02","AK",NA,NA,186718,548464,3412049,966998,1044074,487857,484676,278398,109982,20859,11098,1785,6322,"02-00000-20190417"
"18","State",2019-04-18,"02","AK",NA,NA,187441,547741,3544014,1041315,1053679,511985,492328,299221,103662,23024,7421,5211,6168,"02-00000-20190418"
"19","State",2019-04-19,"02","AK",NA,NA,181699,553483,3615157,1023975,1086038,521551,520772,319311,106591,21535,8487,1561,5336,"02-00000-20190419"
"20","State",2019-04-20,"02","AK",NA,NA,193967,541215,3529544,970550,1063659,523744,501315,304176,119973,30815,8807,1383,5122,"02-00000-20190420"
"21","State",2019-04-21,"02","AK",NA,NA,204272,530910,3093678,886806,940187,416000,472148,249244,85639,25611,11081,1817,5145,"02-00000-20190421"
"22","State",2019-04-22,"02","AK",NA,NA,183991,551191,3130619,944170,896974,426540,417705,262753,95561,66223,10433,5189,5071,"02-00000-20190422"
"23","State",2019-04-23,"02","AK",NA,NA,173681,561501,3080438,920960,838113,388873,453416,322018,99322,42286,6590,3680,5180,"02-00000-20190423"
"24","State",2019-04-24,"02","AK",NA,NA,174610,560572,3279528,950194,911690,450051,480061,330526,108245,35093,4931,4652,4085,"02-00000-20190424"
"25","State",2019-04-25,"02","AK",NA,NA,167155,568027,3375090,967686,927076,482462,508625,324400,107920,41126,5764,5899,4132,"02-00000-20190425"
"26","State",2019-04-26,"02","AK",NA,NA,167844,567338,3355252,949351,950945,473072,470972,339394,112545,40007,10341,4245,4380,"02-00000-20190426"
"27","State",2019-04-27,"02","AK",NA,NA,168215,566967,3304246,915860,914819,462213,507335,348706,111282,29204,7573,3553,3701,"02-00000-20190427"
"28","State",2019-04-28,"02","AK",NA,NA,173642,561540,3014099,859943,845275,416536,430301,307300,104461,34959,8194,2996,4134,"02-00000-20190428"
"29","State",2019-04-29,"02","AK",NA,NA,165948,569234,3254262,972132,872517,450176,456892,329285,117159,35463,8720,6976,4942,"02-00000-20190429"
"30","State",2019-04-30,"02","AK",NA,NA,164231,570951,3290196,990190,884360,435541,499839,311286,108919,40418,8949,6408,4286,"02-00000-20190430"
"31","State",2019-05-01,"02","AK",NA,NA,164118,571064,3281224,929791,935469,432372,490823,325951,111147,39475,7206,5257,3733,"02-00000-20190501"
"32","State",2019-05-02,"02","AK",NA,NA,181650,553532,3547087,1006865,1089043,471756,511874,304189,102879,44438,7345,5457,3241,"02-00000-20190502"
"33","State",2019-05-03,"02","AK",NA,NA,181474,553708,3523682,1001767,1062612,476214,474341,328330,120099,41510,11929,3487,3393,"02-00000-20190503"
"34","State",2019-05-04,"02","AK",NA,NA,185979,549203,3470400,943540,1042335,447497,519180,336831,128009,33865,11528,4624,2991,"02-00000-20190504"
"35","State",2019-05-05,"02","AK",NA,NA,186471,548711,3090859,867684,938929,407392,435662,280530,113645,25003,10918,7515,3581,"02-00000-20190505"
"36","State",2019-05-06,"02","AK",NA,NA,180095,555087,3357603,957627,1035829,442666,471200,297922,112255,24898,5938,2884,6384,"02-00000-20190506"
"37","State",2019-05-07,"02","AK",NA,NA,180388,554794,3480807,1022253,1067750,474832,477682,296944,99783,24291,5957,5237,6078,"02-00000-20190507"
"38","State",2019-05-08,"02","AK",NA,NA,179258,555924,3394531,955132,1045332,475345,462756,309421,101417,30138,6454,1901,6635,"02-00000-20190508"
"39","State",2019-05-09,"02","AK",NA,NA,174938,560244,3446360,963057,1065100,471983,493380,304518,97732,32745,6533,4916,6396,"02-00000-20190509"
"40","State",2019-05-10,"02","AK",NA,NA,169037,566145,3534941,973264,1064333,479365,538097,320222,109163,31643,10655,2380,5819,"02-00000-20190510"
"41","State",2019-05-11,"02","AK",NA,NA,171750,563432,3474240,927238,1055239,488179,499306,328986,110419,45402,10431,2947,6093,"02-00000-20190511"
"42","State",2019-05-12,"02","AK",NA,NA,180898,554284,3054134,806015,924073,409166,457154,298843,109347,30942,9674,2533,6387,"02-00000-20190512"
"43","State",2019-05-13,"02","AK",NA,NA,176232,558950,3270203,877611,1019786,445560,479477,303929,106275,20299,9152,2209,5905,"02-00000-20190513"
"44","State",2019-05-14,"02","AK",NA,NA,169969,565213,3448599,953242,1051878,466445,498668,330401,105232,25268,7299,4585,5581,"02-00000-20190514"
"45","State",2019-05-15,"02","AK",NA,NA,172714,562468,3361240,933479,990957,464998,506775,313284,103177,29349,9315,3280,6626,"02-00000-20190515"
"46","State",2019-05-16,"02","AK",NA,NA,167026,568156,3384318,907588,1008329,484309,500563,315362,112166,35154,10459,3713,6675,"02-00000-20190516"
"47","State",2019-05-17,"02","AK",NA,NA,169381,565801,3555128,979231,1048829,492716,532205,341076,113881,26807,10356,3472,6555,"02-00000-20190517"
"48","State",2019-05-18,"02","AK",NA,NA,175773,559409,3449866,949835,1042159,462786,498689,329218,116116,30381,11953,2435,6294,"02-00000-20190518"
"49","State",2019-05-19,"02","AK",NA,NA,182020,553162,3186394,916959,959273,405428,455082,286757,103444,38801,12619,1881,6150,"02-00000-20190519"
"50","State",2019-05-20,"02","AK",NA,NA,176085,559097,3465997,1007392,1013017,482759,508360,308269,105376,21029,9768,4046,5981,"02-00000-20190520"
"51","State",2019-05-21,"02","AK",NA,NA,177111,558071,3636654,1050471,1081712,510606,503811,325150,119592,25605,11445,2182,6080,"02-00000-20190521"
"52","State",2019-05-22,"02","AK",NA,NA,175088,560094,3594433,1013872,1073887,502469,511194,320224,113798,40896,9301,2283,6509,"02-00000-20190522"
"53","State",2019-05-23,"02","AK",NA,NA,177216,557966,3403333,924899,1029176,487928,489379,305786,107932,38201,10933,2006,7093,"02-00000-20190523"
"54","State",2019-05-24,"02","AK",NA,NA,174852,560330,3516984,964608,1055075,492076,493256,328915,119009,38467,16189,2827,6562,"02-00000-20190524"
"55","State",2019-05-25,"02","AK",NA,NA,179747,555435,3529988,985096,1041551,497253,477698,334712,124222,47139,12787,3520,6010,"02-00000-20190525"
"56","State",2019-05-26,"02","AK",NA,NA,185445,549737,3369821,972517,1017979,466152,448651,286917,112234,41389,16081,1682,6219,"02-00000-20190526"
"57","State",2019-05-27,"02","AK",NA,NA,180849,554333,3295128,928726,982804,431237,447264,307506,119127,50288,18282,3638,6256,"02-00000-20190527"
"58","State",2019-05-28,"02","AK",NA,NA,174492,560690,3691444,1038468,1099872,508062,500486,347623,130455,44606,11481,3194,7197,"02-00000-20190528"
"59","State",2019-05-29,"02","AK",NA,NA,171153,564029,3734827,1090036,1100338,505281,523754,336806,121231,34537,12875,2929,7040,"02-00000-20190529"
"60","State",2019-05-30,"02","AK",NA,NA,173801,561381,3643020,1038230,1089506,511586,502664,335786,111551,25789,14553,6726,6629,"02-00000-20190530"
"61","State",2019-05-31,"02","AK",NA,NA,172151,563031,3762502,1063312,1134224,512554,532127,335731,131611,32751,12024,1634,6534,"02-00000-20190531"
"62","State",2019-06-01,"02","AK",NA,NA,178290,556892,3656803,1032360,1098925,485861,530652,323541,127049,36374,12486,3030,6525,"02-00000-20190601"
"63","State",2019-06-02,"02","AK",NA,NA,181014,554168,3262023,922263,1005777,411929,460074,298183,105782,34873,14209,1943,6990,"02-00000-20190602"
"64","State",2019-06-03,"02","AK",NA,NA,176194,558988,3687288,1080033,1106268,494329,505566,329952,123842,23927,13311,3131,6929,"02-00000-20190603"
"65","State",2019-06-04,"02","AK",NA,NA,177018,558164,3631452,1052000,1107921,479057,509421,315976,116557,25858,11083,6175,7404,"02-00000-20190604"
"66","State",2019-06-05,"02","AK",NA,NA,174872,560310,3557463,1016953,1053538,472835,521842,325850,113089,30102,11014,4980,7260,"02-00000-20190605"
"67","State",2019-06-06,"02","AK",NA,NA,171753,563429,3696595,1069533,1100864,496754,483357,328966,164944,29552,12163,3332,7130,"02-00000-20190606"
"68","State",2019-06-07,"02","AK",NA,NA,170362,564820,3774046,1099016,1132444,476115,497747,328764,182769,34554,13967,2149,6521,"02-00000-20190607"
"69","State",2019-06-08,"02","AK",NA,NA,175229,559953,3738871,1024395,1116053,501824,498255,339098,193272,43123,13786,3472,5593,"02-00000-20190608"
"70","State",2019-06-09,"02","AK",NA,NA,183167,552015,3306367,892807,972250,409295,465924,296202,201909,42185,16232,2827,6736,"02-00000-20190609"
"71","State",2019-06-10,"02","AK",NA,NA,175558,559624,3532503,987460,1054448,455207,476330,320208,177917,38859,13698,2186,6190,"02-00000-20190610"
"72","State",2019-06-11,"02","AK",NA,NA,177978,557204,3579610,1051340,1034736,472437,478695,312063,178359,29844,12714,3115,6307,"02-00000-20190611"
"73","State",2019-06-12,"02","AK",NA,NA,173719,561463,3524731,1011644,1032532,461842,475733,306759,181716,31027,13871,3709,5898,"02-00000-20190612"
"74","State",2019-06-13,"02","AK",NA,NA,175123,560059,3586050,1028242,1072712,464989,500256,326640,133631,37929,13560,1957,6134,"02-00000-20190613"
"75","State",2019-06-14,"02","AK",NA,NA,176641,558541,3707099,1036185,1096794,496705,525985,341948,143869,39776,15581,4668,5588,"02-00000-20190614"
"76","State",2019-06-15,"02","AK",NA,NA,178158,557024,3686997,1048970,1108313,481924,507058,346040,141966,30791,14421,2705,4809,"02-00000-20190615"
"77","State",2019-06-16,"02","AK",NA,NA,184369,550813,3172918,878863,980360,398657,436436,284769,123670,45629,16952,2213,5369,"02-00000-20190616"
"78","State",2019-06-17,"02","AK",NA,NA,177763,557419,3470721,993842,1054554,447879,473892,323372,117824,34091,16715,2038,6514,"02-00000-20190617"
"79","State",2019-06-18,"02","AK",NA,NA,177523,557659,3548491,1027193,1094095,461235,478972,315566,116400,34850,11742,2689,5749,"02-00000-20190618"
"80","State",2019-06-19,"02","AK",NA,NA,175026,560156,3621162,1008800,1102126,465472,517235,333031,141259,32039,13769,2174,5257,"02-00000-20190619"
"81","State",2019-06-20,"02","AK",NA,NA,173900,561282,3641383,1015741,1101535,496200,504710,332306,127763,37686,16719,3261,5462,"02-00000-20190620"
"82","State",2019-06-21,"02","AK",NA,NA,175300,559882,3651459,994219,1083685,506524,516190,351794,137078,38435,16257,1785,5492,"02-00000-20190621"
"83","State",2019-06-22,"02","AK",NA,NA,177338,557844,3691369,1010470,1083820,501109,526098,363590,139528,44695,14753,2591,4715,"02-00000-20190622"
