"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"01","AL",NA,NA,861871,4011063,20267595,4190366,5121164,2734482,3263934,3256570,1157268,359797,137443,35497,11074,"01-00000-20190401"
"2","State",2019-04-02,"01","AL",NA,NA,790856,4082078,20291035,4315618,5103015,2681666,3252829,3245591,1147368,362715,130741,41689,9803,"01-00000-20190402"
"3","State",2019-04-03,"01","AL",NA,NA,803060,4069874,21101717,4381251,5386446,2867785,3433112,3380394,1163281,344781,106822,29316,8529,"01-00000-20190403"
"4","State",2019-04-04,"01","AL",NA,NA,786254,4086680,20962077,4314040,5320468,2792011,3416044,3427477,1193475,356808,110658,24188,6908,"01-00000-20190404"
"5","State",2019-04-05,"01","AL",NA,NA,785723,4087211,21207620,4177562,5310042,2934725,3516883,3518261,1233420,370697,114629,24783,6618,"01-00000-20190405"
"6","State",2019-04-06,"01","AL",NA,NA,827591,4045343,20838824,4285290,5390088,2924567,3387919,3218016,1118341,375400,111024,22008,6171,"01-00000-20190406"
"7","State",2019-04-07,"01","AL",NA,NA,891115,3981819,18686734,3854876,5012031,2692258,3078331,2714364,878761,310174,113655,25552,6732,"01-00000-20190407"
"8","State",2019-04-08,"01","AL",NA,NA,822726,4050208,19442864,4036656,4909282,2581658,3103596,3186953,1123202,351312,116272,25916,8017,"01-00000-20190408"
"9","State",2019-04-09,"01","AL",NA,NA,817027,4055907,20024845,4198861,5014545,2667080,3194569,3275981,1163498,361535,116074,25008,7694,"01-00000-20190409"
"10","State",2019-04-10,"01","AL",NA,NA,814420,4058514,21876201,4571790,5564363,2972067,3540031,3553692,1210452,346962,91443,19534,5867,"01-00000-20190410"
"11","State",2019-04-11,"01","AL",NA,NA,827603,4045331,21818588,4507923,5498702,2950265,3516873,3610680,1253726,365233,89447,20485,5254,"01-00000-20190411"
"12","State",2019-04-12,"01","AL",NA,NA,800862,4072072,21184904,4169112,5317045,2903319,3501753,3564694,1232630,372252,97089,22133,4877,"01-00000-20190412"
"13","State",2019-04-13,"01","AL",NA,NA,877375,3995559,19935765,3990507,5177772,2813942,3242032,3105100,1116870,371439,94188,19076,4839,"01-00000-20190413"
"14","State",2019-04-14,"01","AL",NA,NA,948581,3924353,18056262,3666546,4961125,2617798,2951812,2601718,834713,287606,101388,27717,5839,"01-00000-20190414"
"15","State",2019-04-15,"01","AL",NA,NA,820416,4052518,20672046,4300215,5172953,2819069,3345728,3349179,1197070,358001,99340,24330,6161,"01-00000-20190415"
"16","State",2019-04-16,"01","AL",NA,NA,808653,4064281,20561066,4275655,5150631,2747395,3336399,3376968,1192940,356982,94016,23609,6471,"01-00000-20190416"
"17","State",2019-04-17,"01","AL",NA,NA,840288,4032646,21115085,4305670,5385727,2896363,3436867,3444053,1189941,341614,88492,20890,5468,"01-00000-20190417"
"18","State",2019-04-18,"01","AL",NA,NA,856364,4016570,20403824,4154136,5218759,2797137,3326615,3310227,1156019,329195,84434,21925,5377,"01-00000-20190418"
"19","State",2019-04-19,"01","AL",NA,NA,847699,4025235,20513573,3986304,5222027,2818685,3398539,3426517,1195968,344864,92671,22064,5934,"01-00000-20190419"
"20","State",2019-04-20,"01","AL",NA,NA,894827,3978107,20523295,3996990,5395986,2921841,3417623,3229036,1122323,333180,83394,18663,4259,"01-00000-20190420"
"21","State",2019-04-21,"01","AL",NA,NA,893794,3979140,19245906,3823325,5181521,2863561,3278358,2791348,899875,287051,91908,23629,5330,"01-00000-20190421"
"22","State",2019-04-22,"01","AL",NA,NA,794667,4078267,20715547,4404617,5264379,2718432,3347452,3317309,1157084,343397,128767,25988,8122,"01-00000-20190422"
"23","State",2019-04-23,"01","AL",NA,NA,743779,4129155,20328267,4329709,5059505,2577796,3329900,3376242,1136816,347282,137425,24421,9171,"01-00000-20190423"
"24","State",2019-04-24,"01","AL",NA,NA,750753,4122181,21058458,4414626,5422519,2747993,3440097,3425003,1140729,323121,116093,20804,7473,"01-00000-20190424"
"25","State",2019-04-25,"01","AL",NA,NA,716471,4156463,20687166,4392922,5193180,2639444,3368838,3448152,1155595,336633,118623,25952,7827,"01-00000-20190425"
"26","State",2019-04-26,"01","AL",NA,NA,717798,4155136,21679656,4442938,5410791,2840727,3636845,3629957,1194602,362195,128929,24792,7880,"01-00000-20190426"
"27","State",2019-04-27,"01","AL",NA,NA,806789,4066145,21467178,4453617,5575910,2887675,3562226,3325689,1134132,373607,123784,23379,7159,"01-00000-20190427"
