"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"05","AR",NA,NA,553419,2451197,12552584,2787202,3252373,1586193,1948172,1903104,706812,251885,86828,22822,7193,"05-00000-20190401"
"2","State",2019-04-02,"05","AR",NA,NA,506712,2497904,12963457,2926827,3254189,1625987,2053080,2015165,723471,255334,84616,19328,5460,"05-00000-20190402"
"3","State",2019-04-03,"05","AR",NA,NA,520780,2483836,13284805,2914652,3407671,1713780,2130877,2054130,722587,251826,68993,15625,4664,"05-00000-20190403"
"4","State",2019-04-04,"05","AR",NA,NA,499021,2505595,12444267,2622468,3205208,1627927,2010455,1924133,707076,253652,71932,15671,5745,"05-00000-20190404"
"5","State",2019-04-05,"05","AR",NA,NA,495009,2509607,13142975,2740398,3357757,1731871,2101136,2032843,767039,305492,82891,17216,6332,"05-00000-20190405"
"6","State",2019-04-06,"05","AR",NA,NA,519321,2485295,12415654,2663036,3224700,1645516,1916550,1845140,728817,293661,77123,16602,4509,"05-00000-20190406"
"7","State",2019-04-07,"05","AR",NA,NA,546511,2458105,10813383,2259928,2924076,1497314,1741360,1502791,534212,249630,81170,17575,5327,"05-00000-20190407"
"8","State",2019-04-08,"05","AR",NA,NA,513994,2490622,12573707,2775459,3168221,1641066,1953699,1926123,723401,275343,82981,20665,6749,"05-00000-20190408"
"9","State",2019-04-09,"05","AR",NA,NA,506134,2498482,12906065,2885985,3268862,1659373,1982544,1988735,745731,266311,81004,20519,7001,"05-00000-20190409"
"10","State",2019-04-10,"05","AR",NA,NA,518608,2486008,13469632,2945783,3501639,1756936,2116621,2084415,731815,247699,65045,14464,5215,"05-00000-20190410"
"11","State",2019-04-11,"05","AR",NA,NA,531905,2472711,13210428,2881506,3349696,1703836,2044745,2096963,780930,269862,63896,14487,4507,"05-00000-20190411"
"12","State",2019-04-12,"05","AR",NA,NA,513522,2491094,13334121,2768044,3373503,1749446,2109718,2142884,801823,298158,71890,14524,4131,"05-00000-20190412"
"13","State",2019-04-13,"05","AR",NA,NA,576891,2427725,11356131,2299492,3073919,1526588,1799245,1705570,629504,242877,61160,13709,4067,"05-00000-20190413"
"14","State",2019-04-14,"05","AR",NA,NA,580098,2424518,11504467,2360362,3140618,1585055,1873402,1618225,589843,245835,69609,16218,5300,"05-00000-20190414"
"15","State",2019-04-15,"05","AR",NA,NA,516894,2487722,13075496,2870971,3355747,1697164,2027395,2015669,750404,267789,68084,17022,5251,"05-00000-20190415"
"16","State",2019-04-16,"05","AR",NA,NA,517952,2486664,12827931,2827535,3284434,1651939,2004886,1964740,741644,260567,69233,17433,5520,"05-00000-20190416"
"17","State",2019-04-17,"05","AR",NA,NA,535943,2468673,12559990,2755077,3235546,1630870,1955542,1934627,717429,250636,60316,15216,4731,"05-00000-20190417"
"18","State",2019-04-18,"05","AR",NA,NA,543533,2461083,12337992,2627348,3235806,1623992,1911377,1906822,709751,242896,60704,14613,4683,"05-00000-20190418"
"19","State",2019-04-19,"05","AR",NA,NA,513478,2491138,13288993,2721471,3343244,1770703,2126319,2116241,831182,292537,68134,14599,4563,"05-00000-20190419"
"20","State",2019-04-20,"05","AR",NA,NA,537663,2466953,13235967,2744429,3361670,1787167,2100636,2071505,787703,304196,62048,12789,3824,"05-00000-20190420"
"21","State",2019-04-21,"05","AR",NA,NA,563738,2440878,11962376,2466401,3178855,1715899,1960622,1711786,589393,249321,69139,16082,4878,"05-00000-20190421"
"22","State",2019-04-22,"05","AR",NA,NA,504604,2500012,13018799,2889935,3325166,1769793,2021698,1943316,707033,250230,85967,18606,7055,"05-00000-20190422"
"23","State",2019-04-23,"05","AR",NA,NA,471857,2532759,12682765,2868060,3228961,1662419,1957053,1928421,671723,242326,98046,18467,7289,"05-00000-20190423"
"24","State",2019-04-24,"05","AR",NA,NA,475248,2529368,12687982,2746754,3321714,1667202,1980899,1984586,659591,222370,82990,16401,5475,"05-00000-20190424"
"25","State",2019-04-25,"05","AR",NA,NA,449948,2554668,12742830,2752688,3276024,1625528,2037013,2032143,695507,220016,80962,17259,5690,"05-00000-20190425"
"26","State",2019-04-26,"05","AR",NA,NA,450803,2553813,13454171,2821599,3451626,1811714,2143915,2083652,762161,262116,93089,18682,5617,"05-00000-20190426"
"27","State",2019-04-27,"05","AR",NA,NA,508860,2495756,12871026,2728341,3372684,1716528,2046529,1914253,695365,276747,98545,16646,5388,"05-00000-20190427"
"28","State",2019-04-28,"05","AR",NA,NA,506310,2498306,11605965,2505357,3163002,1568299,1872940,1610144,544460,231821,85594,18261,6087,"05-00000-20190428"
"29","State",2019-04-29,"05","AR",NA,NA,474039,2530577,12639739,2860375,3222381,1628145,1949644,1940971,678592,234100,97600,20504,7427,"05-00000-20190429"
"30","State",2019-04-30,"05","AR",NA,NA,471572,2533044,12142235,2739001,3083390,1546755,1879234,1870988,677164,232105,86193,20490,6915,"05-00000-20190430"
"31","State",2019-05-01,"05","AR",NA,NA,485595,2519021,12441879,2704008,3276173,1591967,1910499,1971605,678629,217981,70127,15430,5460,"05-00000-20190501"
"32","State",2019-05-02,"05","AR",NA,NA,502592,2502024,12532357,2721085,3273671,1642027,1958272,1930579,681822,230186,74163,14999,5553,"05-00000-20190502"
"33","State",2019-05-03,"05","AR",NA,NA,505293,2499323,12830065,2700146,3329212,1663778,2001083,2034971,748762,257056,74962,14602,5493,"05-00000-20190503"
"34","State",2019-05-04,"05","AR",NA,NA,537314,2467302,12619543,2677613,3368318,1686686,1942276,1875243,705647,272143,73016,13757,4844,"05-00000-20190504"
"35","State",2019-05-05,"05","AR",NA,NA,531176,2473440,12017414,2595875,3250070,1623725,1903916,1705342,591213,247636,78519,15480,5638,"05-00000-20190505"
"36","State",2019-05-06,"05","AR",NA,NA,508630,2495986,11628979,2438707,3102907,1552170,1840371,1815199,612086,191896,52341,13276,10026,"05-00000-20190506"
"37","State",2019-05-07,"05","AR",NA,NA,511878,2492738,12529188,2699820,3313808,1665974,1973135,1954671,654711,193618,49743,13140,10568,"05-00000-20190507"
"38","State",2019-05-08,"05","AR",NA,NA,497101,2507515,11513909,2434119,3056751,1516119,1835796,1777073,625690,190955,51724,14250,11432,"05-00000-20190508"
