"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"04","AZ",NA,NA,1475201,5674525,30182343,7395540,7595873,3779345,4781039,4616574,1325540,397919,201390,55182,33941,"04-00000-20190401"
"2","State",2019-04-02,"04","AZ",NA,NA,1374624,5775102,30230292,7488478,7538682,3818396,4906059,4547118,1280801,392318,183976,48256,26208,"04-00000-20190402"
"3","State",2019-04-03,"04","AZ",NA,NA,1405507,5744219,31069549,7572972,8017180,3999760,4841011,4697948,1318947,389270,170750,40795,20916,"04-00000-20190403"
"4","State",2019-04-04,"04","AZ",NA,NA,1343124,5806602,30402946,7424728,7839298,3806779,4605837,4662721,1391230,424980,187121,39868,20384,"04-00000-20190404"
"5","State",2019-04-05,"04","AZ",NA,NA,1348802,5800924,29987843,7265704,7796966,3771746,4519311,4594053,1340398,429045,204337,44889,21394,"04-00000-20190405"
"6","State",2019-04-06,"04","AZ",NA,NA,1401874,5747852,29206446,7106844,7753457,3781072,4286718,4291572,1281528,428821,211196,42348,22890,"04-00000-20190406"
"7","State",2019-04-07,"04","AZ",NA,NA,1471373,5678353,26808033,6674142,7193878,3400955,3898713,3808357,1121486,417946,222243,44057,26256,"04-00000-20190407"
"8","State",2019-04-08,"04","AZ",NA,NA,1404114,5745612,28215948,6974542,7361026,3455307,4130752,4290104,1307758,402681,213109,49011,31658,"04-00000-20190408"
"9","State",2019-04-09,"04","AZ",NA,NA,1369895,5779831,28436136,7022894,7320387,3494655,4237105,4390226,1310946,387667,198774,44767,28715,"04-00000-20190409"
"10","State",2019-04-10,"04","AZ",NA,NA,1432641,5717085,30325860,7604877,8141959,3794072,4381790,4470885,1306402,382633,177004,37777,28461,"04-00000-20190410"
"11","State",2019-04-11,"04","AZ",NA,NA,1468772,5680954,30916152,7742479,8308088,3902062,4486962,4494687,1295632,411238,190417,45456,39131,"04-00000-20190411"
"12","State",2019-04-12,"04","AZ",NA,NA,1407995,5741731,30066153,7402533,8063479,3811433,4427874,4362473,1278289,423405,210066,48087,38514,"04-00000-20190412"
"13","State",2019-04-13,"04","AZ",NA,NA,1519762,5629964,30034735,7465002,8309375,3894353,4350644,4080248,1205171,439177,211179,44335,35251,"04-00000-20190413"
"14","State",2019-04-14,"04","AZ",NA,NA,1545777,5603949,28024036,7095200,7859835,3593238,3985595,3634999,1088396,444416,232012,50158,40187,"04-00000-20190414"
"15","State",2019-04-15,"04","AZ",NA,NA,1432770,5716956,29023018,7337243,7741911,3649278,4161811,4176151,1227194,418400,209166,55421,46443,"04-00000-20190415"
"16","State",2019-04-16,"04","AZ",NA,NA,1421518,5728208,28644303,7269551,7666160,3549598,4083463,4160227,1218828,396344,203703,53065,43364,"04-00000-20190416"
"17","State",2019-04-17,"04","AZ",NA,NA,1422114,5727612,30551374,7711905,8289141,3844372,4417499,4374387,1267144,378458,183524,45308,39636,"04-00000-20190417"
"18","State",2019-04-18,"04","AZ",NA,NA,1421508,5728218,31263604,7883177,8433179,3954934,4540842,4498784,1276229,404060,184967,46947,40485,"04-00000-20190418"
"19","State",2019-04-19,"04","AZ",NA,NA,1407483,5742243,31063785,7547584,8380092,3990167,4557681,4546015,1304832,445356,207932,45642,38484,"04-00000-20190419"
"20","State",2019-04-20,"04","AZ",NA,NA,1524484,5625242,30069432,7474109,8374083,3940001,4320744,4045762,1199715,427002,208034,45207,34775,"04-00000-20190420"
"21","State",2019-04-21,"04","AZ",NA,NA,1631800,5517926,26282050,6634211,7433132,3405128,3690054,3382603,1002935,400353,234534,56477,42623,"04-00000-20190421"
"22","State",2019-04-22,"04","AZ",NA,NA,1369112,5780614,29063790,6876025,7179902,3519327,4584263,4809648,1434121,408822,185450,43766,22466,"04-00000-20190422"
"23","State",2019-04-23,"04","AZ",NA,NA,1317829,5831897,28770414,6826288,7034046,3354327,4588070,4914095,1441543,381243,171295,37039,22468,"04-00000-20190423"
"24","State",2019-04-24,"04","AZ",NA,NA,1325282,5824444,30198701,7170122,7656772,3545755,4629326,5104635,1485511,405388,148082,31714,21396,"04-00000-20190424"
"25","State",2019-04-25,"04","AZ",NA,NA,1283517,5866209,31482863,7631417,7924870,3793868,4934754,5170909,1428061,394589,152089,33393,18913,"04-00000-20190425"
"26","State",2019-04-26,"04","AZ",NA,NA,1290617,5859109,30486069,7191768,7747799,3718099,4738374,5041655,1396670,417491,176729,38210,19274,"04-00000-20190426"
"27","State",2019-04-27,"04","AZ",NA,NA,1392525,5757201,29661741,6936066,7580798,3663701,4665186,4829259,1377455,381336,174603,35315,18022,"04-00000-20190427"
