"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"06","CA",NA,NA,8267285,31168851,166758821,45233554,42527913,18637252,23434196,24113735,8571991,2879784,944490,223154,192752,"06-00000-20190401"
"2","State",2019-04-02,"06","CA",NA,NA,8079410,31356726,161186698,42974429,41594819,18015474,22859963,23476663,8315634,2711170,877777,198839,161930,"06-00000-20190402"
"3","State",2019-04-03,"06","CA",NA,NA,8241727,31194409,168417791,44394804,44336985,19051706,24103121,24576151,8348654,2514681,787265,167122,137302,"06-00000-20190403"
"4","State",2019-04-04,"06","CA",NA,NA,8198514,31237622,174537731,45486134,45759677,19908295,25354830,25668661,8623692,2585332,808926,185407,156777,"06-00000-20190404"
"5","State",2019-04-05,"06","CA",NA,NA,8139798,31296338,176336792,45834366,46173947,20210598,25758103,25734885,8637015,2702749,915965,208567,160597,"06-00000-20190405"
"6","State",2019-04-06,"06","CA",NA,NA,8487619,30948517,169964260,43974291,45480438,19616679,24355018,23925297,8426033,2872239,958988,197691,157586,"06-00000-20190406"
"7","State",2019-04-07,"06","CA",NA,NA,8529277,30906859,162829140,43034400,43388716,18747637,23196210,22184203,7964060,2854422,1066677,226761,166054,"06-00000-20190407"
"8","State",2019-04-08,"06","CA",NA,NA,8212292,31223844,167146713,43890999,43106603,18731257,23967215,24625561,8607860,2812199,959368,239100,206551,"06-00000-20190408"
"9","State",2019-04-09,"06","CA",NA,NA,8077127,31359009,167134714,43898209,43130777,18743448,24187396,24708154,8516761,2661337,881505,209752,197375,"06-00000-20190409"
"10","State",2019-04-10,"06","CA",NA,NA,8177480,31258656,178748280,47410537,46998413,20226379,25754816,26127767,8660901,2479024,746151,178213,166079,"06-00000-20190410"
"11","State",2019-04-11,"06","CA",NA,NA,8234538,31201598,176640775,45545902,45945554,20127334,25894824,26488154,8775164,2636121,833671,196221,197830,"06-00000-20190411"
"12","State",2019-04-12,"06","CA",NA,NA,7876629,31559507,173608367,44344663,45337671,19882997,25626760,25861245,8561240,2651954,916487,223181,202169,"06-00000-20190412"
"13","State",2019-04-13,"06","CA",NA,NA,8445630,30990506,174902286,45596118,45776060,19917506,25210086,25219038,8854493,2951777,986044,205904,185260,"06-00000-20190413"
"14","State",2019-04-14,"06","CA",NA,NA,8685809,30750327,161775399,42939914,42454604,18371531,23038815,22440471,8138023,2865126,1072958,242574,211383,"06-00000-20190414"
"15","State",2019-04-15,"06","CA",NA,NA,8209497,31226639,162453839,42382053,41413074,18002059,23490379,24274600,8544516,2757031,1081717,262276,246134,"06-00000-20190415"
"16","State",2019-04-16,"06","CA",NA,NA,8144172,31291964,161482209,42375454,41089888,17931339,23412876,24284604,8367818,2633061,913068,237960,236141,"06-00000-20190416"
"17","State",2019-04-17,"06","CA",NA,NA,8161753,31274383,170558847,44226920,44023957,19220254,24943590,25694849,8658671,2548696,817654,209878,214378,"06-00000-20190417"
"18","State",2019-04-18,"06","CA",NA,NA,8139381,31296755,176639030,46343074,45476371,19932247,25870082,26449459,8787253,2553734,818651,199790,208369,"06-00000-20190418"
"19","State",2019-04-19,"06","CA",NA,NA,7935944,31500192,179302714,46226290,46067300,20444719,26456275,27098028,8988843,2716131,903678,207615,193835,"06-00000-20190419"
"20","State",2019-04-20,"06","CA",NA,NA,8605309,30830827,172016973,44981459,44911891,19468421,24642109,24796486,8821573,2960217,1019553,225210,190054,"06-00000-20190420"
"21","State",2019-04-21,"06","CA",NA,NA,9027889,30408247,155964706,42025074,41269042,17600926,22052433,20950374,7692868,2808432,1076156,271714,217687,"06-00000-20190421"
"22","State",2019-04-22,"06","CA",NA,NA,8114844,31321292,164314584,43366099,42151439,18591848,23406917,23954140,8659248,2869837,943296,178921,192839,"06-00000-20190422"
"23","State",2019-04-23,"06","CA",NA,NA,7809019,31627117,164715711,42786077,42740929,18795929,23807361,24423092,8453403,2627073,775146,141624,165077,"06-00000-20190423"
"24","State",2019-04-24,"06","CA",NA,NA,7882770,31553366,174002346,45047647,45960475,19956614,25064182,25765642,8707747,2548805,691127,121418,138689,"06-00000-20190424"
"25","State",2019-04-25,"06","CA",NA,NA,7678513,31757623,176723667,45203561,46778836,20664593,25786617,26074991,8614667,2602202,728547,128707,140946,"06-00000-20190425"
"26","State",2019-04-26,"06","CA",NA,NA,7541313,31894823,175086807,44241305,46170430,20573627,25749179,25826575,8685308,2696866,854955,147507,141055,"06-00000-20190426"
"27","State",2019-04-27,"06","CA",NA,NA,7884949,31551187,170764504,43924853,45523944,20189827,24810012,24186166,8231913,2789778,834712,138780,134519,"06-00000-20190427"
"28","State",2019-04-28,"06","CA",NA,NA,8038756,31397380,154769203,40025057,41600804,18637688,22352645,20772693,7332155,2754775,980342,169774,143270,"06-00000-20190428"
"29","State",2019-04-29,"06","CA",NA,NA,7604291,31831845,163077947,42103342,41987516,18926695,23605638,23927038,8472829,2792313,925043,168084,169449,"06-00000-20190429"
"30","State",2019-04-30,"06","CA",NA,NA,7447807,31988329,168971267,43913882,43472026,19669222,24653654,24842342,8549610,2732247,827542,148849,161893,"06-00000-20190430"
"31","State",2019-05-01,"06","CA",NA,NA,7537854,31898282,173731971,44604752,45416730,20315860,25435688,25609501,8786266,2606997,697052,122818,136307,"06-00000-20190501"
"32","State",2019-05-02,"06","CA",NA,NA,8046630,31389506,177870598,46252373,46875819,20411253,25726358,26215894,8854830,2553564,699991,131805,148711,"06-00000-20190502"
"33","State",2019-05-03,"06","CA",NA,NA,8066381,31369755,173406680,43965012,45654350,20132833,25400457,25771743,8667470,2660836,833488,159264,161227,"06-00000-20190503"
"34","State",2019-05-04,"06","CA",NA,NA,8474754,30961382,169350900,43246603,45433530,19673202,24447681,24115187,8423759,2851460,861156,151891,146431,"06-00000-20190504"
"35","State",2019-05-05,"06","CA",NA,NA,8510515,30925621,154341562,40210902,41578039,17862002,21958022,20947850,7638831,2774957,1009096,194228,167635,"06-00000-20190505"
"36","State",2019-05-06,"06","CA",NA,NA,8078314,31357822,160631636,40989870,43288205,18623831,23451381,23475265,7618774,2164438,589554,137931,292387,"06-00000-20190506"
"37","State",2019-05-07,"06","CA",NA,NA,8019328,31416808,165844372,42720385,44711185,19149784,24107417,24320175,7713425,2135810,551823,138376,295992,"06-00000-20190507"
"38","State",2019-05-08,"06","CA",NA,NA,8032227,31403909,164720973,42013854,44168709,18954530,24148996,24469153,7800302,2149524,553579,136803,325523,"06-00000-20190508"
"39","State",2019-05-09,"06","CA",NA,NA,7907858,31528278,167075330,42765091,44747873,19249130,24387930,24748511,7950032,2207865,587144,144904,286850,"06-00000-20190509"
"40","State",2019-05-10,"06","CA",NA,NA,7605005,31831131,169168239,41795731,45390504,19932353,25403060,25288794,7954002,2308964,657587,149627,287617,"06-00000-20190510"
"41","State",2019-05-11,"06","CA",NA,NA,8020111,31416025,167200320,42579249,45518714,19713633,24485010,23450882,7804339,2508242,694237,151741,294273,"06-00000-20190511"
"42","State",2019-05-12,"06","CA",NA,NA,8324067,31112069,148605590,37319240,40506424,17229208,21574020,20996300,7218536,2491157,775567,164013,331125,"06-00000-20190512"
"43","State",2019-05-13,"06","CA",NA,NA,8150565,31285571,156324777,39875816,41947786,17978763,22769538,23005126,7460232,2195366,610828,148660,332662,"06-00000-20190513"
"44","State",2019-05-14,"06","CA",NA,NA,7990908,31445228,160048070,41090625,42408586,18341886,23583729,23822371,7656621,2129981,554287,137431,322553,"06-00000-20190514"
"45","State",2019-05-15,"06","CA",NA,NA,8044338,31391798,158072121,40077938,41859662,18131930,23314026,23757860,7687246,2161199,579202,152645,350413,"06-00000-20190515"
"46","State",2019-05-16,"06","CA",NA,NA,7867720,31568416,158135790,39603331,42018159,18329015,23456612,23850404,7582175,2154968,611372,166598,363156,"06-00000-20190516"
"47","State",2019-05-17,"06","CA",NA,NA,7744987,31691149,167338462,42750709,44239765,19382498,24576330,24754863,8014218,2372437,697671,178390,371581,"06-00000-20190517"
"48","State",2019-05-18,"06","CA",NA,NA,8170672,31265464,162080692,41274996,43141094,18774835,23662621,23568268,7886701,2530706,729274,164073,348124,"06-00000-20190518"
"49","State",2019-05-19,"06","CA",NA,NA,8577975,30858161,144930083,36890207,40201480,16674419,20803624,19918655,6708412,2369571,814902,197495,351318,"06-00000-20190519"
"50","State",2019-05-20,"06","CA",NA,NA,8165351,31270785,161443026,41462520,43308690,18461849,23409058,23716115,7789585,2173179,609188,165151,347691,"06-00000-20190520"
"51","State",2019-05-21,"06","CA",NA,NA,8213086,31223050,162784897,41817777,43674032,18523843,23759864,24151685,7698189,2117864,543415,153903,344325,"06-00000-20190521"
"52","State",2019-05-22,"06","CA",NA,NA,7984354,31451782,163635512,41901015,43671635,18731120,23978915,24269960,7847204,2154235,576239,155641,349548,"06-00000-20190522"
"53","State",2019-05-23,"06","CA",NA,NA,7900502,31535634,161893322,40778433,42913636,18512216,23989312,24461003,7847735,2240121,638951,175299,336616,"06-00000-20190523"
"54","State",2019-05-24,"06","CA",NA,NA,7821095,31615041,171084250,43392879,45465522,19802645,25245640,25292796,8136424,2416709,783574,200038,348023,"06-00000-20190524"
"55","State",2019-05-25,"06","CA",NA,NA,8188184,31247952,170964376,44968808,45509800,19498636,24563132,24277212,8149250,2625347,829621,197792,344778,"06-00000-20190525"
"56","State",2019-05-26,"06","CA",NA,NA,8457311,30978825,160339956,41718094,44363984,18423502,22696483,21920169,7329157,2517473,843866,186926,340302,"06-00000-20190526"
"57","State",2019-05-27,"06","CA",NA,NA,8494878,30941258,152033552,39357922,42702121,17164183,21173316,20785068,7020789,2448623,881017,203891,296622,"06-00000-20190527"
"58","State",2019-05-28,"06","CA",NA,NA,7986553,31449583,177320317,46688275,47484740,20093860,25523506,25856958,8298077,2295138,634444,165008,280311,"06-00000-20190528"
"59","State",2019-05-29,"06","CA",NA,NA,7648223,31787913,179640092,46864167,47431468,20519033,26283044,26801195,8405012,2304064,593167,154471,284471,"06-00000-20190529"
"60","State",2019-05-30,"06","CA",NA,NA,7680898,31755238,177780584,46259516,46937160,20239852,25963391,26450411,8467084,2364330,623419,164823,310598,"06-00000-20190530"
"61","State",2019-05-31,"06","CA",NA,NA,7549429,31886707,186405873,48140198,49477390,21442185,27438770,27513706,8717425,2489924,725962,177347,282966,"06-00000-20190531"
"62","State",2019-06-01,"06","CA",NA,NA,8170945,31265191,177615561,46751742,48230958,20301732,25159506,24895039,8359153,2666029,769897,181574,299931,"06-00000-20190601"
"63","State",2019-06-02,"06","CA",NA,NA,8372246,31063890,164570495,43639523,44727633,18785000,23293246,22617502,7613294,2545643,842494,205547,300613,"06-00000-20190602"
"64","State",2019-06-03,"06","CA",NA,NA,7969524,31466612,179494291,47766372,48125099,20381035,25676282,25751201,8321106,2373269,663749,157551,278627,"06-00000-20190603"
"65","State",2019-06-04,"06","CA",NA,NA,7835579,31600557,170904193,44374313,45111421,19436567,24839361,25475614,8299202,2320095,609885,157383,280352,"06-00000-20190604"
"66","State",2019-06-05,"06","CA",NA,NA,7832118,31604018,172293829,44382270,45529228,19539881,25116238,25869158,8485869,2312035,597499,167788,293863,"06-00000-20190605"
"67","State",2019-06-06,"06","CA",NA,NA,7675280,31760856,183138417,48172269,47809853,20803557,26947127,27202713,8680009,2410069,636126,178543,298151,"06-00000-20190606"
"68","State",2019-06-07,"06","CA",NA,NA,7716967,31719169,184294784,48453943,48197516,21043962,26952605,27149857,8694556,2551003,753304,198512,299526,"06-00000-20190607"
"69","State",2019-06-08,"06","CA",NA,NA,7980047,31456089,182859382,48724123,48263105,20849682,26461011,25847593,8748785,2727021,771480,180479,286103,"06-00000-20190608"
"70","State",2019-06-09,"06","CA",NA,NA,8468023,30968113,164604968,43469769,44337300,18729686,23317773,22790977,7898299,2646235,866212,214464,334253,"06-00000-20190609"
"71","State",2019-06-10,"06","CA",NA,NA,8031994,31404142,167630524,42290189,44138923,19250831,24695179,25251901,8424957,2416201,687213,176881,298249,"06-00000-20190610"
"72","State",2019-06-11,"06","CA",NA,NA,8080311,31355825,171981542,43958168,44876282,19757322,25339631,26172666,8475952,2337009,609793,160488,294231,"06-00000-20190611"
"73","State",2019-06-12,"06","CA",NA,NA,7881686,31554450,168317488,42726328,43559410,19284341,24929966,25912319,8471951,2338987,650268,163557,280361,"06-00000-20190612"
"74","State",2019-06-13,"06","CA",NA,NA,7950879,31485257,163888652,41117093,42324354,18603001,24423056,25472596,8438681,2365862,685083,175476,283450,"06-00000-20190613"
"75","State",2019-06-14,"06","CA",NA,NA,7802289,31633847,173206677,43700660,44345381,19739099,25696238,26946544,8917018,2597955,789741,193211,280830,"06-00000-20190614"
"76","State",2019-06-15,"06","CA",NA,NA,8060958,31375178,174264380,45049559,45655425,19953907,25230398,25574802,8817168,2753082,795503,172307,262229,"06-00000-20190615"
"77","State",2019-06-16,"06","CA",NA,NA,8398724,31037412,149309995,37802190,39544425,16895537,21423601,21790078,7812296,2657897,889576,195379,299016,"06-00000-20190616"
"78","State",2019-06-17,"06","CA",NA,NA,8071718,31364418,157701160,39635682,41097635,17749368,23114093,24276961,8215790,2407012,727529,180725,296365,"06-00000-20190617"
"79","State",2019-06-18,"06","CA",NA,NA,7952119,31484017,162666474,40505946,42176957,18617160,24243303,25385399,8352273,2308149,641967,156857,278463,"06-00000-20190618"
"80","State",2019-06-19,"06","CA",NA,NA,8037235,31398901,164926249,41546539,43284726,18786476,24328669,25271800,8380203,2298225,636573,151677,241361,"06-00000-20190619"
"81","State",2019-06-20,"06","CA",NA,NA,7915096,31521040,167572551,41664059,43460797,19378521,25079564,26028586,8523247,2368521,652427,167713,249116,"06-00000-20190620"
"82","State",2019-06-21,"06","CA",NA,NA,7943375,31492761,167537691,41511115,44054597,19406759,24992462,25486815,8415134,2478188,768356,179781,244484,"06-00000-20190621"
"83","State",2019-06-22,"06","CA",NA,NA,8296448,31139688,173645886,45066231,46134906,19833718,25113198,25043854,8543371,2687760,803293,169098,250457,"06-00000-20190622"
"84","State",2019-06-23,"06","CA",NA,NA,7767605,31668531,153026297,38707700,40564589,17363462,22396774,22268056,7717356,2564285,861053,210587,372435,"06-00000-20190623"
"85","State",2019-06-24,"06","CA",NA,NA,7327405,32108731,165896160,42271594,42756782,18769107,24613816,25508265,8374843,2399450,690679,175744,335880,"06-00000-20190624"
"86","State",2019-06-25,"06","CA",NA,NA,7522549,31913587,179890203,45119101,46931482,20707087,26898913,27649216,8998628,2472359,634781,157903,320733,"06-00000-20190625"
"87","State",2019-06-26,"06","CA",NA,NA,7583149,31852987,179783064,45318359,46786728,20417972,26637949,27861495,9121246,2513574,656741,152744,316256,"06-00000-20190626"
"88","State",2019-06-27,"06","CA",NA,NA,7459363,31976773,177335446,44408416,45771243,20024379,26463146,27851408,9154396,2506585,682610,156939,316324,"06-00000-20190627"
"89","State",2019-06-28,"06","CA",NA,NA,7274091,32162045,187720759,48006546,48459914,21400702,27852936,28725106,9340290,2653299,799514,174737,307715,"06-00000-20190628"
"90","State",2019-06-29,"06","CA",NA,NA,7653588,31782548,190143157,50237244,50339246,21455706,27344409,27344340,9237827,2886360,811733,175365,310927,"06-00000-20190629"
"91","State",2019-06-30,"06","CA",NA,NA,7878091,31558045,170880745,44393995,46409466,19283737,24420493,23987454,8121608,2749319,927981,212136,374556,"06-00000-20190630"
"92","State",2019-07-01,"06","CA",NA,NA,7403742,32032394,178171965,45379264,46849765,20226221,26245408,27019170,8756695,2481443,698745,170506,344748,"06-00000-20190701"
"93","State",2019-07-02,"06","CA",NA,NA,7407552,32028584,175581237,43479599,45811149,20138584,26461369,27290767,8824299,2423813,647680,165472,338505,"06-00000-20190702"
"94","State",2019-07-03,"06","CA",NA,NA,7222422,32213714,179390234,44729922,46922006,20598487,26787492,27724230,9018506,2476602,671465,167226,294298,"06-00000-20190703"
"95","State",2019-07-04,"06","CA",NA,NA,7875923,31560213,154566973,38810992,41181558,17424347,22175525,22806773,8067738,2712266,877498,200867,309409,"06-00000-20190704"
"96","State",2019-07-05,"06","CA",NA,NA,7375875,32060261,191529379,48902425,50138540,21827498,28245370,28922773,9444004,2752358,819292,174227,302892,"06-00000-20190705"
"97","State",2019-07-06,"06","CA",NA,NA,7502625,31933511,198469106,52866593,53054302,22551444,28275950,28112088,9386200,2900781,834295,166768,320685,"06-00000-20190706"
"98","State",2019-07-07,"06","CA",NA,NA,7753819,31682317,173844580,43663881,48466187,20062858,25124876,24193054,8111653,2737917,915184,209411,359559,"06-00000-20190707"
"99","State",2019-07-08,"06","CA",NA,NA,7333602,32102534,185574958,46610187,49752389,21239711,27493604,27969636,8890686,2470025,660405,157419,330896,"06-00000-20190708"
"100","State",2019-07-09,"06","CA",NA,NA,7446870,31989266,187237804,47711056,49812367,21349904,27803751,28123200,8966491,2390388,621744,146690,312213,"06-00000-20190709"
"101","State",2019-07-10,"06","CA",NA,NA,7273906,32162230,186925608,46573690,49649016,21428597,27933823,28639436,9201957,2429992,634816,147288,286993,"06-00000-20190710"
"102","State",2019-07-11,"06","CA",NA,NA,7348547,32087589,191274101,47751801,50872375,21937065,28711611,29139710,9293721,2475487,654124,151329,286878,"06-00000-20190711"
"103","State",2019-07-12,"06","CA",NA,NA,7100837,32335299,199963999,49889812,53354655,23189918,29771959,30359813,9585410,2653496,750136,158741,250059,"06-00000-20190712"
"104","State",2019-07-13,"06","CA",NA,NA,7515240,31920896,198425101,50589562,54331529,22695404,28679862,28546489,9504330,2895966,782719,155962,243278,"06-00000-20190713"
"105","State",2019-07-14,"06","CA",NA,NA,7790697,31645439,178951573,44709464,49993705,20688492,25850341,25104906,8388455,2783917,905863,186428,340002,"06-00000-20190714"
"106","State",2019-07-15,"06","CA",NA,NA,7198148,32237988,187617916,46904003,50336700,21739554,27930754,28077823,9052551,2426282,652771,160060,337418,"06-00000-20190715"
"107","State",2019-07-16,"06","CA",NA,NA,7159304,32276832,189184383,47110225,50736357,21968057,28321864,28694836,8994972,2328582,577693,139552,312245,"06-00000-20190716"
"108","State",2019-07-17,"06","CA",NA,NA,7157535,32278601,198199602,49840662,53517436,22811986,29347677,29849627,9381543,2454511,583800,141899,270461,"06-00000-20190717"
"109","State",2019-07-18,"06","CA",NA,NA,7214390,32221746,193771646,47911947,51512162,22815923,29428163,29345330,9132342,2470120,618228,159595,377836,"06-00000-20190718"
"110","State",2019-07-19,"06","CA",NA,NA,7158193,32277943,201707383,49816164,53894311,23532105,30273767,30774902,9582796,2664133,729921,163242,276042,"06-00000-20190719"
"111","State",2019-07-20,"06","CA",NA,NA,7360922,32075214,201369180,50876396,54212162,23386765,29696611,29281219,9756023,2967979,776478,153339,262208,"06-00000-20190720"
"112","State",2019-07-21,"06","CA",NA,NA,7660539,31775597,175109398,42039161,48015175,21183257,26294742,25113484,8272787,2750676,904249,183227,352640,"06-00000-20190721"
"113","State",2019-07-22,"06","CA",NA,NA,7387963,32048173,184365799,45265207,48888458,22007420,27934591,27901573,8730260,2419882,676895,160167,381346,"06-00000-20190722"
"114","State",2019-07-23,"06","CA",NA,NA,7506531,31929605,185045941,45270050,49352667,21950656,28240210,28053396,8794575,2303658,586298,146776,347655,"06-00000-20190723"
"115","State",2019-07-24,"06","CA",NA,NA,7522996,31913140,191730084,46989458,51535740,22562183,28859717,29293195,9107428,2393127,580207,130840,278189,"06-00000-20190724"
