"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"08","CO",NA,NA,1277871,4400285,28423788,6738693,7700300,3581031,4418139,4099069,1210976,430966,147194,38841,58579,"08-00000-20190401"
"2","State",2019-04-02,"08","CO",NA,NA,1210947,4467209,28616783,6871300,7691328,3632323,4538841,4085127,1168107,409873,142525,33160,44199,"08-00000-20190402"
"3","State",2019-04-03,"08","CO",NA,NA,1248136,4430020,29770183,7126571,8297785,3762656,4575340,4280563,1169802,363261,124406,28477,41322,"08-00000-20190403"
"4","State",2019-04-04,"08","CO",NA,NA,1205236,4472920,30149777,7340125,8431521,3798544,4519037,4224384,1220708,409611,130655,30654,44538,"08-00000-20190404"
"5","State",2019-04-05,"08","CO",NA,NA,1223214,4454942,29875008,7235824,8331987,3702390,4503335,4191472,1248097,439572,146280,31249,44802,"08-00000-20190405"
"6","State",2019-04-06,"08","CO",NA,NA,1271099,4407057,29084793,7122363,8282000,3699407,4266379,3857505,1191287,449197,149590,30006,37059,"08-00000-20190406"
"7","State",2019-04-07,"08","CO",NA,NA,1318949,4359207,27158299,6703895,7847644,3442902,3987357,3383943,1093991,441656,173466,37369,46076,"08-00000-20190407"
"8","State",2019-04-08,"08","CO",NA,NA,1244207,4433949,28525565,6995900,7886412,3513955,4241550,3965994,1219774,440514,164043,39398,58025,"08-00000-20190408"
"9","State",2019-04-09,"08","CO",NA,NA,1239306,4438850,28298746,7056944,7699749,3433815,4203214,4011637,1209222,428132,166466,38462,51105,"08-00000-20190409"
"10","State",2019-04-10,"08","CO",NA,NA,1316575,4361581,27185100,6666319,7942188,3305276,3949091,3707384,1058290,348159,131285,34479,42629,"08-00000-20190410"
"11","State",2019-04-11,"08","CO",NA,NA,1336387,4341769,28910292,7012483,8474103,3608766,4261071,3869656,1094668,356274,137638,35124,60509,"08-00000-20190411"
"12","State",2019-04-12,"08","CO",NA,NA,1237352,4440804,29355912,6816748,8336954,3672679,4431748,4155130,1247093,438468,162671,39395,55026,"08-00000-20190412"
"13","State",2019-04-13,"08","CO",NA,NA,1362755,4315401,28232439,6588812,8324295,3638960,4182104,3706463,1146668,416376,147234,37324,44203,"08-00000-20190413"
"14","State",2019-04-14,"08","CO",NA,NA,1342153,4336003,27578322,6761464,8077761,3511839,3935906,3439240,1127707,439501,183628,44572,56704,"08-00000-20190414"
"15","State",2019-04-15,"08","CO",NA,NA,1235901,4442255,28864249,7129716,8066673,3522184,4242822,3961818,1240218,420258,166659,46406,67495,"08-00000-20190415"
"16","State",2019-04-16,"08","CO",NA,NA,1229980,4448176,28673641,7144263,7972634,3483405,4236707,3956125,1209367,403463,155923,47551,64203,"08-00000-20190416"
"17","State",2019-04-17,"08","CO",NA,NA,1262282,4415874,29591469,7238272,8365430,3581198,4402219,4154689,1228459,381833,141325,39832,58212,"08-00000-20190417"
"18","State",2019-04-18,"08","CO",NA,NA,1242904,4435252,30543039,7454027,8623627,3755548,4574835,4209426,1278221,400668,144892,42480,59315,"08-00000-20190418"
"19","State",2019-04-19,"08","CO",NA,NA,1201744,4476412,31671782,7677959,8907727,3941111,4692079,4433228,1336369,429015,160603,39067,54624,"08-00000-20190419"
