"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"09","CT",NA,NA,735918,2825827,15523488,3630028,3970327,1879984,2391054,2485141,806854,238105,65249,17640,39106,"09-00000-20190401"
"2","State",2019-04-02,"09","CT",NA,NA,703467,2858278,15344215,3522208,3933212,1882595,2366820,2521356,773527,211117,59521,21144,52715,"09-00000-20190402"
"3","State",2019-04-03,"09","CT",NA,NA,720339,2841406,16235952,3732315,4184696,2044690,2553526,2633111,778782,195341,51614,18199,43678,"09-00000-20190403"
"4","State",2019-04-04,"09","CT",NA,NA,708555,2853190,16496316,3692978,4267858,2070082,2685790,2667259,804587,191583,52733,17139,46307,"09-00000-20190404"
"5","State",2019-04-05,"09","CT",NA,NA,705636,2856109,16018895,3413843,4154282,2037037,2655010,2673558,766195,203596,51316,19047,45011,"09-00000-20190405"
"6","State",2019-04-06,"09","CT",NA,NA,735683,2826062,16263458,3544007,4336760,2079539,2673054,2565859,738605,215245,52815,19649,37925,"09-00000-20190406"
"7","State",2019-04-07,"09","CT",NA,NA,766243,2795502,14816905,3277413,4097911,1906937,2330369,2211379,670837,204796,51021,21300,44942,"09-00000-20190407"
"8","State",2019-04-08,"09","CT",NA,NA,723459,2838286,14896801,3121292,3824859,1804883,2415822,2582677,799355,218601,58694,22887,47731,"09-00000-20190408"
"9","State",2019-04-09,"09","CT",NA,NA,716202,2845543,14939078,3094635,3829721,1849800,2412360,2611360,795857,217696,55288,22607,49754,"09-00000-20190409"
"10","State",2019-04-10,"09","CT",NA,NA,726567,2835178,16311738,3418516,4223714,2046184,2692285,2835506,808469,199281,38125,15537,34121,"09-00000-20190410"
"11","State",2019-04-11,"09","CT",NA,NA,734199,2827546,16424484,3371442,4192410,2061531,2773818,2888036,849417,208160,38007,15891,25772,"09-00000-20190411"
"12","State",2019-04-12,"09","CT",NA,NA,710196,2851549,16228168,3302880,4127238,2070356,2771753,2833459,826840,207729,41688,19000,27225,"09-00000-20190412"
"13","State",2019-04-13,"09","CT",NA,NA,759392,2802353,16275320,3472610,4227397,2076904,2718999,2708746,749311,218234,50040,22460,30619,"09-00000-20190413"
"14","State",2019-04-14,"09","CT",NA,NA,804460,2757285,14600842,3153693,3924211,1894237,2403055,2244663,670173,214022,49992,21220,25576,"09-00000-20190414"
"15","State",2019-04-15,"09","CT",NA,NA,750183,2811562,14726722,3156530,3683327,1805307,2456094,2550486,775144,209547,41157,19572,29558,"09-00000-20190415"
"16","State",2019-04-16,"09","CT",NA,NA,725202,2836543,15661102,3400605,3877139,1940270,2605438,2725442,808478,213188,44052,19133,27357,"09-00000-20190416"
"17","State",2019-04-17,"09","CT",NA,NA,736422,2825323,16364661,3496238,4078389,2058241,2773603,2856761,807976,212685,42184,14849,23735,"09-00000-20190417"
"18","State",2019-04-18,"09","CT",NA,NA,737936,2823809,16162144,3374251,4022257,2008948,2725878,2894142,853694,208409,38274,15503,20788,"09-00000-20190418"
