"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"10","DE",NA,NA,191881,772333,3755469,821979,933784,434808,596489,631420,231580,63794,28316,8449,4850,"10-00000-20190401"
"2","State",2019-04-02,"10","DE",NA,NA,179502,784712,3632254,784555,910983,429557,571968,602655,224244,56797,28027,15940,7528,"10-00000-20190402"
"3","State",2019-04-03,"10","DE",NA,NA,183226,780988,3897891,850437,981590,469007,619730,649373,227315,51714,24507,18750,5468,"10-00000-20190403"
"4","State",2019-04-04,"10","DE",NA,NA,181916,782298,3905303,854458,978146,445712,634715,671954,227204,52172,20883,14776,5283,"10-00000-20190404"
"5","State",2019-04-05,"10","DE",NA,NA,180885,783329,3803272,769059,960862,459171,634303,651672,232472,55213,21297,14345,4878,"10-00000-20190405"
"6","State",2019-04-06,"10","DE",NA,NA,191812,772402,3849971,811350,1007871,473024,626062,613294,217909,57597,22837,16121,3906,"10-00000-20190406"
"7","State",2019-04-07,"10","DE",NA,NA,196841,767373,3530376,771976,956556,428912,548953,519521,199356,56724,25944,18397,4037,"10-00000-20190407"
"8","State",2019-04-08,"10","DE",NA,NA,186652,777562,3823347,842058,952778,446287,618698,633160,224808,54679,24275,21920,4684,"10-00000-20190408"
"9","State",2019-04-09,"10","DE",NA,NA,181872,782342,3774683,814632,939012,450475,611992,624247,232927,52384,22088,20855,6071,"10-00000-20190409"
"10","State",2019-04-10,"10","DE",NA,NA,187211,777003,4065456,879083,1030800,488695,662101,681518,237984,48212,16646,15818,4599,"10-00000-20190410"
"11","State",2019-04-11,"10","DE",NA,NA,194719,769495,4212109,880987,1061285,502039,696043,736731,261136,51472,17846,3241,1329,"10-00000-20190411"
"12","State",2019-04-12,"10","DE",NA,NA,187071,777143,4082471,842706,1039269,493046,695640,688063,246165,53815,19071,3296,1400,"10-00000-20190412"
"13","State",2019-04-13,"10","DE",NA,NA,203786,760428,4020527,863295,1061881,477068,649554,662864,227582,56035,18043,3007,1198,"10-00000-20190413"
"14","State",2019-04-14,"10","DE",NA,NA,215810,748404,3564142,775408,941882,421002,578481,555895,205738,55830,23906,4465,1535,"10-00000-20190414"
"15","State",2019-04-15,"10","DE",NA,NA,201240,762974,3763278,808129,942296,432723,619234,651668,234340,50138,19098,4093,1559,"10-00000-20190415"
"16","State",2019-04-16,"10","DE",NA,NA,190751,773463,3949032,846154,987108,462122,652857,684361,242265,50660,19242,2894,1369,"10-00000-20190416"
"17","State",2019-04-17,"10","DE",NA,NA,195826,768388,4128113,880862,1045546,494506,674153,714066,245009,52208,16679,3823,1261,"10-00000-20190417"
