"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"12","FL",NA,NA,3623817,17610405,85892464,21926364,21912741,10695112,13411669,12666918,3626879,1024885,449934,98279,79683,"12-00000-20190401"
"2","State",2019-04-02,"12","FL",NA,NA,3235267,17998955,87857080,22654885,22124745,11046378,13716239,13233638,3614799,939670,389715,78948,58063,"12-00000-20190402"
"3","State",2019-04-03,"12","FL",NA,NA,3249560,17984662,92478905,23623177,23602376,11643280,14754010,13759066,3732852,906458,336389,66315,54982,"12-00000-20190403"
"4","State",2019-04-04,"12","FL",NA,NA,3179400,18054822,92503780,23325413,23598446,11692019,14868419,13781812,3793188,949390,369239,72218,53636,"12-00000-20190404"
"5","State",2019-04-05,"12","FL",NA,NA,3168064,18066158,89994362,22084718,22983697,11486826,14545520,13564795,3768815,1000802,426538,83870,48781,"12-00000-20190405"
"6","State",2019-04-06,"12","FL",NA,NA,3280603,17953619,88783850,22380142,22995759,11272570,14079906,12687196,3714930,1060191,454037,91298,47821,"12-00000-20190406"
"7","State",2019-04-07,"12","FL",NA,NA,3545376,17688846,80713012,20786439,21539560,10269696,12539406,10897238,3155296,960468,431441,79857,53611,"12-00000-20190407"
"8","State",2019-04-08,"12","FL",NA,NA,3255979,17978243,85452638,21488447,21540194,10645957,13625173,12968989,3667337,961640,408184,82881,63836,"12-00000-20190408"
"9","State",2019-04-09,"12","FL",NA,NA,3212667,18021555,84755896,21310432,21459689,10547366,13503960,12885976,3616930,918754,372760,79917,60112,"12-00000-20190409"
"10","State",2019-04-10,"12","FL",NA,NA,3253386,17980836,90896336,22885088,23309243,11456341,14426547,13771837,3742247,860683,322088,64821,57441,"12-00000-20190410"
"11","State",2019-04-11,"12","FL",NA,NA,3260169,17974053,92286354,23054765,23445440,11658902,14768999,14104304,3851994,907447,346363,74459,73681,"12-00000-20190411"
"12","State",2019-04-12,"12","FL",NA,NA,3147666,18086556,89370051,21656276,22805022,11529436,14455887,13654928,3786669,931216,397165,81975,71477,"12-00000-20190412"
"13","State",2019-04-13,"12","FL",NA,NA,3489604,17744618,85926400,21135191,22621083,11124544,13567377,12440509,3543051,960270,387354,80088,66933,"12-00000-20190413"
"14","State",2019-04-14,"12","FL",NA,NA,3719973,17514249,78414702,20090518,21242166,9993081,12035281,10494866,3024438,919517,442481,96350,76004,"12-00000-20190414"
"15","State",2019-04-15,"12","FL",NA,NA,3305145,17929077,85981340,21736441,21967037,10820939,13573300,12848865,3598175,876424,377413,92288,90458,"12-00000-20190415"
"16","State",2019-04-16,"12","FL",NA,NA,3238976,17995246,86215383,21694595,21993289,10885463,13639747,13024105,3593801,866750,349534,84549,83550,"12-00000-20190416"
