"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"13","GA",NA,NA,1986671,8500652,40697410,8956371,9878643,4906326,6469483,6613811,2564819,731864,403764,115285,57044,"13-00000-20190401"
"2","State",2019-04-02,"13","GA",NA,NA,1856496,8630827,40787656,8964843,9907405,4887743,6559516,6608575,2568076,733716,399716,112681,45385,"13-00000-20190402"
"3","State",2019-04-03,"13","GA",NA,NA,1880354,8606969,42899066,9359704,10474625,5238678,6901126,7119815,2601498,714444,359878,94594,34704,"13-00000-20190403"
"4","State",2019-04-04,"13","GA",NA,NA,1850077,8637246,42838034,9197115,10405703,5285960,6908898,7115780,2632661,759325,391053,102481,39058,"13-00000-20190404"
"5","State",2019-04-05,"13","GA",NA,NA,1844942,8642381,42241301,8810810,10306232,5254839,6928843,7087273,2564256,739352,401755,108289,39652,"13-00000-20190405"
"6","State",2019-04-06,"13","GA",NA,NA,1927206,8560117,41889982,8999659,10629725,5326419,6807974,6565967,2312639,723291,387514,102301,34493,"13-00000-20190406"
"7","State",2019-04-07,"13","GA",NA,NA,2036948,8450375,38423969,8318179,10002649,4934365,6225583,5716028,1970420,661497,429679,123016,42553,"13-00000-20190407"
"8","State",2019-04-08,"13","GA",NA,NA,1891886,8595437,40395147,8719382,9962012,4914042,6411383,6663794,2492915,703372,373011,104686,50550,"13-00000-20190408"
"9","State",2019-04-09,"13","GA",NA,NA,1874201,8613122,40404902,8874368,9951796,4868863,6405308,6622639,2491664,675533,365872,99658,49201,"13-00000-20190409"
"10","State",2019-04-10,"13","GA",NA,NA,1888964,8598359,44468471,9704992,11159411,5541469,7157385,7272289,2550175,656684,305724,78558,41784,"13-00000-20190410"
"11","State",2019-04-11,"13","GA",NA,NA,1922509,8564814,45034144,9729328,11191884,5624015,7195301,7485903,2653904,691274,334864,83800,43871,"13-00000-20190411"
"12","State",2019-04-12,"13","GA",NA,NA,1850695,8636628,43653797,9106969,10894513,5539254,7072996,7324360,2546365,690501,350353,86204,42282,"13-00000-20190412"
"13","State",2019-04-13,"13","GA",NA,NA,2002037,8485286,43157928,9177118,10903471,5556327,7068219,6959313,2382615,687496,311957,77324,34088,"13-00000-20190413"
"14","State",2019-04-14,"13","GA",NA,NA,2128471,8358852,36836577,7911513,9888074,4745050,5904335,5458877,1796110,594571,388697,105001,44349,"13-00000-20190414"
"15","State",2019-04-15,"13","GA",NA,NA,1890989,8596334,42813241,9277041,10761987,5304591,6828287,6958754,2504417,680505,339949,102423,55287,"13-00000-20190415"
"16","State",2019-04-16,"13","GA",NA,NA,1856703,8630620,42530176,9225401,10585529,5283697,6830846,7022327,2474073,648849,320438,90489,48527,"13-00000-20190416"
"17","State",2019-04-17,"13","GA",NA,NA,1895194,8592129,44313660,9498309,11181999,5573076,7203934,7300318,2515814,627942,292528,77074,42666,"13-00000-20190417"
"18","State",2019-04-18,"13","GA",NA,NA,1917535,8569788,44650268,9521773,11219151,5606806,7229840,7437422,2557953,655263,300545,78753,42762,"13-00000-20190418"
"19","State",2019-04-19,"13","GA",NA,NA,1917333,8569990,41941768,8729541,10706480,5304802,6819839,6920468,2390028,622377,319192,84711,44330,"13-00000-20190419"
"20","State",2019-04-20,"13","GA",NA,NA,2055527,8431796,42271855,8808348,10879805,5475798,6944280,6763814,2312500,661794,309793,79433,36290,"13-00000-20190420"
"21","State",2019-04-21,"13","GA",NA,NA,2121117,8366206,39874647,8525186,10535247,5231311,6575570,6011655,1910302,592573,350792,97986,44025,"13-00000-20190421"
"22","State",2019-04-22,"13","GA",NA,NA,1844120,8643203,42976217,9490310,10796063,5246160,6837243,6890863,2538178,642767,386417,102048,46168,"13-00000-20190422"
"23","State",2019-04-23,"13","GA",NA,NA,1745317,8742006,42495928,9324911,10586742,5132679,6861358,6903512,2541814,654269,355787,86936,47920,"13-00000-20190423"
"24","State",2019-04-24,"13","GA",NA,NA,1729082,8758241,44390910,9649193,11325676,5413284,7138517,7232681,2599597,622546,300255,67255,41906,"13-00000-20190424"
"25","State",2019-04-25,"13","GA",NA,NA,1691180,8796143,44240078,9623751,11159756,5348563,7113206,7288898,2625665,649669,310905,79997,39668,"13-00000-20190425"
"26","State",2019-04-26,"13","GA",NA,NA,1696284,8791039,44694146,9536587,11198564,5516402,7325498,7353585,2625229,677869,338629,80597,41186,"13-00000-20190426"
"27","State",2019-04-27,"13","GA",NA,NA,1840196,8647127,45079045,9849512,11496674,5629695,7344679,7063417,2547328,717727,322233,73819,33961,"13-00000-20190427"
"28","State",2019-04-28,"13","GA",NA,NA,1827727,8659596,40337467,8984805,10613369,5019271,6527066,5920247,2114417,633292,386455,98133,40412,"13-00000-20190428"
"29","State",2019-04-29,"13","GA",NA,NA,1710613,8776710,42983845,9542033,10695284,5206095,6916864,6938600,2555632,663831,328405,92265,44836,"13-00000-20190429"
"30","State",2019-04-30,"13","GA",NA,NA,1685618,8801705,43229488,9595964,10736065,5239214,6941884,6977272,2593631,655609,352895,95971,40983,"13-00000-20190430"
"31","State",2019-05-01,"13","GA",NA,NA,1721016,8766307,45010060,9901922,11406452,5557926,7248367,7247501,2617695,627697,282441,78227,41832,"13-00000-20190501"
"32","State",2019-05-02,"13","GA",NA,NA,1753751,8733572,46182263,10057560,11622030,5693030,7411561,7587478,2711755,655437,319885,81073,42454,"13-00000-20190502"
"33","State",2019-05-03,"13","GA",NA,NA,1777348,8709975,45182054,9448377,11338809,5700859,7421334,7495815,2641714,685668,328340,81672,39466,"13-00000-20190503"
"34","State",2019-05-04,"13","GA",NA,NA,1886258,8601065,43437696,9234816,11198817,5587189,7134613,6806529,2384325,670320,310640,77101,33346,"13-00000-20190504"
"35","State",2019-05-05,"13","GA",NA,NA,1985637,8501686,39812570,8692770,10615746,5167433,6448989,5865834,1944321,608739,345136,87265,36337,"13-00000-20190505"
"36","State",2019-05-06,"13","GA",NA,NA,1827403,8659920,40765470,8570335,10641657,5185613,6680176,6585217,2220808,521777,222529,67163,70195,"13-00000-20190506"
"37","State",2019-05-07,"13","GA",NA,NA,1777287,8710036,42818801,9143092,11096245,5469590,6988441,6936258,2300718,535641,216146,62145,70525,"13-00000-20190507"
"38","State",2019-05-08,"13","GA",NA,NA,1798518,8688805,42272490,8982955,10879746,5387705,6910640,6879351,2311361,542977,229628,70208,77919,"13-00000-20190508"
"39","State",2019-05-09,"13","GA",NA,NA,1788220,8699103,42734010,9121328,11018352,5421424,6952104,6934108,2339019,561558,241921,71655,72541,"13-00000-20190509"
"40","State",2019-05-10,"13","GA",NA,NA,1744441,8742882,42096621,8535232,10761212,5421728,7005916,6995237,2365993,594376,267246,77723,71958,"13-00000-20190510"
"41","State",2019-05-11,"13","GA",NA,NA,1841982,8645341,40738192,8515205,10690962,5283783,6699675,6441788,2094301,609108,270272,71581,61517,"13-00000-20190511"
"42","State",2019-05-12,"13","GA",NA,NA,1889449,8597874,36093252,7248207,9637701,4622145,6029315,5693161,1841923,558128,288864,91649,82159,"13-00000-20190512"
