"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"15","HI",NA,NA,304685,1111465,6105330,1802958,1475526,636562,1060401,974460,111957,26420,9173,3653,4220,"15-00000-20190401"
"2","State",2019-04-02,"15","HI",NA,NA,295969,1120181,5921699,1696994,1534918,635201,1015439,895391,107781,23219,7654,2679,2423,"15-00000-20190402"
"3","State",2019-04-03,"15","HI",NA,NA,300507,1115643,5989656,1739771,1556782,659461,966170,926677,106955,23679,5794,2095,2272,"15-00000-20190403"
"4","State",2019-04-04,"15","HI",NA,NA,299910,1116240,6042153,1816710,1568420,643659,889909,979677,109852,24306,5388,1949,2283,"15-00000-20190404"
"5","State",2019-04-05,"15","HI",NA,NA,297920,1118230,6149106,1873036,1562681,656248,888537,1010339,117867,25873,9976,2388,2161,"15-00000-20190405"
"6","State",2019-04-06,"15","HI",NA,NA,306357,1109793,5867259,1747671,1497073,624190,850406,986172,122075,27342,7598,2599,2133,"15-00000-20190406"
"7","State",2019-04-07,"15","HI",NA,NA,307714,1108436,5579877,1694067,1434755,592267,807878,897936,114145,26135,7953,2370,2371,"15-00000-20190407"
"8","State",2019-04-08,"15","HI",NA,NA,302917,1113233,5791640,1800764,1444149,598428,842396,947846,117975,26749,7557,2895,2881,"15-00000-20190408"
"9","State",2019-04-09,"15","HI",NA,NA,296747,1119403,5808607,1803979,1445456,605637,840969,955824,118521,24550,7970,2826,2875,"15-00000-20190409"
"10","State",2019-04-10,"15","HI",NA,NA,304791,1111359,6400596,2041645,1640586,654558,887598,1019919,121740,25050,5054,1721,2725,"15-00000-20190410"
"11","State",2019-04-11,"15","HI",NA,NA,305638,1110512,6099801,1882616,1582597,622862,865528,1000834,109291,25264,4316,2585,3908,"15-00000-20190411"
"12","State",2019-04-12,"15","HI",NA,NA,293522,1122628,5915868,1784539,1510784,605184,846465,1016527,117284,24441,4994,2214,3436,"15-00000-20190412"
"13","State",2019-04-13,"15","HI",NA,NA,310393,1105757,5838414,1745857,1479682,605127,847021,997071,125804,28043,4264,1788,3757,"15-00000-20190413"
"14","State",2019-04-14,"15","HI",NA,NA,317845,1098305,5627621,1749558,1415407,588335,800086,914799,124692,24352,4375,1833,4184,"15-00000-20190414"
"15","State",2019-04-15,"15","HI",NA,NA,302734,1113416,5859076,1870396,1489563,587184,805704,949762,117565,26281,5345,2396,4880,"15-00000-20190415"
"16","State",2019-04-16,"15","HI",NA,NA,298919,1117231,5779464,1830393,1455012,583499,802992,949458,116772,27611,4910,3167,5650,"15-00000-20190416"
"17","State",2019-04-17,"15","HI",NA,NA,300268,1115882,5977100,1844031,1537452,614356,841700,986733,115744,25943,4519,2096,4526,"15-00000-20190417"
"18","State",2019-04-18,"15","HI",NA,NA,298622,1117528,6246630,1957033,1574718,629565,891714,1041616,115508,26031,4614,1810,4021,"15-00000-20190418"
"19","State",2019-04-19,"15","HI",NA,NA,299673,1116477,6207565,1906685,1569382,640135,883255,1053316,120490,24806,3855,1794,3847,"15-00000-20190419"
"20","State",2019-04-20,"15","HI",NA,NA,314608,1101542,6072558,1852002,1527150,629040,837901,1052605,135051,28495,4303,2052,3959,"15-00000-20190420"
"21","State",2019-04-21,"15","HI",NA,NA,328015,1088135,5656169,1799985,1463776,586109,804584,854675,112182,23599,4639,2314,4306,"15-00000-20190421"
"22","State",2019-04-22,"15","HI",NA,NA,296903,1119247,5837429,1685749,1473553,678956,897409,949903,109087,26035,11236,2928,2573,"15-00000-20190422"
"23","State",2019-04-23,"15","HI",NA,NA,293902,1122248,5756559,1719272,1503004,605341,820839,963042,103949,24837,11162,2803,2310,"15-00000-20190423"
"24","State",2019-04-24,"15","HI",NA,NA,301623,1114527,5923356,1756596,1552928,629851,860499,982726,104423,22392,9416,2439,2086,"15-00000-20190424"
"25","State",2019-04-25,"15","HI",NA,NA,290790,1125360,6088365,1830400,1638249,659259,832630,992817,98991,21206,10458,2171,2184,"15-00000-20190425"
"26","State",2019-04-26,"15","HI",NA,NA,291888,1124262,6042680,1823175,1598283,661672,804855,1005158,109202,24852,10793,2613,2077,"15-00000-20190426"
"27","State",2019-04-27,"15","HI",NA,NA,295873,1120277,6047016,1799243,1586169,726970,824995,962666,106905,25239,10245,2707,1877,"15-00000-20190427"
"28","State",2019-04-28,"15","HI",NA,NA,307859,1108291,5380396,1584978,1467098,626744,734063,828362,100995,22553,10788,2755,2060,"15-00000-20190428"
"29","State",2019-04-29,"15","HI",NA,NA,289585,1126565,5750887,1759169,1508483,616117,781853,928000,114038,25351,12298,3161,2417,"15-00000-20190429"
"30","State",2019-04-30,"15","HI",NA,NA,289410,1126740,5940529,1850401,1521358,687545,789108,945202,105734,23841,11971,3176,2193,"15-00000-20190430"
