"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"19","IA",NA,NA,646289,2500208,14357278,3064164,3770065,1757845,2149112,2237028,874221,302924,147746,34738,19435,"19-00000-20190401"
"2","State",2019-04-02,"19","IA",NA,NA,598795,2547702,14763626,3269968,3876557,1797021,2177068,2247138,893587,316209,137353,29359,19366,"19-00000-20190402"
"3","State",2019-04-03,"19","IA",NA,NA,613911,2532586,15242663,3252724,4067738,1925707,2272678,2367677,898118,306027,113856,24001,14137,"19-00000-20190403"
"4","State",2019-04-04,"19","IA",NA,NA,601467,2545030,15730705,3378810,4137626,1985201,2354208,2471114,932595,317991,114169,25038,13953,"19-00000-20190404"
"5","State",2019-04-05,"19","IA",NA,NA,601437,2545060,15916041,3377166,4164808,1971520,2427694,2515393,972879,329260,116740,24888,15693,"19-00000-20190405"
"6","State",2019-04-06,"19","IA",NA,NA,621953,2524544,16045586,3412378,4262168,2016390,2484269,2431836,949583,346518,106740,22382,13322,"19-00000-20190406"
"7","State",2019-04-07,"19","IA",NA,NA,662856,2483641,13532688,2777176,3674885,1796627,2124652,1966882,735968,309220,110335,23639,13304,"19-00000-20190407"
"8","State",2019-04-08,"19","IA",NA,NA,623337,2523160,15711844,3502313,4057024,1891373,2379261,2468177,929493,321330,118431,28166,16276,"19-00000-20190408"
"9","State",2019-04-09,"19","IA",NA,NA,623060,2523437,15440491,3489272,3983333,1839518,2302537,2430007,917972,318901,113882,29401,15668,"19-00000-20190409"
"10","State",2019-04-10,"19","IA",NA,NA,640835,2505662,15340213,3215083,4103150,1870571,2352071,2481957,902049,293174,90676,21104,10378,"19-00000-20190410"
"11","State",2019-04-11,"19","IA",NA,NA,654570,2491927,15844574,3361085,4313177,1919274,2395729,2541542,915530,289729,84037,17233,7238,"19-00000-20190411"
"12","State",2019-04-12,"19","IA",NA,NA,624004,2522493,16266102,3345778,4335485,1971528,2496304,2716027,965764,319296,90061,18891,6968,"19-00000-20190412"
"13","State",2019-04-13,"19","IA",NA,NA,667365,2479132,16375567,3318940,4377203,2089340,2584767,2627520,939489,334192,82181,14917,7018,"19-00000-20190413"
"14","State",2019-04-14,"19","IA",NA,NA,680076,2466421,14771715,3080024,4037908,1922138,2310608,2170383,804136,320100,98685,19626,8107,"19-00000-20190414"
"15","State",2019-04-15,"19","IA",NA,NA,624309,2522188,16231955,3609677,4262777,1974973,2430131,2576483,930001,320977,95215,22641,9080,"19-00000-20190415"
"16","State",2019-04-16,"19","IA",NA,NA,614156,2532341,16385262,3728147,4311123,1957840,2415012,2587008,943585,313153,97804,22313,9277,"19-00000-20190416"
"17","State",2019-04-17,"19","IA",NA,NA,607407,2539090,16412775,3573758,4385811,1998178,2516525,2614009,924177,293076,81728,16876,8637,"19-00000-20190417"
"18","State",2019-04-18,"19","IA",NA,NA,609362,2537135,17119579,3677992,4544396,2086440,2621384,2768507,1004051,305851,84921,17122,8915,"19-00000-20190418"
"19","State",2019-04-19,"19","IA",NA,NA,594091,2552406,17836576,3779380,4718244,2210983,2749357,2879952,1039547,335768,96340,18199,8806,"19-00000-20190419"
"20","State",2019-04-20,"19","IA",NA,NA,638766,2507731,17207701,3702723,4541169,2175362,2658252,2693672,985074,341392,87467,15556,7034,"19-00000-20190420"
"21","State",2019-04-21,"19","IA",NA,NA,710692,2435805,14153533,2983561,3807666,1839794,2219661,2091801,752437,321694,105811,21911,9197,"19-00000-20190421"
"22","State",2019-04-22,"19","IA",NA,NA,599000,2547497,14802635,3257445,3829957,1822042,2276486,2294175,877132,291360,112066,27834,14138,"19-00000-20190422"
"23","State",2019-04-23,"19","IA",NA,NA,562933,2583564,15495741,3507843,3926147,1891517,2430298,2384650,896217,301082,112725,28582,16680,"19-00000-20190423"
"24","State",2019-04-24,"19","IA",NA,NA,568416,2578081,15853940,3627796,4171427,2000898,2352297,2411021,876052,277684,98208,23343,15214,"19-00000-20190424"
"25","State",2019-04-25,"19","IA",NA,NA,541811,2604686,15842498,3540067,4195179,1923247,2372411,2468952,929359,280793,94914,23590,13986,"19-00000-20190425"
"26","State",2019-04-26,"19","IA",NA,NA,557514,2588983,15859973,3513534,4166976,1979893,2353113,2473466,922280,300534,110369,25757,14051,"19-00000-20190426"
"27","State",2019-04-27,"19","IA",NA,NA,623816,2522681,13504014,2695062,3638062,1783378,2046099,2071800,811337,306278,111076,25570,15352,"19-00000-20190427"
"28","State",2019-04-28,"19","IA",NA,NA,605196,2541301,12746619,2653125,3454328,1686553,1872277,1891903,721137,297103,123567,30336,16290,"19-00000-20190428"
"29","State",2019-04-29,"19","IA",NA,NA,568750,2577747,14660612,3341274,3818831,1747053,2102531,2305027,877014,296443,120470,34875,17094,"19-00000-20190429"
"30","State",2019-04-30,"19","IA",NA,NA,556986,2589511,13944870,3005359,3696960,1700539,2040226,2218436,855903,273864,107145,30031,16407,"19-00000-20190430"
