"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"16","ID",NA,NA,358273,1390574,7393760,1637901,2101528,1038169,1112330,931546,345609,136834,62660,17264,9919,"16-00000-20190401"
"2","State",2019-04-02,"16","ID",NA,NA,347009,1401838,7246789,1600618,2109162,1012451,1065305,867712,353933,150674,65631,13610,7693,"16-00000-20190402"
"3","State",2019-04-03,"16","ID",NA,NA,359788,1389059,7479834,1656567,2213151,1021888,1135637,876728,353496,142486,63223,10926,5732,"16-00000-20190403"
"4","State",2019-04-04,"16","ID",NA,NA,349094,1399753,7886174,1716503,2276173,1134086,1206779,933278,395953,140650,66114,10461,6177,"16-00000-20190404"
"5","State",2019-04-05,"16","ID",NA,NA,347673,1401174,7771947,1622182,2290869,1114997,1165806,950452,383379,152794,73230,11669,6569,"16-00000-20190405"
"6","State",2019-04-06,"16","ID",NA,NA,360955,1387892,7258870,1557556,2114711,1023264,1108677,859888,359100,150830,66273,10857,7714,"16-00000-20190406"
"7","State",2019-04-07,"16","ID",NA,NA,377782,1371065,6354863,1339428,1882757,896199,971097,727199,298495,140954,77758,11575,9401,"16-00000-20190407"
"8","State",2019-04-08,"16","ID",NA,NA,355264,1393583,7310674,1624238,2074563,1020500,1102889,888931,348091,152149,74149,13882,11282,"16-00000-20190408"
"9","State",2019-04-09,"16","ID",NA,NA,351320,1397527,7241018,1598408,2106219,1000791,1069658,869930,346888,155572,70145,13126,10281,"16-00000-20190409"
"10","State",2019-04-10,"16","ID",NA,NA,365235,1383612,8099675,1795413,2414272,1156175,1192782,942081,367466,154150,60831,8869,7636,"16-00000-20190410"
"11","State",2019-04-11,"16","ID",NA,NA,370660,1378187,8448458,1832951,2542480,1203223,1271193,971591,396158,149114,66304,9849,5595,"16-00000-20190411"
"12","State",2019-04-12,"16","ID",NA,NA,357612,1391235,8222873,1718809,2462540,1182400,1239954,981579,390324,159520,73177,8714,5856,"16-00000-20190412"
"13","State",2019-04-13,"16","ID",NA,NA,380082,1368765,8130245,1707471,2429584,1165588,1255493,939802,381847,169281,67133,8967,5079,"16-00000-20190413"
"14","State",2019-04-14,"16","ID",NA,NA,393459,1355388,7191495,1514678,2280506,1049083,1046934,752111,312734,142807,76070,10670,5902,"16-00000-20190414"
"15","State",2019-04-15,"16","ID",NA,NA,357228,1391619,8104384,1804079,2419634,1163393,1192352,918424,363301,154907,71283,11161,5850,"16-00000-20190415"
"16","State",2019-04-16,"16","ID",NA,NA,353330,1395517,8096392,1770750,2417564,1138237,1211812,932264,374587,158569,73388,12041,7180,"16-00000-20190416"
"17","State",2019-04-17,"16","ID",NA,NA,356963,1391884,8539013,1881696,2579534,1227796,1274938,952444,380846,159615,68161,8803,5180,"16-00000-20190417"
"18","State",2019-04-18,"16","ID",NA,NA,356345,1392502,8777795,1954655,2628971,1254454,1309639,994931,393437,165985,62470,8341,4912,"16-00000-20190418"
