"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"17","IL",NA,NA,2859977,9842156,59464008,15232620,14552277,7183428,8945188,9147738,3137526,697402,349085,123840,94904,"17-00000-20190401"
"2","State",2019-04-02,"17","IL",NA,NA,2696740,10005393,60855628,15702142,14970425,7404840,9114916,9266346,3142535,695594,342818,124434,91578,"17-00000-20190402"
"3","State",2019-04-03,"17","IL",NA,NA,2746931,9955202,62798782,15843488,15573630,7730606,9573404,9795884,3120365,668423,311139,109922,71921,"17-00000-20190403"
"4","State",2019-04-04,"17","IL",NA,NA,2688019,10014114,61255679,14986817,15135992,7570588,9566993,9737508,3071461,671511,335453,111560,67796,"17-00000-20190404"
"5","State",2019-04-05,"17","IL",NA,NA,2691594,10010539,62910808,15511080,15401286,7804411,9905842,9912915,3132304,716543,344880,114896,66651,"17-00000-20190405"
"6","State",2019-04-06,"17","IL",NA,NA,2781743,9920390,63660848,16037017,16033904,8135410,10036883,9315374,2889940,731590,318753,99546,62431,"17-00000-20190406"
"7","State",2019-04-07,"17","IL",NA,NA,2948877,9753256,54803400,13822679,14123783,7111189,8494570,7679626,2407002,644350,336651,109439,74111,"17-00000-20190407"
"8","State",2019-04-08,"17","IL",NA,NA,2767422,9934711,60892521,15626861,14674790,7400931,9365959,9450579,3100037,692812,359630,126486,94436,"17-00000-20190408"
"9","State",2019-04-09,"17","IL",NA,NA,2759917,9942216,60553883,15379583,14562703,7415451,9383637,9467609,3083874,696051,352522,124702,87751,"17-00000-20190409"
"10","State",2019-04-10,"17","IL",NA,NA,2815107,9887026,60378330,14689667,14867272,7425630,9472191,9789586,3052464,632984,286342,90795,71399,"17-00000-20190410"
"11","State",2019-04-11,"17","IL",NA,NA,2818348,9883785,61817998,15173706,15103034,7523841,9767398,10059403,3109597,638844,275696,86799,79680,"17-00000-20190411"
"12","State",2019-04-12,"17","IL",NA,NA,2732696,9969437,63257173,15250207,15669092,7845785,10145123,10143799,3068881,664301,300349,91264,78372,"17-00000-20190412"
"13","State",2019-04-13,"17","IL",NA,NA,2929921,9772212,63265687,15611716,15915777,8097300,10170820,9586960,2792592,668805,272827,80091,68799,"17-00000-20190413"
"14","State",2019-04-14,"17","IL",NA,NA,3184963,9517170,52038458,12907996,13937360,6597501,8072401,7224236,2205405,576432,330552,103045,83530,"17-00000-20190414"
"15","State",2019-04-15,"17","IL",NA,NA,2805897,9896236,60399351,15085230,14765862,7317068,9431335,9644632,2990172,651650,301516,111451,100435,"17-00000-20190415"
"16","State",2019-04-16,"17","IL",NA,NA,2757367,9944766,61040427,15367045,14809964,7385907,9539187,9745105,3026357,654076,305797,111335,95654,"17-00000-20190416"
"17","State",2019-04-17,"17","IL",NA,NA,2786707,9915426,62309869,15532130,15265407,7555044,9825800,10061541,3007848,613831,274595,92039,81634,"17-00000-20190417"
"18","State",2019-04-18,"17","IL",NA,NA,2792453,9909680,61836541,14857757,15153734,7537727,9903888,10185187,3099143,641101,284674,91886,81444,"17-00000-20190418"
"19","State",2019-04-19,"17","IL",NA,NA,2728099,9974034,65077297,15733889,15960773,8177757,10515221,10400476,3141867,668391,303856,94337,80730,"17-00000-20190419"
"20","State",2019-04-20,"17","IL",NA,NA,2907722,9794411,65583382,16535038,16638563,8369503,10476523,9705022,2796122,641928,269076,83392,68215,"17-00000-20190420"
"21","State",2019-04-21,"17","IL",NA,NA,3090699,9611434,57906257,15080058,14445265,7308262,9046111,8367338,2547677,626054,306651,98545,80296,"17-00000-20190421"
"22","State",2019-04-22,"17","IL",NA,NA,2758454,9943679,59984689,15382435,14585265,7538667,9028692,9067853,3121684,711908,354775,112340,81070,"17-00000-20190422"
"23","State",2019-04-23,"17","IL",NA,NA,2608157,10093976,61327238,15786099,15099068,7766275,9131464,9153072,3155529,705187,344155,105462,80927,"17-00000-20190423"
"24","State",2019-04-24,"17","IL",NA,NA,2583352,10118781,63121927,15918669,15655980,8059318,9660888,9483016,3229952,662631,298617,82406,70450,"17-00000-20190424"
"25","State",2019-04-25,"17","IL",NA,NA,2500414,10201719,64015708,15929323,15969752,8371959,9540236,9754846,3297181,679046,308460,88761,76144,"17-00000-20190425"
"26","State",2019-04-26,"17","IL",NA,NA,2546098,10156035,64563508,15967473,16049439,8687722,9690921,9764098,3225002,694324,317360,90830,76339,"17-00000-20190426"
"27","State",2019-04-27,"17","IL",NA,NA,2769563,9932570,59075524,14302296,15299287,8181577,8886317,8479245,2762211,676164,323717,93971,70739,"17-00000-20190427"
