"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"18","IN",NA,NA,1376408,5295018,28761309,6661386,6923604,3592336,4519955,4734508,1513907,487254,232799,63508,32052,"18-00000-20190401"
"2","State",2019-04-02,"18","IN",NA,NA,1266730,5404696,29912361,7164160,7150173,3672028,4538614,5026311,1534016,492616,231437,68087,34919,"18-00000-20190402"
"3","State",2019-04-03,"18","IN",NA,NA,1294985,5376441,31387815,7359749,7662722,3870451,4862022,5228355,1653749,459648,210309,50308,30502,"18-00000-20190403"
"4","State",2019-04-04,"18","IN",NA,NA,1258293,5413133,31088549,7141628,7492659,3847110,4895448,5290163,1698575,448487,203219,47227,24033,"18-00000-20190404"
"5","State",2019-04-05,"18","IN",NA,NA,1251054,5420372,31105141,6947808,7495472,3906390,5029839,5259557,1709032,478796,205936,47363,24948,"18-00000-20190405"
"6","State",2019-04-06,"18","IN",NA,NA,1308676,5362750,31464227,7324811,7851556,4099557,5013727,4835830,1586419,489160,191654,44610,26903,"18-00000-20190406"
"7","State",2019-04-07,"18","IN",NA,NA,1392657,5278769,27298291,6231843,7138282,3625318,4377681,3976108,1251333,426278,194179,48477,28792,"18-00000-20190407"
"8","State",2019-04-08,"18","IN",NA,NA,1287528,5383898,30786341,7249211,7398221,3817671,4876316,5041765,1638957,467740,209146,54317,32997,"18-00000-20190408"
"9","State",2019-04-09,"18","IN",NA,NA,1274954,5396472,31225547,7450666,7437633,3844134,4954499,5128552,1656181,458838,210143,53928,30973,"18-00000-20190409"
"10","State",2019-04-10,"18","IN",NA,NA,1303036,5368390,32044821,7423342,7778949,4015587,5124516,5373944,1675119,435024,157348,37956,23036,"18-00000-20190410"
"11","State",2019-04-11,"18","IN",NA,NA,1338469,5332957,32908513,7753778,7993912,4050937,5245630,5505307,1727630,433518,144730,35023,18048,"18-00000-20190411"
"12","State",2019-04-12,"18","IN",NA,NA,1294789,5376637,32450849,7297296,7888343,4078318,5341360,5467249,1720024,457154,149052,33566,18487,"18-00000-20190412"
"13","State",2019-04-13,"18","IN",NA,NA,1384613,5286813,32096912,7299138,8017215,4145508,5296189,5075793,1610472,465201,141309,29310,16777,"18-00000-20190413"
"14","State",2019-04-14,"18","IN",NA,NA,1473734,5197692,27289172,6113078,7271733,3617128,4470960,3974610,1225658,395348,159445,39981,21231,"18-00000-20190414"
"15","State",2019-04-15,"18","IN",NA,NA,1315432,5355994,31601902,7423362,7794818,3888500,5081795,5149418,1629850,419636,152693,39390,22440,"18-00000-20190415"
"16","State",2019-04-16,"18","IN",NA,NA,1288908,5382518,31924896,7538873,7772060,3960562,5116559,5241832,1659794,416882,157145,40138,21051,"18-00000-20190416"
"17","State",2019-04-17,"18","IN",NA,NA,1320571,5350855,32947901,7721160,8135678,4126690,5291583,5418385,1659940,406800,134995,34857,17813,"18-00000-20190417"
"18","State",2019-04-18,"18","IN",NA,NA,1305199,5366227,31752214,7124487,7818526,3975258,5187262,5393567,1667461,399338,134650,33183,18482,"18-00000-20190418"
"19","State",2019-04-19,"18","IN",NA,NA,1301590,5369836,32279305,6961456,7978174,4160682,5387742,5467655,1701191,430108,140062,32896,19339,"18-00000-20190419"
"20","State",2019-04-20,"18","IN",NA,NA,1415982,5255444,31030673,6793065,8027475,4096745,5156093,4876867,1484998,415145,135835,27372,17078,"18-00000-20190420"
"21","State",2019-04-21,"18","IN",NA,NA,1499565,5171861,28950291,6567797,7463119,3895654,4848619,4282707,1277320,409399,150138,35935,19603,"18-00000-20190421"
"22","State",2019-04-22,"18","IN",NA,NA,1294133,5377293,30583241,7262493,7442760,3786685,4756906,4996869,1583257,451776,221163,53576,27756,"18-00000-20190422"
"23","State",2019-04-23,"18","IN",NA,NA,1200175,5471251,29963582,6983210,7248034,3670666,4672473,4915780,1632905,499219,248944,61131,31220,"18-00000-20190423"
"24","State",2019-04-24,"18","IN",NA,NA,1192537,5478889,30735094,7124729,7488394,3756735,4820672,5169144,1641871,452838,208122,45940,26649,"18-00000-20190424"
"25","State",2019-04-25,"18","IN",NA,NA,1156114,5515312,30273647,6920972,7363782,3644456,4795292,5127224,1684808,448212,212715,50215,25971,"18-00000-20190425"
"26","State",2019-04-26,"18","IN",NA,NA,1174533,5496893,31321099,7007357,7628316,3843091,5031732,5315002,1739044,474695,207663,45729,28470,"18-00000-20190426"
"27","State",2019-04-27,"18","IN",NA,NA,1293648,5377778,29130933,6474885,7344623,3735836,4660127,4601122,1558930,460135,225903,42052,27320,"18-00000-20190427"
"28","State",2019-04-28,"18","IN",NA,NA,1281502,5389924,27741481,6484918,7288406,3634251,4282091,4029086,1278242,436309,236753,45993,25432,"18-00000-20190428"
"29","State",2019-04-29,"18","IN",NA,NA,1193698,5477728,29566774,6935087,7197543,3580669,4598954,4871629,1607900,461471,227231,58687,27603,"18-00000-20190429"
"30","State",2019-04-30,"18","IN",NA,NA,1165473,5505953,29367270,6843912,7109871,3532239,4536956,4955443,1621440,459034,224213,54968,29194,"18-00000-20190430"
"31","State",2019-05-01,"18","IN",NA,NA,1170258,5501168,30782611,7092328,7560988,3756862,4841045,5193834,1646954,432932,190496,42282,24890,"18-00000-20190501"
"32","State",2019-05-02,"18","IN",NA,NA,1227568,5443858,30833460,6949963,7523495,3802913,4870258,5288723,1673476,449883,209114,41420,24215,"18-00000-20190502"
"33","State",2019-05-03,"18","IN",NA,NA,1254294,5417132,31830373,7168901,7764155,3983841,5138683,5342268,1697286,468586,201202,42654,22797,"18-00000-20190503"
"34","State",2019-05-04,"18","IN",NA,NA,1325606,5345820,30709665,6938230,7753668,3943407,4946644,4857408,1545316,465454,201863,38417,19258,"18-00000-20190504"
"35","State",2019-05-05,"18","IN",NA,NA,1327385,5344041,29703585,7020054,7716845,3923288,4730804,4265920,1341401,432903,205389,44113,22868,"18-00000-20190505"
"36","State",2019-05-06,"18","IN",NA,NA,1258029,5413397,28996822,6533544,7274119,3707767,4704555,4756618,1439901,348439,147706,39435,44738,"18-00000-20190506"
"37","State",2019-05-07,"18","IN",NA,NA,1237475,5433951,30201150,6914353,7566650,3843569,4838619,4958778,1475562,370807,147133,40052,45627,"18-00000-20190507"
"38","State",2019-05-08,"18","IN",NA,NA,1229612,5441814,30512788,6968760,7592261,3898003,4863446,5083039,1498923,356773,156055,40260,55268,"18-00000-20190508"
"39","State",2019-05-09,"18","IN",NA,NA,1212260,5459166,30615052,7000764,7656207,3909706,4934206,5029999,1499585,358965,148887,36833,39900,"18-00000-20190509"
"40","State",2019-05-10,"18","IN",NA,NA,1185827,5485599,30225496,6391335,7501623,3947444,5041693,5154007,1563380,393918,151302,37582,43212,"18-00000-20190510"
"41","State",2019-05-11,"18","IN",NA,NA,1236735,5434691,29282760,6471065,7367186,3853033,4809943,4703241,1424376,410233,159685,37021,46977,"18-00000-20190511"
"42","State",2019-05-12,"18","IN",NA,NA,1297329,5374097,25371451,5213624,6517948,3418930,4276589,4069952,1222349,378297,177588,44904,51270,"18-00000-20190512"
"43","State",2019-05-13,"18","IN",NA,NA,1246344,5425082,27545231,6061220,6889858,3567497,4508947,4575731,1339950,347312,159024,43825,51867,"18-00000-20190513"
"44","State",2019-05-14,"18","IN",NA,NA,1219545,5451881,30208204,7050897,7444944,3840296,4892003,4964083,1420307,351877,151832,42865,49100,"18-00000-20190514"
"45","State",2019-05-15,"18","IN",NA,NA,1207595,5463831,30322762,7093794,7435739,3822597,4898778,5004617,1448237,361720,157481,46126,53673,"18-00000-20190515"
"46","State",2019-05-16,"18","IN",NA,NA,1165490,5505936,28661816,6390708,6919944,3646877,4674854,4941918,1478832,353413,158143,46158,50969,"18-00000-20190516"
"47","State",2019-05-17,"18","IN",NA,NA,1160144,5511282,31640451,7192204,7776361,4028371,5150512,5304888,1524329,393459,170131,47887,52309,"18-00000-20190517"
"48","State",2019-05-18,"18","IN",NA,NA,1236427,5434999,31393520,7431930,7780213,4083623,5057360,4934628,1439113,407002,167963,44491,47197,"18-00000-20190518"
"49","State",2019-05-19,"18","IN",NA,NA,1326656,5344770,25173258,5537911,6584596,3337414,4088679,3894659,1096419,364973,172843,46347,49417,"18-00000-20190519"
"50","State",2019-05-20,"18","IN",NA,NA,1266033,5405393,28290721,6337763,6951234,3640260,4592943,4746073,1427951,345335,151477,46576,51109,"18-00000-20190520"
"51","State",2019-05-21,"18","IN",NA,NA,1258519,5412907,28942789,6472139,7043391,3672468,4711249,4956279,1492903,348394,149819,46441,49706,"18-00000-20190521"
"52","State",2019-05-22,"18","IN",NA,NA,1244756,5426670,29673693,6819463,7255577,3744803,4798571,4965540,1489525,354102,150702,46434,48976,"18-00000-20190522"
"53","State",2019-05-23,"18","IN",NA,NA,1254479,5416947,27854482,6074497,6856141,3526787,4589527,4773975,1431626,359010,151810,42929,48180,"18-00000-20190523"
"54","State",2019-05-24,"18","IN",NA,NA,1203267,5468159,30085639,6754801,7278605,3807332,4906464,5141577,1522700,407698,170534,47428,48500,"18-00000-20190524"
"55","State",2019-05-25,"18","IN",NA,NA,1293639,5377787,30038245,7043715,7537469,3960654,4806899,4654300,1349070,416881,170231,47529,51497,"18-00000-20190525"
"56","State",2019-05-26,"18","IN",NA,NA,1344750,5326676,28064412,6844032,7111483,3601932,4429694,4244982,1196664,375728,163905,47985,48007,"18-00000-20190526"
"57","State",2019-05-27,"18","IN",NA,NA,1387617,5283809,24791392,5741609,6490768,3185820,3837396,3766731,1137642,362570,169958,47822,51076,"18-00000-20190527"
"58","State",2019-05-28,"18","IN",NA,NA,1307336,5364090,30757044,7252310,7709065,3830023,4896178,5028840,1472386,344433,140644,39265,43900,"18-00000-20190528"
"59","State",2019-05-29,"18","IN",NA,NA,1271609,5399817,30167944,6948483,7462931,3748724,4903023,5041845,1490449,350226,140184,40300,41779,"18-00000-20190529"
"60","State",2019-05-30,"18","IN",NA,NA,1243695,5427731,28956404,6404377,7127593,3650616,4773270,4925844,1492377,356642,146115,40403,39167,"18-00000-20190530"
"61","State",2019-05-31,"18","IN",NA,NA,1249788,5421638,31869631,7231011,7819508,4043838,5181036,5360078,1575495,410408,162098,42199,43960,"18-00000-20190531"
"62","State",2019-06-01,"18","IN",NA,NA,1333168,5338258,30551889,7213915,7684005,3907908,4908018,4776303,1414464,396835,161088,44085,45268,"18-00000-20190601"
"63","State",2019-06-02,"18","IN",NA,NA,1351868,5319558,28627554,6600685,7506797,3780778,4650247,4254492,1193918,381934,166655,44208,47840,"18-00000-20190602"
"64","State",2019-06-03,"18","IN",NA,NA,1256875,5414551,31963080,7566895,8019555,3986929,5111972,5172475,1506555,360985,151408,41853,44453,"18-00000-20190603"
"65","State",2019-06-04,"18","IN",NA,NA,1250538,5420888,30736222,7288741,7484120,3817568,4916602,5130123,1522588,356018,145519,36689,38254,"18-00000-20190604"
"66","State",2019-06-05,"18","IN",NA,NA,1200919,5470507,28391924,6291463,6845620,3580726,4656025,4908550,1524112,366354,141493,38584,38997,"18-00000-20190605"
"67","State",2019-06-06,"18","IN",NA,NA,1244336,5427090,31689446,7348148,7789729,3969645,5125851,5255667,1581786,387958,150288,38843,41531,"18-00000-20190606"
"68","State",2019-06-07,"18","IN",NA,NA,1230030,5441396,33327439,7969593,8123782,4131817,5325544,5494433,1605415,428350,163856,41464,43185,"18-00000-20190607"
"69","State",2019-06-08,"18","IN",NA,NA,1277925,5393501,31910750,7689319,8017189,4067527,5079825,4923684,1477557,418332,155459,38846,43012,"18-00000-20190608"
"70","State",2019-06-09,"18","IN",NA,NA,1373010,5298416,26242475,5693046,7034742,3453588,4273318,3973809,1155240,384031,178945,46023,49733,"18-00000-20190609"
"71","State",2019-06-10,"18","IN",NA,NA,1284740,5386686,28965018,6414461,7325408,3636316,4658086,4866556,1463635,371292,149210,38877,41177,"18-00000-20190610"
"72","State",2019-06-11,"18","IN",NA,NA,1281440,5389986,29819293,6660860,7406136,3740775,4822957,5095880,1504116,369209,142176,38564,38620,"18-00000-20190611"
"73","State",2019-06-12,"18","IN",NA,NA,1256899,5414527,29333158,6539384,7251604,3671778,4740094,5002416,1518823,379073,149901,40943,39142,"18-00000-20190612"
"74","State",2019-06-13,"18","IN",NA,NA,1249651,5421775,29921039,6802474,7403121,3696298,4795260,5074320,1541779,383684,147898,38995,37210,"18-00000-20190613"
"75","State",2019-06-14,"18","IN",NA,NA,1239005,5432421,31462893,7220141,7649801,3924624,5097852,5295750,1597145,433721,165962,40612,37285,"18-00000-20190614"
"76","State",2019-06-15,"18","IN",NA,NA,1296152,5375274,29572495,6713572,7530386,3794574,4751410,4701742,1439842,421948,154255,32191,32575,"18-00000-20190615"
"77","State",2019-06-16,"18","IN",NA,NA,1348986,5322440,25870251,5785387,6781475,3321192,4141618,4003052,1205987,391523,163069,40006,36942,"18-00000-20190616"
"78","State",2019-06-17,"18","IN",NA,NA,1270642,5400784,28554641,6549257,7119961,3513266,4512920,4807678,1471142,359530,142296,38008,40583,"18-00000-20190617"
"79","State",2019-06-18,"18","IN",NA,NA,1268586,5402840,28740228,6433722,7119965,3494236,4634198,4967166,1508853,361455,139378,39142,42113,"18-00000-20190618"
"80","State",2019-06-19,"18","IN",NA,NA,1264502,5406924,29543977,6739628,7367870,3616086,4693129,4998124,1551745,381240,128596,34839,32720,"18-00000-20190619"
"81","State",2019-06-20,"18","IN",NA,NA,1278201,5393225,28231574,6206827,7019324,3505792,4531972,4854224,1522670,385092,138469,36358,30846,"18-00000-20190620"
"82","State",2019-06-21,"18","IN",NA,NA,1248282,5423144,30547063,6836748,7540862,3791911,4908136,5205730,1630029,422684,143620,37762,29581,"18-00000-20190621"
"83","State",2019-06-22,"18","IN",NA,NA,1339986,5331440,30727528,7160142,7924579,3970173,4859211,4718038,1442809,428736,150959,41000,31881,"18-00000-20190622"
"84","State",2019-06-23,"18","IN",NA,NA,1245424,5426002,26464503,5955113,6890481,3458074,4244625,4042891,1213165,401155,165634,45625,47740,"18-00000-20190623"
"85","State",2019-06-24,"18","IN",NA,NA,1232084,5439342,27923376,6092687,6922495,3523087,4489021,4811004,1469511,383573,142282,44721,44995,"18-00000-20190624"
"86","State",2019-06-25,"18","IN",NA,NA,1354897,5316529,26096857,5539557,6358484,3216643,4242716,4659923,1438782,381967,159542,49528,49715,"18-00000-20190625"
"87","State",2019-06-26,"18","IN",NA,NA,1372216,5299210,26216783,5653656,6284548,3208022,4301832,4681973,1438471,393311,162371,48319,44280,"18-00000-20190626"
"88","State",2019-06-27,"18","IN",NA,NA,1360143,5311283,26546223,5703708,6359431,3226878,4401814,4725263,1459798,402330,167447,50851,48703,"18-00000-20190627"
"89","State",2019-06-28,"18","IN",NA,NA,1321255,5350171,28460117,6224257,6851473,3441388,4709864,5003985,1514854,425016,184336,53266,51678,"18-00000-20190628"
"90","State",2019-06-29,"18","IN",NA,NA,1394762,5276664,28390295,6461338,7012544,3528829,4564447,4669275,1423072,456561,174944,48820,50465,"18-00000-20190629"
"91","State",2019-06-30,"18","IN",NA,NA,1435335,5236091,24235348,5314900,6177404,3067312,3953384,3832852,1186952,414837,182340,51824,53543,"18-00000-20190630"
"92","State",2019-07-01,"18","IN",NA,NA,1376097,5295329,26055248,5652731,6380331,3310455,4252728,4463623,1370187,372466,154487,47476,50764,"18-00000-20190701"
"93","State",2019-07-02,"18","IN",NA,NA,1345743,5325683,25780310,5453649,6228198,3285055,4243747,4564455,1384272,368462,156470,46538,49464,"18-00000-20190702"
"94","State",2019-07-03,"18","IN",NA,NA,1286605,5384821,25635107,5360532,6083097,3214455,4261721,4671335,1440462,372875,147337,39123,44170,"18-00000-20190703"
"95","State",2019-07-04,"18","IN",NA,NA,1433789,5237637,23221314,4846593,5806829,2976856,3902306,3841283,1204516,374151,180407,47844,40529,"18-00000-20190704"
"96","State",2019-07-05,"18","IN",NA,NA,1326151,5345275,27800142,6000014,6583603,3490089,4610382,4934712,1512608,413414,168938,45325,41057,"18-00000-20190705"
"97","State",2019-07-06,"18","IN",NA,NA,1365685,5305741,27545175,6092142,6684301,3438854,4525447,4630798,1487192,433692,166652,44470,41627,"18-00000-20190706"
"98","State",2019-07-07,"18","IN",NA,NA,1398358,5273068,25998662,5781829,6619096,3376233,4214567,4087203,1223299,411674,188591,46499,49671,"18-00000-20190707"
"99","State",2019-07-08,"18","IN",NA,NA,1301901,5369525,27123860,5967313,6639149,3347744,4404973,4702652,1423407,373739,161392,46701,56790,"18-00000-20190708"
"100","State",2019-07-09,"18","IN",NA,NA,1290543,5380883,27408806,5945256,6663993,3395533,4521318,4822785,1435704,362247,160132,46890,54948,"18-00000-20190709"
"101","State",2019-07-10,"18","IN",NA,NA,1292589,5378837,27057406,5824934,6488537,3329994,4446679,4878723,1463829,371282,160069,41456,51903,"18-00000-20190710"
"102","State",2019-07-11,"18","IN",NA,NA,1297219,5374207,28321139,6202810,6774058,3492041,4671496,5053108,1496268,378148,159995,39622,53593,"18-00000-20190711"
"103","State",2019-07-12,"18","IN",NA,NA,1254907,5416519,29491108,6501126,6998714,3634321,4908038,5166059,1581866,432381,177505,41153,49945,"18-00000-20190712"
"104","State",2019-07-13,"18","IN",NA,NA,1319608,5351818,29170416,6482358,7098813,3753259,4797425,4892987,1442415,435124,181356,40028,46651,"18-00000-20190713"
"105","State",2019-07-14,"18","IN",NA,NA,1392560,5278866,25157035,5379501,6283878,3356834,4218020,4023844,1166488,405697,212142,48344,62287,"18-00000-20190714"
"106","State",2019-07-15,"18","IN",NA,NA,1289882,5381544,26437716,5627591,6198425,3396972,4485515,4672293,1415334,370559,164542,42212,64273,"18-00000-20190715"
"107","State",2019-07-16,"18","IN",NA,NA,1256853,5414573,26263527,5553148,6151061,3370337,4421320,4703006,1442674,366048,152556,41477,61900,"18-00000-20190716"
"108","State",2019-07-17,"18","IN",NA,NA,1297106,5374320,28062436,6201525,6754805,3514283,4594876,4910864,1484532,369833,147539,37208,46971,"18-00000-20190717"
"109","State",2019-07-18,"18","IN",NA,NA,1295378,5376048,27531736,5886397,6530242,3523486,4593259,4906786,1461200,378433,152144,42241,57548,"18-00000-20190718"
