"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"20","KS",NA,NA,603661,2298940,14215017,3601513,3752783,1618172,1999752,2055159,766471,259577,115473,31206,14911,"20-00000-20190401"
"2","State",2019-04-02,"20","KS",NA,NA,549244,2353357,14591776,3810367,3822189,1617132,2046137,2075868,805171,270466,109104,25368,9974,"20-00000-20190402"
"3","State",2019-04-03,"20","KS",NA,NA,558515,2344086,14833842,3735037,3999366,1691592,2058254,2172167,798783,252978,96594,19527,9544,"20-00000-20190403"
"4","State",2019-04-04,"20","KS",NA,NA,538543,2364058,15229933,3843306,4069725,1708799,2113548,2257463,832538,267843,105961,20940,9810,"20-00000-20190404"
"5","State",2019-04-05,"20","KS",NA,NA,530870,2371731,15220041,3735256,4000056,1748429,2123160,2322895,851434,287215,118526,22065,11005,"20-00000-20190405"
"6","State",2019-04-06,"20","KS",NA,NA,553719,2348882,14864215,3643920,3943629,1737576,2110183,2168873,808733,307421,114030,20015,9835,"20-00000-20190406"
"7","State",2019-04-07,"20","KS",NA,NA,594917,2307684,13355340,3334368,3637549,1613619,1867624,1809073,665529,278441,115343,21727,12067,"20-00000-20190407"
"8","State",2019-04-08,"20","KS",NA,NA,552139,2350462,14844097,3827212,3846765,1677825,2068216,2159133,822033,284953,119585,23281,15094,"20-00000-20190408"
"9","State",2019-04-09,"20","KS",NA,NA,548850,2353751,14671813,3771958,3827547,1629838,2016015,2165801,825462,285823,113022,22887,13460,"20-00000-20190409"
"10","State",2019-04-10,"20","KS",NA,NA,569441,2333160,15094126,3856831,4005260,1711815,2078062,2236496,817478,264232,94259,18208,11485,"20-00000-20190410"
"11","State",2019-04-11,"20","KS",NA,NA,582712,2319889,14989989,3685754,3999321,1714024,2069562,2286750,841087,268719,94386,18462,11924,"20-00000-20190411"
"12","State",2019-04-12,"20","KS",NA,NA,551741,2350860,15236655,3686099,3994395,1744785,2128449,2340079,891798,305236,113353,20143,12318,"20-00000-20190412"
"13","State",2019-04-13,"20","KS",NA,NA,596484,2306117,14619793,3436842,3900530,1772645,2051912,2194061,832595,306194,97645,16576,10793,"20-00000-20190413"
"14","State",2019-04-14,"20","KS",NA,NA,616924,2285677,13676535,3371068,3714718,1654724,1907770,1905341,706764,270277,111429,21222,13222,"20-00000-20190414"
"15","State",2019-04-15,"20","KS",NA,NA,559648,2342953,14874442,3811969,3913366,1670250,2021335,2192023,843845,278761,104226,22279,16388,"20-00000-20190415"
"16","State",2019-04-16,"20","KS",NA,NA,560729,2341872,14771806,3792429,3890125,1669997,1994604,2160390,841061,282106,103107,21640,16347,"20-00000-20190416"
"17","State",2019-04-17,"20","KS",NA,NA,549877,2352724,14541468,3700553,3849708,1644588,1978664,2175660,813327,260344,87664,17382,13578,"20-00000-20190417"
"18","State",2019-04-18,"20","KS",NA,NA,555326,2347275,15516475,3842107,4105321,1781865,2142013,2345355,886471,286828,94428,18934,13153,"20-00000-20190418"
"19","State",2019-04-19,"20","KS",NA,NA,535060,2367541,15852876,3807297,4156097,1863302,2256006,2400702,923469,299502,110399,21123,14979,"20-00000-20190419"
"20","State",2019-04-20,"20","KS",NA,NA,573475,2329126,15433600,3744376,4125717,1835603,2164635,2265141,856588,308375,103312,16786,13067,"20-00000-20190420"
"21","State",2019-04-21,"20","KS",NA,NA,628835,2273766,12845900,3069957,3518054,1567172,1803591,1775625,669110,278213,125628,23969,14581,"20-00000-20190421"
"22","State",2019-04-22,"20","KS",NA,NA,554807,2347794,14667970,3713212,3870476,1640881,2101634,2151711,779371,268877,106935,22345,12528,"20-00000-20190422"
