"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"21","KY",NA,NA,929748,3524994,20034902,4147499,4922600,2585741,3235994,3391061,1150596,358664,179395,45730,17622,"21-00000-20190401"
"2","State",2019-04-02,"21","KY",NA,NA,870368,3584374,20571273,4322937,4993024,2583665,3303178,3622571,1142272,366063,171429,48321,17813,"21-00000-20190402"
"3","State",2019-04-03,"21","KY",NA,NA,887226,3567516,21346917,4496494,5265909,2743891,3463786,3664069,1146117,360674,153831,37194,14952,"21-00000-20190403"
"4","State",2019-04-04,"21","KY",NA,NA,859388,3595354,21133927,4315057,5216618,2760645,3501468,3572563,1187209,368841,160009,38386,13131,"21-00000-20190404"
"5","State",2019-04-05,"21","KY",NA,NA,860460,3594282,20752334,4076149,5067171,2755544,3528661,3523756,1202628,381995,166273,37092,13065,"21-00000-20190405"
"6","State",2019-04-06,"21","KY",NA,NA,892344,3562398,20982267,4254864,5213532,2831553,3608444,3371244,1135463,364908,155207,33933,13119,"21-00000-20190406"
"7","State",2019-04-07,"21","KY",NA,NA,937474,3517268,17929380,3507687,4681850,2490034,3056375,2774698,887600,319404,162476,36344,12912,"21-00000-20190407"
"8","State",2019-04-08,"21","KY",NA,NA,881732,3573010,20002457,4021170,4941848,2638772,3329436,3364913,1132719,347703,168468,41723,15705,"21-00000-20190408"
"9","State",2019-04-09,"21","KY",NA,NA,871432,3583310,20779049,4290622,5077744,2705064,3477796,3478622,1177608,355865,156792,43391,15545,"21-00000-20190409"
"10","State",2019-04-10,"21","KY",NA,NA,894868,3559874,22130024,4551131,5591931,2969951,3713858,3629854,1182311,330059,120124,28941,11864,"21-00000-20190410"
"11","State",2019-04-11,"21","KY",NA,NA,924283,3530459,22509158,4634663,5637637,3015043,3800211,3734060,1191190,342696,121944,21670,10044,"21-00000-20190411"
"12","State",2019-04-12,"21","KY",NA,NA,887432,3567310,21725207,4266753,5448030,2950018,3714690,3660455,1187560,342974,123929,21134,9664,"21-00000-20190412"
"13","State",2019-04-13,"21","KY",NA,NA,949738,3505004,21638941,4424060,5420414,2957291,3715964,3504793,1140655,333670,113152,19408,9534,"21-00000-20190413"
"14","State",2019-04-14,"21","KY",NA,NA,971586,3483156,18971187,3693679,4986071,2715822,3338427,2900984,880064,293046,128786,23550,10758,"21-00000-20190414"
"15","State",2019-04-15,"21","KY",NA,NA,901285,3553457,21374957,4397062,5370504,2868427,3589081,3521307,1133258,324922,130569,27195,12632,"21-00000-20190415"
"16","State",2019-04-16,"21","KY",NA,NA,884650,3570092,21680622,4551872,5419097,2903172,3645640,3531369,1149062,321348,122479,25543,11040,"21-00000-20190416"
"17","State",2019-04-17,"21","KY",NA,NA,902424,3552318,22339237,4616051,5675105,3037141,3758048,3636937,1156925,309575,116184,22109,11162,"21-00000-20190417"
"18","State",2019-04-18,"21","KY",NA,NA,899544,3555198,22362312,4575933,5622674,3031257,3787489,3704191,1176808,318310,114369,21608,9673,"21-00000-20190418"
"19","State",2019-04-19,"21","KY",NA,NA,896590,3558152,21866423,4148040,5561616,2996247,3786160,3712099,1193203,322843,114436,20541,11238,"21-00000-20190419"
"20","State",2019-04-20,"21","KY",NA,NA,975456,3479286,21044068,4022918,5489289,2982277,3623281,3405326,1075921,315857,101979,18247,8973,"21-00000-20190420"
"21","State",2019-04-21,"21","KY",NA,NA,1021431,3433311,20041890,3895082,5299603,2995815,3553331,3033051,859858,265993,107110,21608,10439,"21-00000-20190421"
"22","State",2019-04-22,"21","KY",NA,NA,876117,3578625,20934018,4436744,5222052,2668389,3457485,3337067,1181058,420457,152940,42563,15263,"21-00000-20190422"
"23","State",2019-04-23,"21","KY",NA,NA,813381,3641361,20255434,4335319,4986373,2522786,3213540,3273743,1292224,395701,171678,49394,14676,"21-00000-20190423"
"24","State",2019-04-24,"21","KY",NA,NA,815588,3639154,20753763,4302412,5212668,2658650,3362417,3448651,1238018,338656,141212,38278,12801,"21-00000-20190424"
"25","State",2019-04-25,"21","KY",NA,NA,781301,3673441,20623327,4187217,5147677,2636017,3333946,3467148,1294293,359058,146874,38678,12419,"21-00000-20190425"
"26","State",2019-04-26,"21","KY",NA,NA,789964,3664778,21214159,4225877,5270700,2723989,3411815,3653381,1318581,401185,155022,40604,13005,"21-00000-20190426"
