"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"22","LA",NA,NA,873629,3772102,22677356,5459512,5647425,2873968,3664338,3231227,1200641,436087,131312,22370,10476,"22-00000-20190401"
"2","State",2019-04-02,"22","LA",NA,NA,796657,3849074,23255931,5763851,5618318,2974389,3778774,3237295,1281978,450685,123184,18804,8653,"22-00000-20190402"
"3","State",2019-04-03,"22","LA",NA,NA,818313,3827418,23851053,5744017,5902787,3059491,3905180,3387252,1289039,427714,112927,15444,7202,"22-00000-20190403"
"4","State",2019-04-04,"22","LA",NA,NA,787793,3857938,21745150,5118723,5436393,2739612,3516988,3144351,1215371,432958,117800,16412,6542,"22-00000-20190404"
"5","State",2019-04-05,"22","LA",NA,NA,788106,3857625,23238470,5355997,5726406,2996046,3866198,3384770,1277344,479659,128258,17060,6732,"22-00000-20190405"
"6","State",2019-04-06,"22","LA",NA,NA,819789,3825942,22652602,5484836,5688133,2910627,3646914,3166047,1139134,476109,119243,15362,6197,"22-00000-20190406"
"7","State",2019-04-07,"22","LA",NA,NA,879378,3766353,18999798,4633973,5039490,2464708,2983892,2441858,867586,410582,132884,17620,7205,"22-00000-20190407"
"8","State",2019-04-08,"22","LA",NA,NA,821984,3823747,21853837,5400805,5355928,2711980,3512179,3080858,1158564,475468,127969,19664,10422,"22-00000-20190408"
"9","State",2019-04-09,"22","LA",NA,NA,800993,3844738,23120875,5784992,5663123,2879202,3718671,3218147,1217270,486923,124765,19182,8600,"22-00000-20190409"
"10","State",2019-04-10,"22","LA",NA,NA,806865,3838866,24179338,5875847,6020078,3058834,3934468,3452805,1238789,468534,109490,12988,7505,"22-00000-20190410"
"11","State",2019-04-11,"22","LA",NA,NA,830987,3814744,23790592,5792047,5862054,2965102,3873137,3425036,1266328,473841,112576,13053,7418,"22-00000-20190411"
"12","State",2019-04-12,"22","LA",NA,NA,811737,3833994,22986760,5356829,5622642,2934174,3789146,3409390,1233686,491612,128571,13467,7243,"22-00000-20190412"
"13","State",2019-04-13,"22","LA",NA,NA,892674,3753057,20773567,5043208,5401842,2675554,3316319,2817660,989550,401885,108701,12076,6772,"22-00000-20190413"
"14","State",2019-04-14,"22","LA",NA,NA,912443,3733288,21005456,5110546,5375811,2708301,3401422,2832562,988640,436691,128938,14444,8101,"22-00000-20190414"
"15","State",2019-04-15,"22","LA",NA,NA,814924,3830807,23039125,5547090,5688115,2914105,3733194,3315922,1214253,475584,125969,15643,9250,"22-00000-20190415"
"16","State",2019-04-16,"22","LA",NA,NA,809815,3835916,22858907,5539298,5634077,2852544,3693922,3298688,1204918,487924,124412,14596,8528,"22-00000-20190416"
"17","State",2019-04-17,"22","LA",NA,NA,856441,3789290,22580669,5356334,5597905,2865456,3689588,3288064,1202260,446427,113707,12986,7942,"22-00000-20190417"
"18","State",2019-04-18,"22","LA",NA,NA,857114,3788617,20693991,4856414,5262774,2581051,3313823,3014530,1087033,432619,123902,13881,7964,"22-00000-20190418"
"19","State",2019-04-19,"22","LA",NA,NA,845785,3799946,22382375,5128589,5644615,2909255,3671250,3248281,1173600,460005,123993,14730,8057,"22-00000-20190419"
"20","State",2019-04-20,"22","LA",NA,NA,861688,3784043,22728566,5316763,5798064,2958771,3694517,3217881,1154423,461498,108229,11923,6497,"22-00000-20190420"
"21","State",2019-04-21,"22","LA",NA,NA,882536,3763195,20584052,4916817,5313871,2733863,3343199,2746310,957628,420564,128918,15295,7587,"22-00000-20190421"
"22","State",2019-04-22,"22","LA",NA,NA,799498,3846233,22893086,5511151,5581617,2858912,3683203,3439886,1161377,488496,139730,19983,8731,"22-00000-20190422"
"23","State",2019-04-23,"22","LA",NA,NA,758346,3887385,23054994,5557789,5517679,2903763,3841476,3501252,1119341,453791,133021,18563,8319,"22-00000-20190423"
"24","State",2019-04-24,"22","LA",NA,NA,766039,3879692,23735969,5722486,5815855,2991325,4018012,3509422,1114953,433569,109249,14780,6318,"22-00000-20190424"
"25","State",2019-04-25,"22","LA",NA,NA,735819,3909912,22844077,5644947,5613941,2884839,3808332,3313283,1059167,385523,110723,16377,6945,"22-00000-20190425"
"26","State",2019-04-26,"22","LA",NA,NA,730541,3915190,24628305,5869070,6056974,3186604,4060444,3684014,1164987,456637,124296,17275,8004,"22-00000-20190426"
"27","State",2019-04-27,"22","LA",NA,NA,821264,3824467,24222540,5849326,6166451,3142847,4022166,3392487,1063951,442093,118457,15970,8792,"22-00000-20190427"
"28","State",2019-04-28,"22","LA",NA,NA,798604,3847127,21733352,5481176,5604321,2790557,3518295,2908780,870209,403024,131261,17365,8364,"22-00000-20190428"
"29","State",2019-04-29,"22","LA",NA,NA,743797,3901934,23725706,6069809,5856688,2969081,3868003,3307171,1094133,409485,122263,19986,9087,"22-00000-20190429"
"30","State",2019-04-30,"22","LA",NA,NA,736661,3909070,23497578,5912077,5833978,2915277,3780437,3389231,1118984,407710,113357,18269,8258,"22-00000-20190430"
"31","State",2019-05-01,"22","LA",NA,NA,749077,3896654,24881195,6148432,6289042,3097385,3967303,3715369,1141014,398979,102004,14508,7159,"22-00000-20190501"
"32","State",2019-05-02,"22","LA",NA,NA,760299,3885432,25014193,6119767,6171955,3170294,4108286,3697318,1195647,426722,104564,13128,6512,"22-00000-20190502"
"33","State",2019-05-03,"22","LA",NA,NA,770449,3875282,24520286,5833808,6049293,3123784,4091278,3580649,1238377,461923,120993,13723,6458,"22-00000-20190503"
"34","State",2019-05-04,"22","LA",NA,NA,831714,3814017,22407095,5325518,5865361,2930275,3610082,3086440,1050673,412858,107217,13127,5544,"22-00000-20190504"
"35","State",2019-05-05,"22","LA",NA,NA,847595,3798136,21368369,5251723,5542210,2784631,3428973,2862230,941919,411809,123549,15041,6284,"22-00000-20190505"
"36","State",2019-05-06,"22","LA",NA,NA,811599,3834132,21587973,5051200,5533177,2803079,3612057,3127827,1008023,346926,82004,11670,12010,"22-00000-20190506"
"37","State",2019-05-07,"22","LA",NA,NA,806714,3839017,22383264,5338505,5731617,2885210,3726442,3186454,1052277,360011,78944,11304,12500,"22-00000-20190507"
