"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"25","MA",NA,NA,1563386,5317667,35256331,8702637,9360463,4401781,5213655,5301807,1676119,365027,93076,26496,115270,"25-00000-20190401"
"2","State",2019-04-02,"25","MA",NA,NA,1500807,5380246,34908393,8567488,9237680,4421613,5168703,5303789,1610414,349139,83343,32099,134125,"25-00000-20190402"
"3","State",2019-04-03,"25","MA",NA,NA,1528200,5352853,36087703,8739807,9858091,4617462,5408571,5355195,1584636,310879,73962,27253,111847,"25-00000-20190403"
"4","State",2019-04-04,"25","MA",NA,NA,1500896,5380157,37246770,8807646,10065049,4819310,5646225,5731061,1660689,311222,81341,26636,97591,"25-00000-20190404"
"5","State",2019-04-05,"25","MA",NA,NA,1495979,5385074,37136298,8694650,9999384,4837533,5708369,5694675,1644868,341090,90406,25294,100029,"25-00000-20190405"
"6","State",2019-04-06,"25","MA",NA,NA,1549881,5331172,36540801,8505725,10138631,4858534,5685881,5236242,1553625,362909,86076,21530,91648,"25-00000-20190406"
"7","State",2019-04-07,"25","MA",NA,NA,1618281,5262772,33558377,8048114,9475195,4445877,5011335,4570701,1410818,383073,101264,22839,89161,"25-00000-20190407"
"8","State",2019-04-08,"25","MA",NA,NA,1546137,5334916,33577683,7550857,9086704,4269999,5138210,5351012,1611708,338215,90208,26971,113799,"25-00000-20190408"
"9","State",2019-04-09,"25","MA",NA,NA,1521943,5359110,34055518,7713972,9148238,4250710,5271763,5494785,1643553,316196,88302,25444,102555,"25-00000-20190409"
"10","State",2019-04-10,"25","MA",NA,NA,1551641,5329412,36167850,8094845,9871871,4635649,5654155,5809469,1664345,278747,65949,18505,74315,"25-00000-20190410"
"11","State",2019-04-11,"25","MA",NA,NA,1551153,5329900,37484138,8457262,9947579,4816401,5908903,6150775,1757455,300134,69471,21043,55115,"25-00000-20190411"
"12","State",2019-04-12,"25","MA",NA,NA,1502768,5378285,36798048,8273987,9809154,4764327,5836044,5945154,1672502,321391,89853,24980,60656,"25-00000-20190412"
"13","State",2019-04-13,"25","MA",NA,NA,1613270,5267783,36575826,8634718,9836923,4814738,5736666,5406651,1594161,369386,101197,26763,54623,"25-00000-20190413"
"14","State",2019-04-14,"25","MA",NA,NA,1681903,5199150,33524105,8051663,9228719,4378537,5148660,4726507,1453944,351158,103580,26992,54345,"25-00000-20190414"
"15","State",2019-04-15,"25","MA",NA,NA,1643246,5237807,32677449,7555616,8659281,4118376,5074563,5191199,1552746,330456,100478,28313,66421,"25-00000-20190415"
"16","State",2019-04-16,"25","MA",NA,NA,1551602,5329451,35153134,8126664,9178144,4432491,5524643,5746959,1649913,317676,88125,25288,63231,"25-00000-20190416"
"17","State",2019-04-17,"25","MA",NA,NA,1570590,5310463,37078366,8645274,9737647,4705079,5791370,5971571,1747653,326219,77549,20672,55332,"25-00000-20190417"
"18","State",2019-04-18,"25","MA",NA,NA,1573690,5307363,36345530,8181007,9482833,4608097,5794453,6063588,1757796,313766,71544,21677,50769,"25-00000-20190418"
"19","State",2019-04-19,"25","MA",NA,NA,1536887,5344166,38287483,8946249,10036143,4884025,6047714,6132871,1756562,334696,83336,19409,46478,"25-00000-20190419"
"20","State",2019-04-20,"25","MA",NA,NA,1665411,5215642,36008385,8288594,9993146,4752218,5722912,5325408,1449179,322512,87394,21022,46000,"25-00000-20190420"
"21","State",2019-04-21,"25","MA",NA,NA,1799740,5081313,30907403,7465815,8668166,3774772,4517824,4450458,1443137,389635,108340,25243,64013,"25-00000-20190421"
"22","State",2019-04-22,"25","MA",NA,NA,1568464,5312589,32920158,7686730,9007838,4099743,4841384,5140407,1542691,338980,100543,36062,125780,"25-00000-20190422"
"23","State",2019-04-23,"25","MA",NA,NA,1459418,5421635,34372764,8169179,9487763,4290189,4986779,5247871,1557023,352141,125674,40346,115799,"25-00000-20190423"
"24","State",2019-04-24,"25","MA",NA,NA,1444340,5436713,36741140,8641040,10220605,4764027,5316886,5621873,1599741,339290,103629,28243,105806,"25-00000-20190424"
"25","State",2019-04-25,"25","MA",NA,NA,1418315,5462738,36767523,8409610,10482546,4720220,5415784,5537335,1618641,348232,111507,27494,96154,"25-00000-20190425"
"26","State",2019-04-26,"25","MA",NA,NA,1432459,5448594,35731574,7845993,10243862,4614094,5391844,5477291,1581604,357133,108612,24867,86274,"25-00000-20190426"
"27","State",2019-04-27,"25","MA",NA,NA,1506679,5374374,36089419,8296722,10605629,4687260,5392952,5025928,1479728,389286,115351,22630,73933,"25-00000-20190427"
"28","State",2019-04-28,"25","MA",NA,NA,1520596,5360457,32526188,7658140,9732075,4293072,4698598,4207853,1303714,384580,134993,27070,86093,"25-00000-20190428"
"29","State",2019-04-29,"25","MA",NA,NA,1430075,5450978,34956811,8199118,9860742,4383546,5097305,5190821,1583021,365525,126713,36779,113241,"25-00000-20190429"
"30","State",2019-04-30,"25","MA",NA,NA,1404626,5476427,34486663,8086991,9618991,4286439,5065639,5188699,1597416,362843,135700,36297,107648,"25-00000-20190430"
"31","State",2019-05-01,"25","MA",NA,NA,1430103,5450950,35939033,8426173,10139091,4515938,5247678,5414989,1619601,344820,111511,27481,91751,"25-00000-20190501"
"32","State",2019-05-02,"25","MA",NA,NA,1473056,5407997,35396263,8014450,10005696,4482061,5259253,5431482,1627203,341352,100908,32108,101750,"25-00000-20190502"
"33","State",2019-05-03,"25","MA",NA,NA,1521752,5359301,35212009,7927646,9689315,4531234,5428661,5432045,1632879,342015,106371,31145,90698,"25-00000-20190503"
"34","State",2019-05-04,"25","MA",NA,NA,1595972,5285081,34795957,8126105,9790637,4564722,5299009,4969610,1464308,365898,107400,31393,76875,"25-00000-20190504"
"35","State",2019-05-05,"25","MA",NA,NA,1617143,5263910,31107157,7240690,8929438,4094867,4643714,4250702,1337410,367571,118572,34730,89463,"25-00000-20190505"
"36","State",2019-05-06,"25","MA",NA,NA,1518516,5362537,33700744,7785954,9390275,4338119,5103732,5119579,1431441,270314,70963,26555,163812,"25-00000-20190506"
"37","State",2019-05-07,"25","MA",NA,NA,1489641,5391412,35064641,8193309,9866555,4463823,5241261,5311906,1463988,260473,71259,27164,164903,"25-00000-20190507"
"38","State",2019-05-08,"25","MA",NA,NA,1484985,5396068,35680149,8365615,9927422,4581957,5405970,5373683,1463775,267535,70027,26505,197660,"25-00000-20190508"
"39","State",2019-05-09,"25","MA",NA,NA,1473378,5407675,36161039,8482282,10086689,4620419,5538577,5408139,1490213,274694,73162,25746,161118,"25-00000-20190509"
"40","State",2019-05-10,"25","MA",NA,NA,1429348,5451705,34852859,7642181,9758052,4575754,5454943,5373790,1475418,301885,83845,25789,161202,"25-00000-20190510"
"41","State",2019-05-11,"25","MA",NA,NA,1495890,5385163,36201259,8508003,10286396,4881768,5495958,4989002,1408808,344873,90073,26526,169852,"25-00000-20190511"
"42","State",2019-05-12,"25","MA",NA,NA,1569071,5311982,28662667,6149048,8265730,3811660,4425823,4106810,1235604,321911,100748,32368,212965,"25-00000-20190512"
"43","State",2019-05-13,"25","MA",NA,NA,1498010,5383043,31471134,6986267,8829795,4013948,4804634,4870341,1374995,270667,84223,28983,207281,"25-00000-20190513"
"44","State",2019-05-14,"25","MA",NA,NA,1493033,5388020,32607531,7249269,9036699,4248852,5035431,5073077,1409534,258304,82911,24418,189036,"25-00000-20190514"
"45","State",2019-05-15,"25","MA",NA,NA,1473806,5407247,33886313,7820280,9083016,4439315,5252471,5236999,1464655,278588,87384,25529,198076,"25-00000-20190515"
"46","State",2019-05-16,"25","MA",NA,NA,1451801,5429252,34253585,7818693,9251583,4499859,5312924,5294219,1472240,278412,88676,27396,209583,"25-00000-20190516"
"47","State",2019-05-17,"25","MA",NA,NA,1432106,5448947,34802376,7840283,9488866,4533575,5424359,5390450,1473393,310443,95490,27282,218235,"25-00000-20190517"
"48","State",2019-05-18,"25","MA",NA,NA,1503677,5377376,36824422,8875224,10266944,4866741,5597683,5095135,1461532,342034,88625,28099,202405,"25-00000-20190518"
"49","State",2019-05-19,"25","MA",NA,NA,1550313,5330740,32197186,7615119,9182241,4262607,4795506,4373175,1296510,341560,102488,26315,201665,"25-00000-20190519"
"50","State",2019-05-20,"25","MA",NA,NA,1468347,5412706,33858848,7792716,9318626,4422432,5130363,5152669,1434564,270998,76523,28101,231856,"25-00000-20190520"
"51","State",2019-05-21,"25","MA",NA,NA,1481642,5399411,36328668,8542269,10038700,4752300,5467761,5462458,1462893,267090,71316,26705,237176,"25-00000-20190521"
"52","State",2019-05-22,"25","MA",NA,NA,1463817,5417236,36599196,8519649,10031956,4747194,5672761,5558002,1497975,273671,71163,24499,202326,"25-00000-20190522"
"53","State",2019-05-23,"25","MA",NA,NA,1469160,5411893,34628275,7822405,9412720,4504752,5370599,5423844,1496757,284573,80938,25043,206644,"25-00000-20190523"
"54","State",2019-05-24,"25","MA",NA,NA,1433272,5447781,36004501,8278828,9820009,4736100,5570607,5448880,1469009,339234,102076,26403,213355,"25-00000-20190524"
"55","State",2019-05-25,"25","MA",NA,NA,1499135,5381918,37362872,9118843,10341668,4912936,5707286,5077597,1460817,371931,104420,29587,237787,"25-00000-20190525"
"56","State",2019-05-26,"25","MA",NA,NA,1558941,5322112,35503177,8906980,9864352,4593348,5177493,4711694,1468983,390264,93983,29581,266499,"25-00000-20190526"
"57","State",2019-05-27,"25","MA",NA,NA,1593923,5287130,31163916,7457005,9058199,4046480,4547627,4102210,1214215,353383,107158,31358,246281,"25-00000-20190527"
"58","State",2019-05-28,"25","MA",NA,NA,1511850,5369203,35243819,8062534,9799741,4494773,5330027,5415920,1518681,287430,85365,24990,224358,"25-00000-20190528"
"59","State",2019-05-29,"25","MA",NA,NA,1483565,5397488,36512806,8470047,10044642,4681869,5549198,5633656,1554217,277865,76168,23344,201800,"25-00000-20190529"
"60","State",2019-05-30,"25","MA",NA,NA,1471385,5409668,36182293,8239910,9910232,4705553,5565466,5624759,1552176,274337,83248,22374,204238,"25-00000-20190530"
"61","State",2019-05-31,"25","MA",NA,NA,1461637,5419416,38940825,9085867,10702299,5075736,5989629,5831997,1596304,324657,91553,25167,217616,"25-00000-20190531"
"62","State",2019-06-01,"25","MA",NA,NA,1557111,5323942,37097014,8803515,10623411,4883709,5662173,5030515,1426256,337729,90708,26397,212601,"25-00000-20190601"
"63","State",2019-06-02,"25","MA",NA,NA,1587798,5293255,33781768,7955636,9640281,4604411,5040388,4536042,1325042,361325,103520,24651,190472,"25-00000-20190602"
"64","State",2019-06-03,"25","MA",NA,NA,1509697,5371356,38018827,9005362,10543085,5052058,5734881,5575428,1538971,290706,80133,23971,174232,"25-00000-20190603"
"65","State",2019-06-04,"25","MA",NA,NA,1484888,5396165,36563862,8540918,10040857,4812685,5570112,5515761,1517729,276122,74939,25258,189481,"25-00000-20190604"
"66","State",2019-06-05,"25","MA",NA,NA,1477563,5403490,35351961,8093476,9484452,4624440,5564864,5468197,1541124,277887,75998,26092,195431,"25-00000-20190605"
"67","State",2019-06-06,"25","MA",NA,NA,1461848,5419205,37769105,8941738,10158581,4938469,5826362,5741656,1582097,288813,80692,24909,185788,"25-00000-20190606"
"68","State",2019-06-07,"25","MA",NA,NA,1459400,5421653,40239413,9699102,10923134,5234468,6135624,5979389,1644847,330788,97771,29584,164706,"25-00000-20190607"
"69","State",2019-06-08,"25","MA",NA,NA,1510969,5370084,40581512,10007335,11226854,5334210,6123710,5632873,1614281,368946,92537,27259,153507,"25-00000-20190608"
"70","State",2019-06-09,"25","MA",NA,NA,1569298,5311755,35318583,8513137,9984828,4655575,5260165,4758971,1424349,391487,114298,35223,180550,"25-00000-20190609"
"71","State",2019-06-10,"25","MA",NA,NA,1515520,5365533,35354613,8043516,9719767,4631660,5433308,5401355,1549460,293253,84463,26534,171297,"25-00000-20190610"
"72","State",2019-06-11,"25","MA",NA,NA,1496246,5384807,35832315,8123743,9824354,4689019,5532493,5546137,1562367,276030,78179,21614,178379,"25-00000-20190611"
"73","State",2019-06-12,"25","MA",NA,NA,1469822,5411231,36507690,8457789,9936729,4658405,5648738,5636503,1617287,287736,83073,21031,160399,"25-00000-20190612"
"74","State",2019-06-13,"25","MA",NA,NA,1492636,5388417,33967531,7487334,9265128,4371816,5348633,5421198,1538321,278786,80298,21675,154342,"25-00000-20190613"
"75","State",2019-06-14,"25","MA",NA,NA,1459483,5421570,37665554,8742260,10226186,4885319,5845734,5734186,1609305,347590,106987,26133,141854,"25-00000-20190614"
"76","State",2019-06-15,"25","MA",NA,NA,1505935,5375118,38060909,9096503,10520538,4981983,5789475,5447085,1588414,381013,96827,18910,140161,"25-00000-20190615"
"77","State",2019-06-16,"25","MA",NA,NA,1595532,5285521,29998220,6747233,8486946,3954800,4556037,4297016,1284812,366812,116207,25034,163323,"25-00000-20190616"
