"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"24","MD",NA,NA,1160388,4863862,25560733,6026012,6119739,2941608,4093424,4484830,1403038,287719,137459,31708,35196,"24-00000-20190401"
"2","State",2019-04-02,"24","MD",NA,NA,1120019,4904231,25013690,5810495,6054195,2878520,4007716,4410339,1380542,274730,129960,34322,32871,"24-00000-20190402"
"3","State",2019-04-03,"24","MD",NA,NA,1136558,4887692,26712252,6276571,6531099,3112263,4297760,4683115,1392551,252184,104698,30733,31278,"24-00000-20190403"
"4","State",2019-04-04,"24","MD",NA,NA,1125105,4899145,27344004,6325035,6611563,3155370,4445760,4917600,1438383,262222,117042,33859,37170,"24-00000-20190404"
"5","State",2019-04-05,"24","MD",NA,NA,1131532,4892718,26570098,5884083,6531784,3135536,4415718,4739512,1374069,272343,136855,41655,38543,"24-00000-20190405"
"6","State",2019-04-06,"24","MD",NA,NA,1174288,4849962,27018878,6210243,6836919,3296743,4432344,4497094,1256891,277228,130921,43009,37486,"24-00000-20190406"
"7","State",2019-04-07,"24","MD",NA,NA,1239655,4784595,24891787,5780886,6509283,2972554,4012979,3969301,1134979,275510,153930,44717,37648,"24-00000-20190407"
"8","State",2019-04-08,"24","MD",NA,NA,1132329,4891921,25830681,5916891,6170218,2996031,4198126,4644926,1415833,267548,129794,45213,46101,"24-00000-20190408"
"9","State",2019-04-09,"24","MD",NA,NA,1127802,4896448,26191273,6035655,6305061,3022659,4255992,4715291,1390482,262863,117430,40369,45471,"24-00000-20190409"
"10","State",2019-04-10,"24","MD",NA,NA,1136014,4888236,27351439,6158348,6716105,3202248,4506701,4988549,1382137,236258,93527,28727,38839,"24-00000-20190410"
"11","State",2019-04-11,"24","MD",NA,NA,1155050,4869200,27075471,5946699,6537653,3196146,4486028,5038451,1441174,261000,108823,27964,31533,"24-00000-20190411"
"12","State",2019-04-12,"24","MD",NA,NA,1112295,4911955,26278329,5681649,6375217,3149739,4387964,4873135,1358795,256959,132666,29876,32329,"24-00000-20190412"
"13","State",2019-04-13,"24","MD",NA,NA,1214717,4809533,26633556,6006726,6730481,3232575,4365450,4583463,1232722,272160,142141,36486,31352,"24-00000-20190413"
"14","State",2019-04-14,"24","MD",NA,NA,1290722,4733528,23407487,5276062,5988698,2877724,3844931,3895239,1033259,253871,164050,38345,35308,"24-00000-20190414"
"15","State",2019-04-15,"24","MD",NA,NA,1194215,4830035,24785617,5598793,5929392,2846371,4043903,4573672,1321879,259244,136470,36067,39826,"24-00000-20190415"
"16","State",2019-04-16,"24","MD",NA,NA,1141789,4882461,25669976,5795309,6202900,2932148,4189665,4740653,1362302,245748,131351,32998,36902,"24-00000-20190416"
"17","State",2019-04-17,"24","MD",NA,NA,1162781,4861469,26749536,6000186,6473133,3128714,4399932,4927900,1385416,251581,119670,28803,34201,"24-00000-20190417"
