"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"23","ME",NA,NA,310578,1023736,5003010,914502,1233511,658041,758577,863178,383787,129244,45845,7333,8992,"23-00000-20190401"
"2","State",2019-04-02,"23","ME",NA,NA,296819,1037495,5099248,953649,1255850,656253,776066,881820,399425,121654,38889,6828,8814,"23-00000-20190402"
"3","State",2019-04-03,"23","ME",NA,NA,305445,1028869,5159327,925394,1285578,663121,810935,898774,419837,110313,32241,4603,8531,"23-00000-20190403"
"4","State",2019-04-04,"23","ME",NA,NA,300503,1033811,5466619,972775,1383794,700547,857431,976988,408278,116749,36093,4484,9480,"23-00000-20190404"
"5","State",2019-04-05,"23","ME",NA,NA,297043,1037271,5433307,937835,1333416,720013,861619,995160,416659,117339,37421,4637,9208,"23-00000-20190405"
"6","State",2019-04-06,"23","ME",NA,NA,307812,1026502,5203593,913983,1285996,758828,811926,902381,366566,109136,42610,4771,7396,"23-00000-20190406"
"7","State",2019-04-07,"23","ME",NA,NA,323257,1011057,4734809,835637,1186210,670004,741372,816453,319850,115573,36676,5040,7994,"23-00000-20190407"
"8","State",2019-04-08,"23","ME",NA,NA,317205,1017109,4723676,830679,1180313,643417,717859,851669,341279,109420,31494,6455,11091,"23-00000-20190408"
"9","State",2019-04-09,"23","ME",NA,NA,310734,1023580,4949148,890794,1215514,644521,757137,894578,381651,113536,35411,6108,9898,"23-00000-20190409"
"10","State",2019-04-10,"23","ME",NA,NA,317227,1017087,5355398,929005,1360599,704395,858289,971787,390445,104319,25889,4358,6312,"23-00000-20190410"
"11","State",2019-04-11,"23","ME",NA,NA,316009,1018305,5909824,1069652,1470057,754118,951842,1046584,454612,127528,26713,4012,4706,"23-00000-20190411"
"12","State",2019-04-12,"23","ME",NA,NA,308149,1026165,5657079,988634,1368056,732622,906821,1032370,458064,128061,32491,4831,5129,"23-00000-20190412"
"13","State",2019-04-13,"23","ME",NA,NA,332276,1002038,5418107,945110,1395490,717963,871681,919954,404458,121926,31488,4699,5338,"23-00000-20190413"
"14","State",2019-04-14,"23","ME",NA,NA,332348,1001966,5124602,909075,1326501,680161,846662,845580,351301,120354,34926,5317,4725,"23-00000-20190414"
"15","State",2019-04-15,"23","ME",NA,NA,318325,1015989,5147759,922585,1282975,668969,801777,918788,393874,118010,28552,6233,5996,"23-00000-20190415"
"16","State",2019-04-16,"23","ME",NA,NA,306087,1028227,5492576,993575,1368406,712441,839305,971771,445239,121218,29851,4858,5912,"23-00000-20190416"
"17","State",2019-04-17,"23","ME",NA,NA,308381,1025933,5857866,1095667,1448869,749061,901755,1040849,468778,117166,25992,4163,5566,"23-00000-20190417"
"18","State",2019-04-18,"23","ME",NA,NA,310642,1023672,5735454,1006972,1422580,746018,897349,1036972,477419,116638,22967,3714,4825,"23-00000-20190418"
"19","State",2019-04-19,"23","ME",NA,NA,302938,1031376,5956798,1070933,1433974,766828,957104,1108859,465639,116948,26684,3844,5985,"23-00000-20190419"
"20","State",2019-04-20,"23","ME",NA,NA,328846,1005468,5567181,977183,1403540,764447,886314,997438,391366,110920,26605,4475,4893,"23-00000-20190420"
"21","State",2019-04-21,"23","ME",NA,NA,368634,965680,4565343,763693,1183220,625112,751951,778894,299105,118134,33740,5170,6324,"23-00000-20190421"
"22","State",2019-04-22,"23","ME",NA,NA,299626,1034688,4790826,876113,1162519,636402,744259,861722,345190,100227,38193,13545,12656,"23-00000-20190422"
"23","State",2019-04-23,"23","ME",NA,NA,268393,1065921,4974929,865599,1148381,707035,749550,948307,367488,115669,48827,14224,9849,"23-00000-20190423"
"24","State",2019-04-24,"23","ME",NA,NA,267780,1066534,5069992,889759,1202887,775903,764623,911296,359039,108375,37451,11520,9139,"23-00000-20190424"
"25","State",2019-04-25,"23","ME",NA,NA,258208,1076106,5407220,896993,1239018,808840,835689,1075732,375076,118881,38916,9357,8718,"23-00000-20190425"
"26","State",2019-04-26,"23","ME",NA,NA,262829,1071485,5212285,852527,1167909,755947,853405,1038818,371957,111648,41958,7982,10134,"23-00000-20190426"
"27","State",2019-04-27,"23","ME",NA,NA,278384,1055930,5025861,850437,1142216,654245,787048,977974,388636,169690,40296,7556,7763,"23-00000-20190427"
"28","State",2019-04-28,"23","ME",NA,NA,267052,1067262,4781218,831946,1095072,615342,755587,860062,351712,204306,49241,9099,8851,"23-00000-20190428"
"29","State",2019-04-29,"23","ME",NA,NA,261271,1073043,5070960,910110,1159636,637705,802707,966499,374635,150449,49624,9165,10430,"23-00000-20190429"
"30","State",2019-04-30,"23","ME",NA,NA,253799,1080515,4967211,851605,1127358,687038,760007,954414,360227,156911,48454,10337,10860,"23-00000-20190430"
"31","State",2019-05-01,"23","ME",NA,NA,264620,1069694,5107404,896424,1187111,702972,777653,1002619,348975,136336,39577,7000,8737,"23-00000-20190501"
"32","State",2019-05-02,"23","ME",NA,NA,274832,1059482,5041601,806097,1163016,720833,772567,964724,377064,181421,39327,8097,8455,"23-00000-20190502"
"33","State",2019-05-03,"23","ME",NA,NA,292933,1041381,4944903,828604,1174705,672760,762008,936631,368250,148152,37248,8315,8230,"23-00000-20190503"
"34","State",2019-05-04,"23","ME",NA,NA,305693,1028621,4934222,861649,1183058,692146,767985,873935,339468,164298,37407,6825,7451,"23-00000-20190504"
"35","State",2019-05-05,"23","ME",NA,NA,299876,1034438,4692625,838867,1151055,641198,728521,799047,328783,145679,40824,10220,8431,"23-00000-20190505"
"36","State",2019-05-06,"23","ME",NA,NA,290115,1044199,4876998,868630,1198902,668048,762605,923459,318896,86855,25474,9178,14951,"23-00000-20190506"
"37","State",2019-05-07,"23","ME",NA,NA,285241,1049073,4978536,861025,1252823,695315,770023,918420,341304,89887,26531,8667,14541,"23-00000-20190507"
"38","State",2019-05-08,"23","ME",NA,NA,286573,1047741,5191975,932476,1275882,742430,810376,939296,345833,90969,27653,9866,17194,"23-00000-20190508"
"39","State",2019-05-09,"23","ME",NA,NA,287764,1046550,5306942,970544,1318408,754553,828132,936770,355635,90222,28179,9323,15176,"23-00000-20190509"
"40","State",2019-05-10,"23","ME",NA,NA,273982,1060332,4935264,771018,1213052,696235,772956,968611,354895,103608,32058,8641,14190,"23-00000-20190510"
"41","State",2019-05-11,"23","ME",NA,NA,282723,1051591,5121833,893798,1288102,737192,820535,909970,320173,95900,31208,8114,16841,"23-00000-20190511"
"42","State",2019-05-12,"23","ME",NA,NA,300357,1033957,4478980,711839,1098951,641597,751580,819137,301527,98576,31446,7190,17137,"23-00000-20190512"
"43","State",2019-05-13,"23","ME",NA,NA,291200,1043114,4652674,790518,1153175,636535,751017,860604,323033,86003,26825,6518,18446,"23-00000-20190513"
"44","State",2019-05-14,"23","ME",NA,NA,290438,1043876,4736174,804913,1194441,637867,776483,854527,332981,85061,26127,6245,17529,"23-00000-20190514"
"45","State",2019-05-15,"23","ME",NA,NA,283389,1050925,4928920,878870,1198681,675006,791989,905881,337467,89265,26979,6896,17886,"23-00000-20190515"
"46","State",2019-05-16,"23","ME",NA,NA,278774,1055540,5002317,866558,1191747,667012,820833,956435,353674,91337,30406,6001,18314,"23-00000-20190516"
"47","State",2019-05-17,"23","ME",NA,NA,273874,1060440,5069241,858890,1218032,663973,847302,968413,354115,100443,32892,6906,18275,"23-00000-20190517"
"48","State",2019-05-18,"23","ME",NA,NA,288345,1045969,5155355,914515,1237546,700413,862129,941752,337251,101700,35745,5928,18376,"23-00000-20190518"
"49","State",2019-05-19,"23","ME",NA,NA,302825,1031489,4434918,763166,1108188,594971,742526,780659,285561,100854,32214,6893,19886,"23-00000-20190519"
"50","State",2019-05-20,"23","ME",NA,NA,287370,1046944,4767890,794336,1168451,610108,809508,890807,353755,90723,25821,6526,17855,"23-00000-20190520"
"51","State",2019-05-21,"23","ME",NA,NA,295408,1038906,5160314,917739,1278403,675030,883449,920425,347251,88949,25180,6140,17748,"23-00000-20190521"
"52","State",2019-05-22,"23","ME",NA,NA,286483,1047831,5368761,951921,1285464,711063,920901,980301,368234,98389,30240,5488,16760,"23-00000-20190522"
"53","State",2019-05-23,"23","ME",NA,NA,290143,1044171,5013160,857478,1214264,676570,830513,912151,362475,109413,28608,5895,15793,"23-00000-20190523"
"54","State",2019-05-24,"23","ME",NA,NA,282966,1051348,5102390,869232,1209598,674855,873675,926991,377312,115812,32770,6327,15818,"23-00000-20190524"
"55","State",2019-05-25,"23","ME",NA,NA,300676,1033638,5300482,917993,1310415,737700,943159,908594,328495,107215,26289,6003,14619,"23-00000-20190525"
"56","State",2019-05-26,"23","ME",NA,NA,301853,1032461,5057996,886189,1262894,689457,875948,870136,312254,106870,31962,5808,16478,"23-00000-20190526"
"57","State",2019-05-27,"23","ME",NA,NA,306075,1028239,4562543,774885,1172705,636682,731397,752354,318882,113799,37348,7167,17324,"23-00000-20190527"
"58","State",2019-05-28,"23","ME",NA,NA,296810,1037504,5248751,934213,1321041,717724,835850,915664,370791,98811,33215,6040,15402,"23-00000-20190528"
"59","State",2019-05-29,"23","ME",NA,NA,288601,1045713,5339500,961535,1333871,720970,856432,943300,374503,95824,28219,6475,18371,"23-00000-20190529"
"60","State",2019-05-30,"23","ME",NA,NA,289517,1044797,5307880,932534,1356359,699036,870162,941690,367683,92804,25992,5907,15713,"23-00000-20190530"
"61","State",2019-05-31,"23","ME",NA,NA,287147,1047167,5613766,998177,1403654,761891,923584,982117,385799,107765,30527,6216,14036,"23-00000-20190531"
"62","State",2019-06-01,"23","ME",NA,NA,306534,1027780,5356120,965941,1366615,738231,876121,918672,339397,101840,28209,5543,15551,"23-00000-20190601"
"63","State",2019-06-02,"23","ME",NA,NA,307805,1026509,4651163,773401,1173747,665753,743117,849139,291012,101103,31864,6180,15847,"23-00000-20190602"
"64","State",2019-06-03,"23","ME",NA,NA,293809,1040505,5468123,990949,1362143,725585,854169,1022308,373327,92292,25516,5763,16071,"23-00000-20190603"
"65","State",2019-06-04,"23","ME",NA,NA,291473,1042841,5319640,967288,1314573,698871,862541,951898,378614,96790,27627,5842,15596,"23-00000-20190604"
"66","State",2019-06-05,"23","ME",NA,NA,290357,1043957,5029436,870371,1255409,650886,814551,929068,367910,93247,25390,6231,16373,"23-00000-20190605"
"67","State",2019-06-06,"23","ME",NA,NA,287603,1046711,5455536,974872,1378359,712236,883865,971390,386720,98966,27210,5644,16274,"23-00000-20190606"
"68","State",2019-06-07,"23","ME",NA,NA,287176,1047138,5886177,1076618,1468905,790986,952970,1034216,398090,109824,32162,5900,16506,"23-00000-20190607"
"69","State",2019-06-08,"23","ME",NA,NA,297990,1036324,5679496,1031608,1436385,755518,941866,989027,358353,114208,30729,5896,15906,"23-00000-20190608"
"70","State",2019-06-09,"23","ME",NA,NA,302576,1031738,4939787,866265,1242674,673920,811728,848117,324389,109727,34872,7514,20581,"23-00000-20190609"
"71","State",2019-06-10,"23","ME",NA,NA,297659,1036655,5221315,927938,1307139,697358,851554,923205,369096,94736,30173,5977,14139,"23-00000-20190610"
"72","State",2019-06-11,"23","ME",NA,NA,290664,1043650,5001354,847030,1241344,655493,810085,941778,363343,91360,26170,5914,18837,"23-00000-20190611"
