"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"26","MI",NA,NA,2056727,7908636,41257407,9020735,9710860,5090784,6879796,7121657,2365629,663391,280429,64337,59789,"26-00000-20190401"
"2","State",2019-04-02,"26","MI",NA,NA,1934777,8030586,42790290,9514752,10012615,5383760,7286121,7249952,2356000,619437,252481,57162,58010,"26-00000-20190402"
"3","State",2019-04-03,"26","MI",NA,NA,1966854,7998509,44606114,9747863,10656110,5631499,7554036,7700834,2405624,589086,211411,53200,56451,"26-00000-20190403"
"4","State",2019-04-04,"26","MI",NA,NA,1940044,8025319,44113869,9562191,10445251,5485526,7408717,7812378,2461645,593239,227176,60038,57708,"26-00000-20190404"
"5","State",2019-04-05,"26","MI",NA,NA,1928922,8036441,43925291,9241339,10377263,5524080,7572657,7782056,2458398,615047,238186,61716,54549,"26-00000-20190405"
"6","State",2019-04-06,"26","MI",NA,NA,2002369,7962994,43682879,9585543,10743062,5696855,7466496,6997092,2225854,619993,235832,59218,52934,"26-00000-20190406"
"7","State",2019-04-07,"26","MI",NA,NA,2108402,7856961,39197534,8606426,10066931,5155346,6609502,5946385,1862711,572476,250773,67376,59608,"26-00000-20190407"
"8","State",2019-04-08,"26","MI",NA,NA,1956330,8009033,43820173,9675397,10328049,5480179,7357385,7552202,2455262,591590,249794,59838,70477,"26-00000-20190408"
"9","State",2019-04-09,"26","MI",NA,NA,1952819,8012544,43435955,9488449,10286363,5322125,7332178,7615062,2451290,582405,231155,59186,67742,"26-00000-20190409"
"10","State",2019-04-10,"26","MI",NA,NA,2004704,7960659,45069000,9639179,10836234,5571714,7709492,8034639,2479389,540420,170705,40523,46705,"26-00000-20190410"
"11","State",2019-04-11,"26","MI",NA,NA,2061867,7903496,45698481,9717686,11137115,5568750,7660932,8314757,2538205,533142,153576,39408,34910,"26-00000-20190411"
"12","State",2019-04-12,"26","MI",NA,NA,1969228,7996135,46073420,9582769,11158554,5766103,7908430,8356400,2494454,560598,168966,41861,35285,"26-00000-20190412"
"13","State",2019-04-13,"26","MI",NA,NA,2130833,7834530,45765336,9779919,11423674,5845832,7865076,7691877,2349711,574030,165808,40044,29365,"26-00000-20190413"
"14","State",2019-04-14,"26","MI",NA,NA,2259622,7705741,39001734,8324748,10426693,5130452,6566939,6009916,1741920,516049,196051,50696,38270,"26-00000-20190414"
"15","State",2019-04-15,"26","MI",NA,NA,2011705,7953658,45017208,9933714,10955519,5545077,7507867,7839370,2435119,538549,169058,48675,44260,"26-00000-20190415"
"16","State",2019-04-16,"26","MI",NA,NA,1972329,7993034,43958808,9589916,10489413,5325353,7318201,7952652,2476248,548894,170314,47016,40801,"26-00000-20190416"
"17","State",2019-04-17,"26","MI",NA,NA,1993520,7971843,46265769,10005601,11307394,5655726,7788174,8246085,2521012,521822,146078,39422,34455,"26-00000-20190417"
"18","State",2019-04-18,"26","MI",NA,NA,1973870,7991493,46399517,9831712,11275132,5717133,7818514,8409803,2569171,549345,154609,39094,35004,"26-00000-20190418"
"19","State",2019-04-19,"26","MI",NA,NA,1998877,7966486,47284586,9871103,11515662,5975266,8240157,8434626,2443536,559268,168338,40805,35825,"26-00000-20190419"
"20","State",2019-04-20,"26","MI",NA,NA,2148353,7817010,45395865,9639331,11535708,5906774,7764920,7504154,2251300,555922,167541,38586,31629,"26-00000-20190420"
"21","State",2019-04-21,"26","MI",NA,NA,2299414,7665949,40683177,9022521,10397941,5221544,6800309,6445960,1962475,554019,193620,45890,38898,"26-00000-20190421"
"22","State",2019-04-22,"26","MI",NA,NA,1972328,7993035,43795828,9914827,10459226,5505539,7334459,7276572,2366676,557856,253270,59858,67545,"26-00000-20190422"
"23","State",2019-04-23,"26","MI",NA,NA,1844389,8120974,42450736,9455659,10094314,5237393,6984016,7281426,2375442,628049,257796,61508,75133,"26-00000-20190423"
"24","State",2019-04-24,"26","MI",NA,NA,1820650,8144713,45370350,10083306,10855150,5665561,7568889,7808289,2468629,585819,224313,49273,61121,"26-00000-20190424"
"25","State",2019-04-25,"26","MI",NA,NA,1787550,8177813,45287246,9984059,10778717,5621428,7612974,7846079,2522017,581760,227716,51224,61272,"26-00000-20190425"
"26","State",2019-04-26,"26","MI",NA,NA,1796787,8168576,44597487,9557326,10586800,5594124,7626723,7754774,2478112,619831,257867,58850,63080,"26-00000-20190426"
"27","State",2019-04-27,"26","MI",NA,NA,1962560,8002803,42780343,9249923,10665468,5506913,7187459,7033618,2146135,621516,255861,58872,54578,"26-00000-20190427"
