"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"27","MN",NA,NA,1104014,4490017,24841162,5572763,5723290,2803013,3879770,4605615,1492155,497262,189244,35987,42063,"27-00000-20190401"
"2","State",2019-04-02,"27","MN",NA,NA,1023189,4570842,25746774,5892156,5981754,2847317,3960263,4806172,1547917,472690,178075,30531,29899,"27-00000-20190402"
"3","State",2019-04-03,"27","MN",NA,NA,1047903,4546128,27163211,6259114,6456174,3107989,4167952,4944442,1544528,466449,164647,26211,25705,"27-00000-20190403"
"4","State",2019-04-04,"27","MN",NA,NA,1024197,4569834,27385322,6224083,6477363,3112733,4228236,4981938,1633244,487885,182571,27447,29822,"27-00000-20190404"
"5","State",2019-04-05,"27","MN",NA,NA,1022782,4571249,27426121,6174284,6401385,3147452,4228717,5019439,1632344,536134,227441,28511,30414,"27-00000-20190405"
"6","State",2019-04-06,"27","MN",NA,NA,1082179,4511852,26473358,6010352,6447758,3154459,4123494,4467424,1453945,550533,211419,26356,27618,"27-00000-20190406"
"7","State",2019-04-07,"27","MN",NA,NA,1163994,4430037,23030190,5295303,5732813,2774701,3558556,3665321,1186301,504618,250960,31678,29939,"27-00000-20190407"
"8","State",2019-04-08,"27","MN",NA,NA,1086235,4507796,26104417,6324249,6013121,2898935,3935021,4603237,1563343,494028,204476,31351,36656,"27-00000-20190408"
"9","State",2019-04-09,"27","MN",NA,NA,1083797,4510234,25642466,5954886,5944350,2847367,3887144,4622874,1593728,506970,214177,33562,37408,"27-00000-20190409"
"10","State",2019-04-10,"27","MN",NA,NA,1088839,4505192,24675003,5608481,5918000,2801633,3735272,4437850,1490144,450934,182582,22630,27477,"27-00000-20190410"
"11","State",2019-04-11,"27","MN",NA,NA,1274784,4319247,23433329,5762712,6385661,2742493,3476231,3583468,1045867,262443,126165,19123,29166,"27-00000-20190411"
"12","State",2019-04-12,"27","MN",NA,NA,1098941,4495090,25967573,5808865,6391396,3101522,4115360,4537066,1374363,395850,186165,25688,31298,"27-00000-20190412"
"13","State",2019-04-13,"27","MN",NA,NA,1142132,4451899,26318999,5745130,6473770,3203747,4220583,4468589,1451944,516882,189869,21661,26824,"27-00000-20190413"
"14","State",2019-04-14,"27","MN",NA,NA,1124679,4469352,24977536,5688371,6223541,3065247,3980128,3969494,1263999,498224,231884,25972,30676,"27-00000-20190414"
"15","State",2019-04-15,"27","MN",NA,NA,1021977,4572054,26473103,6126936,6289950,3034714,4052951,4659436,1574576,484139,187562,27165,35674,"27-00000-20190415"
"16","State",2019-04-16,"27","MN",NA,NA,1007027,4587004,26925677,6371029,6281269,3057796,4135927,4747625,1579115,500508,191828,27430,33150,"27-00000-20190416"
"17","State",2019-04-17,"27","MN",NA,NA,1029467,4564564,26572593,5941243,6369571,3060111,4153518,4805703,1548512,469221,169414,24783,30517,"27-00000-20190417"
"18","State",2019-04-18,"27","MN",NA,NA,1015286,4578745,28625765,6494511,6845182,3312588,4500629,5106189,1637578,501138,174042,23966,29942,"27-00000-20190418"
"19","State",2019-04-19,"27","MN",NA,NA,985686,4608345,29189112,6585161,6851004,3444229,4622602,5174816,1675924,544677,234893,24528,31278,"27-00000-20190419"
"20","State",2019-04-20,"27","MN",NA,NA,1085259,4508772,28076768,6536790,6812312,3420798,4418431,4575298,1499622,549909,218507,20261,24840,"27-00000-20190420"
"21","State",2019-04-21,"27","MN",NA,NA,1194937,4399094,22998806,5121894,5546851,2748594,3574783,3716856,1313627,590044,327351,28872,29934,"27-00000-20190421"
"22","State",2019-04-22,"27","MN",NA,NA,1059350,4534681,24749296,5579340,5841282,2754437,3723557,4571054,1535924,488518,191865,30225,33094,"27-00000-20190422"
