"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"29","MO",NA,NA,1330417,4777308,26575844,5832266,6405359,3179414,4186644,4618994,1607365,448870,211415,56470,29047,"29-00000-20190401"
"2","State",2019-04-02,"29","MO",NA,NA,1222260,4885465,27752445,6263230,6667149,3268613,4214470,4926027,1672572,462935,199251,55568,22630,"29-00000-20190402"
"3","State",2019-04-03,"29","MO",NA,NA,1254386,4853339,27967333,6158470,6809154,3329221,4306910,4957077,1724127,442876,176262,44200,19036,"29-00000-20190403"
"4","State",2019-04-04,"29","MO",NA,NA,1222619,4885106,27583571,5959575,6772933,3254633,4315458,4897761,1689642,443145,188735,42642,19047,"29-00000-20190404"
"5","State",2019-04-05,"29","MO",NA,NA,1213694,4894031,28304854,6085203,6821061,3365037,4434782,5089121,1726906,504667,213670,43084,21323,"29-00000-20190405"
"6","State",2019-04-06,"29","MO",NA,NA,1265415,4842310,28747942,6423184,7165706,3511579,4564953,4760680,1572737,488727,199707,40581,20088,"29-00000-20190406"
"7","State",2019-04-07,"29","MO",NA,NA,1323508,4784217,25459650,5631696,6540518,3197744,4060201,4010008,1292205,451622,212813,40608,22235,"29-00000-20190407"
"8","State",2019-04-08,"29","MO",NA,NA,1237710,4870015,27911288,6213002,6729595,3244281,4329261,4911077,1714012,482379,211168,49987,26526,"29-00000-20190408"
"9","State",2019-04-09,"29","MO",NA,NA,1227309,4880416,28058118,6370736,6713239,3239736,4329169,4933686,1705998,484446,206992,49735,24381,"29-00000-20190409"
"10","State",2019-04-10,"29","MO",NA,NA,1255493,4852232,29258392,6523584,7191832,3439575,4587451,5128118,1713659,446522,174009,33437,20205,"29-00000-20190410"
"11","State",2019-04-11,"29","MO",NA,NA,1276178,4831547,28792574,6352766,7054215,3369237,4450958,5094865,1775477,464015,180700,29307,21034,"29-00000-20190411"
"12","State",2019-04-12,"29","MO",NA,NA,1229909,4877816,29321672,6209004,7187064,3473351,4705321,5229727,1778336,492146,196327,30518,19878,"29-00000-20190412"
"13","State",2019-04-13,"29","MO",NA,NA,1340335,4767390,28136587,5963167,7061944,3442673,4570204,4818858,1597698,461281,174712,28584,17466,"29-00000-20190413"
"14","State",2019-04-14,"29","MO",NA,NA,1403905,4703820,25268045,5410071,6566870,3203646,4099949,4047860,1248788,426405,205816,34422,24218,"29-00000-20190414"
"15","State",2019-04-15,"29","MO",NA,NA,1261003,4846722,28226568,6257298,6877008,3344640,4441841,4923704,1672646,460608,187414,36139,25270,"29-00000-20190415"
