"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"28","MS",NA,NA,517967,2459437,12166247,2893506,3042930,1366741,1764449,1880165,780516,288047,113337,27866,8690,"28-00000-20190401"
"2","State",2019-04-02,"28","MS",NA,NA,481005,2496399,12149034,2935434,2995613,1353779,1750016,1910542,777724,283201,104296,30424,8005,"28-00000-20190402"
"3","State",2019-04-03,"28","MS",NA,NA,497581,2479823,12521128,2958179,3175593,1407878,1844733,1976689,777823,265447,85659,22119,7008,"28-00000-20190403"
"4","State",2019-04-04,"28","MS",NA,NA,479330,2498074,11682048,2634743,2997479,1315100,1718719,1871610,753919,270664,92789,21848,5177,"28-00000-20190404"
"5","State",2019-04-05,"28","MS",NA,NA,476661,2500743,12428156,2784285,3077794,1400813,1894967,2033710,816968,294163,99361,20469,5626,"28-00000-20190405"
"6","State",2019-04-06,"28","MS",NA,NA,499743,2477661,11931712,2748148,3023773,1404076,1800643,1822394,726691,287679,93849,19509,4950,"28-00000-20190406"
"7","State",2019-04-07,"28","MS",NA,NA,537351,2440053,10192761,2284631,2735961,1267363,1577242,1448409,533880,222204,95269,22891,4911,"28-00000-20190407"
"8","State",2019-04-08,"28","MS",NA,NA,506799,2470605,11380964,2612999,2854348,1278965,1681436,1819768,730154,267739,101875,27239,6441,"28-00000-20190408"
"9","State",2019-04-09,"28","MS",NA,NA,501914,2475490,11935962,2819088,2951567,1343352,1755903,1882495,771151,284244,95051,26783,6328,"28-00000-20190409"
"10","State",2019-04-10,"28","MS",NA,NA,499322,2478082,12763082,2956953,3191118,1466659,1915525,2055249,803790,273315,77718,18111,4644,"28-00000-20190410"
"11","State",2019-04-11,"28","MS",NA,NA,514021,2463383,12659476,2917274,3158267,1412770,1904054,2067210,826422,277065,76934,15985,3495,"28-00000-20190411"
"12","State",2019-04-12,"28","MS",NA,NA,501429,2475975,11934437,2587496,2973339,1369999,1821753,1994384,806726,274826,84742,17679,3493,"28-00000-20190412"
"13","State",2019-04-13,"28","MS",NA,NA,547908,2429496,10907702,2395880,2884819,1304762,1666779,1666442,659430,238954,73244,14121,3271,"28-00000-20190413"
"14","State",2019-04-14,"28","MS",NA,NA,571593,2405811,10825743,2369390,2926720,1377020,1696540,1551308,578865,220046,82621,19334,3899,"28-00000-20190414"
"15","State",2019-04-15,"28","MS",NA,NA,503104,2474300,12349332,2823787,3098362,1416098,1854362,1980851,790655,277042,85882,18315,3978,"28-00000-20190415"
"16","State",2019-04-16,"28","MS",NA,NA,501757,2475647,12117186,2766980,3033175,1378165,1842216,1943347,774029,273406,83321,18020,4527,"28-00000-20190416"
"17","State",2019-04-17,"28","MS",NA,NA,530018,2447386,12064559,2730522,3076574,1385084,1835422,1923841,759620,259111,74656,16004,3725,"28-00000-20190417"
"18","State",2019-04-18,"28","MS",NA,NA,521714,2455690,11162906,2507514,2873795,1280159,1675527,1782873,708477,238533,74652,17500,3876,"28-00000-20190418"
"19","State",2019-04-19,"28","MS",NA,NA,515860,2461544,12237788,2626579,3092565,1421507,1898083,2027593,800316,270299,79832,17279,3735,"28-00000-20190419"
"20","State",2019-04-20,"28","MS",NA,NA,530227,2447177,12497129,2725270,3214242,1505810,1967757,1985243,750703,257442,74019,13299,3344,"28-00000-20190420"
"21","State",2019-04-21,"28","MS",NA,NA,533544,2443860,11551348,2558604,3067646,1479233,1892123,1677861,573045,205064,77509,16497,3766,"28-00000-20190421"
"22","State",2019-04-22,"28","MS",NA,NA,480538,2496866,12322871,2934647,3084231,1389216,1796149,1937199,763151,282115,104782,25397,5984,"28-00000-20190422"
"23","State",2019-04-23,"28","MS",NA,NA,454744,2522660,11929793,2862669,2990791,1301187,1708176,1910953,756860,262607,106926,23804,5820,"28-00000-20190423"
"24","State",2019-04-24,"28","MS",NA,NA,462216,2515188,12382008,2942171,3189102,1380677,1781112,1971271,756483,249359,88229,18930,4674,"28-00000-20190424"
"25","State",2019-04-25,"28","MS",NA,NA,438167,2539237,11531273,2717324,2982582,1281430,1621217,1833320,726598,250765,93998,19531,4508,"28-00000-20190425"
