"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"30","MT",NA,NA,251208,807850,4746111,1291452,1393143,604176,577023,447714,224451,137815,53872,9271,7194,"30-00000-20190401"
"2","State",2019-04-02,"30","MT",NA,NA,234406,824652,4850375,1332925,1436733,589065,592186,441923,249541,139727,55346,8648,4281,"30-00000-20190402"
"3","State",2019-04-03,"30","MT",NA,NA,243104,815954,5021154,1328371,1554741,625036,611734,444931,251429,148129,46652,5898,4233,"30-00000-20190403"
"4","State",2019-04-04,"30","MT",NA,NA,238469,820589,5368563,1445681,1662288,651526,666733,465530,263387,150852,51516,6758,4292,"30-00000-20190404"
"5","State",2019-04-05,"30","MT",NA,NA,238665,820393,5279008,1402164,1591858,648424,657323,475057,271946,160600,59484,8005,4147,"30-00000-20190405"
"6","State",2019-04-06,"30","MT",NA,NA,243875,815183,5006528,1325987,1488171,606324,621131,471371,254247,169794,58874,6399,4230,"30-00000-20190406"
"7","State",2019-04-07,"30","MT",NA,NA,253190,805868,4443983,1149995,1362130,544654,557650,386771,220428,151916,57799,8258,4382,"30-00000-20190407"
"8","State",2019-04-08,"30","MT",NA,NA,241807,817251,4950195,1317493,1467404,598899,621769,464340,257855,149715,59539,8164,5017,"30-00000-20190408"
"9","State",2019-04-09,"30","MT",NA,NA,241128,817930,4980844,1324634,1493463,614155,623672,440026,260744,153040,58140,8057,4913,"30-00000-20190409"
"10","State",2019-04-10,"30","MT",NA,NA,243548,815510,5250450,1384841,1592287,659994,658316,479021,261035,152255,51977,6833,3891,"30-00000-20190410"
"11","State",2019-04-11,"30","MT",NA,NA,243990,815068,5491185,1451889,1688612,664724,695960,490600,278904,159986,48599,7954,3957,"30-00000-20190411"
"12","State",2019-04-12,"30","MT",NA,NA,231504,827554,5322502,1378207,1590532,664485,683821,483113,277636,171923,61469,7046,4270,"30-00000-20190412"
"13","State",2019-04-13,"30","MT",NA,NA,248928,810130,5184625,1307403,1586459,636927,646808,472460,276781,186865,59563,7355,4004,"30-00000-20190413"
"14","State",2019-04-14,"30","MT",NA,NA,257096,801962,4653403,1183646,1420795,572750,589309,400786,240429,168620,64413,7892,4763,"30-00000-20190414"
"15","State",2019-04-15,"30","MT",NA,NA,237366,821692,5184739,1394694,1543093,637880,650589,446524,277575,160381,59766,9195,5042,"30-00000-20190415"
"16","State",2019-04-16,"30","MT",NA,NA,235315,823743,5166170,1385745,1532102,626718,647749,466460,266819,166821,59743,8688,5325,"30-00000-20190416"
"17","State",2019-04-17,"30","MT",NA,NA,238883,820175,5417270,1459542,1639968,666050,698696,452867,278414,155973,53776,7652,4332,"30-00000-20190417"
"18","State",2019-04-18,"30","MT",NA,NA,233561,825497,5592802,1535434,1668444,692892,684983,491706,276699,173456,56037,8779,4372,"30-00000-20190418"
"19","State",2019-04-19,"30","MT",NA,NA,230715,828343,5475862,1419405,1624945,679729,685185,509820,298208,180323,65971,7528,4748,"30-00000-20190419"
"20","State",2019-04-20,"30","MT",NA,NA,251782,807276,5159064,1338002,1554093,641417,635936,464680,274332,183414,56218,6602,4370,"30-00000-20190420"
"21","State",2019-04-21,"30","MT",NA,NA,269617,789441,4472762,1179425,1328255,540975,587209,388598,218973,151692,63652,9056,4927,"30-00000-20190421"
"22","State",2019-04-22,"30","MT",NA,NA,236529,822529,4820647,1358834,1376707,572135,594292,471225,246015,138669,50249,7373,5148,"30-00000-20190422"
"23","State",2019-04-23,"30","MT",NA,NA,219635,839423,4670120,1312824,1312513,542026,564151,535705,226081,121094,43656,6865,5205,"30-00000-20190423"
"24","State",2019-04-24,"30","MT",NA,NA,222758,836300,4914148,1334445,1426842,600850,587847,552445,247753,116992,37077,5799,4098,"30-00000-20190424"
"25","State",2019-04-25,"30","MT",NA,NA,212428,846630,4973808,1354982,1427482,591916,619714,572920,245516,111588,39201,5772,4717,"30-00000-20190425"
"26","State",2019-04-26,"30","MT",NA,NA,216202,842856,4751433,1232463,1390902,559711,597764,551850,235263,126275,46045,6828,4332,"30-00000-20190426"
"27","State",2019-04-27,"30","MT",NA,NA,231226,827832,4518000,1176542,1304864,551283,551400,537820,226175,118446,41822,5667,3981,"30-00000-20190427"
"28","State",2019-04-28,"30","MT",NA,NA,232316,826742,3790132,951483,1076570,472898,466418,489129,172077,103909,45922,7414,4312,"30-00000-20190428"
"29","State",2019-04-29,"30","MT",NA,NA,214270,844788,4559016,1262496,1250057,544846,562617,544988,219860,116415,45297,7237,5203,"30-00000-20190429"
"30","State",2019-04-30,"30","MT",NA,NA,213061,845997,4571138,1213633,1260387,559004,588418,550399,231788,112059,44099,6620,4731,"30-00000-20190430"
"31","State",2019-05-01,"30","MT",NA,NA,212251,846807,4840672,1291580,1349066,592861,617393,581118,243412,116240,39607,5112,4283,"30-00000-20190501"
"32","State",2019-05-02,"30","MT",NA,NA,231944,827114,5115337,1392680,1476262,611312,644349,548760,259476,128589,45482,5050,3377,"30-00000-20190502"
"33","State",2019-05-03,"30","MT",NA,NA,234296,824762,5125383,1329074,1498171,635123,652025,524699,273002,149991,53879,5198,4221,"30-00000-20190503"
"34","State",2019-05-04,"30","MT",NA,NA,241426,817632,4825573,1232780,1400041,620235,615025,501298,242058,153683,51759,5104,3590,"30-00000-20190504"
"35","State",2019-05-05,"30","MT",NA,NA,240399,818659,4263808,1081884,1224462,529342,545001,434066,226390,146253,65721,6349,4340,"30-00000-20190505"
"36","State",2019-05-06,"30","MT",NA,NA,235988,823070,4715499,1216058,1422672,623732,606514,457846,229108,109044,38402,5312,6811,"30-00000-20190506"
"37","State",2019-05-07,"30","MT",NA,NA,233236,825822,4952798,1310458,1463680,629270,645377,503332,241225,113790,34319,4348,6999,"30-00000-20190507"
"38","State",2019-05-08,"30","MT",NA,NA,235324,823734,4954243,1269409,1519463,627394,636139,483512,249864,122295,34928,4463,6776,"30-00000-20190508"
"39","State",2019-05-09,"30","MT",NA,NA,228631,830427,5236640,1403819,1580823,650259,656371,521379,244215,128234,40481,4633,6426,"30-00000-20190509"
"40","State",2019-05-10,"30","MT",NA,NA,221193,837865,4852197,1200760,1457495,605273,645316,502516,243672,141232,43275,5600,7058,"30-00000-20190510"
"41","State",2019-05-11,"30","MT",NA,NA,230499,828559,4912250,1259000,1471475,594451,646998,501024,254191,132570,40715,4647,7179,"30-00000-20190511"
"42","State",2019-05-12,"30","MT",NA,NA,240414,818644,4200708,1033306,1239616,516311,563713,431281,221437,142581,39657,5165,7641,"30-00000-20190512"
"43","State",2019-05-13,"30","MT",NA,NA,238725,820333,4618520,1202051,1381354,575749,608877,456222,223335,120189,38214,5038,7491,"30-00000-20190513"
"44","State",2019-05-14,"30","MT",NA,NA,232002,827056,4959845,1324808,1479351,633884,645834,482658,230661,120854,30438,3728,7629,"30-00000-20190514"
"45","State",2019-05-15,"30","MT",NA,NA,232292,826766,4882802,1285485,1462168,615774,623112,499107,227777,119931,36514,5089,7845,"30-00000-20190515"
"46","State",2019-05-16,"30","MT",NA,NA,226932,832126,4548630,1135396,1356684,587034,587957,475751,226400,127110,39136,5133,8029,"30-00000-20190516"
"47","State",2019-05-17,"30","MT",NA,NA,223949,835109,4706674,1192932,1415952,602191,598335,469513,230639,134712,48681,5827,7892,"30-00000-20190517"
"48","State",2019-05-18,"30","MT",NA,NA,240493,818565,4427597,1075417,1369803,553460,580481,452657,212425,132396,38177,5575,7206,"30-00000-20190518"
"49","State",2019-05-19,"30","MT",NA,NA,244975,814083,3966195,970786,1198264,484910,534233,403934,192569,118989,47871,6310,8329,"30-00000-20190519"
"50","State",2019-05-20,"30","MT",NA,NA,238681,820377,4523050,1147109,1390369,559414,599655,428208,216978,127985,40089,5722,7521,"30-00000-20190520"
"51","State",2019-05-21,"30","MT",NA,NA,238889,820169,4879906,1296221,1484741,600727,649678,451284,227771,121339,35816,5078,7251,"30-00000-20190521"
"52","State",2019-05-22,"30","MT",NA,NA,234778,824280,5038507,1357857,1530633,622611,641410,470127,248835,117868,37325,5135,6706,"30-00000-20190522"
"53","State",2019-05-23,"30","MT",NA,NA,234137,824921,4756110,1233817,1417938,597562,615949,463863,241674,133507,39695,5773,6332,"30-00000-20190523"
"54","State",2019-05-24,"30","MT",NA,NA,229728,829330,4882972,1228088,1465813,605217,641848,471226,258214,146436,52423,6309,7398,"30-00000-20190524"
"55","State",2019-05-25,"30","MT",NA,NA,237518,821540,4814535,1249112,1424073,607122,620375,480471,237358,141523,42452,4996,7053,"30-00000-20190525"
"56","State",2019-05-26,"30","MT",NA,NA,240872,818186,4491767,1118817,1356712,529302,583134,462421,240066,143619,45434,5810,6452,"30-00000-20190526"
"57","State",2019-05-27,"30","MT",NA,NA,243783,815275,4126135,1040864,1205010,496372,520165,430875,216581,150254,53073,6129,6812,"30-00000-20190527"
"58","State",2019-05-28,"30","MT",NA,NA,231182,827876,5300608,1447317,1590243,664035,682003,487761,247391,129065,40311,5410,7072,"30-00000-20190528"
"59","State",2019-05-29,"30","MT",NA,NA,221862,837196,5407356,1475514,1624310,662036,683030,508590,263401,137213,39217,6093,7952,"30-00000-20190529"
"60","State",2019-05-30,"30","MT",NA,NA,225979,833079,5129467,1323100,1541512,653904,668577,498057,251273,139831,40187,5823,7203,"30-00000-20190530"
"61","State",2019-05-31,"30","MT",NA,NA,226423,832635,5362272,1385307,1624824,678039,666429,516286,275439,155001,48626,6171,6150,"30-00000-20190531"
"62","State",2019-06-01,"30","MT",NA,NA,236814,822244,5302575,1434259,1576215,639374,675344,507464,260894,154351,42150,5498,7026,"30-00000-20190601"
"63","State",2019-06-02,"30","MT",NA,NA,243765,815293,4671929,1209255,1382800,559975,589214,459577,249298,157537,51780,6430,6063,"30-00000-20190602"
"64","State",2019-06-03,"30","MT",NA,NA,232833,826225,5293802,1402582,1594099,655756,673126,494493,274676,140871,44863,6233,7103,"30-00000-20190603"
"65","State",2019-06-04,"30","MT",NA,NA,232686,826372,5212113,1376184,1580458,637874,667154,497160,266988,135900,38583,4961,6851,"30-00000-20190604"
"66","State",2019-06-05,"30","MT",NA,NA,234565,824493,5067681,1302472,1522811,616615,657518,499950,274512,141336,39919,5664,6884,"30-00000-20190605"
"67","State",2019-06-06,"30","MT",NA,NA,229329,829729,5230585,1382645,1590308,632883,666955,485206,270662,147678,42147,5691,6410,"30-00000-20190606"
"68","State",2019-06-07,"30","MT",NA,NA,227089,831969,5277802,1397481,1545349,651201,682229,500597,276844,159768,51126,6560,6647,"30-00000-20190607"
