"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"37","NC",NA,NA,1865485,8486396,45490357,9756337,11552128,5875283,7417705,7379195,2465917,662556,262696,65139,53401,"37-00000-20190401"
"2","State",2019-04-02,"37","NC",NA,NA,1761616,8590265,43130973,9057057,10873468,5447478,7188009,7120533,2485841,609324,231492,62458,55313,"37-00000-20190402"
"3","State",2019-04-03,"37","NC",NA,NA,1755207,8596674,47924685,10198285,12219386,6252889,7962261,7832354,2561697,609917,192153,52236,43507,"37-00000-20190403"
"4","State",2019-04-04,"37","NC",NA,NA,1716571,8635310,48699192,10242542,12326670,6349796,8093010,8080218,2673058,635584,204155,57537,36622,"37-00000-20190404"
"5","State",2019-04-05,"37","NC",NA,NA,1728520,8623361,46576167,9314521,11804734,6170587,7808647,7885115,2592913,670400,231149,60278,37823,"37-00000-20190405"
"6","State",2019-04-06,"37","NC",NA,NA,1800749,8551132,46650466,9728303,12097945,6195529,7793053,7441865,2419233,671500,214781,54558,33699,"37-00000-20190406"
"7","State",2019-04-07,"37","NC",NA,NA,1940807,8411074,41936162,8715744,11308798,5677247,6942139,6295479,2050657,619790,231352,58114,36842,"37-00000-20190407"
"8","State",2019-04-08,"37","NC",NA,NA,1773144,8578737,43932651,9265644,11146150,5651615,7108153,7327287,2483385,621428,220365,64314,44310,"37-00000-20190408"
"9","State",2019-04-09,"37","NC",NA,NA,1772501,8579380,44513058,9423193,11243031,5713360,7256373,7462705,2486983,612746,204436,62015,48216,"37-00000-20190409"
"10","State",2019-04-10,"37","NC",NA,NA,1765498,8586383,48812156,10266787,12541132,6372039,7987354,8150426,2639366,607138,166637,42644,38633,"37-00000-20190410"
"11","State",2019-04-11,"37","NC",NA,NA,1808157,8543724,49784762,10331479,12741124,6537889,8176456,8379519,2747963,620341,178646,40693,30652,"37-00000-20190411"
"12","State",2019-04-12,"37","NC",NA,NA,1749988,8601893,46540985,9135481,11857358,6210510,7810981,7974218,2615610,650788,209072,45768,31199,"37-00000-20190412"
