"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"38","ND",NA,NA,156874,600881,3340955,853506,960224,449034,384832,318326,177384,128174,57494,8928,3053,"38-00000-20190401"
"2","State",2019-04-02,"38","ND",NA,NA,145368,612387,3440964,922667,986439,453120,377686,319308,184840,131770,56736,6391,2007,"38-00000-20190402"
"3","State",2019-04-03,"38","ND",NA,NA,148021,609734,3624768,960622,1054008,485432,401707,336542,187548,138472,53090,5753,1594,"38-00000-20190403"
"4","State",2019-04-04,"38","ND",NA,NA,145857,611898,3775974,997882,1100083,509560,416937,347857,201317,140266,54816,5690,1566,"38-00000-20190404"
"5","State",2019-04-05,"38","ND",NA,NA,144550,613205,3699450,937727,1069134,504361,419778,347449,198131,148069,66992,6028,1781,"38-00000-20190405"
"6","State",2019-04-06,"38","ND",NA,NA,152551,605204,3467729,855495,1011754,482149,394003,327875,179996,150902,58623,5164,1768,"38-00000-20190406"
"7","State",2019-04-07,"38","ND",NA,NA,160902,596853,3068723,779426,900811,414777,343110,266950,155087,133811,65790,7026,1935,"38-00000-20190407"
"8","State",2019-04-08,"38","ND",NA,NA,151291,606464,3538947,928528,991303,468661,405770,331545,194164,147869,62312,6490,2305,"38-00000-20190408"
"9","State",2019-04-09,"38","ND",NA,NA,152295,605460,3475403,909068,976225,458362,392115,326054,192373,146624,65515,6814,2253,"38-00000-20190409"
"10","State",2019-04-10,"38","ND",NA,NA,153413,604342,3589950,926800,1039608,483720,404293,340287,192219,135428,60513,5619,1463,"38-00000-20190410"
"11","State",2019-04-11,"38","ND",NA,NA,161177,596578,3447895,911188,1020213,476369,388387,310343,176586,111264,48132,4107,1306,"38-00000-20190411"
"12","State",2019-04-12,"38","ND",NA,NA,157140,600615,3357788,858436,1015457,477551,371417,296764,160622,115123,54796,6135,1487,"38-00000-20190412"
"13","State",2019-04-13,"38","ND",NA,NA,158429,599326,3498544,842569,1027148,486431,403646,327890,191217,150642,62710,4905,1386,"38-00000-20190413"
"14","State",2019-04-14,"38","ND",NA,NA,164042,593713,3069556,756253,886478,419041,348613,289048,162391,136685,62437,7162,1448,"38-00000-20190414"
"15","State",2019-04-15,"38","ND",NA,NA,147910,609845,3560951,930381,1008616,486306,378386,328260,196094,158897,65781,6653,1577,"38-00000-20190415"
"16","State",2019-04-16,"38","ND",NA,NA,147050,610705,3614266,960764,1015043,476633,384606,340514,207043,155149,66684,6201,1629,"38-00000-20190416"
"17","State",2019-04-17,"38","ND",NA,NA,149889,607866,3606796,937313,1037290,497871,393030,328604,199198,147713,58347,5813,1617,"38-00000-20190417"
"18","State",2019-04-18,"38","ND",NA,NA,145013,612742,3774509,963352,1076243,524325,414858,352679,212142,154777,67373,7133,1627,"38-00000-20190418"
"19","State",2019-04-19,"38","ND",NA,NA,142958,614797,3703495,928006,1033559,493369,417293,368397,220121,160645,72040,8420,1645,"38-00000-20190419"
"20","State",2019-04-20,"38","ND",NA,NA,156354,601401,3414207,831931,949618,468180,385207,342712,209759,152650,66604,6103,1443,"38-00000-20190420"
"21","State",2019-04-21,"38","ND",NA,NA,165872,591883,2901760,684635,786590,375843,331965,296391,171802,156105,88891,7902,1636,"38-00000-20190421"
"22","State",2019-04-22,"38","ND",NA,NA,151259,606496,3578334,974312,1003085,464259,396273,337657,199311,133084,60722,7307,2324,"38-00000-20190422"
"23","State",2019-04-23,"38","ND",NA,NA,138879,618876,3525260,989055,980003,438504,425492,333017,188290,116085,46002,6158,2654,"38-00000-20190423"
"24","State",2019-04-24,"38","ND",NA,NA,141361,616394,3640214,1006636,1037092,470493,441357,344285,182508,111080,39553,5003,2207,"38-00000-20190424"
"25","State",2019-04-25,"38","ND",NA,NA,137225,620530,3636086,991273,1029162,466090,445857,355848,185081,112788,42396,5317,2274,"38-00000-20190425"
"26","State",2019-04-26,"38","ND",NA,NA,134547,623208,3619567,956043,1024695,470286,443804,350078,186397,131631,48405,5840,2388,"38-00000-20190426"
"27","State",2019-04-27,"38","ND",NA,NA,149099,608656,3335296,841270,950780,441222,419189,329861,178351,122856,43932,5624,2211,"38-00000-20190427"
"28","State",2019-04-28,"38","ND",NA,NA,151182,606573,2676835,658929,763977,344162,357840,256369,137047,99871,49130,7198,2312,"38-00000-20190428"
"29","State",2019-04-29,"38","ND",NA,NA,140236,617519,3318896,919086,923994,429870,409090,311697,170577,104562,40658,6359,3003,"38-00000-20190429"
"30","State",2019-04-30,"38","ND",NA,NA,137251,620504,3429446,932050,961170,441566,413674,333887,184869,110247,43745,5780,2458,"38-00000-20190430"
"31","State",2019-05-01,"38","ND",NA,NA,138741,619014,3541677,930244,1042445,458983,422572,348252,187124,108404,37090,4395,2168,"38-00000-20190501"
"32","State",2019-05-02,"38","ND",NA,NA,146889,610866,3771160,1015316,1101855,486829,433458,362809,197741,123735,42543,4797,2077,"38-00000-20190502"
"33","State",2019-05-03,"38","ND",NA,NA,146240,611515,3809299,1012195,1086650,493024,438316,363827,204345,142329,61118,5451,2044,"38-00000-20190503"
"34","State",2019-05-04,"38","ND",NA,NA,153206,604549,3623306,927502,1040531,488187,415677,347586,197298,144273,55990,4683,1579,"38-00000-20190504"
"35","State",2019-05-05,"38","ND",NA,NA,154168,603587,3217336,859114,897872,410537,367582,302736,166717,137982,66010,6991,1795,"38-00000-20190505"
"36","State",2019-05-06,"38","ND",NA,NA,147833,609922,3448915,909885,1020572,470377,397672,334074,169653,102426,36584,4307,3365,"38-00000-20190506"
"37","State",2019-05-07,"38","ND",NA,NA,144416,613339,3620100,981050,1069222,483856,423180,339307,170865,107768,37146,4261,3445,"38-00000-20190507"
"38","State",2019-05-08,"38","ND",NA,NA,147139,610616,3566196,948073,1061374,478562,406636,342874,178710,107458,35342,3984,3183,"38-00000-20190508"
"39","State",2019-05-09,"38","ND",NA,NA,142430,615325,3863701,1070163,1115663,512201,440954,367437,185200,121173,43044,4724,3142,"38-00000-20190509"
"40","State",2019-05-10,"38","ND",NA,NA,137289,620466,3670207,974951,1044411,506791,420871,351916,178538,130485,53949,5214,3081,"38-00000-20190510"
"41","State",2019-05-11,"38","ND",NA,NA,144652,613103,3465705,887063,1001180,465552,410798,346745,174311,125303,46437,5105,3211,"38-00000-20190511"
"42","State",2019-05-12,"38","ND",NA,NA,155444,602311,3076006,770127,874114,410379,365724,312279,165878,118013,50847,5486,3159,"38-00000-20190512"
"43","State",2019-05-13,"38","ND",NA,NA,152674,605081,3406344,908600,979676,459070,402525,346602,167882,97546,36657,4349,3437,"38-00000-20190513"
"44","State",2019-05-14,"38","ND",NA,NA,148105,609650,3684545,1022869,1050582,496764,429288,362676,175964,104517,34833,3923,3129,"38-00000-20190514"
"45","State",2019-05-15,"38","ND",NA,NA,143268,614487,3661591,1025517,1038486,494808,415745,363847,173543,105086,37275,4370,2914,"38-00000-20190515"
"46","State",2019-05-16,"38","ND",NA,NA,144982,612773,3493393,923610,1003395,472677,413460,354503,172896,106084,38765,4685,3318,"38-00000-20190516"
"47","State",2019-05-17,"38","ND",NA,NA,137053,620702,3627598,991877,1024865,476749,430057,348466,173890,123659,49445,5548,3042,"38-00000-20190517"
"48","State",2019-05-18,"38","ND",NA,NA,155045,602710,3169575,794189,937885,435607,384593,293592,157552,115511,43000,4764,2882,"38-00000-20190518"
"49","State",2019-05-19,"38","ND",NA,NA,160977,596778,2834216,700693,843304,376204,343412,270724,136730,104344,49504,6069,3232,"38-00000-20190519"
"50","State",2019-05-20,"38","ND",NA,NA,151643,606112,3464828,950848,994944,461849,406588,329717,172168,104772,36166,4555,3221,"38-00000-20190520"
"51","State",2019-05-21,"38","ND",NA,NA,151833,605922,3607934,973192,1053401,493251,426389,337388,175591,107713,34253,3796,2960,"38-00000-20190521"
"52","State",2019-05-22,"38","ND",NA,NA,150358,607397,3371758,868291,988071,464202,397949,324169,171968,113718,36175,4380,2835,"38-00000-20190522"
"53","State",2019-05-23,"38","ND",NA,NA,149857,607898,3406236,869701,990909,467589,410642,327164,178935,112912,40976,4506,2902,"38-00000-20190523"
"54","State",2019-05-24,"38","ND",NA,NA,138999,618756,3237910,776724,944272,441384,370145,311965,179717,145838,59295,6019,2551,"38-00000-20190524"
"55","State",2019-05-25,"38","ND",NA,NA,151372,606383,3508862,903426,1000531,457158,408105,357065,180905,141920,52299,4720,2733,"38-00000-20190525"
"56","State",2019-05-26,"38","ND",NA,NA,151547,606208,3261289,809858,940379,416277,387467,348528,171695,131132,48517,4751,2685,"38-00000-20190526"
"57","State",2019-05-27,"38","ND",NA,NA,152948,604807,3099862,790188,906203,406312,350745,301229,151059,130173,54155,6997,2801,"38-00000-20190527"
"58","State",2019-05-28,"38","ND",NA,NA,145131,612624,4022032,1113761,1181019,545658,450024,382200,186658,113274,41667,5012,2759,"38-00000-20190528"
"59","State",2019-05-29,"38","ND",NA,NA,141948,615807,4064917,1116416,1181333,539734,464620,394170,198970,120858,41547,4612,2657,"38-00000-20190529"
"60","State",2019-05-30,"38","ND",NA,NA,143341,614414,3885395,1029244,1105623,538545,455143,388743,196614,121203,42738,4869,2673,"38-00000-20190530"
"61","State",2019-05-31,"38","ND",NA,NA,138052,619703,3958818,1026953,1128025,545509,463240,385541,201899,143624,55834,5591,2602,"38-00000-20190531"
"62","State",2019-06-01,"38","ND",NA,NA,146301,611454,3865183,1051871,1102282,502740,444378,391993,186085,133218,45282,4599,2735,"38-00000-20190601"
"63","State",2019-06-02,"38","ND",NA,NA,158230,599525,3148093,798718,898412,422313,364134,303859,159724,133569,56079,8540,2745,"38-00000-20190602"
"64","State",2019-06-03,"38","ND",NA,NA,150852,606903,3710176,992062,1066573,503403,439792,365304,181502,111766,41561,5317,2896,"38-00000-20190603"
"65","State",2019-06-04,"38","ND",NA,NA,150993,606762,3649758,965373,1054833,497306,422459,360763,188499,114317,39165,4246,2797,"38-00000-20190604"
"66","State",2019-06-05,"38","ND",NA,NA,150188,607567,3570086,928139,1018125,481403,435954,358034,185197,117105,38558,4714,2857,"38-00000-20190605"
"67","State",2019-06-06,"38","ND",NA,NA,144723,613032,3834066,1012996,1087343,512559,465054,389463,196555,118840,43098,4979,3179,"38-00000-20190606"
"68","State",2019-06-07,"38","ND",NA,NA,138610,619145,3588527,938512,987568,474888,428946,357418,190082,143053,59073,6346,2641,"38-00000-20190607"
"69","State",2019-06-08,"38","ND",NA,NA,152325,605430,3310981,835818,932811,436456,386197,345345,184384,134418,47994,5183,2375,"38-00000-20190608"
"70","State",2019-06-09,"38","ND",NA,NA,158749,599006,2924937,694573,826967,378271,352019,305371,162479,135301,60546,6783,2627,"38-00000-20190609"
"71","State",2019-06-10,"38","ND",NA,NA,154616,603139,3469744,877284,1007573,463334,416347,360965,180730,112971,42668,4906,2966,"38-00000-20190610"
"72","State",2019-06-11,"38","ND",NA,NA,154648,603107,3263453,818613,913631,454894,400354,338565,177599,112359,40102,4218,3118,"38-00000-20190611"
"73","State",2019-06-12,"38","ND",NA,NA,150256,607499,3425477,863161,985585,471114,408514,353176,177599,116451,41820,4817,3240,"38-00000-20190612"
"74","State",2019-06-13,"38","ND",NA,NA,147865,609890,3549379,925550,997095,470582,408600,370292,198995,124049,46447,4843,2926,"38-00000-20190613"
"75","State",2019-06-14,"38","ND",NA,NA,142781,614974,3385491,868932,923081,447320,384341,350796,195154,148577,59068,5347,2875,"38-00000-20190614"
"76","State",2019-06-15,"38","ND",NA,NA,156232,601523,3210714,802501,911797,433308,361304,338218,174055,132762,49823,4549,2397,"38-00000-20190615"
"77","State",2019-06-16,"38","ND",NA,NA,154648,603107,2753906,665604,759197,354449,308937,275601,164463,152968,63377,6917,2393,"38-00000-20190616"
