"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"31","NE",NA,NA,382575,1540799,9001657,1981038,2415369,1213148,1508891,1174491,413903,186958,77786,17440,12633,"31-00000-20190401"
"2","State",2019-04-02,"31","NE",NA,NA,349526,1573848,9346055,2185589,2495568,1166897,1577623,1213135,425710,177100,73362,14760,16311,"31-00000-20190402"
"3","State",2019-04-03,"31","NE",NA,NA,360290,1563084,9329828,2072842,2543743,1231194,1568194,1232941,422656,171301,61239,12096,13622,"31-00000-20190403"
"4","State",2019-04-04,"31","NE",NA,NA,351013,1572361,9815795,2274415,2661299,1264959,1578266,1299817,468681,182889,62280,11908,11281,"31-00000-20190404"
"5","State",2019-04-05,"31","NE",NA,NA,349296,1574078,9790323,2175688,2657249,1271957,1573812,1353598,468659,199698,67977,11510,10175,"31-00000-20190405"
"6","State",2019-04-06,"31","NE",NA,NA,364485,1558889,9632054,2223878,2650417,1266294,1456908,1278230,455118,214643,66425,10620,9521,"31-00000-20190406"
"7","State",2019-04-07,"31","NE",NA,NA,396548,1526826,8526950,1953640,2407342,1134907,1281854,1069893,398698,188296,69329,13408,9583,"31-00000-20190407"
"8","State",2019-04-08,"31","NE",NA,NA,371187,1552187,9584966,2265755,2597273,1202988,1480706,1305647,448954,191451,67182,14143,10867,"31-00000-20190408"
"9","State",2019-04-09,"31","NE",NA,NA,370399,1552975,9500989,2283372,2547015,1187477,1441952,1289353,463494,197260,66129,14243,10694,"31-00000-20190409"
"10","State",2019-04-10,"31","NE",NA,NA,373309,1550065,9334520,2127248,2580146,1207308,1465212,1287216,430376,166048,53438,11109,6419,"31-00000-20190410"
"11","State",2019-04-11,"31","NE",NA,NA,399986,1523388,9237099,2090339,2643865,1222703,1513476,1216712,368588,122409,43518,8989,6500,"31-00000-20190411"
"12","State",2019-04-12,"31","NE",NA,NA,365501,1557873,9766973,2138263,2722831,1280136,1547043,1361058,463814,179439,56632,11108,6649,"31-00000-20190412"
"13","State",2019-04-13,"31","NE",NA,NA,386666,1536708,9588478,2120695,2653407,1252236,1503251,1277247,471686,233405,61280,9691,5580,"31-00000-20190413"
"14","State",2019-04-14,"31","NE",NA,NA,385438,1537936,9030004,2006853,2566459,1216881,1411844,1144717,408602,193622,63715,10822,6489,"31-00000-20190414"
"15","State",2019-04-15,"31","NE",NA,NA,358901,1564473,9956745,2345932,2730559,1266233,1522803,1359360,459441,191459,61330,11494,8134,"31-00000-20190415"
"16","State",2019-04-16,"31","NE",NA,NA,352951,1570423,9947342,2367264,2691943,1273177,1518175,1343122,473349,197269,63204,12951,6888,"31-00000-20190416"
"17","State",2019-04-17,"31","NE",NA,NA,351866,1571508,10142915,2364142,2790683,1317870,1575175,1377130,465463,185361,49793,10705,6593,"31-00000-20190417"
"18","State",2019-04-18,"31","NE",NA,NA,351128,1572246,10440314,2383588,2864497,1350931,1626444,1452642,497001,192811,55681,10144,6575,"31-00000-20190418"
"19","State",2019-04-19,"31","NE",NA,NA,342062,1581312,10734317,2422262,2945104,1441747,1672420,1459420,502526,210702,62225,11157,6754,"31-00000-20190419"
"20","State",2019-04-20,"31","NE",NA,NA,367949,1555425,10145126,2346972,2813546,1335205,1536479,1362651,470878,206610,58918,8148,5719,"31-00000-20190420"
"21","State",2019-04-21,"31","NE",NA,NA,412114,1511260,8212165,1850238,2247399,1101165,1266097,1073532,384730,198522,70960,12764,6758,"31-00000-20190421"
"22","State",2019-04-22,"31","NE",NA,NA,362092,1561282,9076462,2110778,2475704,1149654,1405281,1232031,430832,177075,68052,13901,13154,"31-00000-20190422"
"23","State",2019-04-23,"31","NE",NA,NA,333836,1589538,9456365,2271968,2598762,1183477,1462989,1265456,411957,168805,65042,14261,13648,"31-00000-20190423"
"24","State",2019-04-24,"31","NE",NA,NA,338708,1584666,9982729,2407441,2755559,1295606,1541185,1340913,407984,158626,54617,11104,9694,"31-00000-20190424"
"25","State",2019-04-25,"31","NE",NA,NA,328852,1594522,9897138,2342787,2705176,1257065,1554231,1347962,440849,170804,56794,12373,9097,"31-00000-20190425"
"26","State",2019-04-26,"31","NE",NA,NA,329907,1593467,9778282,2266553,2668314,1276119,1535300,1318288,444754,184958,62586,12217,9193,"31-00000-20190426"
"27","State",2019-04-27,"31","NE",NA,NA,368129,1555245,8799637,1873520,2464238,1184126,1405112,1189749,406268,192210,61753,12996,9665,"31-00000-20190427"
"28","State",2019-04-28,"31","NE",NA,NA,361871,1561503,7952667,1774443,2220998,1088191,1272026,998283,336630,166947,69221,15123,10805,"31-00000-20190428"
"29","State",2019-04-29,"31","NE",NA,NA,338611,1584763,9293046,2240545,2545602,1189836,1407864,1234269,414164,170790,63326,14631,12019,"31-00000-20190429"
"30","State",2019-04-30,"31","NE",NA,NA,333031,1590343,8846522,2050712,2412199,1129180,1411903,1194806,401122,160854,61553,13904,10289,"31-00000-20190430"
"31","State",2019-05-01,"31","NE",NA,NA,335013,1588361,9596319,2230407,2681065,1245690,1496788,1281464,422802,162305,55772,11025,9001,"31-00000-20190501"
"32","State",2019-05-02,"31","NE",NA,NA,348751,1574623,10107798,2420379,2798556,1281312,1568120,1345755,442840,173525,57730,10157,9424,"31-00000-20190502"
