"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"34","NJ",NA,NA,1882040,6999253,42517374,12264932,10697774,4788358,5917039,5884009,2097664,577496,195326,46409,48367,"34-00000-20190401"
"2","State",2019-04-02,"34","NJ",NA,NA,1834374,7046919,41589175,11831873,10752682,4723701,5705536,5720168,2028737,528465,196804,52896,48313,"34-00000-20190402"
"3","State",2019-04-03,"34","NJ",NA,NA,1863840,7017453,43431713,12295237,11385385,4964518,5992817,5941581,2067469,502880,187804,47886,46136,"34-00000-20190403"
"4","State",2019-04-04,"34","NJ",NA,NA,1848790,7032503,44526904,12310622,11586041,5242625,6257858,6223496,2097735,517241,183081,49579,58626,"34-00000-20190404"
"5","State",2019-04-05,"34","NJ",NA,NA,1855015,7026278,42956121,11561507,11324387,5093230,6120327,5974072,2042010,517404,211102,53642,58440,"34-00000-20190405"
"6","State",2019-04-06,"34","NJ",NA,NA,1929350,6951943,43644098,11718673,11881400,5330514,6339675,5672519,1818891,565064,215463,52041,49858,"34-00000-20190406"
"7","State",2019-04-07,"34","NJ",NA,NA,2033387,6847906,40097486,10890564,11102179,4840098,5681808,5006101,1687650,557086,227664,53610,50726,"34-00000-20190407"
"8","State",2019-04-08,"34","NJ",NA,NA,1882198,6999095,41621000,11174218,10838754,4777490,5934715,5934293,2098947,539006,210213,54865,58499,"34-00000-20190408"
"9","State",2019-04-09,"34","NJ",NA,NA,1871145,7010148,40383646,10392356,10488094,4757307,5879654,5958568,2063802,529293,201527,55418,57627,"34-00000-20190409"
"10","State",2019-04-10,"34","NJ",NA,NA,1876573,7004720,42976328,11152459,11319274,5128157,6208172,6306030,2105288,494205,169450,44631,48662,"34-00000-20190410"
"11","State",2019-04-11,"34","NJ",NA,NA,1912481,6968812,42427065,10610166,11148423,5088614,6285622,6353247,2136764,529627,187869,47123,39610,"34-00000-20190411"
"12","State",2019-04-12,"34","NJ",NA,NA,1845023,7036270,42107235,10797083,11080397,5058522,6218202,6116797,2034980,508060,200224,51415,41555,"34-00000-20190412"
"13","State",2019-04-13,"34","NJ",NA,NA,1986166,6895127,42593981,11303110,11507645,5199852,6211625,5661552,1838213,559867,221690,51059,39368,"34-00000-20190413"
"14","State",2019-04-14,"34","NJ",NA,NA,2119860,6761433,37866592,10065097,10362013,4563275,5448811,4946926,1618663,538023,226242,57094,40448,"34-00000-20190414"
"15","State",2019-04-15,"34","NJ",NA,NA,1958464,6922829,38840815,10138666,10098752,4523478,5603134,5686910,1983704,509152,194479,52755,49785,"34-00000-20190415"
"16","State",2019-04-16,"34","NJ",NA,NA,1893795,6987498,40611059,10640794,10477404,4775247,5945643,5925307,2052706,500025,192725,56784,44424,"34-00000-20190416"
"17","State",2019-04-17,"34","NJ",NA,NA,1928206,6953087,42274898,10991103,11046531,4990729,6145384,6241403,2077887,501348,186777,48938,44798,"34-00000-20190417"
"18","State",2019-04-18,"34","NJ",NA,NA,1920845,6960448,43113745,11279913,11229903,5148084,6263685,6295443,2092087,515402,194938,53608,40682,"34-00000-20190418"
"19","State",2019-04-19,"34","NJ",NA,NA,1950732,6930561,42435474,11299106,11094848,5004567,6189967,5979398,1974217,531890,243999,67884,49598,"34-00000-20190419"
"20","State",2019-04-20,"34","NJ",NA,NA,2092221,6789072,40790454,10900010,11104460,4924093,5941119,5353802,1692893,534585,232409,60246,46837,"34-00000-20190420"
"21","State",2019-04-21,"34","NJ",NA,NA,2205152,6676141,37319668,10484350,10182714,4205271,4989065,4782167,1711565,610479,244734,66253,43070,"34-00000-20190421"
"22","State",2019-04-22,"34","NJ",NA,NA,1943759,6937534,39290945,10478807,10199652,4503966,5499655,5617955,2057543,566853,220604,70976,74934,"34-00000-20190422"
"23","State",2019-04-23,"34","NJ",NA,NA,1810059,7071234,40837327,10881215,10547567,4694490,5789752,5795660,2139152,611307,242008,64107,72069,"34-00000-20190423"
"24","State",2019-04-24,"34","NJ",NA,NA,1786473,7094820,42722077,11281098,11199936,4997741,6117864,6106844,2140571,563616,199671,56233,58503,"34-00000-20190424"
"25","State",2019-04-25,"34","NJ",NA,NA,1743683,7137610,41766438,10393513,11058640,5005088,6143013,6093841,2183051,581064,201466,44786,61976,"34-00000-20190425"
"26","State",2019-04-26,"34","NJ",NA,NA,1762366,7118927,40744481,10226324,10753523,4908608,6036591,5884027,2038505,578869,216348,44215,57471,"34-00000-20190426"
"27","State",2019-04-27,"34","NJ",NA,NA,1872103,7009190,42449549,11297618,11656222,5160124,6093566,5475165,1858809,597972,216873,44287,48913,"34-00000-20190427"
"28","State",2019-04-28,"34","NJ",NA,NA,1901946,6979347,37524504,9926778,10513481,4574464,5272802,4620065,1659700,590951,250067,56613,59583,"34-00000-20190428"
"29","State",2019-04-29,"34","NJ",NA,NA,1765514,7115779,40587627,10340280,10776970,4812179,5794281,5833901,2091976,595932,216733,53652,71723,"34-00000-20190429"
"30","State",2019-04-30,"34","NJ",NA,NA,1732775,7148518,41700535,11005275,10825461,4914387,5962147,5908729,2139558,599017,226390,56855,62716,"34-00000-20190430"
"31","State",2019-05-01,"34","NJ",NA,NA,1772414,7108879,42437997,11087451,11256929,4997770,6075332,6070139,2120453,536298,186074,46951,60600,"34-00000-20190501"
"32","State",2019-05-02,"34","NJ",NA,NA,1828730,7052563,43336863,11253381,11488683,5149133,6250671,6217706,2137143,540738,184608,53373,61427,"34-00000-20190502"
"33","State",2019-05-03,"34","NJ",NA,NA,1870419,7010874,42217685,10745997,11181955,5114360,6187975,6058463,2055270,540178,213390,56969,63128,"34-00000-20190503"
"34","State",2019-05-04,"34","NJ",NA,NA,1972277,6909016,41521014,10993337,11251950,5004880,6072245,5475556,1834787,559030,212916,59086,57227,"34-00000-20190504"
"35","State",2019-05-05,"34","NJ",NA,NA,2052571,6828722,35478598,9258682,9986982,4254026,5053594,4478755,1518879,551397,236304,71174,68805,"34-00000-20190505"
"36","State",2019-05-06,"34","NJ",NA,NA,1863964,7017329,39864880,10429645,10740387,4728286,5754914,5622986,1847191,434708,139190,49343,118230,"34-00000-20190506"
"37","State",2019-05-07,"34","NJ",NA,NA,1831296,7049997,41592569,10991362,11197818,4887494,5988005,5883479,1900182,436875,132397,50080,124877,"34-00000-20190507"
"38","State",2019-05-08,"34","NJ",NA,NA,1834949,7046344,41047367,10764514,11011985,4848123,5884261,5870123,1903238,433507,148978,57712,124926,"34-00000-20190508"
"39","State",2019-05-09,"34","NJ",NA,NA,1815331,7065962,41871388,10929140,11280996,4962975,6038946,5996069,1902791,440222,144447,56033,119769,"34-00000-20190509"
"40","State",2019-05-10,"34","NJ",NA,NA,1762817,7118476,40973742,10231501,11067772,5028476,6067507,5880445,1880481,476750,168047,56575,116188,"34-00000-20190510"
"41","State",2019-05-11,"34","NJ",NA,NA,1877664,7003629,41811955,10980772,11606847,5174675,6074974,5402139,1722396,499720,174800,57118,118514,"34-00000-20190511"
"42","State",2019-05-12,"34","NJ",NA,NA,2015048,6866245,33223813,8244564,9568356,3954842,4769726,4366965,1438008,478937,195371,67569,139475,"34-00000-20190512"
"43","State",2019-05-13,"34","NJ",NA,NA,1887589,6993704,36381664,9068758,9911889,4331274,5292674,5259719,1746884,433812,151826,60027,124801,"34-00000-20190513"
"44","State",2019-05-14,"34","NJ",NA,NA,1850185,7031108,38799723,10006485,10397866,4615884,5643741,5575536,1809432,431530,143397,53876,121976,"34-00000-20190514"
"45","State",2019-05-15,"34","NJ",NA,NA,1834332,7046961,40685921,10786459,10812140,4826579,5807952,5770184,1893283,458694,146659,59265,124706,"34-00000-20190515"
"46","State",2019-05-16,"34","NJ",NA,NA,1810505,7070788,40836204,10719118,10847822,4890034,5847226,5836396,1879748,469757,150310,59331,136462,"34-00000-20190516"
"47","State",2019-05-17,"34","NJ",NA,NA,1793113,7088180,42192131,11111596,11295493,5056541,6067451,5902535,1897544,490939,178174,60687,131171,"34-00000-20190517"
"48","State",2019-05-18,"34","NJ",NA,NA,1888538,6992755,43470467,11918217,11792359,5261031,6183530,5601393,1806541,538840,185840,58887,123829,"34-00000-20190518"
"49","State",2019-05-19,"34","NJ",NA,NA,1958492,6922801,39162441,10627892,10842497,4657213,5385881,5008859,1684851,549509,209205,68869,127665,"34-00000-20190519"
"50","State",2019-05-20,"34","NJ",NA,NA,1847559,7033734,41224121,10657343,11087510,4973718,5956796,5835485,1906291,452883,155422,63552,135121,"34-00000-20190520"
"51","State",2019-05-21,"34","NJ",NA,NA,1850171,7031122,43281243,11536155,11682214,5173318,6156673,6064795,1895755,428270,147168,60470,136425,"34-00000-20190521"
"52","State",2019-05-22,"34","NJ",NA,NA,1815467,7065826,42925482,11330110,11515552,5128544,6169624,6087107,1935041,440717,139938,51217,127632,"34-00000-20190522"
"53","State",2019-05-23,"34","NJ",NA,NA,1779166,7102127,40178311,10236993,10631102,4800983,5896167,5860332,1928151,482153,168197,52210,122023,"34-00000-20190523"
"54","State",2019-05-24,"34","NJ",NA,NA,1792091,7089202,43547804,11546605,11716125,5267727,6304674,5907689,1841601,531332,221758,66590,143703,"34-00000-20190524"
"55","State",2019-05-25,"34","NJ",NA,NA,1902615,6978678,44043489,12287971,12101657,5272157,6170691,5489070,1716393,558858,227737,65483,153472,"34-00000-20190525"
"56","State",2019-05-26,"34","NJ",NA,NA,2043472,6837821,40186452,11481539,11065742,4591746,5330798,4892454,1754585,636295,222153,61423,149717,"34-00000-20190526"
"57","State",2019-05-27,"34","NJ",NA,NA,2072495,6808798,36078457,9686207,10545876,4186424,4842791,4339692,1446547,574444,238825,67351,150300,"34-00000-20190527"
"58","State",2019-05-28,"34","NJ",NA,NA,1913295,6967998,40348471,10660829,10629331,4764577,5780637,5829278,1900471,458355,156963,52519,115511,"34-00000-20190528"
"59","State",2019-05-29,"34","NJ",NA,NA,1865262,7016031,41482029,10947004,10851709,4871856,6020126,6066473,1976184,443445,139179,56417,109636,"34-00000-20190529"
"60","State",2019-05-30,"34","NJ",NA,NA,1796799,7084494,40465828,10387328,10596018,4755343,5947852,6049963,1974840,449333,142801,53290,109060,"34-00000-20190530"
"61","State",2019-05-31,"34","NJ",NA,NA,1841082,7040211,46673541,12594191,12508444,5554100,6706750,6412566,2024783,514435,187453,57512,113307,"34-00000-20190531"
"62","State",2019-06-01,"34","NJ",NA,NA,1977938,6903355,43972417,11938908,12317723,5292146,6217931,5593611,1743862,515426,173519,52519,126772,"34-00000-20190601"
"63","State",2019-06-02,"34","NJ",NA,NA,1974872,6906421,39195893,10753994,10867385,4601966,5446106,4969615,1618549,534675,220716,54355,128532,"34-00000-20190602"
"64","State",2019-06-03,"34","NJ",NA,NA,1862640,7018653,45760897,12596578,12356411,5425725,6416448,6174729,1967875,461531,185589,55814,120197,"34-00000-20190603"
"65","State",2019-06-04,"34","NJ",NA,NA,1837957,7043336,43450525,11598085,11604672,5186320,6210525,6114701,1966605,454654,142869,56934,115160,"34-00000-20190604"
"66","State",2019-06-05,"34","NJ",NA,NA,1822856,7058437,40784915,10658913,10676173,4836219,5902437,5986897,1958570,446405,145118,47338,126845,"34-00000-20190605"
"67","State",2019-06-06,"34","NJ",NA,NA,1814635,7066658,45430538,12286065,11946916,5400461,6554339,6354639,2054784,479203,159579,51082,143470,"34-00000-20190606"
