"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"35","NM",NA,NA,426199,1662824,10407757,2456809,2953617,1367233,1501508,1186173,509991,288381,107729,27292,9024,"35-00000-20190401"
"2","State",2019-04-02,"35","NM",NA,NA,403259,1685764,10599930,2567994,2973165,1362571,1507497,1227241,521717,307206,105067,22051,5421,"35-00000-20190402"
"3","State",2019-04-03,"35","NM",NA,NA,412883,1676140,10930480,2544356,3184325,1414801,1624904,1207921,536205,299250,97809,16537,4372,"35-00000-20190403"
"4","State",2019-04-04,"35","NM",NA,NA,401294,1687729,11169577,2651218,3246003,1479026,1624274,1183869,541498,318829,101609,18626,4625,"35-00000-20190404"
"5","State",2019-04-05,"35","NM",NA,NA,403905,1685118,10886669,2469093,3147076,1467923,1603028,1170527,558832,333944,112202,19352,4692,"35-00000-20190405"
"6","State",2019-04-06,"35","NM",NA,NA,415697,1673326,10544583,2442890,3044058,1408707,1541096,1148474,511957,317781,107651,17596,4373,"35-00000-20190406"
"7","State",2019-04-07,"35","NM",NA,NA,428972,1660051,9705499,2288824,2809649,1278316,1397692,1024491,460289,299593,119094,22333,5218,"35-00000-20190407"
"8","State",2019-04-08,"35","NM",NA,NA,406868,1682155,10478076,2484232,2975215,1359737,1490377,1139313,535152,347518,117177,22977,6378,"35-00000-20190408"
"9","State",2019-04-09,"35","NM",NA,NA,403468,1685555,10478662,2468670,2954154,1384379,1514529,1127873,543325,339671,117974,22307,5780,"35-00000-20190409"
"10","State",2019-04-10,"35","NM",NA,NA,421656,1667367,10794205,2528822,3174886,1430688,1577795,1115467,536677,300600,107536,16786,4948,"35-00000-20190410"
"11","State",2019-04-11,"35","NM",NA,NA,429372,1659651,11109350,2635152,3238062,1444548,1622612,1147361,564210,319244,115076,16557,6528,"35-00000-20190411"
"12","State",2019-04-12,"35","NM",NA,NA,409000,1680023,10932138,2507838,3159639,1451073,1614329,1156154,573724,322838,122424,18200,5919,"35-00000-20190412"
"13","State",2019-04-13,"35","NM",NA,NA,445797,1643226,10561078,2400344,3113259,1416532,1551324,1120545,519988,312048,105111,16078,5849,"35-00000-20190413"
"14","State",2019-04-14,"35","NM",NA,NA,448182,1640841,10080185,2442830,2917706,1334101,1419556,1024898,492042,303793,118970,20391,5898,"35-00000-20190414"
"15","State",2019-04-15,"35","NM",NA,NA,414936,1674087,10718444,2563010,3095346,1390506,1557242,1101566,543675,319795,120444,19885,6975,"35-00000-20190415"
"16","State",2019-04-16,"35","NM",NA,NA,414963,1674060,10803797,2630797,3121438,1385534,1576762,1092922,536633,314085,118774,19714,7138,"35-00000-20190416"
"17","State",2019-04-17,"35","NM",NA,NA,417240,1671783,10927627,2615544,3187151,1458456,1601116,1100201,526624,303237,110291,18218,6789,"35-00000-20190417"
"18","State",2019-04-18,"35","NM",NA,NA,411756,1677267,11461969,2760751,3314595,1520179,1684284,1183358,547393,317281,108839,18883,6406,"35-00000-20190418"
"19","State",2019-04-19,"35","NM",NA,NA,406817,1682206,11166241,2514958,3219060,1501098,1666798,1207989,576034,336459,120364,17260,6221,"35-00000-20190419"
"20","State",2019-04-20,"35","NM",NA,NA,440756,1648267,10767945,2479297,3138819,1467745,1551333,1136839,542880,319196,110338,16064,5434,"35-00000-20190420"
"21","State",2019-04-21,"35","NM",NA,NA,470452,1618571,9434386,2171446,2756353,1289112,1378896,962409,442553,276588,128167,21794,7068,"35-00000-20190421"
"22","State",2019-04-22,"35","NM",NA,NA,407734,1681289,10130000,2386271,2824476,1258837,1523077,1193797,498443,312188,105923,21178,5810,"35-00000-20190422"
"23","State",2019-04-23,"35","NM",NA,NA,390210,1698813,9957875,2365380,2778917,1265849,1474582,1215720,469922,274937,88720,18525,5323,"35-00000-20190423"
"24","State",2019-04-24,"35","NM",NA,NA,379234,1709789,10816991,2616947,3042601,1397141,1564577,1298494,520989,278638,78101,14777,4726,"35-00000-20190424"
"25","State",2019-04-25,"35","NM",NA,NA,368815,1720208,11323534,2734611,3169745,1458204,1714013,1374987,494027,276301,81595,15408,4643,"35-00000-20190425"
"26","State",2019-04-26,"35","NM",NA,NA,373834,1715189,10795296,2475344,3028862,1457509,1645332,1270775,514479,287768,92934,17340,4953,"35-00000-20190426"
"27","State",2019-04-27,"35","NM",NA,NA,401286,1687737,10366349,2357812,2857908,1371181,1643883,1287449,474458,264800,87915,16266,4677,"35-00000-20190427"
"28","State",2019-04-28,"35","NM",NA,NA,397411,1691612,9394736,2164928,2606095,1247164,1461919,1122755,392740,278527,97670,18211,4727,"35-00000-20190428"
"29","State",2019-04-29,"35","NM",NA,NA,377575,1711448,10335712,2507004,2841791,1315872,1508531,1244181,496067,303502,95822,17244,5698,"35-00000-20190429"
"30","State",2019-04-30,"35","NM",NA,NA,370149,1718874,10706183,2593827,2950756,1349812,1596164,1295693,501787,308223,89532,15487,4902,"35-00000-20190430"
"31","State",2019-05-01,"35","NM",NA,NA,370704,1718319,11269839,2663891,3162634,1439299,1726972,1352034,516246,307375,82974,14066,4348,"35-00000-20190501"
