"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"32","NV",NA,NA,677748,2347369,13006017,3606229,3209226,1613725,2065495,1815593,352572,184700,104970,33841,19666,"32-00000-20190401"
"2","State",2019-04-02,"32","NV",NA,NA,663521,2361596,12747254,3409485,3189883,1638029,2045805,1779311,357109,185832,100296,26346,15158,"32-00000-20190402"
"3","State",2019-04-03,"32","NV",NA,NA,674172,2350945,13345972,3560241,3354912,1620098,2135360,1982695,375824,191489,93519,20838,10996,"32-00000-20190403"
"4","State",2019-04-04,"32","NV",NA,NA,648825,2376292,12794259,3424016,3219281,1548998,2032903,1861097,386869,188495,100091,21741,10768,"32-00000-20190404"
"5","State",2019-04-05,"32","NV",NA,NA,645261,2379856,12774200,3407831,3220471,1598494,2052337,1779083,376420,199546,105728,22705,11585,"32-00000-20190405"
"6","State",2019-04-06,"32","NV",NA,NA,671403,2353714,12313547,3237734,3188765,1539430,2002555,1654591,363707,195374,99202,22192,9997,"32-00000-20190406"
"7","State",2019-04-07,"32","NV",NA,NA,685982,2339135,11705316,3250495,3008819,1471763,1830415,1451238,347802,190318,115911,24273,14282,"32-00000-20190407"
"8","State",2019-04-08,"32","NV",NA,NA,664566,2360551,12239307,3382060,3058783,1471927,1923206,1658889,372254,201341,123429,28456,18962,"32-00000-20190408"
"9","State",2019-04-09,"32","NV",NA,NA,656777,2368340,12003655,3301174,2991420,1432893,1913805,1671073,358987,189105,102629,25232,17337,"32-00000-20190409"
"10","State",2019-04-10,"32","NV",NA,NA,683846,2341271,13049491,3637202,3401473,1589206,2012387,1705599,379470,189424,97718,21006,16006,"32-00000-20190410"
"11","State",2019-04-11,"32","NV",NA,NA,700838,2324279,13110126,3619207,3396039,1622699,2029800,1690307,391754,206259,111761,22575,19725,"32-00000-20190411"
"12","State",2019-04-12,"32","NV",NA,NA,672821,2352296,12944940,3522634,3376452,1610392,2004648,1664651,392131,207883,122435,24080,19634,"32-00000-20190412"
"13","State",2019-04-13,"32","NV",NA,NA,712899,2312218,12886095,3460596,3390512,1630491,2012133,1596007,407433,230120,120016,22180,16607,"32-00000-20190413"
"14","State",2019-04-14,"32","NV",NA,NA,726671,2298446,11778740,3321791,3061995,1441399,1793059,1366177,371675,233367,138319,28773,22185,"32-00000-20190414"
"15","State",2019-04-15,"32","NV",NA,NA,698912,2326205,12077718,3327704,2989572,1462872,1851067,1584872,409313,236558,158506,32903,24351,"32-00000-20190415"
"16","State",2019-04-16,"32","NV",NA,NA,699527,2325590,11846075,3210032,2996751,1418340,1861534,1572725,385701,213861,135892,28087,23152,"32-00000-20190416"
"17","State",2019-04-17,"32","NV",NA,NA,696203,2328914,12641593,3425719,3211767,1573024,1972561,1669881,404743,218614,119167,25087,21030,"32-00000-20190417"
"18","State",2019-04-18,"32","NV",NA,NA,693123,2331994,13092191,3618334,3343136,1609866,2011220,1701672,425198,220652,118811,22992,20310,"32-00000-20190418"
"19","State",2019-04-19,"32","NV",NA,NA,676690,2348427,13187902,3533363,3389192,1662878,2044469,1734491,425215,229509,124852,24026,19907,"32-00000-20190419"
"20","State",2019-04-20,"32","NV",NA,NA,721098,2304019,12661125,3445962,3324749,1570022,1939962,1570026,412546,233815,122683,25080,16280,"32-00000-20190420"
"21","State",2019-04-21,"32","NV",NA,NA,759134,2265983,11640874,3357228,3024325,1442528,1722844,1324980,363464,211395,136312,33832,23966,"32-00000-20190421"
"22","State",2019-04-22,"32","NV",NA,NA,645682,2379435,12667224,3369551,3149460,1545363,1980744,1919537,380990,185217,97197,27233,11932,"32-00000-20190422"
