"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"36","NY",NA,NA,5021821,14460655,94882121,28006677,22843141,11459503,14310757,13088850,3568553,979420,367158,100369,157693,"36-00000-20190401"
"2","State",2019-04-02,"36","NY",NA,NA,4901790,14580686,94401009,27609459,22989070,11363628,14276442,13073791,3595423,916455,331634,92079,153028,"36-00000-20190402"
"3","State",2019-04-03,"36","NY",NA,NA,4997792,14484684,98208753,28673927,24131614,11987976,14894013,13483036,3678472,848794,291688,77572,141661,"36-00000-20190403"
"4","State",2019-04-04,"36","NY",NA,NA,4953659,14528817,101058835,28752137,24831392,12476070,15632115,14203390,3759657,863016,304844,81361,154853,"36-00000-20190404"
"5","State",2019-04-05,"36","NY",NA,NA,4969182,14513294,98382880,27422272,24294717,12261774,15391236,13786664,3689191,914218,370337,89267,163204,"36-00000-20190405"
"6","State",2019-04-06,"36","NY",NA,NA,5161780,14320696,97273061,27500916,24583085,12213469,14933929,12882957,3541541,988643,391950,94273,142298,"36-00000-20190406"
"7","State",2019-04-07,"36","NY",NA,NA,5352990,14129486,89967071,25547566,23104526,11296377,13624661,11479894,3243801,990035,424393,96110,159708,"36-00000-20190407"
"8","State",2019-04-08,"36","NY",NA,NA,5022734,14459742,94053316,26259373,22651835,11578292,14810086,13472813,3708615,931494,355214,107061,178533,"36-00000-20190408"
"9","State",2019-04-09,"36","NY",NA,NA,4992689,14489787,92436275,25018949,22523037,11421289,14728642,13528737,3728237,884251,341272,98075,163786,"36-00000-20190409"
"10","State",2019-04-10,"36","NY",NA,NA,5044063,14438413,98525744,26830961,24245864,12278894,15729145,14362289,3783150,830064,267259,65266,132852,"36-00000-20190410"
"11","State",2019-04-11,"36","NY",NA,NA,5123056,14359420,98282554,26052836,23893192,12328634,15990839,14661497,3988001,886122,291871,68455,121107,"36-00000-20190411"
"12","State",2019-04-12,"36","NY",NA,NA,4920887,14561589,97414145,26151649,23814841,12256955,15584955,14254572,3858744,917398,367918,72959,134154,"36-00000-20190412"
"13","State",2019-04-13,"36","NY",NA,NA,5297129,14185347,97553290,27156294,24331444,12270540,15221155,13296536,3645282,1019605,404020,85900,122514,"36-00000-20190413"
"14","State",2019-04-14,"36","NY",NA,NA,5571271,13911205,85962539,23740499,21599346,10871888,13338281,11535899,3256023,960444,445063,85872,129224,"36-00000-20190414"
"15","State",2019-04-15,"36","NY",NA,NA,5162516,14319960,90160930,24354067,21660132,11149945,14547926,13223263,3708827,926823,350959,86579,152409,"36-00000-20190415"
"16","State",2019-04-16,"36","NY",NA,NA,5057644,14424832,93162731,25400933,22449944,11626744,14948006,13610473,3684216,881921,325773,80439,154282,"36-00000-20190416"
"17","State",2019-04-17,"36","NY",NA,NA,5103995,14378481,98261898,26597995,24022939,12331414,15732220,14364848,3828388,864612,314467,69934,135081,"36-00000-20190417"
"18","State",2019-04-18,"36","NY",NA,NA,5112811,14369665,98237377,26841920,23732812,12254551,15653462,14440196,3873121,900612,335298,71566,133839,"36-00000-20190418"
"19","State",2019-04-19,"36","NY",NA,NA,5075151,14407325,98235993,26799465,23566069,12304472,15711757,14323366,3879394,981907,435960,88167,145436,"36-00000-20190419"
"20","State",2019-04-20,"36","NY",NA,NA,5501746,13980730,92478597,25463741,23004705,11581868,14469894,12708644,3530533,1027567,447744,95144,148757,"36-00000-20190420"
"21","State",2019-04-21,"36","NY",NA,NA,5772000,13710476,84890524,24296628,21160692,10494723,12800637,11111932,3287226,1005444,486098,100906,146238,"36-00000-20190421"
"22","State",2019-04-22,"36","NY",NA,NA,5148331,14334145,90038360,24969444,22102802,10994719,13810825,12826356,3620981,982889,418840,109545,201959,"36-00000-20190422"
"23","State",2019-04-23,"36","NY",NA,NA,4819686,14662790,93603553,26610744,23376967,11157971,14066203,12981693,3691164,1021163,404584,111578,181486,"36-00000-20190423"
"24","State",2019-04-24,"36","NY",NA,NA,4764791,14717685,97959656,27574195,24633711,11929539,14958946,13618898,3696034,953244,347590,90799,156700,"36-00000-20190424"
"25","State",2019-04-25,"36","NY",NA,NA,4697320,14785156,98007701,26332863,24948083,12168484,15385227,13853515,3754514,975535,364550,83607,141323,"36-00000-20190425"
"26","State",2019-04-26,"36","NY",NA,NA,4720506,14761970,94704025,25262040,24094262,11778253,14911046,13366628,3649147,1008380,399284,94586,140399,"36-00000-20190426"
"27","State",2019-04-27,"36","NY",NA,NA,4930864,14551612,94899609,26886047,24800820,11793506,14185127,12200478,3380104,1037029,385177,85837,145484,"36-00000-20190427"
"28","State",2019-04-28,"36","NY",NA,NA,4981254,14501222,85886704,23774503,23163170,10835642,12704494,10650126,3024424,1014746,443131,108260,168208,"36-00000-20190428"
"29","State",2019-04-29,"36","NY",NA,NA,4699486,14782990,93800002,25779809,23797703,11635128,14351589,12979585,3585002,989710,391622,107211,182643,"36-00000-20190429"
