"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"40","OK",NA,NA,784509,3146515,17179125,4166915,4252113,2029769,2550700,2824046,873467,313590,137700,22156,8669,"40-00000-20190401"
"2","State",2019-04-02,"40","OK",NA,NA,706038,3224986,17712385,4444789,4283592,2075711,2589288,2953728,901973,311465,127850,18610,5379,"40-00000-20190402"
"3","State",2019-04-03,"40","OK",NA,NA,723700,3207324,17522955,4269481,4327638,2039316,2626818,2944392,877684,301169,116383,16001,4073,"40-00000-20190403"
"4","State",2019-04-04,"40","OK",NA,NA,681430,3249594,17809792,4350838,4390795,2038336,2650185,2994186,916372,323262,123636,17139,5043,"40-00000-20190404"
"5","State",2019-04-05,"40","OK",NA,NA,681471,3249553,17774409,4176806,4299374,2048386,2638193,3118250,985037,355214,130971,17373,4805,"40-00000-20190405"
"6","State",2019-04-06,"40","OK",NA,NA,710220,3220804,16891706,4051552,4193306,1972035,2511605,2821874,876584,332279,112985,14747,4739,"40-00000-20190406"
"7","State",2019-04-07,"40","OK",NA,NA,739476,3191548,15884481,3872226,4044121,1894224,2436064,2448545,757775,290948,117038,17972,5568,"40-00000-20190407"
"8","State",2019-04-08,"40","OK",NA,NA,683068,3247956,17731943,4395390,4320614,1987966,2587624,3017112,947099,321864,127967,19594,6713,"40-00000-20190408"
"9","State",2019-04-09,"40","OK",NA,NA,680231,3250793,17596052,4433433,4233231,1948670,2546216,3007994,944540,326090,129309,20255,6314,"40-00000-20190409"
"10","State",2019-04-10,"40","OK",NA,NA,712871,3218153,17981724,4409754,4516138,2073382,2667734,2998934,900169,297260,98635,14924,4794,"40-00000-20190410"
"11","State",2019-04-11,"40","OK",NA,NA,725346,3205678,18158060,4486125,4517406,2045789,2644576,3057943,965555,320467,99240,14881,6078,"40-00000-20190411"
"12","State",2019-04-12,"40","OK",NA,NA,694875,3236149,17946116,4236010,4417510,2070784,2674409,3067240,991284,355502,112027,15558,5792,"40-00000-20190412"
"13","State",2019-04-13,"40","OK",NA,NA,794841,3136183,15593240,3542572,4143697,1874316,2311291,2503562,808751,294570,94363,14384,5734,"40-00000-20190413"
"14","State",2019-04-14,"40","OK",NA,NA,796254,3134770,15873092,3788440,4153878,1959451,2436034,2401715,732660,272392,104405,17520,6597,"40-00000-20190414"
"15","State",2019-04-15,"40","OK",NA,NA,713829,3217195,17547087,4350538,4401271,2019456,2549348,2881380,907253,309319,104437,17427,6658,"40-00000-20190415"
"16","State",2019-04-16,"40","OK",NA,NA,719354,3211670,17263837,4295306,4305484,1947906,2507662,2867646,899455,310820,105738,17085,6735,"40-00000-20190416"
"17","State",2019-04-17,"40","OK",NA,NA,721631,3209393,16861895,4156947,4266496,1934996,2465970,2785944,859231,284396,87588,14625,5702,"40-00000-20190417"
"18","State",2019-04-18,"40","OK",NA,NA,729474,3201550,17925108,4355357,4510804,2083231,2648645,2990668,918966,303752,93532,14069,6084,"40-00000-20190418"
"19","State",2019-04-19,"40","OK",NA,NA,693528,3237496,18420279,4302628,4582005,2149044,2782495,3150780,996502,330335,106020,14605,5865,"40-00000-20190419"
"20","State",2019-04-20,"40","OK",NA,NA,736239,3194785,17779712,4201265,4476499,2122900,2704399,2881742,936838,338423,99675,12967,5004,"40-00000-20190420"
"21","State",2019-04-21,"40","OK",NA,NA,791598,3139426,15638042,3724704,4099305,1984885,2393996,2316878,708293,280442,106708,16818,6013,"40-00000-20190421"
"22","State",2019-04-22,"40","OK",NA,NA,709280,3221744,17473211,4335265,4381977,1975951,2522688,2898866,921914,297540,116145,17701,5164,"40-00000-20190422"
"23","State",2019-04-23,"40","OK",NA,NA,675820,3255204,16910736,4148258,4236604,1922624,2393142,2803892,961802,300360,120087,18001,5966,"40-00000-20190423"
"24","State",2019-04-24,"40","OK",NA,NA,672049,3258975,17942639,4388824,4537169,2056688,2576120,3027474,958399,271977,106330,14762,4896,"40-00000-20190424"
"25","State",2019-04-25,"40","OK",NA,NA,641203,3289821,18730071,4717363,4650956,2123313,2633222,3202057,983978,295546,102417,15754,5465,"40-00000-20190425"
"26","State",2019-04-26,"40","OK",NA,NA,649635,3281389,18631319,4454596,4658784,2165077,2754296,3158575,991739,312254,113511,16838,5649,"40-00000-20190426"
"27","State",2019-04-27,"40","OK",NA,NA,731303,3199721,18186350,4361143,4660918,2183528,2691292,2910667,938540,306576,112359,15805,5522,"40-00000-20190427"
"28","State",2019-04-28,"40","OK",NA,NA,731558,3199466,16028487,4023824,4245460,1909903,2321084,2395513,712757,279250,116527,18500,5669,"40-00000-20190428"
"29","State",2019-04-29,"40","OK",NA,NA,680770,3250254,17470047,4515149,4371194,1931715,2448351,2866444,903794,290482,115744,20191,6983,"40-00000-20190429"
"30","State",2019-04-30,"40","OK",NA,NA,666976,3264048,16169257,4117169,4080874,1798296,2255021,2636688,871969,275580,109060,18498,6102,"40-00000-20190430"
"31","State",2019-05-01,"40","OK",NA,NA,673968,3257056,17897702,4539558,4582790,2050687,2579852,2850568,895085,283108,97053,13732,5269,"40-00000-20190501"
"32","State",2019-05-02,"40","OK",NA,NA,702072,3228952,18293719,4556607,4601979,2033786,2625292,3120034,939835,290671,107254,13714,4547,"40-00000-20190502"
"33","State",2019-05-03,"40","OK",NA,NA,692971,3238053,17468050,4188659,4373696,1987351,2558766,2969589,943501,309712,118222,14096,4458,"40-00000-20190503"
"34","State",2019-05-04,"40","OK",NA,NA,728147,3202877,18228896,4447190,4615247,2110606,2676012,2961701,958218,333326,109695,13124,3777,"40-00000-20190504"
"35","State",2019-05-05,"40","OK",NA,NA,762178,3168846,15929599,3963204,4163083,1904938,2380000,2375500,729399,279390,113862,15654,4569,"40-00000-20190505"
"36","State",2019-05-06,"40","OK",NA,NA,720276,3210748,15897599,3831712,4143141,1842363,2371572,2624864,764758,223421,75463,12116,8189,"40-00000-20190506"
"37","State",2019-05-07,"40","OK",NA,NA,704125,3226899,16709035,4092213,4285593,1933077,2481619,2777509,811597,231522,75787,12280,7838,"40-00000-20190507"
"38","State",2019-05-08,"40","OK",NA,NA,701824,3229200,15980332,3832423,4139569,1861573,2373746,2689527,761712,224199,76461,12983,8139,"40-00000-20190508"
"39","State",2019-05-09,"40","OK",NA,NA,683272,3247752,17473573,4298555,4441703,2008978,2597933,2916134,850434,255683,83252,13324,7577,"40-00000-20190509"
"40","State",2019-05-10,"40","OK",NA,NA,675644,3255380,16691561,3803659,4222799,1932188,2546588,2911127,874806,285428,93909,14140,6917,"40-00000-20190510"
"41","State",2019-05-11,"40","OK",NA,NA,712330,3218694,15877184,3646673,4054343,1884729,2424476,2606879,854083,291257,93546,13475,7723,"40-00000-20190511"
"42","State",2019-05-12,"40","OK",NA,NA,699592,3231432,14932407,3311430,3812892,1841686,2380698,2446996,758788,254858,101392,14760,8907,"40-00000-20190512"
"43","State",2019-05-13,"40","OK",NA,NA,691054,3239970,15940092,3775373,4049832,1901266,2430517,2665367,770065,236992,87714,14211,8755,"40-00000-20190513"
"44","State",2019-05-14,"40","OK",NA,NA,663808,3267216,17227980,4199808,4351205,2014361,2604828,2839794,856118,256871,82779,13171,9045,"40-00000-20190514"
"45","State",2019-05-15,"40","OK",NA,NA,648969,3282055,17522257,4274692,4400391,2041129,2683747,2889001,855339,268588,84912,14769,9689,"40-00000-20190515"
"46","State",2019-05-16,"40","OK",NA,NA,654253,3276771,16818219,3902900,4208470,1998919,2625174,2849573,834826,284026,89648,15004,9679,"40-00000-20190516"
"47","State",2019-05-17,"40","OK",NA,NA,647169,3283855,17608835,4189832,4376265,2053236,2731218,2962057,873078,298360,99680,15607,9502,"40-00000-20190517"
"48","State",2019-05-18,"40","OK",NA,NA,709128,3221896,15541684,3720073,4012153,1848733,2430072,2453315,712274,249233,91550,14848,9433,"40-00000-20190518"
"49","State",2019-05-19,"40","OK",NA,NA,785878,3145146,14486872,3336844,3743146,1741295,2329755,2335670,634192,244523,96226,15736,9485,"40-00000-20190519"
"50","State",2019-05-20,"40","OK",NA,NA,745173,3185851,13687232,3294039,3466882,1575331,2069303,2301578,667424,215049,76080,13725,7821,"40-00000-20190520"
"51","State",2019-05-21,"40","OK",NA,NA,749278,3181746,15552262,3807258,3996370,1829779,2336461,2556220,703695,220869,79509,13832,8269,"40-00000-20190521"
"52","State",2019-05-22,"40","OK",NA,NA,705916,3225108,16026346,3915366,3974742,1825670,2438384,2728892,782887,253703,85187,13670,7845,"40-00000-20190522"
"53","State",2019-05-23,"40","OK",NA,NA,729279,3201745,15404138,3533958,3900184,1794663,2375524,2682274,751812,252518,89225,15536,8444,"40-00000-20190523"
"54","State",2019-05-24,"40","OK",NA,NA,683255,3247769,15720555,3630746,3854917,1794340,2434526,2751372,825372,295144,108407,16895,8836,"40-00000-20190524"
"55","State",2019-05-25,"40","OK",NA,NA,758590,3172434,15846294,3848890,4031860,1836794,2465723,2542253,737283,263320,96859,15264,8048,"40-00000-20190525"
"56","State",2019-05-26,"40","OK",NA,NA,748488,3182536,15649691,3899533,4084016,1827311,2414733,2431485,636362,235166,98399,15281,7405,"40-00000-20190526"
"57","State",2019-05-27,"40","OK",NA,NA,755731,3175293,14717631,3587770,3939437,1694058,2246595,2261738,626874,237666,99926,15526,8041,"40-00000-20190527"
"58","State",2019-05-28,"40","OK",NA,NA,707084,3223940,16897172,4271690,4309055,1890645,2496064,2791655,797089,242908,77390,13449,7227,"40-00000-20190528"
"59","State",2019-05-29,"40","OK",NA,NA,698067,3232957,16557087,4130869,4212754,1887264,2448053,2745751,789297,241683,78587,14819,8010,"40-00000-20190529"
"60","State",2019-05-30,"40","OK",NA,NA,679006,3252018,17560656,4286261,4431969,2020894,2640801,2963008,853076,257465,83952,15198,8032,"40-00000-20190530"
"61","State",2019-05-31,"40","OK",NA,NA,658083,3272941,18289954,4430768,4602343,2094041,2728580,3134335,899597,280287,94639,16639,8725,"40-00000-20190531"
"62","State",2019-06-01,"40","OK",NA,NA,714156,3216868,16767837,4227848,4287610,1897455,2468729,2708946,789195,275199,90081,14303,8471,"40-00000-20190601"
"63","State",2019-06-02,"40","OK",NA,NA,736441,3194583,15748984,3901338,4113418,1874342,2399773,2422532,674942,241685,96331,15855,8768,"40-00000-20190602"
"64","State",2019-06-03,"40","OK",NA,NA,669318,3261706,17497711,4322463,4446234,2018632,2560997,2909709,875213,258256,82533,14842,8832,"40-00000-20190603"
"65","State",2019-06-04,"40","OK",NA,NA,675232,3255792,16862049,4133726,4279150,1930782,2484323,2827361,857038,250777,76741,13555,8596,"40-00000-20190604"
