"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"41","OR",NA,NA,950141,3227760,18011329,4383271,5227534,2369593,2390296,2466108,713698,258591,134059,28458,39721,"41-00000-20190401"
"2","State",2019-04-02,"41","OR",NA,NA,931033,3246868,17650616,4243092,5198015,2384808,2305327,2371937,709740,265922,122441,25357,23977,"41-00000-20190402"
"3","State",2019-04-03,"41","OR",NA,NA,957795,3220106,18565217,4535091,5650417,2425912,2392368,2425534,709293,241483,119690,22854,42575,"41-00000-20190403"
"4","State",2019-04-04,"41","OR",NA,NA,932114,3245787,18282638,4409359,5589208,2382126,2371515,2395729,719350,239103,113768,25071,37409,"41-00000-20190404"
"5","State",2019-04-05,"41","OR",NA,NA,937809,3240092,18150975,4267179,5548269,2392357,2404628,2373298,721434,267250,122277,25348,28935,"41-00000-20190405"
"6","State",2019-04-06,"41","OR",NA,NA,984966,3192935,17385804,4016015,5428069,2265416,2315102,2232741,707074,260967,110406,24323,25691,"41-00000-20190406"
"7","State",2019-04-07,"41","OR",NA,NA,1000012,3177889,16442328,3849025,5156431,2197119,2152623,2028600,621848,276920,114340,22324,23098,"41-00000-20190407"
"8","State",2019-04-08,"41","OR",NA,NA,952509,3225392,17613806,4195001,5307823,2286646,2312026,2378193,687031,270680,116986,25507,33913,"41-00000-20190408"
"9","State",2019-04-09,"41","OR",NA,NA,940645,3237256,18108665,4476909,5442643,2314019,2353013,2393282,704485,256742,114645,24053,28874,"41-00000-20190409"
"10","State",2019-04-10,"41","OR",NA,NA,972234,3205667,19720673,4880730,6184562,2505822,2506676,2532187,739263,239874,89430,20752,21377,"41-00000-20190410"
"11","State",2019-04-11,"41","OR",NA,NA,995493,3182408,19993824,4773262,6374594,2596716,2537756,2576312,744262,254812,91642,21395,23073,"41-00000-20190411"
"12","State",2019-04-12,"41","OR",NA,NA,957465,3220436,19765031,4739258,6213834,2558293,2490017,2564552,763985,289508,99189,21673,24722,"41-00000-20190412"
"13","State",2019-04-13,"41","OR",NA,NA,1033012,3144889,19273038,4594533,6259015,2520561,2362099,2408734,716100,277438,90365,23109,21084,"41-00000-20190413"
"14","State",2019-04-14,"41","OR",NA,NA,1034777,3143124,18013555,4353002,5793505,2368536,2245672,2121380,671180,300764,106620,25435,27461,"41-00000-20190414"
"15","State",2019-04-15,"41","OR",NA,NA,975191,3202710,18889174,4618354,5846526,2498874,2328722,2450153,730181,253421,104309,26149,32485,"41-00000-20190415"
"16","State",2019-04-16,"41","OR",NA,NA,959768,3218133,19245554,4800592,6033000,2435971,2416655,2416917,729420,255441,98554,28934,30070,"41-00000-20190416"
"17","State",2019-04-17,"41","OR",NA,NA,965959,3211942,20361979,5017242,6386616,2696540,2530668,2599001,749267,252755,83147,21896,24847,"41-00000-20190417"
"18","State",2019-04-18,"41","OR",NA,NA,965812,3212089,20735591,5190032,6464252,2725023,2573335,2643829,758324,247825,83518,21328,28125,"41-00000-20190418"
"19","State",2019-04-19,"41","OR",NA,NA,940362,3237539,20598677,4971183,6428111,2705584,2573093,2697014,800743,279977,97414,22303,23255,"41-00000-20190419"
"20","State",2019-04-20,"41","OR",NA,NA,1015736,3162165,20173784,4960148,6391983,2622057,2453780,2517728,794581,290001,98177,22918,22411,"41-00000-20190420"
"21","State",2019-04-21,"41","OR",NA,NA,1069059,3108842,17755078,4390929,5633179,2313153,2187810,2075416,693894,292305,110408,31225,26759,"41-00000-20190421"
"22","State",2019-04-22,"41","OR",NA,NA,893291,3284610,17676466,4219411,4931016,2431224,2391264,2534784,725159,237023,141294,28806,36485,"41-00000-20190422"
"23","State",2019-04-23,"41","OR",NA,NA,849503,3328398,17567636,4170804,4871044,2224077,2569466,2562928,765036,232168,118524,25552,28037,"41-00000-20190423"
"24","State",2019-04-24,"41","OR",NA,NA,861764,3316137,18748854,4474005,5410744,2458176,2687124,2592501,739041,244226,98981,19019,25037,"41-00000-20190424"
