"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"42","PA",NA,NA,2767830,10000085,52520863,12923641,13217851,6397782,8338852,8056164,2318510,746377,399268,76435,45983,"42-00000-20190401"
"2","State",2019-04-02,"42","PA",NA,NA,2648162,10119753,53046605,13020242,13352258,6429427,8367573,8249719,2348582,717319,431327,82815,47343,"42-00000-20190402"
"3","State",2019-04-03,"42","PA",NA,NA,2695529,10072386,55282785,13442048,14102725,6795433,8795166,8659558,2340259,673096,363768,72067,38665,"42-00000-20190403"
"4","State",2019-04-04,"42","PA",NA,NA,2680929,10086986,56788102,13698901,14308049,7069109,9121001,9060981,2409400,680492,333125,67146,39898,"42-00000-20190404"
"5","State",2019-04-05,"42","PA",NA,NA,2646372,10121543,54308914,12350771,13736913,6904906,9005451,8789804,2347190,707301,355567,71080,39931,"42-00000-20190405"
"6","State",2019-04-06,"42","PA",NA,NA,2755716,10012199,55574907,12962341,14449941,7208142,9176695,8354934,2280060,707668,334602,66111,34413,"42-00000-20190406"
"7","State",2019-04-07,"42","PA",NA,NA,2870693,9897222,50603004,11908990,13549773,6548928,8174242,7266513,1987088,700087,349172,77285,40926,"42-00000-20190407"
"8","State",2019-04-08,"42","PA",NA,NA,2702459,10065456,53521116,12593723,13397554,6646913,8689790,8576940,2398218,717675,366190,85686,48427,"42-00000-20190408"
"9","State",2019-04-09,"42","PA",NA,NA,2679630,10088285,53673581,12628330,13344456,6595534,8752580,8735925,2427365,705968,355069,82890,45464,"42-00000-20190409"
"10","State",2019-04-10,"42","PA",NA,NA,2730648,10037267,56914780,13210081,14429163,7094585,9350318,9372667,2445401,641686,276337,59612,34930,"42-00000-20190410"
"11","State",2019-04-11,"42","PA",NA,NA,2786435,9981480,57631189,13293288,14592797,7196209,9371739,9634315,2499413,667659,287573,58032,30164,"42-00000-20190411"
"12","State",2019-04-12,"42","PA",NA,NA,2668397,10099518,55947287,12648735,14190560,7070683,9231974,9291879,2427710,689059,308260,57693,30734,"42-00000-20190412"
"13","State",2019-04-13,"42","PA",NA,NA,2870188,9897727,56995173,13279469,14871181,7344458,9314818,8826727,2278916,699692,292571,57545,29796,"42-00000-20190413"
"14","State",2019-04-14,"42","PA",NA,NA,3003258,9764657,47761496,11021640,12712188,6165105,7711249,7117543,1896862,696108,341389,68314,31098,"42-00000-20190414"
"15","State",2019-04-15,"42","PA",NA,NA,2837916,9929999,52036577,12121546,13241613,6392598,8351844,8571145,2286088,647275,312756,74313,37399,"42-00000-20190415"
"16","State",2019-04-16,"42","PA",NA,NA,2741023,10026892,54311466,12838456,13669728,6663763,8768338,8919947,2380301,654189,310772,72478,33494,"42-00000-20190416"
"17","State",2019-04-17,"42","PA",NA,NA,2789212,9978703,56649562,13266065,14415934,7009569,9185570,9325448,2428961,644749,281044,59485,32737,"42-00000-20190417"
