"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"44","RI",NA,NA,215100,838983,4471005,1007210,1102735,548648,729909,752155,251543,42087,11882,3981,20855,"44-00000-20190401"
"2","State",2019-04-02,"44","RI",NA,NA,208224,845859,4414118,999110,1066775,548822,713936,768324,233419,39899,12409,3671,27753,"44-00000-20190402"
"3","State",2019-04-03,"44","RI",NA,NA,211981,842102,4611681,1022732,1141668,579519,765922,810711,224770,35509,10385,3699,16766,"44-00000-20190403"
"4","State",2019-04-04,"44","RI",NA,NA,207990,846093,4750719,1029053,1148767,603939,837981,830902,234952,36098,10728,3077,15222,"44-00000-20190404"
"5","State",2019-04-05,"44","RI",NA,NA,206080,848003,4708544,1005861,1160803,607281,799901,828365,237179,39713,12212,3263,13966,"44-00000-20190405"
"6","State",2019-04-06,"44","RI",NA,NA,214916,839167,4628870,978299,1187641,623937,824205,747495,204724,37113,11107,2657,11692,"44-00000-20190406"
"7","State",2019-04-07,"44","RI",NA,NA,223083,831000,4343674,964010,1125983,600590,743110,650316,197206,36229,10776,3095,12359,"44-00000-20190407"
"8","State",2019-04-08,"44","RI",NA,NA,213433,840650,4367123,939227,1054784,554995,723493,786736,239563,38688,13027,3147,13463,"44-00000-20190408"
"9","State",2019-04-09,"44","RI",NA,NA,208543,845540,4419688,929732,1065871,558865,754072,800413,243919,38496,11659,2765,13896,"44-00000-20190409"
"10","State",2019-04-10,"44","RI",NA,NA,212726,841357,4733549,993437,1159879,597018,815111,868162,250036,29318,9111,2883,8594,"44-00000-20190410"
"11","State",2019-04-11,"44","RI",NA,NA,214861,839222,4837430,1001038,1169332,602094,838182,916362,260300,30649,8612,3626,7235,"44-00000-20190411"
"12","State",2019-04-12,"44","RI",NA,NA,208011,846072,4742198,975152,1129249,605081,836768,896255,249816,30459,9717,3758,5943,"44-00000-20190412"
"13","State",2019-04-13,"44","RI",NA,NA,223539,830544,4643604,971818,1153578,608994,827202,803384,224938,29487,13170,4020,7013,"44-00000-20190413"
"14","State",2019-04-14,"44","RI",NA,NA,231242,822841,4332118,962571,1094014,562165,741530,728168,187976,32678,13360,3857,5799,"44-00000-20190414"
"15","State",2019-04-15,"44","RI",NA,NA,218603,835480,4356833,912400,1040409,558354,762765,810829,220917,29877,10847,3643,6792,"44-00000-20190415"
"16","State",2019-04-16,"44","RI",NA,NA,212487,841596,4628342,997347,1078891,561290,820641,874340,244537,33177,7904,2890,7325,"44-00000-20190416"
"17","State",2019-04-17,"44","RI",NA,NA,213707,840376,4839616,1016504,1151031,609782,853557,919193,241791,30509,8905,2500,5844,"44-00000-20190417"
"18","State",2019-04-18,"44","RI",NA,NA,214120,839963,4732434,969944,1134004,597658,832642,896117,255025,29747,9333,2694,5270,"44-00000-20190418"
"19","State",2019-04-19,"44","RI",NA,NA,209496,844587,4939759,1043286,1170574,628455,870302,928797,246584,32263,10573,3106,5819,"44-00000-20190419"
"20","State",2019-04-20,"44","RI",NA,NA,228975,825108,4632744,957550,1175142,609978,832035,809066,202637,30024,10227,2718,3367,"44-00000-20190420"
"21","State",2019-04-21,"44","RI",NA,NA,249016,805067,3904853,829234,995365,508142,658305,662944,190206,35787,13628,3176,8066,"44-00000-20190421"
"22","State",2019-04-22,"44","RI",NA,NA,214672,839411,4174974,895729,1033029,555247,678317,720411,213635,40657,17181,2862,17906,"44-00000-20190422"
"23","State",2019-04-23,"44","RI",NA,NA,202798,851285,4349300,958363,1076784,610317,703839,707097,209839,45691,16167,3129,18074,"44-00000-20190423"
"24","State",2019-04-24,"44","RI",NA,NA,200522,853561,4705240,1064053,1206746,607539,762295,771884,215918,47945,14571,2262,12027,"44-00000-20190424"
"25","State",2019-04-25,"44","RI",NA,NA,200809,853274,4714247,1027691,1191806,623022,784263,793411,220416,45591,13361,2642,12044,"44-00000-20190425"
"26","State",2019-04-26,"44","RI",NA,NA,200974,853109,4483049,959906,1131347,588653,755542,756310,214825,44397,16319,2799,12951,"44-00000-20190426"
"27","State",2019-04-27,"44","RI",NA,NA,213961,840122,4583043,1032042,1185184,608762,774839,723623,186257,46192,13926,2704,9514,"44-00000-20190427"
"28","State",2019-04-28,"44","RI",NA,NA,216613,837470,4087576,946364,1140280,542827,658519,559794,165819,45819,15050,3941,9163,"44-00000-20190428"
"29","State",2019-04-29,"44","RI",NA,NA,202618,851465,4459992,985980,1142567,571697,720263,740617,217942,48213,15607,4676,12430,"44-00000-20190429"
"30","State",2019-04-30,"44","RI",NA,NA,195875,858208,4399939,966027,1116768,577263,712890,726669,221669,45961,16227,4172,12293,"44-00000-20190430"
"31","State",2019-05-01,"44","RI",NA,NA,198333,855750,4560944,996248,1159339,614171,751607,746338,218246,46717,13419,3999,10860,"44-00000-20190501"
"32","State",2019-05-02,"44","RI",NA,NA,202542,851541,4566110,927990,1156227,591463,822174,778447,209240,50373,13950,3247,12999,"44-00000-20190502"
"33","State",2019-05-03,"44","RI",NA,NA,212388,841695,4545942,941071,1124916,601474,789608,794290,224540,40293,14320,3277,12153,"44-00000-20190503"
"34","State",2019-05-04,"44","RI",NA,NA,222746,831337,4432342,954630,1155523,604783,741574,718894,187057,41339,14036,3178,11328,"44-00000-20190504"
"35","State",2019-05-05,"44","RI",NA,NA,228035,826048,3825324,814268,1029138,521767,646659,578989,161670,39025,15037,3787,14984,"44-00000-20190505"
"36","State",2019-05-06,"44","RI",NA,NA,207357,846726,4252088,887158,1090786,548708,708084,749438,193120,36271,10144,2616,25763,"44-00000-20190506"
"37","State",2019-05-07,"44","RI",NA,NA,203893,850190,4438119,937890,1164100,575409,744973,744473,196775,33598,8951,2801,29149,"44-00000-20190507"
"38","State",2019-05-08,"44","RI",NA,NA,203362,850721,4465340,921997,1177643,588329,741504,762974,200284,33757,10142,2183,26527,"44-00000-20190508"
"39","State",2019-05-09,"44","RI",NA,NA,198867,855216,4489098,926227,1146790,604164,763151,773151,198571,34091,9831,2514,30608,"44-00000-20190509"
"40","State",2019-05-10,"44","RI",NA,NA,196083,858000,4427557,879308,1129924,600299,774789,760814,202441,36016,11461,3017,29488,"44-00000-20190510"
"41","State",2019-05-11,"44","RI",NA,NA,203262,850821,4471037,942493,1157607,613600,771511,719323,181570,36248,11476,3212,33997,"44-00000-20190511"
"42","State",2019-05-12,"44","RI",NA,NA,216111,837972,3677015,727121,985550,509471,656640,560222,157210,38373,12270,3236,26922,"44-00000-20190512"
"43","State",2019-05-13,"44","RI",NA,NA,203113,850970,4013133,795150,1024938,536611,705355,692370,181521,37214,9722,3123,27129,"44-00000-20190513"
"44","State",2019-05-14,"44","RI",NA,NA,202415,851668,4195799,868489,1081245,529137,716610,728947,195664,34569,11934,2732,26472,"44-00000-20190514"
"45","State",2019-05-15,"44","RI",NA,NA,198551,855532,4308986,889672,1078989,555108,741366,760656,199883,35408,14850,2976,30078,"44-00000-20190515"
"46","State",2019-05-16,"44","RI",NA,NA,201810,852273,4430459,943874,1085719,574083,779018,765521,204705,35263,10986,3124,28166,"44-00000-20190516"
"47","State",2019-05-17,"44","RI",NA,NA,195105,858978,4575779,968139,1140662,597912,789912,783937,209216,39808,13703,3118,29372,"44-00000-20190517"
"48","State",2019-05-18,"44","RI",NA,NA,205729,848354,4718373,1052879,1213635,619074,803507,751854,191848,36836,12231,2790,33719,"44-00000-20190518"
"49","State",2019-05-19,"44","RI",NA,NA,214019,840064,4035679,892380,1057500,528654,697126,603421,161662,38751,13210,3723,39252,"44-00000-20190519"
"50","State",2019-05-20,"44","RI",NA,NA,199501,854582,4268661,884703,1052629,559650,737867,753375,195446,34256,11797,3405,35533,"44-00000-20190520"
"51","State",2019-05-21,"44","RI",NA,NA,199928,854155,4584434,946181,1157199,595911,811790,786164,201226,39577,10207,2869,33310,"44-00000-20190521"
"52","State",2019-05-22,"44","RI",NA,NA,198967,855116,4587050,972889,1146934,582486,791468,803388,209320,35122,10432,3016,31995,"44-00000-20190522"
"53","State",2019-05-23,"44","RI",NA,NA,199464,854619,4393721,875919,1098692,588364,764518,783618,209735,34493,9956,3108,25318,"44-00000-20190523"
"54","State",2019-05-24,"44","RI",NA,NA,194228,859855,4610188,945041,1161761,610182,799946,791414,212933,37741,13211,4380,33579,"44-00000-20190524"
"55","State",2019-05-25,"44","RI",NA,NA,206418,847665,4723154,1032977,1225501,611633,823241,761965,182271,35162,13731,3417,33256,"44-00000-20190525"
"56","State",2019-05-26,"44","RI",NA,NA,210719,843364,4453250,995263,1126267,571775,806613,657124,200320,37431,13298,2762,42397,"44-00000-20190526"
"57","State",2019-05-27,"44","RI",NA,NA,217660,836423,3995136,859407,1102208,512375,658119,605572,174171,35269,14714,3448,29853,"44-00000-20190527"
"58","State",2019-05-28,"44","RI",NA,NA,204107,849976,4461773,926500,1136107,557827,765151,789852,205002,37458,11203,2614,30059,"44-00000-20190528"
"59","State",2019-05-29,"44","RI",NA,NA,199514,854569,4585911,966401,1143774,569847,787579,821714,214015,33708,9579,2548,36746,"44-00000-20190529"
"60","State",2019-05-30,"44","RI",NA,NA,199308,854775,4514188,927205,1134760,578059,767526,812180,213941,33354,8786,3016,35361,"44-00000-20190530"
"61","State",2019-05-31,"44","RI",NA,NA,195152,858931,4944352,1043951,1279992,635660,822685,847700,227303,39230,13279,3901,30651,"44-00000-20190531"
"62","State",2019-06-01,"44","RI",NA,NA,213528,840555,4775138,1018175,1268265,643668,813219,763962,190452,34119,11231,3016,29031,"44-00000-20190601"
"63","State",2019-06-02,"44","RI",NA,NA,215315,838768,4448963,981981,1201171,574821,744655,688515,180377,35899,13187,3255,25102,"44-00000-20190602"
"64","State",2019-06-03,"44","RI",NA,NA,204313,849770,5048988,1097326,1313671,642556,829038,872548,225323,35971,9763,3400,19392,"44-00000-20190603"
"65","State",2019-06-04,"44","RI",NA,NA,198409,855674,4859554,1039138,1253464,608394,806263,862758,223896,29542,8963,3127,24009,"44-00000-20190604"
"66","State",2019-06-05,"44","RI",NA,NA,195152,858931,4619054,942222,1190794,593402,778140,832787,209862,34498,10634,4032,22683,"44-00000-20190605"
"67","State",2019-06-06,"44","RI",NA,NA,192495,861588,4909563,1031971,1235703,632771,842098,870805,223363,36534,10187,4102,22029,"44-00000-20190606"
"68","State",2019-06-07,"44","RI",NA,NA,197274,856809,5410111,1169128,1352392,704913,912757,964261,239401,35555,12634,4505,14565,"44-00000-20190607"
"69","State",2019-06-08,"44","RI",NA,NA,202431,851652,5256624,1193573,1363773,697943,871748,839363,218971,36245,13634,3978,17396,"44-00000-20190608"
"70","State",2019-06-09,"44","RI",NA,NA,215912,838171,4707689,1053885,1273028,599699,770054,747992,192845,36608,14466,4789,14323,"44-00000-20190609"
"71","State",2019-06-10,"44","RI",NA,NA,207972,846111,4748915,989317,1228176,617741,786928,842174,223698,33838,11686,3554,11803,"44-00000-20190610"
"72","State",2019-06-11,"44","RI",NA,NA,204116,849967,4750268,986887,1198552,606471,799581,876965,222103,34486,9220,3257,12746,"44-00000-20190611"
"73","State",2019-06-12,"44","RI",NA,NA,196171,857912,4811671,1009717,1201257,631137,818763,859809,227197,32242,9887,2366,19296,"44-00000-20190612"
"74","State",2019-06-13,"44","RI",NA,NA,200537,853546,4467913,908974,1143598,555193,765255,813042,211702,32925,9568,3730,23926,"44-00000-20190613"
"75","State",2019-06-14,"44","RI",NA,NA,198161,855922,5124527,1085739,1290578,657560,887821,894606,242947,35968,11887,3915,13506,"44-00000-20190614"
"76","State",2019-06-15,"44","RI",NA,NA,204215,849868,5108287,1130608,1303601,669219,875603,837976,230239,32891,9941,4675,13534,"44-00000-20190615"
"77","State",2019-06-16,"44","RI",NA,NA,216718,837365,4156260,896245,1109719,529239,701338,665454,184825,34935,13022,5262,16221,"44-00000-20190616"
"78","State",2019-06-17,"44","RI",NA,NA,204293,849790,4701417,1020512,1196499,582022,771887,836174,235259,32734,9410,3250,13670,"44-00000-20190617"
"79","State",2019-06-18,"44","RI",NA,NA,205096,848987,4408821,865318,1092509,554399,767136,841330,232100,30548,9136,3648,12697,"44-00000-20190618"
"80","State",2019-06-19,"44","RI",NA,NA,206021,848062,4848838,1031630,1211665,608308,826760,866191,246770,33618,9308,3420,11168,"44-00000-20190619"
"81","State",2019-06-20,"44","RI",NA,NA,203368,850715,4537884,900932,1134667,597701,791688,823614,230932,34439,9710,2670,11531,"44-00000-20190620"
"82","State",2019-06-21,"44","RI",NA,NA,203989,850094,4750587,975843,1201866,596390,817551,857982,240618,34563,10832,4307,10635,"44-00000-20190621"
"83","State",2019-06-22,"44","RI",NA,NA,213084,840999,5134267,1137984,1349182,664008,860238,818677,241214,37085,10984,4084,10811,"44-00000-20190622"
"84","State",2019-06-23,"44","RI",NA,NA,200840,853243,4677400,1008201,1228644,605092,767767,750657,241716,39799,13285,6324,15915,"44-00000-20190623"
"85","State",2019-06-24,"44","RI",NA,NA,194380,859703,4922363,1050017,1226386,616681,836705,869642,255756,35600,10974,5224,15378,"44-00000-20190624"
"86","State",2019-06-25,"44","RI",NA,NA,212298,841785,4561163,932429,1112961,576272,789213,839731,249518,34696,10111,3000,13232,"44-00000-20190625"
"87","State",2019-06-26,"44","RI",NA,NA,207870,846213,4809695,1032003,1180714,600611,825207,862909,251730,33244,10702,3004,9571,"44-00000-20190626"
"88","State",2019-06-27,"44","RI",NA,NA,209811,844272,4883242,1073627,1177300,602544,822618,883364,263365,36588,11221,2228,10387,"44-00000-20190627"
"89","State",2019-06-28,"44","RI",NA,NA,201130,852953,4973348,1054198,1232584,632750,843646,875329,263688,41538,12911,2726,13978,"44-00000-20190628"
"90","State",2019-06-29,"44","RI",NA,NA,208411,845672,4786493,1045717,1201467,625649,809859,799809,234737,42300,12166,2504,12285,"44-00000-20190629"
"91","State",2019-06-30,"44","RI",NA,NA,211711,842372,4202744,891466,1100486,552006,684828,688973,210927,42963,15214,2948,12933,"44-00000-20190630"
"92","State",2019-07-01,"44","RI",NA,NA,207299,846784,4752733,1016767,1162184,604636,763542,886771,254560,38258,12735,2178,11102,"44-00000-20190701"
"93","State",2019-07-02,"44","RI",NA,NA,204762,849321,4808108,1024213,1180012,606140,784828,883779,258620,42077,12841,3067,12531,"44-00000-20190702"
"94","State",2019-07-03,"44","RI",NA,NA,200978,853105,4894240,1077596,1219299,610309,790591,869264,257008,43063,11619,2475,13016,"44-00000-20190703"
"95","State",2019-07-04,"44","RI",NA,NA,219533,834550,4064352,856048,991510,511954,670252,718264,248268,38830,12495,2810,13921,"44-00000-20190704"
"96","State",2019-07-05,"44","RI",NA,NA,207175,846908,5033788,1122956,1206508,622211,851684,886933,269234,42226,13219,3847,14970,"44-00000-20190705"
"97","State",2019-07-06,"44","RI",NA,NA,207891,846192,4659153,970876,1152367,599695,796964,822664,245787,41656,12869,3628,12647,"44-00000-20190706"
"98","State",2019-07-07,"44","RI",NA,NA,216386,837697,4556448,981079,1171682,573838,761975,769161,227749,39022,14393,3224,14325,"44-00000-20190707"
"99","State",2019-07-08,"44","RI",NA,NA,202785,851298,4806414,1018400,1191925,601493,795832,870986,257150,38341,10625,3876,17786,"44-00000-20190708"
