"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"45","SC",NA,NA,903083,4165500,20894067,4387852,5304873,2607621,3395653,3542499,1114951,327628,148182,35958,28850,"45-00000-20190401"
"2","State",2019-04-02,"45","SC",NA,NA,844708,4223875,20128302,4170408,5162502,2509178,3261633,3468438,1032429,304548,142763,44779,31624,"45-00000-20190402"
"3","State",2019-04-03,"45","SC",NA,NA,844273,4224310,22123933,4640972,5650460,2808830,3630681,3777742,1116918,317634,119179,34442,27075,"45-00000-20190403"
"4","State",2019-04-04,"45","SC",NA,NA,827144,4241439,22471930,4633307,5742328,2853616,3678388,3900290,1164922,330771,114697,27158,26453,"45-00000-20190404"
"5","State",2019-04-05,"45","SC",NA,NA,825921,4242662,21325607,4201966,5477004,2780568,3550685,3703207,1097033,338099,126834,29514,20697,"45-00000-20190405"
"6","State",2019-04-06,"45","SC",NA,NA,856816,4211767,21477203,4451895,5591989,2802735,3493606,3546030,1083011,343348,119955,26335,18299,"45-00000-20190406"
"7","State",2019-04-07,"45","SC",NA,NA,924262,4144321,19105732,3918394,5217749,2551857,3114977,2941988,882437,311575,121899,26917,17939,"45-00000-20190407"
"8","State",2019-04-08,"45","SC",NA,NA,849355,4219228,20493923,4244525,5183295,2569997,3301506,3566471,1119475,331809,128049,27598,21198,"45-00000-20190408"
"9","State",2019-04-09,"45","SC",NA,NA,849930,4218653,20456858,4276113,5192921,2604466,3270319,3533592,1082536,326185,122738,26746,21242,"45-00000-20190409"
"10","State",2019-04-10,"45","SC",NA,NA,852331,4216252,22669937,4724144,5819086,2907441,3673604,3891094,1200079,321301,97123,19567,16498,"45-00000-20190410"
"11","State",2019-04-11,"45","SC",NA,NA,871498,4197085,22868628,4697471,5822649,2913082,3695221,4053697,1207854,351347,94714,19345,13248,"45-00000-20190411"
"12","State",2019-04-12,"45","SC",NA,NA,840050,4228533,21648686,4227116,5529823,2784574,3572291,3842109,1180634,364561,111743,22723,13112,"45-00000-20190412"
"13","State",2019-04-13,"45","SC",NA,NA,913167,4155416,21036246,4231191,5550548,2727492,3420941,3525694,1081487,352954,108942,23637,13360,"45-00000-20190413"
"14","State",2019-04-14,"45","SC",NA,NA,949640,4118943,18515266,3799928,5082639,2394319,2982458,2906033,868438,318085,121400,27529,14437,"45-00000-20190414"
"15","State",2019-04-15,"45","SC",NA,NA,869952,4198631,21455673,4574603,5438376,2670870,3407537,3710557,1146460,348547,116453,25090,17180,"45-00000-20190415"
"16","State",2019-04-16,"45","SC",NA,NA,850197,4218386,21375459,4492798,5395991,2674389,3382867,3736045,1190345,353052,109910,23751,16311,"45-00000-20190416"
"17","State",2019-04-17,"45","SC",NA,NA,870351,4198232,22311435,4621117,5718414,2803583,3563784,3937027,1182805,351049,97079,21100,15477,"45-00000-20190417"
"18","State",2019-04-18,"45","SC",NA,NA,880253,4188330,22480387,4631312,5728547,2833569,3604340,3987111,1210212,345387,102489,22257,15163,"45-00000-20190418"
"19","State",2019-04-19,"45","SC",NA,NA,880954,4187629,20493404,4143046,5343328,2627387,3306404,3548003,1052936,326431,106904,23574,15391,"45-00000-20190419"
