"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"46","SD",NA,NA,187015,692520,4034360,1023380,1131725,476439,502700,482622,234464,114832,53528,10502,4168,"46-00000-20190401"
"2","State",2019-04-02,"46","SD",NA,NA,170625,708910,4283562,1155573,1197091,493904,502292,500167,243370,127754,52146,8181,3084,"46-00000-20190402"
"3","State",2019-04-03,"46","SD",NA,NA,174637,704898,4360010,1103327,1268568,516105,542307,507787,236957,127117,48578,6297,2967,"46-00000-20190403"
"4","State",2019-04-04,"46","SD",NA,NA,171717,707818,4663115,1201007,1344853,560677,569631,543210,247779,136427,49787,6197,3547,"46-00000-20190404"
"5","State",2019-04-05,"46","SD",NA,NA,168829,710706,4615997,1153586,1310522,566997,577266,541495,262749,134059,59864,5756,3703,"46-00000-20190405"
"6","State",2019-04-06,"46","SD",NA,NA,174836,704699,4471905,1115628,1250194,554652,574663,527596,242162,144485,53637,5222,3666,"46-00000-20190406"
"7","State",2019-04-07,"46","SD",NA,NA,187825,691710,3857198,960061,1091918,465922,498152,435773,199785,131323,63838,6789,3637,"46-00000-20190407"
"8","State",2019-04-08,"46","SD",NA,NA,181407,698128,4385450,1141077,1212459,500743,548819,521320,250378,134995,63804,7560,4295,"46-00000-20190408"
"9","State",2019-04-09,"46","SD",NA,NA,179499,700036,4284280,1111127,1184102,491355,520415,510332,252598,139287,63967,7521,3576,"46-00000-20190409"
"10","State",2019-04-10,"46","SD",NA,NA,199403,680132,3890633,1042806,1201703,464420,483141,412202,162266,79612,36641,5149,2693,"46-00000-20190410"
"11","State",2019-04-11,"46","SD",NA,NA,235530,644005,3707130,993729,1257448,490664,487911,321337,86872,36483,26524,3630,2532,"46-00000-20190411"
"12","State",2019-04-12,"46","SD",NA,NA,198229,681306,4185023,1085211,1278161,541905,554159,436720,160406,80872,40722,4017,2850,"46-00000-20190412"
"13","State",2019-04-13,"46","SD",NA,NA,187901,691634,4397761,1037406,1278434,547443,582676,514200,256663,131757,43055,3776,2351,"46-00000-20190413"
"14","State",2019-04-14,"46","SD",NA,NA,185312,694223,4040300,967602,1159227,523980,541565,460668,205016,122515,51826,4958,2943,"46-00000-20190414"
"15","State",2019-04-15,"46","SD",NA,NA,169907,709628,4562097,1190324,1297259,542528,548264,538673,247768,132085,56510,6135,2551,"46-00000-20190415"
"16","State",2019-04-16,"46","SD",NA,NA,167814,711721,4541744,1164050,1297941,526079,556985,535959,260474,134992,56015,6089,3160,"46-00000-20190416"
"17","State",2019-04-17,"46","SD",NA,NA,170021,709514,4695419,1207544,1332724,555833,598927,538941,258011,138603,57386,4907,2543,"46-00000-20190417"
"18","State",2019-04-18,"46","SD",NA,NA,166350,713185,4839715,1240766,1341406,594452,614760,567894,266442,143792,61923,5494,2786,"46-00000-20190418"
"19","State",2019-04-19,"46","SD",NA,NA,161402,718133,4835002,1150104,1330950,601203,644118,590530,284545,161375,63146,5862,3169,"46-00000-20190419"
"20","State",2019-04-20,"46","SD",NA,NA,174412,705123,4664683,1129770,1259397,578845,632233,583734,264113,153628,55825,4941,2197,"46-00000-20190420"
"21","State",2019-04-21,"46","SD",NA,NA,192693,686842,3716689,856359,980322,459465,510908,457278,225270,143370,73924,6959,2834,"46-00000-20190421"
"22","State",2019-04-22,"46","SD",NA,NA,177391,702144,4074666,1025951,1142237,489930,521522,486266,224924,119151,52545,7924,4216,"46-00000-20190422"
"23","State",2019-04-23,"46","SD",NA,NA,160300,719235,4320251,1179748,1200458,490392,549700,502043,228691,110161,47079,7914,4065,"46-00000-20190423"
"24","State",2019-04-24,"46","SD",NA,NA,165008,714527,4431155,1189994,1273245,515401,557644,512508,233662,98930,39725,6440,3606,"46-00000-20190424"
"25","State",2019-04-25,"46","SD",NA,NA,158262,721273,4476823,1197994,1244631,517071,572115,539970,241049,109788,44258,6487,3460,"46-00000-20190425"
"26","State",2019-04-26,"46","SD",NA,NA,158633,720902,4395376,1126520,1229163,521110,568478,523432,248422,118763,48972,7484,3032,"46-00000-20190426"
"27","State",2019-04-27,"46","SD",NA,NA,174793,704742,3807376,906478,1062967,462359,522021,475747,209458,108597,48440,8222,3087,"46-00000-20190427"
"28","State",2019-04-28,"46","SD",NA,NA,168488,711047,3396413,817394,929478,414788,471942,406169,182673,107217,53737,9452,3563,"46-00000-20190428"
"29","State",2019-04-29,"46","SD",NA,NA,158540,720995,4065906,1096113,1113852,461023,523348,481233,222986,106638,47793,8581,4339,"46-00000-20190429"
"30","State",2019-04-30,"46","SD",NA,NA,155510,724025,3922845,988685,1093663,462285,530924,468962,214955,106121,44746,8116,4388,"46-00000-20190430"
"31","State",2019-05-01,"46","SD",NA,NA,159028,720507,4204789,1082289,1220963,488702,556880,484611,224330,98455,38685,6496,3378,"46-00000-20190501"
"32","State",2019-05-02,"46","SD",NA,NA,169860,709675,4603471,1222140,1298946,550065,576941,548135,242259,111795,44389,5467,3334,"46-00000-20190502"
"33","State",2019-05-03,"46","SD",NA,NA,167851,711684,4651274,1210631,1294461,553270,577602,553551,263144,135184,53467,6232,3732,"46-00000-20190503"
"34","State",2019-05-04,"46","SD",NA,NA,172947,706588,4637520,1186985,1260011,553384,590929,574742,262867,149026,51018,5272,3286,"46-00000-20190504"
"35","State",2019-05-05,"46","SD",NA,NA,174978,704557,3902786,962609,1078027,467960,521627,459426,212819,129212,60024,7613,3469,"46-00000-20190505"
"36","State",2019-05-06,"46","SD",NA,NA,171604,707931,3965163,981647,1149278,484019,515893,487497,207771,93552,33501,5763,6242,"46-00000-20190506"
"37","State",2019-05-07,"46","SD",NA,NA,169386,710149,4227244,1073899,1225452,497718,557673,517912,212064,98166,33085,5225,6050,"46-00000-20190507"
"38","State",2019-05-08,"46","SD",NA,NA,172631,706904,3967700,962963,1188813,473834,512200,473412,214243,94549,35498,5875,6313,"46-00000-20190508"
"39","State",2019-05-09,"46","SD",NA,NA,166011,713524,4562161,1171934,1331022,547609,575669,544108,238242,105092,36763,5911,5811,"46-00000-20190509"
"40","State",2019-05-10,"46","SD",NA,NA,159446,720089,4442065,1096090,1296590,525732,564978,550311,229282,121860,45637,5828,5757,"46-00000-20190510"
"41","State",2019-05-11,"46","SD",NA,NA,165803,713732,4111035,964592,1162286,518429,539678,518361,232800,117846,45765,5492,5786,"46-00000-20190511"
"42","State",2019-05-12,"46","SD",NA,NA,178223,701312,3648641,840176,1015773,458978,489614,460748,217609,108713,44507,6122,6401,"46-00000-20190512"
"43","State",2019-05-13,"46","SD",NA,NA,178208,701327,4030295,1026646,1154612,480436,535373,485947,209979,93442,32217,5164,6479,"46-00000-20190513"
"44","State",2019-05-14,"46","SD",NA,NA,173501,706034,4519340,1237795,1271219,538025,571702,540782,220699,96409,31859,4878,5972,"46-00000-20190514"
"45","State",2019-05-15,"46","SD",NA,NA,171542,707993,4612540,1255229,1313115,554568,578381,542644,229219,94834,33352,5296,5902,"46-00000-20190515"
"46","State",2019-05-16,"46","SD",NA,NA,167724,711811,4247069,1091061,1174119,516546,561614,515033,232555,108094,36602,5502,5943,"46-00000-20190516"
"47","State",2019-05-17,"46","SD",NA,NA,160368,719167,4296649,1074178,1175636,528053,577796,531937,235044,115251,47529,5709,5516,"46-00000-20190517"
"48","State",2019-05-18,"46","SD",NA,NA,178794,700741,4017689,956657,1139741,502550,530251,494696,223445,116791,42873,5138,5547,"46-00000-20190518"
"49","State",2019-05-19,"46","SD",NA,NA,184800,694735,3354584,733559,969481,429236,456624,410605,184139,104711,53149,6900,6180,"46-00000-20190519"
"50","State",2019-05-20,"46","SD",NA,NA,175151,704384,4031186,993601,1155867,492654,531449,499584,214539,95972,35556,5840,6124,"46-00000-20190520"
"51","State",2019-05-21,"46","SD",NA,NA,179172,700363,4054462,1023130,1198916,495183,505071,482361,207610,94979,36103,5031,6078,"46-00000-20190521"
"52","State",2019-05-22,"46","SD",NA,NA,175345,704190,4276150,1106100,1252272,522319,541949,494135,214136,97067,37287,5199,5686,"46-00000-20190522"
"53","State",2019-05-23,"46","SD",NA,NA,175291,704244,4057534,998549,1175515,501008,523461,486689,216173,105093,39959,5512,5575,"46-00000-20190523"
"54","State",2019-05-24,"46","SD",NA,NA,166437,713098,4337255,1053304,1248819,535646,544985,526276,235717,124447,56081,6617,5363,"46-00000-20190524"
