"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"47","TN",NA,NA,1314416,5434902,29316209,6164920,7333561,3724886,4774412,5003915,1519862,473252,231777,62845,26779,"47-00000-20190401"
"2","State",2019-04-02,"47","TN",NA,NA,1211879,5537439,29999086,6437098,7334666,3759741,4962516,5189534,1540752,472173,216446,63035,23125,"47-00000-20190402"
"3","State",2019-04-03,"47","TN",NA,NA,1241611,5507707,31164430,6581277,7839463,3963183,5111471,5431002,1533481,449132,184149,50043,21229,"47-00000-20190403"
"4","State",2019-04-04,"47","TN",NA,NA,1211534,5537784,30651378,6344740,7737286,3952429,5052229,5272790,1562084,467626,187500,50871,23823,"47-00000-20190404"
"5","State",2019-04-05,"47","TN",NA,NA,1200773,5548545,30571162,6104142,7644681,3959404,5131151,5396642,1569014,499044,188759,54031,24294,"47-00000-20190405"
"6","State",2019-04-06,"47","TN",NA,NA,1250748,5498570,30927264,6443880,7942504,4049828,5159046,5101251,1490956,495457,171112,50779,22451,"47-00000-20190406"
"7","State",2019-04-07,"47","TN",NA,NA,1336004,5413314,26094977,5326025,7006108,3477775,4366973,4094115,1154645,414493,175135,54784,24924,"47-00000-20190407"
"8","State",2019-04-08,"47","TN",NA,NA,1261401,5487917,28271135,5814583,7101726,3575941,4633552,4920716,1483668,461423,187239,62622,29665,"47-00000-20190408"
"9","State",2019-04-09,"47","TN",NA,NA,1233455,5515863,29721705,6263275,7380782,3738535,4867913,5190651,1543327,467683,184035,57775,27729,"47-00000-20190409"
"10","State",2019-04-10,"47","TN",NA,NA,1250850,5498468,31878992,6630057,8054887,4111900,5256320,5617475,1565186,440469,140359,39623,22716,"47-00000-20190410"
"11","State",2019-04-11,"47","TN",NA,NA,1294793,5454525,31902869,6555327,8108506,4147086,5261972,5556664,1617686,458730,139427,37345,20126,"47-00000-20190411"
"12","State",2019-04-12,"47","TN",NA,NA,1255532,5493786,30894659,6113323,7791199,4044842,5197260,5481265,1595425,471607,142747,37229,19762,"47-00000-20190412"
"13","State",2019-04-13,"47","TN",NA,NA,1367743,5381575,29050674,5771046,7621690,3889864,4861908,4834991,1424643,456029,137874,35628,17001,"47-00000-20190413"
"14","State",2019-04-14,"47","TN",NA,NA,1396591,5352727,27150847,5447618,7390387,3755797,4596060,4226893,1117317,396484,152964,44767,22560,"47-00000-20190414"
