"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"48","TX",NA,NA,4971930,23642181,116349227,28046191,29028548,13412577,17343633,18516541,6650361,2082140,922464,221245,125527,"48-00000-20190401"
"2","State",2019-04-02,"48","TX",NA,NA,4535588,24078523,119365971,29378603,29598408,13445707,17825584,18861545,6831742,2216672,911078,191882,104750,"48-00000-20190402"
"3","State",2019-04-03,"48","TX",NA,NA,4643132,23970979,120480926,28975941,30218522,13900811,18081520,19317609,6794266,2127995,825426,161208,77628,"48-00000-20190403"
"4","State",2019-04-04,"48","TX",NA,NA,4484558,24129553,123301704,29819598,30996382,14361457,18370578,19526453,6898678,2212727,874644,165739,75448,"48-00000-20190404"
"5","State",2019-04-05,"48","TX",NA,NA,4456415,24157696,121857214,28493906,30349291,14395427,18445625,19656729,6938355,2324182,1001175,176104,76420,"48-00000-20190405"
"6","State",2019-04-06,"48","TX",NA,NA,4688904,23925207,115736082,27515145,29717922,13958173,17438063,17644382,6030397,2239905,950844,168108,73143,"48-00000-20190406"
"7","State",2019-04-07,"48","TX",NA,NA,5011215,23602896,103021053,25037596,27406118,12373031,15291160,14738736,4884195,1994375,1027112,188889,79841,"48-00000-20190407"
"8","State",2019-04-08,"48","TX",NA,NA,4580419,24033692,118172368,29092296,29293814,13429872,17303461,18787806,6705619,2261213,1005403,193733,99151,"48-00000-20190408"
"9","State",2019-04-09,"48","TX",NA,NA,4518014,24096097,118336914,29115250,29000532,13399257,17425396,19049916,6828734,2264206,967498,193294,92831,"48-00000-20190409"
"10","State",2019-04-10,"48","TX",NA,NA,4635003,23979108,122130073,29833121,30760290,14016605,18045403,19576992,6725815,2114672,825428,152279,79468,"48-00000-20190410"
"11","State",2019-04-11,"48","TX",NA,NA,4716921,23897190,122045392,29434171,30581157,14020715,18131947,19672756,6835937,2220102,892720,163100,92787,"48-00000-20190411"
"12","State",2019-04-12,"48","TX",NA,NA,4539539,24074572,119864267,27924755,29872580,14075561,18215807,19393316,6775496,2325270,1016422,175374,89686,"48-00000-20190412"
"13","State",2019-04-13,"48","TX",NA,NA,5053256,23560855,109689159,25388673,28627654,13232159,16694596,16847999,5643005,2107920,911894,156576,78683,"48-00000-20190413"
"14","State",2019-04-14,"48","TX",NA,NA,5114434,23499677,109716247,26328347,28252894,13235352,16605847,16297200,5513551,2176866,1024683,186218,95289,"48-00000-20190414"
"15","State",2019-04-15,"48","TX",NA,NA,4628615,23985496,116770754,28527084,29010665,13343050,17258734,18633058,6563170,2184159,956882,187652,106300,"48-00000-20190415"
"16","State",2019-04-16,"48","TX",NA,NA,4675642,23938469,114867903,27966027,28508356,13110824,16968951,18385958,6511691,2176872,943941,191071,104212,"48-00000-20190416"
"17","State",2019-04-17,"48","TX",NA,NA,4750026,23864085,112486579,27138612,28307004,12935058,16624091,18072671,6307618,2005577,841766,163643,90539,"48-00000-20190417"
"18","State",2019-04-18,"48","TX",NA,NA,4798009,23816102,118599998,28444343,29947365,13744882,17634126,18932463,6551217,2143733,937204,169077,95588,"48-00000-20190418"
"19","State",2019-04-19,"48","TX",NA,NA,4604869,24009242,120497479,27667397,30018675,14256244,18452153,19639090,6763080,2369459,1056484,181455,93442,"48-00000-20190419"
"20","State",2019-04-20,"48","TX",NA,NA,4910525,23703586,117039774,27244989,29962973,14113317,17778339,18143351,6261349,2371420,930597,155120,78319,"48-00000-20190420"
"21","State",2019-04-21,"48","TX",NA,NA,5174812,23439299,104714373,25035351,27620387,12615171,15569964,14992565,5182470,2242080,1142216,215385,98784,"48-00000-20190421"
"22","State",2019-04-22,"48","TX",NA,NA,4669973,23944138,118445088,28870041,29652422,13508245,17396387,18943490,6774241,2148905,898686,175044,77627,"48-00000-20190422"
"23","State",2019-04-23,"48","TX",NA,NA,4507270,24106841,116766191,28899423,29348696,13358255,17062822,18589814,6558242,1909568,790593,169808,78970,"48-00000-20190423"
"24","State",2019-04-24,"48","TX",NA,NA,4464476,24149635,118687804,29053639,30446040,13978413,17404849,18812287,6376588,1707091,708123,136005,64769,"48-00000-20190424"
"25","State",2019-04-25,"48","TX",NA,NA,4273439,24340672,129285434,32644581,32590918,14863892,19024327,20453957,6878545,1878233,739502,142377,69102,"48-00000-20190425"
"26","State",2019-04-26,"48","TX",NA,NA,4237849,24376262,127698883,30734982,32304297,14804126,19206787,20495403,7016282,2077332,832712,157882,69080,"48-00000-20190426"
"27","State",2019-04-27,"48","TX",NA,NA,4793201,23820910,125898960,30226976,32681553,14968665,18983934,19215342,6625668,2172878,819056,143408,61480,"48-00000-20190427"
