"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"51","VA",NA,NA,1648272,6843383,37908045,9190815,9391085,4670605,5970054,5938800,1882837,520918,211781,73860,57290,"51-00000-20190401"
"2","State",2019-04-02,"51","VA",NA,NA,1567016,6924639,36830261,8901796,9249920,4482218,5696820,5856940,1853050,478056,187658,69057,54746,"51-00000-20190402"
"3","State",2019-04-03,"51","VA",NA,NA,1588232,6903423,39988264,9803957,10244128,4884850,6165360,6255301,1900558,463407,157786,58388,54529,"51-00000-20190403"
"4","State",2019-04-04,"51","VA",NA,NA,1556098,6935557,40813628,9832099,10315897,5017019,6425922,6498581,1955196,473592,172519,63993,58810,"51-00000-20190404"
"5","State",2019-04-05,"51","VA",NA,NA,1578329,6913326,39025680,8920552,9933636,4916064,6302175,6254719,1892061,482478,195098,68820,60077,"51-00000-20190405"
"6","State",2019-04-06,"51","VA",NA,NA,1632515,6859140,39476306,9333717,10373766,5031423,6283946,5892369,1784701,462206,192919,61750,59509,"51-00000-20190406"
"7","State",2019-04-07,"51","VA",NA,NA,1706566,6785089,36420543,8742654,9784067,4673485,5709971,5189838,1539221,437850,213774,72859,56824,"51-00000-20190407"
"8","State",2019-04-08,"51","VA",NA,NA,1585763,6905892,37971707,9004719,9573813,4620587,5958499,6133257,1874321,469435,188300,75022,73754,"51-00000-20190408"
"9","State",2019-04-09,"51","VA",NA,NA,1567897,6923758,38850232,9379079,9727544,4703671,6063068,6297067,1891704,463387,175752,72809,76151,"51-00000-20190409"
"10","State",2019-04-10,"51","VA",NA,NA,1583854,6907801,41381624,9865947,10489217,5109805,6613573,6646582,1953757,441920,147335,54110,59378,"51-00000-20190410"
"11","State",2019-04-11,"51","VA",NA,NA,1613239,6878416,40922692,9477967,10328712,5070712,6600700,6751809,1989047,455122,150733,52656,45234,"51-00000-20190411"
"12","State",2019-04-12,"51","VA",NA,NA,1551473,6940182,39011064,8766125,9891706,4888275,6314852,6439450,1946975,468834,186895,61073,46879,"51-00000-20190412"
"13","State",2019-04-13,"51","VA",NA,NA,1686357,6805298,38254975,8808258,9986663,4831705,6097205,5947257,1811151,456663,199616,67966,48491,"51-00000-20190413"
"14","State",2019-04-14,"51","VA",NA,NA,1771865,6719790,34141908,7913658,9081800,4371057,5443926,5096560,1479421,413825,220823,72948,47890,"51-00000-20190414"
"15","State",2019-04-15,"51","VA",NA,NA,1664028,6827627,37444553,8775725,9400176,4572178,5928419,6139418,1873273,442270,181376,71560,60158,"51-00000-20190415"
"16","State",2019-04-16,"51","VA",NA,NA,1597443,6894212,38228613,8973066,9532922,4658251,6087961,6310040,1921283,452758,175074,63660,53598,"51-00000-20190416"
"17","State",2019-04-17,"51","VA",NA,NA,1627152,6864503,39941450,9298424,10130381,4884944,6407633,6574238,1944632,438379,158554,56474,47791,"51-00000-20190417"
"18","State",2019-04-18,"51","VA",NA,NA,1633775,6857880,40346324,9275027,10102323,5026866,6523841,6692201,2013535,447606,165501,55884,43540,"51-00000-20190418"
"19","State",2019-04-19,"51","VA",NA,NA,1615401,6876254,37445172,8402989,9541121,4680588,6062429,6192937,1848783,430553,176625,61791,47356,"51-00000-20190419"
"20","State",2019-04-20,"51","VA",NA,NA,1723669,6767986,39365551,9084283,10332868,4990851,6331580,6084051,1802517,449225,187026,60674,42476,"51-00000-20190420"
"21","State",2019-04-21,"51","VA",NA,NA,1816592,6675063,35935186,8421323,9729828,4689217,5732873,5137643,1469321,408200,213570,76978,56233,"51-00000-20190421"
"22","State",2019-04-22,"51","VA",NA,NA,1596192,6895463,38336630,9421244,9762188,4659517,5898498,5907811,1838033,493214,193699,80275,82151,"51-00000-20190422"
"23","State",2019-04-23,"51","VA",NA,NA,1480619,7011036,38217130,9260247,9630617,4709914,6041510,5958997,1777538,493498,204604,67580,72625,"51-00000-20190423"
"24","State",2019-04-24,"51","VA",NA,NA,1476196,7015459,39895350,9522865,10211803,4967994,6309033,6294937,1831796,473444,174435,55987,53056,"51-00000-20190424"
"25","State",2019-04-25,"51","VA",NA,NA,1436573,7055082,40087940,9438948,10203337,5022954,6427085,6349458,1857453,491574,185628,54072,57431,"51-00000-20190425"
"26","State",2019-04-26,"51","VA",NA,NA,1427934,7063721,38740573,8889344,9889335,4914896,6224035,6156623,1840286,497700,202643,63942,61769,"51-00000-20190426"
"27","State",2019-04-27,"51","VA",NA,NA,1561999,6929656,39726833,9463011,10393072,5208096,6332706,5835178,1710869,488416,193661,52850,48974,"51-00000-20190427"
"28","State",2019-04-28,"51","VA",NA,NA,1550909,6940746,35995572,8809411,9559505,4699809,5726081,4953100,1439329,464172,225089,63391,55685,"51-00000-20190428"
"29","State",2019-04-29,"51","VA",NA,NA,1440523,7051132,38023470,9065179,9540232,4780488,6014338,5953282,1826361,494882,213424,69560,65724,"51-00000-20190429"
"30","State",2019-04-30,"51","VA",NA,NA,1400182,7091473,38967352,9318345,9690287,4823722,6288100,6185405,1816358,497430,219425,66320,61960,"51-00000-20190430"
"31","State",2019-05-01,"51","VA",NA,NA,1438457,7053198,40415779,9659266,10229324,5086652,6539442,6317305,1827944,464634,181397,55298,54517,"51-00000-20190501"
"32","State",2019-05-02,"51","VA",NA,NA,1504581,6987074,41137548,9702231,10564752,5121526,6586739,6495945,1917121,467547,171811,53410,56466,"51-00000-20190502"
"33","State",2019-05-03,"51","VA",NA,NA,1526748,6964907,40621876,9297692,10379266,5131014,6579468,6537568,1915252,473493,189721,60468,57934,"51-00000-20190503"
"34","State",2019-05-04,"51","VA",NA,NA,1621148,6870507,39652826,9167501,10495063,5145230,6312214,6001068,1780525,458983,187646,52565,52031,"51-00000-20190504"
"35","State",2019-05-05,"51","VA",NA,NA,1677001,6814654,34644529,8018399,9522292,4543149,5510945,4877961,1406869,422728,217957,65446,58783,"51-00000-20190505"
"36","State",2019-05-06,"51","VA",NA,NA,1552871,6938784,37217775,8456764,9891304,4726243,5987262,5883953,1620294,365795,126724,48895,110541,"51-00000-20190506"
"37","State",2019-05-07,"51","VA",NA,NA,1510613,6981042,39224797,9102179,10325794,4952657,6290131,6222025,1690464,373137,116663,49344,102403,"51-00000-20190507"
"38","State",2019-05-08,"51","VA",NA,NA,1526241,6965414,38550302,9012195,10141476,4822072,6161297,6080598,1678118,363723,114369,48843,127611,"51-00000-20190508"
"39","State",2019-05-09,"51","VA",NA,NA,1509481,6982174,40000411,9320302,10559528,5028805,6404006,6291264,1728805,387522,123224,45824,111131,"51-00000-20190509"
"40","State",2019-05-10,"51","VA",NA,NA,1453166,7038489,38594959,8520378,10101349,4986747,6294354,6230093,1726048,409853,150736,53239,122162,"51-00000-20190510"
"41","State",2019-05-11,"51","VA",NA,NA,1553659,6937996,37134634,8412529,10004030,4897179,5977851,5545306,1565814,407280,151055,53484,120106,"51-00000-20190511"
"42","State",2019-05-12,"51","VA",NA,NA,1622057,6869598,32755937,7136733,9127912,4330394,5280302,4811957,1323221,374459,168574,67772,134613,"51-00000-20190512"
"43","State",2019-05-13,"51","VA",NA,NA,1544959,6946696,35031565,7830916,9287843,4455858,5678187,5544037,1539331,372655,131896,58300,132542,"51-00000-20190513"
"44","State",2019-05-14,"51","VA",NA,NA,1521258,6970397,37984425,8885939,9954195,4800684,6095352,5944821,1636934,367997,116349,55632,126522,"51-00000-20190514"
"45","State",2019-05-15,"51","VA",NA,NA,1494425,6997230,38881110,9170748,10083293,4900001,6252451,6063225,1720011,376517,121193,58480,135191,"51-00000-20190515"
"46","State",2019-05-16,"51","VA",NA,NA,1475159,7016496,38190832,8695040,9936879,4831122,6143136,6147546,1713140,391930,132905,62440,136694,"51-00000-20190516"
"47","State",2019-05-17,"51","VA",NA,NA,1452343,7039312,39775275,9204575,10317186,5049930,6385175,6275470,1763236,422814,156600,63636,136653,"51-00000-20190517"
"48","State",2019-05-18,"51","VA",NA,NA,1551894,6939761,39565507,9325127,10507940,5049854,6308680,5942043,1683142,419155,153522,61938,114106,"51-00000-20190518"
"49","State",2019-05-19,"51","VA",NA,NA,1574178,6917477,36250531,8434356,10054878,4682743,5682505,5196861,1438582,394541,178147,67263,120655,"51-00000-20190519"
"50","State",2019-05-20,"51","VA",NA,NA,1497542,6994113,38517114,8849749,10170344,4838087,6163236,6128671,1685394,375007,126540,57537,122549,"51-00000-20190520"
"51","State",2019-05-21,"51","VA",NA,NA,1491258,7000397,40513822,9534304,10669532,5068436,6470749,6353046,1754224,364287,112360,53825,133059,"51-00000-20190521"
"52","State",2019-05-22,"51","VA",NA,NA,1462669,7028986,40669479,9561925,10635210,5076454,6536172,6403909,1764823,381696,116663,51105,141522,"51-00000-20190522"
"53","State",2019-05-23,"51","VA",NA,NA,1459374,7032281,38736285,8780954,10144192,4859958,6283172,6180061,1772890,400995,131617,57141,125305,"51-00000-20190523"
"54","State",2019-05-24,"51","VA",NA,NA,1427896,7063759,40997609,9329111,10696214,5246434,6649081,6445248,1818877,431539,172400,70685,138020,"51-00000-20190524"
"55","State",2019-05-25,"51","VA",NA,NA,1523543,6968112,40303005,9583473,10871079,5182497,6326369,5892768,1657831,414339,167313,65886,141450,"51-00000-20190525"
"56","State",2019-05-26,"51","VA",NA,NA,1638220,6853435,38072809,9203160,10475991,4786656,5892586,5448938,1516266,394060,160509,58878,135765,"51-00000-20190526"
"57","State",2019-05-27,"51","VA",NA,NA,1670049,6821606,34606825,8155129,9818063,4397314,5258783,4778222,1423363,389022,183405,67967,135557,"51-00000-20190527"
"58","State",2019-05-28,"51","VA",NA,NA,1544379,6947276,40418782,9564500,10675457,4983928,6432849,6310863,1765365,382333,131727,52934,118826,"51-00000-20190528"
"59","State",2019-05-29,"51","VA",NA,NA,1513768,6977887,40741540,9600186,10677918,5081972,6497025,6408940,1804954,379032,127739,52466,111308,"51-00000-20190529"
"60","State",2019-05-30,"51","VA",NA,NA,1499683,6991972,39348238,9042548,10248422,4939001,6313204,6351390,1757916,388633,137647,52059,117418,"51-00000-20190530"
"61","State",2019-05-31,"51","VA",NA,NA,1474341,7017314,41233673,9517903,10642958,5181440,6696742,6594655,1845157,418566,164621,55606,116025,"51-00000-20190531"
"62","State",2019-06-01,"51","VA",NA,NA,1597924,6893731,40503433,9651015,10996057,5172732,6302185,5956164,1679304,405425,154473,62182,123896,"51-00000-20190601"
