"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"50","VT",NA,NA,144295,480089,2530945,489725,655026,339680,399384,417934,153741,43739,19520,3266,8930,"50-00000-20190401"
"2","State",2019-04-02,"50","VT",NA,NA,136684,487700,2537739,488958,655409,350568,406277,404300,160484,40380,16650,3579,11134,"50-00000-20190402"
"3","State",2019-04-03,"50","VT",NA,NA,137878,486506,2661991,496865,696303,382482,416431,443374,160263,36167,15602,3860,10644,"50-00000-20190403"
"4","State",2019-04-04,"50","VT",NA,NA,138162,486222,2756596,521867,716621,403465,417925,462544,166114,37471,15442,3463,11684,"50-00000-20190404"
"5","State",2019-04-05,"50","VT",NA,NA,136367,488017,2650089,497684,670046,384845,425227,438813,157440,41388,17488,3582,13576,"50-00000-20190405"
"6","State",2019-04-06,"50","VT",NA,NA,145479,478905,2612689,479785,706196,400321,402360,401914,150893,38924,18797,3744,9755,"50-00000-20190406"
"7","State",2019-04-07,"50","VT",NA,NA,147635,476749,2501156,485493,671509,367707,380102,390428,136219,39830,17289,3097,9482,"50-00000-20190407"
"8","State",2019-04-08,"50","VT",NA,NA,140608,483776,2531218,458860,656293,374910,402527,418378,153216,35298,15316,3689,12731,"50-00000-20190408"
"9","State",2019-04-09,"50","VT",NA,NA,138788,485596,2546082,461105,662692,357049,409297,434720,153960,36344,16632,4079,10204,"50-00000-20190409"
"10","State",2019-04-10,"50","VT",NA,NA,143258,481126,2790333,516188,711992,418230,442779,476208,169844,33935,11716,2532,6909,"50-00000-20190410"
"11","State",2019-04-11,"50","VT",NA,NA,145925,478459,2992214,565256,760081,455762,474039,511542,169768,38211,10630,2903,4022,"50-00000-20190411"
"12","State",2019-04-12,"50","VT",NA,NA,139485,484899,2878500,523885,745429,433310,471799,481944,162616,38692,14081,2469,4275,"50-00000-20190412"
"13","State",2019-04-13,"50","VT",NA,NA,148647,475737,2843022,510491,752164,442050,475406,449508,150055,41685,13539,3483,4641,"50-00000-20190413"
"14","State",2019-04-14,"50","VT",NA,NA,158481,465903,2510843,435064,656898,394395,425098,402728,131088,42949,16655,2676,3292,"50-00000-20190414"
"15","State",2019-04-15,"50","VT",NA,NA,147263,477121,2611235,485307,678070,399456,407157,429292,155053,33963,14176,3408,5353,"50-00000-20190415"
"16","State",2019-04-16,"50","VT",NA,NA,144521,479863,2702669,504019,687976,395611,423799,463842,168737,38983,12397,2726,4579,"50-00000-20190416"
"17","State",2019-04-17,"50","VT",NA,NA,145410,478974,2905692,558976,736407,438812,464194,485177,166076,37559,11441,2528,4522,"50-00000-20190417"
"18","State",2019-04-18,"50","VT",NA,NA,144240,480144,2821595,505610,720322,440813,451011,488452,160160,36966,12249,1876,4136,"50-00000-20190418"
"19","State",2019-04-19,"50","VT",NA,NA,140623,483761,2889455,520385,732695,438759,464490,496157,178219,39550,13861,2243,3096,"50-00000-20190419"
"20","State",2019-04-20,"50","VT",NA,NA,152246,472138,2717669,450643,707896,429138,450694,456300,162234,39651,13165,3076,4872,"50-00000-20190420"
"21","State",2019-04-21,"50","VT",NA,NA,168549,455835,2436164,429421,665002,392339,398879,364005,125899,36971,16040,3152,4456,"50-00000-20190421"
