"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"53","WA",NA,NA,1520611,5991949,32478160,7311929,8493566,4088118,5178079,5032585,1634466,429665,204690,31099,73963,"53-00000-20190401"
"2","State",2019-04-02,"53","WA",NA,NA,1485279,6027281,31708256,7000858,8466064,3988585,4909102,4973728,1644891,425202,195494,28551,75781,"53-00000-20190402"
"3","State",2019-04-03,"53","WA",NA,NA,1535725,5976835,32497012,7119978,9025290,4123286,5189453,4860086,1535519,397906,161835,22348,61311,"53-00000-20190403"
"4","State",2019-04-04,"53","WA",NA,NA,1507994,6004566,33044138,7431291,9248175,4315803,5125089,4808981,1471866,401618,158992,22835,59488,"53-00000-20190404"
"5","State",2019-04-05,"53","WA",NA,NA,1501852,6010708,32137251,7083692,8918198,4321271,4990821,4694003,1439261,410494,186324,23392,69795,"53-00000-20190405"
"6","State",2019-04-06,"53","WA",NA,NA,1559593,5952967,30775975,6587926,8740082,4152622,4888496,4351121,1346133,426538,188958,25262,68837,"53-00000-20190406"
"7","State",2019-04-07,"53","WA",NA,NA,1585652,5926908,29511505,6472090,8374205,3961542,4662077,4050144,1248353,453458,200960,26533,62143,"53-00000-20190407"
"8","State",2019-04-08,"53","WA",NA,NA,1525356,5987204,30746699,6856810,8401051,3953824,4835671,4559118,1440759,412803,185759,27188,73716,"53-00000-20190408"
"9","State",2019-04-09,"53","WA",NA,NA,1498484,6014076,31180492,7043778,8504876,4020246,4860157,4652031,1426694,404854,174706,25092,68058,"53-00000-20190409"
"10","State",2019-04-10,"53","WA",NA,NA,1558324,5954236,34254977,7774780,9900780,4490470,5206244,4833842,1460612,372935,140329,19282,55703,"53-00000-20190410"
"11","State",2019-04-11,"53","WA",NA,NA,1597354,5915206,34908134,7935255,10029995,4580143,5317003,4941177,1465562,406951,146263,22139,63646,"53-00000-20190411"
"12","State",2019-04-12,"53","WA",NA,NA,1541084,5971476,34346923,7644551,9928340,4517444,5256698,4836649,1482228,430567,167855,22841,59750,"53-00000-20190412"
"13","State",2019-04-13,"53","WA",NA,NA,1658716,5853844,33992680,7592027,10135692,4567366,5089727,4508920,1400245,452837,164677,22640,58549,"53-00000-20190413"
"14","State",2019-04-14,"53","WA",NA,NA,1655014,5857546,32081132,7359259,9654447,4206812,4726668,4081346,1285995,469107,200932,29341,67225,"53-00000-20190414"
"15","State",2019-04-15,"53","WA",NA,NA,1549950,5962610,33795225,7873817,9787026,4427011,5006171,4614177,1424899,400228,160362,25784,75750,"53-00000-20190415"
"16","State",2019-04-16,"53","WA",NA,NA,1531377,5981183,33577545,7888504,9665015,4366801,4976105,4609750,1436027,377374,158750,24977,74242,"53-00000-20190416"
"17","State",2019-04-17,"53","WA",NA,NA,1537612,5974948,35054189,8132194,10199269,4638399,5267166,4767042,1467800,362038,132338,21165,66778,"53-00000-20190417"
"18","State",2019-04-18,"53","WA",NA,NA,1547981,5964579,35763659,8369114,10403896,4657406,5395586,4878485,1462525,370764,136864,21444,67575,"53-00000-20190418"
"19","State",2019-04-19,"53","WA",NA,NA,1502978,6009582,36201554,8090987,10571256,4860123,5540050,5005547,1481276,402402,165240,21145,63528,"53-00000-20190419"
"20","State",2019-04-20,"53","WA",NA,NA,1614231,5898329,35897278,8266872,10570331,4737360,5368515,4729048,1481192,482419,180004,25441,56096,"53-00000-20190420"
"21","State",2019-04-21,"53","WA",NA,NA,1710796,5801764,32238509,7506751,9663455,4280929,4736627,4013345,1264435,477442,203107,27027,65391,"53-00000-20190421"
"22","State",2019-04-22,"53","WA",NA,NA,1415635,6096925,31891657,6907863,8208509,4294222,5297695,4970772,1492257,389725,237666,27085,65863,"53-00000-20190422"
"23","State",2019-04-23,"53","WA",NA,NA,1365489,6147071,32406319,7045258,8299414,4572537,5137356,5174041,1531136,377814,190746,25826,52191,"53-00000-20190423"
"24","State",2019-04-24,"53","WA",NA,NA,1383962,6128598,34153491,7448950,8916883,4662975,5575851,5352155,1577024,389822,159193,20916,49722,"53-00000-20190424"
"25","State",2019-04-25,"53","WA",NA,NA,1350589,6161971,34896860,7469967,9218180,4924330,5667578,5373998,1617030,404675,159653,19855,41594,"53-00000-20190425"
"26","State",2019-04-26,"53","WA",NA,NA,1348207,6164353,33838694,7233961,8918143,4825199,5518513,5116038,1565101,391572,200590,24622,44955,"53-00000-20190426"
"27","State",2019-04-27,"53","WA",NA,NA,1396260,6116300,33240971,7098042,8720198,4574972,5529123,5139186,1502695,407872,209330,22625,36928,"53-00000-20190427"
"28","State",2019-04-28,"53","WA",NA,NA,1406891,6105669,30657617,6692019,7909424,4175302,5107157,4677651,1384466,405799,231236,27851,46712,"53-00000-20190428"
"29","State",2019-04-29,"53","WA",NA,NA,1334561,6177999,32171346,7007667,8125766,4390251,5317113,5073798,1569017,395482,215564,27951,48737,"53-00000-20190429"
"30","State",2019-04-30,"53","WA",NA,NA,1309076,6203484,32667347,7073768,8325432,4489683,5371849,5127390,1604549,411228,185952,26148,51348,"53-00000-20190430"
"31","State",2019-05-01,"53","WA",NA,NA,1321090,6191470,33677186,7069857,8585252,4729064,5700976,5354933,1627597,394090,161042,18795,35580,"53-00000-20190501"
"32","State",2019-05-02,"53","WA",NA,NA,1435209,6077351,33722046,7194915,9031582,4590526,5500725,5245895,1577520,367958,150887,17575,44463,"53-00000-20190502"
"33","State",2019-05-03,"53","WA",NA,NA,1445792,6066768,32640167,6960775,8822642,4349766,5316481,5048667,1476228,416003,181096,20878,47631,"53-00000-20190503"
"34","State",2019-05-04,"53","WA",NA,NA,1500057,6012503,32110128,6895246,8872259,4284585,5168949,4791246,1421056,437237,176813,19273,43464,"53-00000-20190504"
"35","State",2019-05-05,"53","WA",NA,NA,1502274,6010286,29859917,6582778,8302250,3991311,4687196,4244778,1311826,456109,209090,23555,51024,"53-00000-20190505"
"36","State",2019-05-06,"53","WA",NA,NA,1436227,6076333,30956567,6676990,8592681,4169725,4963574,4701829,1285331,322686,125376,18182,100193,"53-00000-20190506"
"37","State",2019-05-07,"53","WA",NA,NA,1428635,6083925,31973971,6911206,8956890,4330657,5077166,4839178,1305778,311154,119977,17267,104698,"53-00000-20190507"
"38","State",2019-05-08,"53","WA",NA,NA,1435863,6076697,31916660,6857286,8921818,4460179,4961219,4841430,1313597,316267,120141,17048,107675,"53-00000-20190508"
"39","State",2019-05-09,"53","WA",NA,NA,1426437,6086123,32358555,7083621,9093697,4337641,4984757,4930494,1351765,324922,127494,18990,105174,"53-00000-20190509"
"40","State",2019-05-10,"53","WA",NA,NA,1373328,6139232,32597986,6897237,9210733,4428489,5172923,4867249,1383051,369785,146165,18304,104050,"53-00000-20190510"
"41","State",2019-05-11,"53","WA",NA,NA,1419716,6092844,32516966,6937402,9178861,4498032,5244997,4662199,1345373,396123,138957,18867,96155,"53-00000-20190511"
"42","State",2019-05-12,"53","WA",NA,NA,1471769,6040791,28260729,5702788,7936267,3918586,4628927,4131067,1232303,410637,154042,19064,127048,"53-00000-20190512"
"43","State",2019-05-13,"53","WA",NA,NA,1440808,6071752,29652070,6265262,8173913,4008819,4935674,4430516,1251541,322441,124097,18570,121237,"53-00000-20190513"
"44","State",2019-05-14,"53","WA",NA,NA,1414256,6098304,29872135,6296314,8127278,4080799,4918513,4627575,1263342,305078,123359,18324,111553,"53-00000-20190514"
"45","State",2019-05-15,"53","WA",NA,NA,1392227,6120333,30242865,6416509,8079372,4125336,5052372,4733463,1276603,305764,121627,18271,113548,"53-00000-20190515"
"46","State",2019-05-16,"53","WA",NA,NA,1361821,6150739,30373517,6289647,8081055,4202820,5115717,4801487,1296354,329055,128988,19033,109361,"53-00000-20190516"
"47","State",2019-05-17,"53","WA",NA,NA,1350402,6162158,31741512,6711505,8526960,4424927,5403155,4723559,1320519,359624,149626,19970,101667,"53-00000-20190517"
"48","State",2019-05-18,"53","WA",NA,NA,1419395,6093165,31927641,6872980,8584917,4455394,5371785,4667036,1322523,391299,145880,19577,96250,"53-00000-20190518"
"49","State",2019-05-19,"53","WA",NA,NA,1469303,6043257,28538055,5984646,7818360,3914770,4875600,4115677,1165147,383634,160814,20015,99392,"53-00000-20190519"
"50","State",2019-05-20,"53","WA",NA,NA,1418945,6093615,30295344,6325614,8093644,4190675,5201941,4643079,1257078,328087,128856,17202,109168,"53-00000-20190520"
"51","State",2019-05-21,"53","WA",NA,NA,1431800,6080760,31171360,6664590,8478622,4272238,5159327,4771650,1261288,331948,115064,16306,100327,"53-00000-20190521"
"52","State",2019-05-22,"53","WA",NA,NA,1382255,6130305,31520288,6712606,8474593,4338091,5358814,4741603,1300907,329690,120111,16945,126928,"53-00000-20190522"
"53","State",2019-05-23,"53","WA",NA,NA,1403331,6109229,30818535,6487182,8365527,4241203,5099313,4690138,1314489,344946,127634,18807,129296,"53-00000-20190523"
"54","State",2019-05-24,"53","WA",NA,NA,1378959,6133601,31376652,6499069,8445175,4302305,5276405,4790313,1349279,402957,163231,20474,127444,"53-00000-20190524"
"55","State",2019-05-25,"53","WA",NA,NA,1444752,6067808,31335174,6510089,8511889,4278057,5372073,4659728,1285603,412373,156444,20043,128875,"53-00000-20190525"
"56","State",2019-05-26,"53","WA",NA,NA,1439560,6073000,31426683,6728439,8624871,4191302,5347706,4570826,1250050,403862,157471,18923,133233,"53-00000-20190526"
