"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"55","WI",NA,NA,1145964,4649836,25272095,5047503,5948678,3063032,4266295,4474452,1669294,493304,218806,49062,41669,"55-00000-20190401"
"2","State",2019-04-02,"55","WI",NA,NA,1054984,4740816,26712951,5633643,6213700,3228321,4566105,4638445,1670762,476687,202478,42252,40558,"55-00000-20190402"
"3","State",2019-04-03,"55","WI",NA,NA,1078088,4717712,27903293,5756794,6582011,3383160,4802570,4983346,1698547,453111,169871,32997,40886,"55-00000-20190403"
"4","State",2019-04-04,"55","WI",NA,NA,1045496,4750304,27742945,5607904,6524531,3333091,4743400,5054400,1766939,470107,169503,34176,38894,"55-00000-20190404"
"5","State",2019-04-05,"55","WI",NA,NA,1036627,4759173,27669866,5342083,6436166,3362344,4791495,5121934,1803086,541572,200770,35840,34576,"55-00000-20190405"
"6","State",2019-04-06,"55","WI",NA,NA,1084095,4711705,27023564,5409237,6538608,3438975,4659824,4537608,1634692,546504,194114,32804,31198,"55-00000-20190406"
"7","State",2019-04-07,"55","WI",NA,NA,1168167,4627633,23080046,4563471,5759257,3007961,3988261,3695273,1290361,488225,216650,36592,33995,"55-00000-20190407"
"8","State",2019-04-08,"55","WI",NA,NA,1091292,4704508,26411450,5545478,6116264,3125526,4360018,4773781,1727048,480237,197780,42689,42629,"55-00000-20190408"
"9","State",2019-04-09,"55","WI",NA,NA,1087646,4708154,26209397,5431890,5968291,3097257,4325913,4867835,1747689,489244,198125,43299,39854,"55-00000-20190409"
"10","State",2019-04-10,"55","WI",NA,NA,1115685,4680115,26040099,5142939,6181976,3052055,4307840,4921206,1765547,453271,158101,28579,28585,"55-00000-20190410"
"11","State",2019-04-11,"55","WI",NA,NA,1187958,4607842,26080287,5339100,6532552,3114413,4257631,4762668,1528607,357936,135027,25258,27095,"55-00000-20190411"
"12","State",2019-04-12,"55","WI",NA,NA,1096500,4699300,27866725,5442903,6642538,3336666,4681566,5272094,1787722,477940,171733,27132,26431,"55-00000-20190412"
"13","State",2019-04-13,"55","WI",NA,NA,1184454,4611346,27412769,5309126,6770052,3414608,4655627,4834735,1693550,516163,169086,22624,27198,"55-00000-20190413"
"14","State",2019-04-14,"55","WI",NA,NA,1211958,4583842,24329798,4882451,6256834,3112244,4047812,3952238,1335896,491868,192449,28971,29035,"55-00000-20190414"
"15","State",2019-04-15,"55","WI",NA,NA,1095965,4699835,27181605,5698436,6434380,3151181,4400612,5000630,1776468,487010,171045,30892,30951,"55-00000-20190415"
"16","State",2019-04-16,"55","WI",NA,NA,1074539,4721261,27140010,5672765,6321247,3110273,4403133,5098595,1805346,493124,173630,31890,30007,"55-00000-20190416"
"17","State",2019-04-17,"55","WI",NA,NA,1087644,4708156,27291775,5484276,6516476,3139792,4480034,5187711,1807179,466963,155598,26883,26863,"55-00000-20190417"
"18","State",2019-04-18,"55","WI",NA,NA,1080107,4715693,28627364,5771913,6821735,3341643,4735611,5392607,1870646,483521,157352,24922,27414,"55-00000-20190418"
"19","State",2019-04-19,"55","WI",NA,NA,1056317,4739483,29802659,5868678,7038705,3559340,5069018,5583528,1907208,533538,187745,25246,29653,"55-00000-20190419"
"20","State",2019-04-20,"55","WI",NA,NA,1138068,4657732,28864470,5905929,7020205,3562299,4867594,5027559,1718539,538072,175172,22648,26453,"55-00000-20190420"
"21","State",2019-04-21,"55","WI",NA,NA,1255246,4540554,24435920,4884698,6066981,3135957,4084963,4001941,1425618,555625,223630,29587,26920,"55-00000-20190421"
"22","State",2019-04-22,"55","WI",NA,NA,1071423,4724377,25314614,5119059,5870072,2941137,4354078,4645487,1614977,482727,202799,43431,40847,"55-00000-20190422"
"23","State",2019-04-23,"55","WI",NA,NA,999996,4795804,26715680,5487904,6208210,3097160,4647227,4801184,1672570,508379,207454,43846,41746,"55-00000-20190423"
"24","State",2019-04-24,"55","WI",NA,NA,1006644,4789156,27562018,5580978,6465737,3212504,4891908,4989222,1681538,483992,184057,36513,35569,"55-00000-20190424"
"25","State",2019-04-25,"55","WI",NA,NA,969501,4826299,27560695,5530549,6438782,3191698,4798999,5091397,1770950,493818,176517,34350,33635,"55-00000-20190425"
"26","State",2019-04-26,"55","WI",NA,NA,980083,4815717,27486383,5369680,6408807,3262767,4853745,5021162,1759424,536517,204847,37580,31854,"55-00000-20190426"
"27","State",2019-04-27,"55","WI",NA,NA,1085689,4710111,24918770,4711235,6010875,3176151,4436356,4296861,1490830,531007,195908,35679,33868,"55-00000-20190427"
"28","State",2019-04-28,"55","WI",NA,NA,1050405,4745395,24113303,4911368,5960866,3079452,4243133,3789548,1282090,516519,221952,46368,62007,"55-00000-20190428"
"29","State",2019-04-29,"55","WI",NA,NA,992000,4803800,25796240,5181736,5957314,3008144,4298730,4710914,1671730,564820,229105,58521,115226,"55-00000-20190429"
"30","State",2019-04-30,"55","WI",NA,NA,972331,4823469,25647063,5150513,5889243,2950076,4251332,4755031,1696295,516514,229650,66975,141434,"55-00000-20190430"
"31","State",2019-05-01,"55","WI",NA,NA,988871,4806929,26914451,5381387,6270900,3194206,4525772,5044632,1686335,488712,193924,46286,82297,"55-00000-20190501"
"32","State",2019-05-02,"55","WI",NA,NA,1026164,4769636,27299832,5367947,6345672,3162710,4762370,5199475,1703701,498793,176099,35251,47814,"55-00000-20190502"
"33","State",2019-05-03,"55","WI",NA,NA,1038646,4757154,28233692,5719350,6572119,3336405,4780183,5246958,1760969,536626,198794,37680,44608,"55-00000-20190503"
"34","State",2019-05-04,"55","WI",NA,NA,1099955,4695845,28388043,5902036,6784813,3549011,4918640,4788167,1586195,536852,192256,45561,84512,"55-00000-20190504"
"35","State",2019-05-05,"55","WI",NA,NA,1117339,4678461,25029817,5280977,6188667,3170676,4254873,3947961,1377378,522164,218219,36838,32064,"55-00000-20190505"
"36","State",2019-05-06,"55","WI",NA,NA,1049003,4746797,24384647,4759150,5867483,2925279,4315707,4468021,1448781,374487,130016,32843,62880,"55-00000-20190506"
"37","State",2019-05-07,"55","WI",NA,NA,1038598,4757202,26415185,5363236,6355419,3181703,4563188,4775287,1556372,396324,123397,32289,67970,"55-00000-20190507"
"38","State",2019-05-08,"55","WI",NA,NA,1023219,4772581,24906857,4767971,5933356,2979359,4427742,4635569,1533890,392737,127169,32973,76091,"55-00000-20190508"
"39","State",2019-05-09,"55","WI",NA,NA,1025224,4770576,26748857,5421380,6443712,3165029,4649593,4872940,1548113,422639,133064,30679,61708,"55-00000-20190509"
"40","State",2019-05-10,"55","WI",NA,NA,981794,4814006,26703113,5123058,6349611,3275348,4691055,4932736,1601145,463922,157288,34831,74119,"55-00000-20190510"
"41","State",2019-05-11,"55","WI",NA,NA,1038872,4756928,26206975,5193081,6444938,3359058,4591259,4421917,1452397,477692,163382,33113,70138,"55-00000-20190511"
"42","State",2019-05-12,"55","WI",NA,NA,1080891,4714909,22998911,4325776,5635835,2938887,4101399,3955273,1307570,446337,176589,34912,76333,"55-00000-20190512"
"43","State",2019-05-13,"55","WI",NA,NA,1065056,4730744,24373195,4857935,5881155,3016424,4198376,4370933,1409009,377875,149095,32805,79588,"55-00000-20190513"
"44","State",2019-05-14,"55","WI",NA,NA,1034735,4761065,26254027,5551226,6231112,3209235,4498643,4605480,1524729,380642,139833,31454,81673,"55-00000-20190514"
"45","State",2019-05-15,"55","WI",NA,NA,1030379,4765421,26418829,5614034,6190384,3229022,4533853,4651959,1531879,400183,144097,33690,89728,"55-00000-20190515"
"46","State",2019-05-16,"55","WI",NA,NA,988591,4807209,24934030,4867828,5738951,3055939,4424136,4569191,1577160,432693,150600,35204,82328,"55-00000-20190516"
"47","State",2019-05-17,"55","WI",NA,NA,975964,4819836,26887250,5447684,6285504,3353072,4668922,4739987,1624811,470237,177864,36970,82199,"55-00000-20190517"
"48","State",2019-05-18,"55","WI",NA,NA,1051806,4743994,25703963,5093250,6187051,3379563,4513065,4352673,1451517,448980,165213,32943,79708,"55-00000-20190518"
"49","State",2019-05-19,"55","WI",NA,NA,1127520,4668280,21421311,4006276,5349435,2878038,3799413,3487707,1175942,425773,182879,34822,81026,"55-00000-20190519"
"50","State",2019-05-20,"55","WI",NA,NA,1066487,4729313,24938552,4938558,5847037,3099085,4412025,4517404,1489219,374795,139528,34169,86732,"55-00000-20190520"
"51","State",2019-05-21,"55","WI",NA,NA,1067818,4727982,25720424,5182294,6062222,3114713,4521565,4633336,1559648,385526,137941,32307,90872,"55-00000-20190521"
"52","State",2019-05-22,"55","WI",NA,NA,1054763,4741037,26353973,5449911,6247774,3155613,4539794,4704035,1604960,403885,136621,33518,77862,"55-00000-20190522"
"53","State",2019-05-23,"55","WI",NA,NA,1075760,4720040,25104569,4966838,5980595,3063716,4347173,4496329,1574547,414187,149300,34389,77495,"55-00000-20190523"
"54","State",2019-05-24,"55","WI",NA,NA,997607,4798193,24944878,4735785,5805196,3051097,4383660,4533736,1629077,497998,196104,35513,76712,"55-00000-20190524"
"55","State",2019-05-25,"55","WI",NA,NA,1099936,4695864,27011231,5692343,6593232,3494774,4716439,4293167,1476796,453662,172523,34829,83466,"55-00000-20190525"
"56","State",2019-05-26,"55","WI",NA,NA,1126369,4669431,26785144,5775650,6601105,3456052,4682342,4139067,1402402,451137,173035,32760,71594,"55-00000-20190526"
"57","State",2019-05-27,"55","WI",NA,NA,1151055,4644745,20933885,3987912,5384703,2637684,3636494,3352804,1157666,461410,206912,34869,73431,"55-00000-20190527"
"58","State",2019-05-28,"55","WI",NA,NA,1094195,4701605,27299058,5607149,6660982,3301208,4689381,4860263,1554579,387331,142437,28919,66809,"55-00000-20190528"
