"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"54","WV",NA,NA,414704,1385606,7051437,1513076,1836986,922752,1122955,1067181,378052,129966,62674,10650,7145,"54-00000-20190401"
"2","State",2019-04-02,"54","WV",NA,NA,390501,1409809,6988871,1527130,1816365,893904,1094600,1054265,385342,122013,75044,10742,9466,"54-00000-20190402"
"3","State",2019-04-03,"54","WV",NA,NA,400182,1400128,7383458,1573640,1995394,975238,1133830,1119515,383743,115104,69039,8653,9302,"54-00000-20190403"
"4","State",2019-04-04,"54","WV",NA,NA,391859,1408451,7338730,1552794,1944885,977700,1167448,1132433,380463,114740,50924,9018,8325,"54-00000-20190404"
"5","State",2019-04-05,"54","WV",NA,NA,389369,1410941,7136819,1437524,1872013,948640,1167722,1121337,391975,116511,66403,8537,6157,"54-00000-20190405"
"6","State",2019-04-06,"54","WV",NA,NA,412671,1387639,7245288,1478734,1958573,979823,1200232,1072963,370366,110459,62453,7492,4193,"54-00000-20190406"
"7","State",2019-04-07,"54","WV",NA,NA,424732,1375578,6426414,1306846,1774453,873923,1070218,916621,306931,103828,60011,9112,4471,"54-00000-20190407"
"8","State",2019-04-08,"54","WV",NA,NA,399048,1401262,6863217,1414380,1789472,905365,1113366,1045969,389029,125892,62598,10818,6328,"54-00000-20190408"
"9","State",2019-04-09,"54","WV",NA,NA,400166,1400144,7080355,1491325,1853849,939618,1138208,1073931,389484,115714,60762,10848,6616,"54-00000-20190409"
"10","State",2019-04-10,"54","WV",NA,NA,415227,1385083,7532837,1603894,2043303,1004404,1204364,1128927,377258,111006,46810,8183,4688,"54-00000-20190410"
"11","State",2019-04-11,"54","WV",NA,NA,432412,1367898,7889638,1701477,2158253,1049129,1264837,1144526,408404,108613,44487,6878,3034,"54-00000-20190411"
"12","State",2019-04-12,"54","WV",NA,NA,412378,1387932,7550199,1551507,2039452,1065534,1203222,1115812,401030,111035,51591,7172,3844,"54-00000-20190412"
"13","State",2019-04-13,"54","WV",NA,NA,445377,1354933,7722638,1625739,2114198,1089883,1267249,1105598,357243,102377,48899,7511,3941,"54-00000-20190413"
"14","State",2019-04-14,"54","WV",NA,NA,454383,1345927,6449013,1339787,1830930,908367,1035134,884733,287346,94595,56893,7877,3351,"54-00000-20190414"
"15","State",2019-04-15,"54","WV",NA,NA,428978,1371332,7204978,1507568,1972762,966367,1135625,1068522,376617,109101,55089,8579,4748,"54-00000-20190415"
"16","State",2019-04-16,"54","WV",NA,NA,419583,1380727,7551678,1656293,2032687,1009467,1188666,1102972,389580,107253,51957,8338,4465,"54-00000-20190416"
"17","State",2019-04-17,"54","WV",NA,NA,424908,1375402,7907251,1693466,2178068,1065064,1262691,1147750,395746,106884,46746,7139,3697,"54-00000-20190417"
"18","State",2019-04-18,"54","WV",NA,NA,424042,1376268,7937880,1712346,2126050,1066873,1261100,1187691,409928,115866,48380,6389,3257,"54-00000-20190418"
"19","State",2019-04-19,"54","WV",NA,NA,422208,1378102,7444006,1503377,2032527,1011757,1182909,1143159,403475,109030,47906,6274,3592,"54-00000-20190419"
