"","Level","Date","State FIPS","State Postal Code","County FIPS","County Name","Population Staying at Home","Population Not Staying at Home","Number of Trips","Number of Trips <1","Number of Trips 1-3","Number of Trips 3-5","Number of Trips 5-10","Number of Trips 10-25","Number of Trips 25-50","Number of Trips 50-100","Number of Trips 100-250","Number of Trips 250-500","Number of Trips >=500","Row ID"
"1","State",2019-04-01,"56","WY",NA,NA,138568,437402,2963564,757871,875703,408328,292108,233418,192765,150284,43022,6546,3519,"56-00000-20190401"
"2","State",2019-04-02,"56","WY",NA,NA,128194,447776,3026680,816157,895104,428035,272206,230740,189811,138136,48670,5533,2288,"56-00000-20190402"
"3","State",2019-04-03,"56","WY",NA,NA,131814,444156,3088310,812621,938585,433463,287890,235638,199807,133840,39991,4375,2100,"56-00000-20190403"
"4","State",2019-04-04,"56","WY",NA,NA,129486,446484,3353385,884106,1007805,477839,317169,252784,219128,144640,43347,4108,2459,"56-00000-20190404"
"5","State",2019-04-05,"56","WY",NA,NA,129656,446314,3278922,858852,991919,453140,308091,251263,213172,148093,47118,4495,2779,"56-00000-20190405"
"6","State",2019-04-06,"56","WY",NA,NA,132930,443040,3088049,782585,917973,429299,294187,249972,209850,144228,53211,4244,2500,"56-00000-20190406"
"7","State",2019-04-07,"56","WY",NA,NA,138991,436979,2767182,704309,831161,377627,261782,213214,182065,137485,51771,5143,2625,"56-00000-20190407"
"8","State",2019-04-08,"56","WY",NA,NA,132911,443059,3151552,800342,934803,441343,303106,243807,219130,146590,53513,5622,3296,"56-00000-20190408"
"9","State",2019-04-09,"56","WY",NA,NA,130886,445084,3079082,806975,916008,427334,291381,227764,192084,154157,54705,5829,2845,"56-00000-20190409"
"10","State",2019-04-10,"56","WY",NA,NA,138711,437259,3042526,789789,959320,420076,305425,220104,188131,113166,39899,4089,2527,"56-00000-20190410"
"11","State",2019-04-11,"56","WY",NA,NA,139331,436639,3248614,819230,1022479,485310,322217,232064,196173,123046,42143,3739,2213,"56-00000-20190411"
"12","State",2019-04-12,"56","WY",NA,NA,128989,446981,3308100,827496,1014793,475008,324461,239389,214067,155030,51737,3762,2357,"56-00000-20190412"
"13","State",2019-04-13,"56","WY",NA,NA,140337,435633,3113623,764295,952911,424076,306620,243978,214020,152363,48787,4204,2369,"56-00000-20190413"
"14","State",2019-04-14,"56","WY",NA,NA,141169,434801,2818255,691395,865225,373937,264211,215093,198482,149654,53574,4115,2569,"56-00000-20190414"
"15","State",2019-04-15,"56","WY",NA,NA,130397,445573,3270101,824371,977032,467940,321807,237911,215611,166753,51264,5056,2356,"56-00000-20190415"
"16","State",2019-04-16,"56","WY",NA,NA,128887,447083,3204339,802106,978488,450927,309730,232295,210108,161655,51360,5059,2611,"56-00000-20190416"
"17","State",2019-04-17,"56","WY",NA,NA,130084,445886,3353053,848349,1024570,482262,344774,243074,210197,148921,44171,4082,2653,"56-00000-20190417"
"18","State",2019-04-18,"56","WY",NA,NA,128329,447641,3409149,859000,1028809,495676,335534,264665,213212,161249,44480,4049,2475,"56-00000-20190418"
"19","State",2019-04-19,"56","WY",NA,NA,125723,450247,3349983,808892,994668,471782,341468,262600,233813,175398,55233,3741,2388,"56-00000-20190419"
"20","State",2019-04-20,"56","WY",NA,NA,137100,438870,3200825,774067,948682,458847,327003,255086,220889,162801,47434,3763,2253,"56-00000-20190420"
"21","State",2019-04-21,"56","WY",NA,NA,150785,425185,2560476,594288,780543,374382,260404,201322,170987,123436,47410,5047,2657,"56-00000-20190421"
"22","State",2019-04-22,"56","WY",NA,NA,131060,444910,2926041,767176,856068,387753,296703,239816,198557,126705,44794,5447,3022,"56-00000-20190422"
"23","State",2019-04-23,"56","WY",NA,NA,119822,456148,2975901,803049,899264,394464,288119,244764,192522,106185,39136,5217,3181,"56-00000-20190423"
"24","State",2019-04-24,"56","WY",NA,NA,123130,452840,3033375,805510,929299,400057,287975,250417,216318,105098,31864,4114,2723,"56-00000-20190424"
"25","State",2019-04-25,"56","WY",NA,NA,117649,458321,3127587,832976,944271,422006,300248,263968,213243,106404,37379,4022,3070,"56-00000-20190425"
"26","State",2019-04-26,"56","WY",NA,NA,117709,458261,3034440,754700,922745,424172,296164,251678,221446,115547,40667,4528,2793,"56-00000-20190426"
"27","State",2019-04-27,"56","WY",NA,NA,129081,446889,2832459,725361,832622,393046,270278,260533,196095,110462,37074,4193,2795,"56-00000-20190427"
